   TIME(CET)	100 eV
0.0000309	0
0.000129	2.1E+11
0.00132	2.79E+11
0.00161	2.1E+11
0.00195	80500000000
0.00275	63700000000
0.00376	2.4E+12
0.00505	39400000000
0.00582	6.62E+11
0.00669	48700000000
0.00767	6.54E+11
0.00877	1.19E+12
0.00998	3.58E+11
0.0112	6.74E+11
0.0126	7.79E+11
0.0141	3.92E+11
0.0159	1.32E+12
0.0178	7.67E+11
0.02	1.71E+12
0.0224	1.12E+12
0.0252	1.22E+12
0.0282	4.88E+12
0.0317	2.24E+12
0.0355	1.89E+12
0.0399	6.25E+12
0.0447	5.28E+12
0.0502	5.88E+12
0.0563	1.08E+13
0.0632	1.26E+13
0.0709	1.67E+13
0.0796	2.39E+13
0.0893	4.12E+13
0.1	3.97E+13
0.112	5.65E+13
0.126	7.07E+13
0.141	9.18E+13
0.159	1.11E+14
0.178	1.36E+14
0.2	1.59E+14
0.224	1.9E+14
0.252	2.1E+14
0.282	2.25E+14
0.317	2.22E+14
0.355	2.18E+14
0.399	2.03E+14
0.447	1.8E+14
0.502	1.47E+14
0.563	1.11E+14
0.632	9.01E+13
0.709	6.69E+13
0.796	5.23E+13
0.893	4.03E+13
1	2.95E+13
1.12	2.4E+13
1.26	1.79E+13
1.41	1.46E+13
1.59	1.18E+13
1.78	9.17E+12
2	7.22E+12
2.24	5.66E+12
2.52	4.3E+12
2.82	3.38E+12
3.17	2.63E+12
3.55	1.88E+12
3.99	1.42E+12
4.47	1.1E+12
5.02	7.43E+11
5.63	4.64E+11
6.32	3.16E+11
