   TIME(CET)	10 eV
0.00012941	2.1343E+14
0.0016142	6.9422E+12
0.0023225	1.1649E+13
0.0027458	2.2668E+12
0.003223	1.011E+13
0.0076703	1.1193E+12
0.0087747	7.3985E+12
0.011239	2.5032E+12
0.01261	2.1771E+12
0.015875	1.0899E+13
0.017813	1.5935E+12
0.019986	3.4865E+12
0.022424	1.3878E+11
0.02516	2.5984E+12
0.02823	87655000000
0.031675	3.3679E+12
0.035541	2.8104E+12
0.039877	4.5137E+12
0.044742	4.8647E+12
0.050202	5.4971E+12
0.056327	5.3157E+12
0.0632	9.9886E+12
0.070912	8.3966E+12
0.079564	1.3695E+13
0.089273	2.0674E+13
0.10016	1.9117E+13
0.11239	2.0382E+13
0.1261	3.9663E+13
0.14149	5.8578E+13
0.15875	5.4792E+13
0.17813	7.4126E+13
0.19986	9.505E+13
0.22424	1.1421E+14
0.2516	1.4181E+14
0.2823	1.5993E+14
0.31675	2.2839E+14
0.3554	3.0399E+14
0.39877	3.6347E+14
0.44742	4.177E+14
0.50202	4.9373E+14
0.56327	6.0707E+14
0.632	6.6816E+14
0.70912	7.2572E+14
0.79564	7.4383E+14
0.89273	7.5091E+14
1.0017	7.071E+14
1.1239	6.5602E+14
1.261	5.5519E+14
1.4148	4.4307E+14
1.5875	3.3314E+14
1.7813	2.4425E+14
1.9986	1.8684E+14
2.2424	1.3693E+14
2.516	1.0204E+14
2.8231	7.3286E+13
3.1675	5.8536E+13
3.554	4.4593E+13
3.9877	3.4958E+13
4.4742	2.5994E+13
5.0201	2.2166E+13
5.6327	1.6737E+13
6.32	1.2816E+13
7.0912	1.0542E+13
7.9564	7.5729E+12
8.9273	6.2744E+12
10.017	4.8776E+12
