   TIME(CET)	1 keV
8.24E-04	1.30E+10
1.32E-03	4.06E+10
2.32E-03	1.45E+11
3.76E-03	2.49E+10
4.37E-03	5.77E+10
5.05E-03	2.02E+11
5.82E-03	2.95E+11
7.67E-03	3.91E+11
8.77E-03	5.10E+11
1.12E-02	9.86E+11
1.41E-02	9.77E+11
1.59E-02	1.01E+12
2.00E-02	1.96E+12
2.24E-02	2.82E+12
2.52E-02	4.24E+12
2.82E-02	2.65E+12
3.17E-02	3.71E+12
3.55E-02	7.12E+12
3.99E-02	8.33E+12
4.47E-02	1.35E+13
5.02E-02	1.62E+13
5.63E-02	2.16E+13
6.32E-02	2.57E+13
7.09E-02	3.22E+13
7.96E-02	3.91E+13
8.93E-02	4.66E+13
1.00E-01	5.08E+13
1.12E-01	5.56E+13
1.26E-01	5.51E+13
1.41E-01	5.39E+13
1.59E-01	4.92E+13
1.78E-01	4.22E+13
2.00E-01	3.66E+13
2.24E-01	3.16E+13
2.52E-01	2.51E+13
2.82E-01	2.05E+13
3.17E-01	1.63E+13
3.55E-01	1.30E+13
3.99E-01	1.04E+13
4.47E-01	8.32E+12
5.02E-01	6.38E+12
5.63E-01	5.19E+12
6.32E-01	4.06E+12
7.09E-01	3.07E+12
7.96E-01	2.48E+12
8.93E-01	1.87E+12
1.00E+00	1.41E+12
1.12E+00	1.10E+12
1.26E+00	8.50E+11
1.41E+00	6.19E+11
1.59E+00	4.58E+11
1.78E+00	2.75E+11
2.00E+00	2.04E+11
2.24E+00	1.38E+11
2.52E+00	6.92E+10
2.82E+00	3.63E+10
3.17E+00	1.95E+10
3.55E+00	7.39E+09
3.99E+00	1.91E+09
4.47E+00	3.67E+08
5.02E+00	5.82E+08
5.63E+00	1.06E+08
6.32E+00	1.87E+07
