   TIME(CET)	500eV
1.06E-03	2.30E+10
1.32E-03	1.89E+11
1.95E-03	2.01E+11
5.82E-03	2.16E+10
6.69E-03	2.85E+11
7.67E-03	2.68E+10
8.77E-03	8.25E+11
9.98E-03	5.52E+11
1.12E-02	9.12E+11
1.26E-02	2.12E+11
1.41E-02	2.35E+12
1.59E-02	2.49E+12
2.00E-02	1.08E+12
2.24E-02	1.09E+12
2.82E-02	2.66E+12
3.17E-02	3.50E+12
3.55E-02	4.74E+12
3.99E-02	7.84E+12
4.47E-02	1.09E+13
5.02E-02	1.19E+13
5.63E-02	1.72E+13
6.32E-02	2.13E+13
7.09E-02	3.24E+13
7.96E-02	3.72E+13
8.93E-02	4.62E+13
1.00E-01	5.57E+13
1.12E-01	6.90E+13
1.26E-01	7.64E+13
1.41E-01	8.53E+13
1.59E-01	8.63E+13
1.78E-01	8.52E+13
2.00E-01	8.07E+13
2.24E-01	6.82E+13
2.52E-01	6.01E+13
2.82E-01	4.98E+13
3.17E-01	4.06E+13
3.55E-01	3.19E+13
3.99E-01	2.50E+13
4.47E-01	1.99E+13
5.02E-01	1.60E+13
5.63E-01	1.23E+13
6.32E-01	9.43E+12
7.09E-01	7.56E+12
7.96E-01	5.84E+12
8.93E-01	4.53E+12
1.00E+00	3.53E+12
1.12E+00	2.81E+12
1.26E+00	2.17E+12
1.41E+00	1.69E+12
1.59E+00	1.34E+12
1.78E+00	9.83E+11
2.00E+00	7.63E+11
2.24E+00	5.42E+11
2.52E+00	3.37E+11
2.82E+00	2.20E+11
3.17E+00	1.34E+11
3.55E+00	7.24E+10
3.99E+00	3.63E+10
4.47E+00	1.73E+10
5.02E+00	7.87E+09
5.63E+00	1.74E+09
6.32E+00	3.53E+08
7.09E+00	2.88E+08
7.96E+00	4.02E+07
