   TIME(CET)	DeltaFunction
8.24E-04	1.30E+10
1.32E-03	1.00E+00
2.32E-03	1.00E+00
3.76E-03	1.00E+00
4.37E-03	1.00E+00
5.05E-03	1.00E+00
5.82E-03	1.00E+00
7.67E-03	1.00E+00
8.77E-03	1.00E+00
1.12E-02	1.00E+00
1.41E-02	1.00E+00
1.59E-02	1.00E+00
2.00E-02	1.00E+00
2.24E-02	1.00E+00
2.52E-02	1.00E+00
2.82E-02	1.00E+00
3.17E-02	1.00E+00
3.55E-02	1.00E+00
3.99E-02	1.00E+00
4.47E-02	1.00E+00
5.02E-02	1.00E+00
5.63E-02	1.00E+00
6.32E-02	1.00E+00
7.09E-02	1.00E+00
7.96E-02	1.00E+00
8.93E-02	1.00E+00
1.00E-01	1.00E+00
1.12E-01	1.00E+00
1.26E-01	1.00E+00
1.41E-01	1.00E+00
1.59E-01	1.00E+00
1.78E-01	1.00E+00
2.00E-01	1.00E+00
2.24E-01	1.00E+00
2.52E-01	1.00E+00
2.82E-01	1.00E+00
3.17E-01	1.00E+00
3.55E-01	1.00E+00
3.99E-01	1.00E+00
4.47E-01	1.00E+00
5.02E-01	1.00E+00
5.63E-01	1.00E+00
6.32E-01	1.00E+00
7.09E-01	1.00E+00
7.96E-01	1.00E+00
8.93E-01	1.00E+00
1.00E+00	1.00E+00
1.12E+00	1.00E+00
1.26E+00	1.00E+00
1.41E+00	1.00E+00
1.59E+00	1.00E+00
1.78E+00	1.00E+00
2.00E+00	1.00E+00
2.24E+00	1.00E+00
2.52E+00	1.00E+00
2.82E+00	1.00E+00
3.17E+00	1.00E+00
3.55E+00	1.00E+00
3.99E+00	1.00E+00
4.47E+00	1.00E+00
5.02E+00	1.00E+00
5.63E+00	1.00E+00
6.32E+00	1.00E+00
