E(MeV)	mcnp/Ag-109:1
1E-11	4534.31
1.15436E-11	4534.31
1.30872E-11	4220.38
1.61743E-11	3963.74
1.92615E-11	3565.57
2.23486E-11	3267.47
2.54358E-11	3033.51
2.85229E-11	2843.56
3.46973E-11	2685.35
4.08716E-11	2434.89
4.70459E-11	2243.59
5.32202E-11	2091.31
5.93945E-11	1966.38
7.17431E-11	1861.48
8.40918E-11	1693.91
9.64404E-11	1564.77
1.08789E-10	1461.32
1.33486E-10	1376.03
1.58184E-10	1242.49
1.82881E-10	1141.6
2.07578E-10	1061.91
2.56973E-10	996.911
3.06367E-10	896.268
3.55762E-10	821.068
4.05156E-10	762.129
5.03945E-10	714.325
6.02734E-10	640.762
7.01523E-10	586.125
8.00313E-10	543.481
9.97891E-10	508.999
1.19547E-09	456.097
1.39305E-09	416.917
1.59063E-09	386.399
1.98578E-09	361.762
2.38094E-09	324.04
2.77609E-09	296.161
3.17125E-09	274.476
3.96156E-09	256.984
4.75188E-09	230.217
5.54219E-09	210.451
6.3325E-09	195.095
7.91313E-09	182.721
9.49375E-09	163.781
1.10744E-08	149.781
1.2655E-08	138.928
1.58163E-08	130.209
1.89775E-08	116.854
2.21388E-08	106.947
2.53E-08	99.2698
2.91074E-08	87.2665
2.92541E-08	87.0411
3.0271E-08	85.4779
3.29148E-08	82.2999
3.32081E-08	81.9473
3.52421E-08	79.5025
4.02131E-08	74.6974
4.05297E-08	74.4465
4.11163E-08	73.9815
4.51841E-08	70.757
4.81445E-08	68.9006
4.90244E-08	68.3489
5.51262E-08	64.5227
5.57594E-08	64.2188
5.69326E-08	63.6556
6.33742E-08	60.5632
6.48407E-08	59.8592
6.50682E-08	59.75
7.09891E-08	57.5092
7.27489E-08	56.8431
7.50103E-08	55.9873
8.49523E-08	52.9641
8.62188E-08	52.6645
8.85652E-08	52.1093
1.01448E-07	49.061
1.04381E-07	48.3671
1.04836E-07	48.2594
1.16678E-07	46.1537
1.20198E-07	45.5279
1.24721E-07	44.7236
1.31908E-07	43.7309
1.36014E-07	43.1638
1.44605E-07	41.9772
1.47138E-07	41.6961
1.5183E-07	41.1754
1.64489E-07	39.7706
1.77597E-07	38.5855
1.83463E-07	38.0552
1.84373E-07	37.9729
2.08056E-07	36.2927
2.15096E-07	35.7933
2.24141E-07	35.1515
2.38516E-07	34.3827
2.46728E-07	33.9434
2.63909E-07	33.0245
2.68975E-07	32.8143
2.78361E-07	32.4249
3.03677E-07	31.3745
3.29894E-07	30.5146
3.41626E-07	30.1298
3.43446E-07	30.0701
3.90813E-07	28.9071
4.04891E-07	28.5615
4.22982E-07	28.1173
4.51731E-07	27.619
4.68156E-07	27.3344
5.02519E-07	26.7389
5.1265E-07	26.6123
5.31422E-07	26.3778
5.82055E-07	25.7453
6.34488E-07	25.272
6.57952E-07	25.0601
6.61592E-07	25.0273
7.56325E-07	24.4939
7.84482E-07	24.3353
8.20664E-07	24.1316
8.78163E-07	23.9861
9.11013E-07	23.9031
9.79737E-07	23.7292
0.000001	23.7235
1.03754E-06	23.7128
1.13125E-06	23.6863
1.13881E-06	23.6841
1.25897E-06	23.8695
1.2625E-06	23.8749
1.29788E-06	23.9295
0.000001525	24.753
1.57626E-06	24.9389
1.7875E-06	26.274
1.79673E-06	26.3323
1.85464E-06	26.6983
2.04979E-06	28.5826
0.00000205	28.5847
2.17278E-06	29.7702
2.25232E-06	30.7573
2.3125E-06	31.6635
2.42938E-06	33.4234
2.49093E-06	34.3503
2.55591E-06	35.5477
2.57047E-06	35.8159
0.000002575	35.9182
2.80908E-06	41.2016
2.96815E-06	45.8434
3.06203E-06	49.2596
0.0000031	50.6412
3.12722E-06	51.6317
3.20676E-06	55.0635
3.28629E-06	58.9787
3.36583E-06	63.4291
3.44537E-06	68.513
3.5249E-06	74.3538
3.56815E-06	78.0258
3.60444E-06	81.1067
0.000003625	83.1385
3.68398E-06	88.9668
3.76351E-06	98.1366
3.80328E-06	103.317
3.84305E-06	108.988
3.88282E-06	115.199
3.92259E-06	122.008
3.96235E-06	129.492
4.00212E-06	137.744
4.04189E-06	146.871
4.07428E-06	155.121
4.08166E-06	157.002
4.12143E-06	168.289
0.00000415	177.361
4.1612E-06	180.916
4.20096E-06	195.101
4.24073E-06	211.113
4.2805E-06	229.28
4.32027E-06	250.006
4.36004E-06	273.796
4.39981E-06	301.286
4.43957E-06	333.284
4.47934E-06	370.833
4.51911E-06	415.267
4.55888E-06	468.313
4.59865E-06	532.346
4.61853E-06	569.512
4.63842E-06	610.826
4.6583E-06	656.934
0.000004675	700.331
4.67818E-06	708.602
4.69807E-06	766.745
4.70693E-06	796.032
4.71795E-06	832.479
4.73784E-06	907.176
4.75772E-06	992.543
4.7776E-06	1090.71
4.79749E-06	1204.39
4.81737E-06	1337.01
4.83726E-06	1493.01
4.85714E-06	1678.19
4.87702E-06	1900.24
4.89691E-06	2169.47
4.91679E-06	2500.06
4.92673E-06	2694.24
4.93668E-06	2911.7
4.94662E-06	3156.17
4.95656E-06	3432.07
4.9665E-06	3744.55
4.97645E-06	4099.74
4.98639E-06	4504.72
4.99633E-06	4967.6
5.00627E-06	5497.54
5.01621E-06	6104.55
5.02616E-06	6799.22
5.0361E-06	7592.16
5.04604E-06	8493.19
5.05598E-06	9510.18
5.06592E-06	10647.6
5.07587E-06	11904.8
5.08581E-06	13274.1
5.08652E-06	13381.4
5.10569E-06	16274.5
5.13423E-06	20697.8
5.14817E-06	22584.9
5.16211E-06	24071.2
5.17141E-06	24766.6
5.1807E-06	25187
0.00000519	25312.9
5.1993E-06	25138.6
0.0000052	25103.3
5.20859E-06	24673.1
5.21789E-06	23938.8
5.23183E-06	22410.4
5.24577E-06	20503
5.25507E-06	19102
5.28885E-06	13903.3
5.30108E-06	12191.3
5.31332E-06	10641.4
5.32556E-06	9269.17
5.3378E-06	8074.37
5.35004E-06	7046.87
5.36228E-06	6170.47
5.37452E-06	5426.42
5.38676E-06	4795.63
0.000005399	4260.43
5.41124E-06	3805.13
5.42348E-06	3416.26
5.43572E-06	3082.47
5.44796E-06	2794.45
5.4602E-06	2544.55
5.47244E-06	2326.52
5.48468E-06	2135.22
5.50916E-06	1817.02
5.53364E-06	1564.89
5.55812E-06	1361.78
5.5826E-06	1195.83
5.60708E-06	1058.55
5.63156E-06	943.734
5.65604E-06	846.743
5.68052E-06	764.079
0.000005705	693.056
5.72948E-06	631.608
5.75396E-06	578.104
5.77843E-06	531.249
5.80291E-06	489.975
5.8457E-06	429.518
5.85187E-06	420.797
5.90083E-06	365.326
5.94979E-06	320.19
5.99875E-06	283.031
6.04771E-06	252.092
6.09667E-06	226.058
6.09876E-06	225.112
6.14563E-06	203.944
6.19459E-06	185
