E(MeV)	"AL-27(N,TOT)"
1.00000E-11	27.425
1.10304E-11	26.118
1.21669E-11	24.8739
1.34205E-11	23.6897
1.48034E-11	22.5623
1.63287E-11	21.4893
1.80111E-11	20.4699
1.80947E-11	20.4223
1.98669E-11	19.4976
1.99591E-11	19.4523
2.19139E-11	18.5722
2.20157E-11	18.5291
2.41719E-11	17.6914
2.42841E-11	17.6504
2.66625E-11	16.8533
2.67863E-11	16.8142
2.94097E-11	16.0556
2.95462E-11	16.0185
3.24400E-11	15.2965
3.25906E-11	15.2612
3.57825E-11	14.5743
3.59486E-11	14.5406
3.94694E-11	13.887
3.96527E-11	13.855
4.35362E-11	13.2332
4.37383E-11	13.2027
4.80221E-11	12.6111
4.82450E-11	12.5822
5.29701E-11	12.0194
5.32160E-11	11.9919
5.84280E-11	11.4566
5.86992E-11	11.4304
6.44483E-11	10.9213
6.47474E-11	10.8964
7.10888E-11	10.4137
7.19191E-11	10.3543
7.84136E-11	9.93069
7.98890E-11	9.84027
8.64931E-11	9.47123
8.87378E-11	9.35341
9.54051E-11	9.03424
9.85715E-11	8.89194
1.05235E-10	8.6187
1.09490E-10	8.455
1.16078E-10	8.22364
1.21623E-10	8.04103
1.28039E-10	7.84811
1.35094E-10	7.64927
1.41232E-10	7.49127
1.50065E-10	7.27827
1.55784E-10	7.15226
1.66687E-10	6.92735
1.71835E-10	6.83029
1.85159E-10	6.59524
1.89540E-10	6.52458
2.05668E-10	6.28133
2.09070E-10	6.2344
2.28459E-10	5.98446
2.30612E-10	5.95907
2.53764E-10	5.70407
2.54374E-10	5.69792
2.80583E-10	5.45137
2.81886E-10	5.43987
3.09494E-10	5.21814
3.13109E-10	5.19092
3.41383E-10	4.99713
3.47807E-10	4.95588
3.76558E-10	4.78829
3.89056E-10	4.72012
4.15358E-10	4.59018
4.35198E-10	4.49857
4.58155E-10	4.40249
4.86812E-10	4.29054
5.05362E-10	4.2248
5.44547E-10	4.09536
5.57433E-10	4.0567
6.09130E-10	3.91237
6.14869E-10	3.89785
6.78223E-10	3.74889
6.86144E-10	3.7315
7.48105E-10	3.60925
7.72935E-10	3.56358
8.25188E-10	3.4771
8.70660E-10	3.40709
9.10213E-10	3.3522
9.80789E-10	3.26128
1.00400E-09	3.23436
1.10745E-09	3.12324
1.11259E-09	3.1181
1.22156E-09	3.02081
1.26210E-09	2.98721
1.34742E-09	2.92408
1.44173E-09	2.8595
1.48625E-09	2.83233
1.63939E-09	2.74619
1.65854E-09	2.73621
1.80831E-09	2.66712
1.90796E-09	2.6247
1.99463E-09	2.59195
2.20015E-09	2.52059
2.21037E-09	2.51732
2.42685E-09	2.45622
2.57865E-09	2.41685
2.67691E-09	2.39439
2.95273E-09	2.33681
3.05073E-09	2.31802
3.25697E-09	2.28344
3.59256E-09	2.2321
