E(MeV)	B10 Tot			
1.00000E-11	193344			
1.10304E-11	184092			
1.21669E-11	175283			
1.34205E-11	166896			
1.48034E-11	158910			
1.63287E-11	151306			
1.80111E-11	144066			
1.98669E-11	137172			
2.19139E-11	130608			
2.41719E-11	124358			
2.66625E-11	118408			
2.94097E-11	112742			
3.24400E-11	107347			
3.57825E-11	102210			
3.94694E-11	97319.6			
4.35362E-11	92662.8			
4.80221E-11	88228.8			
5.29701E-11	84007			
5.84280E-11	79987.2			
6.44483E-11	76159.7			
7.10888E-11	72515.4			
7.84136E-11	69045.5			
8.64931E-11	65741.6			
9.54051E-11	62595.9			
1.05235E-10	59600.6			
1.16078E-10	56748.7			
1.28039E-10	54033.2			
1.41232E-10	51447.7			
1.55784E-10	48985.9			
1.71835E-10	46641.9			
1.89540E-10	44410.1			
2.09070E-10	42285			
2.10545E-10	42146.5			
2.30612E-10	40261.7			
2.33866E-10	39997.9			
2.54374E-10	38335.2			
2.59782E-10	37956.6			
2.80583E-10	36500.8			
2.88556E-10	36019.1			
3.09494E-10	34754.2			
3.20534E-10	34178.5			
3.41383E-10	33091.2			
3.56037E-10	32431.6			
3.76558E-10	31507.8			
3.95492E-10	30772.1			
4.15358E-10	30000.2			
4.39298E-10	29197.2			
4.58155E-10	28564.7			
4.87980E-10	27701.1			
5.05362E-10	27197.9			
5.42031E-10	26281.4			
5.57433E-10	25896.5			
6.02097E-10	24932.9			
6.14869E-10	24657.3			
6.68788E-10	23653.2			
6.78223E-10	23477.5			
7.42901E-10	22437.8			
7.48105E-10	22354.1			
8.25188E-10	21284.5			
9.10213E-10	20266			
9.16633E-10	20199.7			
1.00400E-09	19296.3			
1.01816E-09	19169.9			
1.10745E-09	18373			
1.13892E-09	18130.6			
1.22156E-09	17493.9			
1.27399E-09	17145.2			
1.34742E-09	16656.9			
1.42508E-09	16211			
1.48625E-09	15859.9			
1.59410E-09	15325.5			
1.63939E-09	15101			
1.78315E-09	14486.1			
1.80831E-09	14378.5			
1.99463E-09	13690.5			
2.00870E-09	13645.7			
2.20015E-09	13035.5			
2.26267E-09	12863.5			
2.42685E-09	12411.8			
2.54888E-09	12122			
2.67691E-09	11817.9			
2.89140E-09	11378.2			
2.95273E-09	11252.5			
3.25697E-09	10714.1			
3.27994E-09	10679			
3.59256E-09	10201.5			
3.74677E-09	9998.19			
3.96272E-09	9713.44			
4.28024E-09	9352.05			
4.37103E-09	9248.72			
4.82141E-09	8806.24			
4.92392E-09	8719.3			
5.31819E-09	8384.93			
5.70408E-09	8102.44			
5.86616E-09	7983.79			
6.47059E-09	7601.83			
6.65446E-09	7501.54			
7.13730E-09	7238.16			
7.81795E-09	6917.68			
7.87271E-09	6891.89			
8.68389E-09	6562.19			
9.31399E-09	6341.12			
9.57865E-09	6248.27			
1.05656E-08	5949.37			
1.12534E-08	5769.55			
1.16543E-08	5664.77			
1.28551E-08	5393.79			
1.37878E-08	5212.08			
1.41796E-08	5135.76			
1.56406E-08	4890.09			
1.72522E-08	4656.17			
1.90298E-08	4433.43			
2.09906E-08	4221.35			
2.20460E-08	4122.8			
2.31534E-08	4019.41			
2.52419E-08	3849.59			
2.53000E-08	3845.16			
2.79068E-08	3661.22			
3.07823E-08	3486.07			
3.39540E-08	3319.29			
3.74525E-08	3160.49			
4.13115E-08	3009.29			
4.55681E-08	2865.33			
4.78593E-08	2798.43			
5.02633E-08	2728.25			
5.54423E-08	2597.75			
6.11549E-08	2473.5			
6.74561E-08	2355.21			
7.33714E-08	2259.38			
7.44066E-08	2242.61			
8.20732E-08	2135.44			
9.05297E-08	2033.44			
9.98577E-08	1936.35			
1.10147E-07	1843.91			
1.21496E-07	1755.88			
1.26711E-07	1720.94			
1.34014E-07	1672.02			
1.47823E-07	1592.11			
1.63054E-07	1515.98			
1.79855E-07	1443.48			
1.98386E-07	1374.46			
2.18827E-07	1308.78			
2.41375E-07	1246.25			
2.66245E-07	1186.71			
2.70002E-07	1178.95			
2.93678E-07	1130.01			
3.23938E-07	1075.98			
3.57316E-07	1024.53			
3.94132E-07	975.564			
4.34743E-07	928.986			
4.79537E-07	884.637			
5.28947E-07	842.403			
5.83448E-07	802.212			
6.43565E-07	763.881			
7.09876E-07	727.348			
7.83020E-07	692.621			
8.63700E-07	659.585			
9.26369E-07	637.445			
9.52693E-07	628.146			
1.05086E-06	598.154			
1.15913E-06	569.681			
1.27857E-06	542.636			
1.28758E-06	540.594			
1.41030E-06	516.68			
1.42025E-06	514.741			
1.55562E-06	492.053			
1.56659E-06	490.214			
1.71590E-06	468.602			
1.72801E-06	466.85			
1.89271E-06	446.328			
1.90606E-06	444.665			
2.10245E-06	423.411			
2.31908E-06	403.324			
2.55803E-06	384.209			
2.57595E-06	382.776			
2.82161E-06	365.84			
2.84137E-06	364.478			
3.11233E-06	348.443			
3.13414E-06	347.153			
3.43302E-06	331.859			
3.45707E-06	330.628			
3.78675E-06	316.143			
3.81327E-06	314.978			
3.84017E-06	313.946			
4.20618E-06	299.902			
4.23585E-06	298.936			
4.63957E-06	285.801			
4.67230E-06	284.736			
5.11762E-06	272.282			
5.18982E-06	270.263			
5.64492E-06	259.225			
5.68474E-06	258.259			
5.76495E-06	256.593			
6.22656E-06	247			
6.31441E-06	245.175			
6.40349E-06	243.581			
6.86813E-06	235.265			
6.96502E-06	233.53			
7.01416E-06	232.773			
7.57580E-06	224.12			
7.68268E-06	222.473			
7.79107E-06	221.025			
8.47428E-06	211.899			
8.59383E-06	210.523			
9.34744E-06	201.85			
9.41338E-06	201.197			
1.02389E-05	193.022			
1.03833E-05	191.592			
1.12147E-05	184.521			
1.13729E-05	183.175			
1.16148E-05	181.376			
1.22842E-05	176.396			
1.25448E-05	174.457			
1.28115E-05	172.746			
1.30833E-05	171.003			
1.34550E-05	168.619			
1.37411E-05	166.784			
1.41316E-05	164.584			
1.44313E-05	162.896			
1.47382E-05	161.168			
1.49461E-05	159.996			
1.56968E-05	156.27			
1.58075E-05	155.721			
1.61429E-05	154.056			
1.63706E-05	152.926			
1.71937E-05	149.354			
1.73142E-05	148.832			
1.75584E-05	147.772			
1.78062E-05	146.697			
1.87015E-05	143.274			
1.88325E-05	142.773			
1.92329E-05	141.242			
1.93676E-05	140.727			
2.03414E-05	137.455			
2.07729E-05	136.005			
2.09195E-05	135.513			
2.12146E-05	134.521			
2.19702E-05	132.316			
2.25945E-05	130.494			
2.30749E-05	129.093			
2.34005E-05	128.244			
2.42340E-05	126.07			
2.45759E-05	125.179			
2.50984E-05	123.817			
2.65450E-05	120.524			
2.67310E-05	120.101			
2.72993E-05	118.807			
2.86706E-05	116.028			
2.90751E-05	115.208			
2.94853E-05	114.376			
3.14047E-05	110.943			
3.16247E-05	110.549			
3.22971E-05	109.346			
3.41586E-05	106.455			
3.43979E-05	106.084			
3.53753E-05	104.566			
3.71541E-05	102.139			
3.74143E-05	101.784			
3.84775E-05	100.333			
4.04122E-05	98.0169			
4.06952E-05	97.678			
4.12694E-05	96.9907			
4.21468E-05	95.9402			
4.27415E-05	95.3168			
4.36481E-05	94.3665			
4.45761E-05	93.3937			
4.52050E-05	92.7345			
4.55217E-05	92.4025			
4.84851E-05	89.6369			
4.88247E-05	89.3199			
4.98628E-05	88.3511			
5.27368E-05	86.0176			
5.31062E-05	85.7176			
5.34808E-05	85.4135			
5.42353E-05	84.8008			
5.65634E-05	83.1287			
5.77632E-05	82.2669			
5.81706E-05	81.9742			
5.89913E-05	81.3847			
6.23915E-05	79.2371			
6.28285E-05	78.9611			
6.46138E-05	77.8335			
6.83380E-05	75.7919			
7.07757E-05	74.4557			
7.38137E-05	72.9922			
7.43307E-05	72.7431			
7.69821E-05	71.4658			
8.02865E-05	70.0676			
8.08489E-05	69.8297			
8.19895E-05	69.347			
8.37328E-05	68.6094			
8.67153E-05	67.5068			
8.85590E-05	66.8251			
8.91793E-05	66.5958			
9.30073E-05	65.1806			
9.63249E-05	64.1276			
9.69996E-05	63.9134			
1.01877E-04	62.3654			
1.04038E-04	61.7685			
1.05506E-04	61.3632			
1.06994E-04	60.9521			
1.12374E-04	59.4663			
1.15567E-04	58.7076			
1.24821E-04	56.5092			
1.25701E-04	56.3294			
1.35767E-04	54.2743			
1.36724E-04	54.0998			
1.46645E-04	52.2931			
1.47672E-04	52.1283			
1.48714E-04	51.9612			
1.57286E-04	50.5861			
1.59505E-04	50.2308			
1.61755E-04	49.8704			
1.62888E-04	49.689			
1.64037E-04	49.532			
1.72276E-04	48.4058			
1.75939E-04	47.9051			
1.77172E-04	47.7515			
1.88706E-04	46.3143			
1.90027E-04	46.1496			
1.91368E-04	46.0036			
1.94068E-04	45.7094			
2.09607E-04	44.0163			
2.11086E-04	43.8765			
2.12564E-04	43.7368			
2.26402E-04	42.4291			
2.27988E-04	42.2945			
2.31204E-04	42.0217			
2.44531E-04	40.8914			
2.46256E-04	40.7624			
2.49730E-04	40.5027			
2.65974E-04	39.2883			
2.73532E-04	38.791			
2.93379E-04	37.485			
2.95449E-04	37.3682			
2.97518E-04	37.2515			
3.23608E-04	35.7799			
3.28174E-04	35.5566			
3.51986E-04	34.3919			
3.54469E-04	34.2704			
3.56952E-04	34.149			
3.82852E-04	33.0462			
3.88253E-04	32.8383			
4.16425E-04	31.7541			
4.22300E-04	31.5566			
4.25279E-04	31.4564			
4.56137E-04	30.4191			
4.62572E-04	30.2312			
4.99611E-04	29.1499			
5.03136E-04	29.047			
5.43423E-04	28.0393			
5.47257E-04	27.9434			
5.58865E-04	27.653			
5.78799E-04	27.22			
5.86965E-04	27.0428			
5.91077E-04	26.9536			
6.07872E-04	26.589			
6.12160E-04	26.5073			
6.47444E-04	25.8347			
6.51980E-04	25.7482			
6.61178E-04	25.5729			
6.99287E-04	24.9388			
7.09153E-04	24.7747			
7.34448E-04	24.3539			
7.55318E-04	24.0562			
7.76780E-04	23.75			
8.10123E-04	23.2744			
8.38979E-04	22.9175			
8.44898E-04	22.8442			
8.87337E-04	22.3193			
9.06203E-04	22.1153			
9.25425E-04	21.9076			
9.50000E-04	21.642			
9.71957E-04	21.405			
9.92574E-04	21.2112			
9.99575E-04	21.1453			
1.00000E-03	21.1413			
1.00658E-03	21.0795			
1.04248E-03	20.7418			
1.04978E-03	20.6786			
1.09485E-03	20.2887			
1.12596E-03	20.0195			
1.18257E-03	19.5964			
1.22469E-03	19.2816			
1.25073E-03	19.0871			
1.28627E-03	18.8572			
1.35088E-03	18.4393			
1.36041E-03	18.3841			
1.41881E-03	18.0459			
1.45912E-03	17.8124			
1.46934E-03	17.7601			
1.55403E-03	17.33			
1.58707E-03	17.1622			
1.62074E-03	16.9923			
1.69031E-03	16.6876			
1.71416E-03	16.5832			
1.72625E-03	16.5307			
1.73834E-03	16.4782			
1.83853E-03	16.0802			
1.89075E-03	15.8728			
1.93098E-03	15.735			
1.98585E-03	15.5469			
2.08557E-03	15.2052			
2.10028E-03	15.1548			
2.17512E-03	14.9329			
2.26183E-03	14.6757			
2.26846E-03	14.6561			
2.33292E-03	14.4846			
2.36586E-03	14.3969			
2.44998E-03	14.1731			
2.50000E-03	14.0552			
2.53527E-03	13.9722			
2.58150E-03	13.8634			
2.62033E-03	13.772			
2.66283E-03	13.672			
2.82755E-03	13.3299			
2.85596E-03	13.2709			
2.87605E-03	13.2292			
3.09232E-03	12.8288			
3.09719E-03	12.8197			
3.10140E-03	12.812			
3.36879E-03	12.3711			
3.38535E-03	12.3438			
3.58227E-03	12.0614			
3.68849E-03	11.909			
3.68987E-03	11.9072			
3.98402E-03	11.5347			
3.98984E-03	11.5273			
4.01779E-03	11.4959			
4.14268E-03	11.3555			
4.35193E-03	11.1203			
4.35344E-03	11.1186			
4.44600E-03	11.0285			
4.74675E-03	10.7357			
4.79827E-03	10.6855			
4.90109E-03	10.599			
5.04512E-03	10.4778			
5.16300E-03	10.3787			
5.29267E-03	10.2696			
5.56496E-03	10.0721			
5.65509E-03	10.0067			
5.81547E-03	9.89042			
5.88015E-03	9.84972			
6.19438E-03	9.65199			
6.31278E-03	9.57749			
6.36668E-03	9.54357			
6.73758E-03	9.337			
6.74758E-03	9.33144			
6.83179E-03	9.28454			
6.87998E-03	9.26106			
7.38629E-03	9.01442			
7.50875E-03	8.95476			
7.60581E-03	8.90771			
7.70127E-03	8.86809			
7.96804E-03	8.75737			
8.35437E-03	8.59702			
8.61992E-03	8.50164			
8.70387E-03	8.47149			
9.03525E-03	8.35247			
9.15108E-03	8.31087			
9.49350E-03	8.20337			
9.56701E-03	8.18029			
9.95355E-03	8.05895			
1.03260E-02	7.95673			
1.05145E-02	7.90498			
1.07982E-02	7.82711			
1.13326E-02	7.69758			
1.13978E-02	7.6818			
1.17452E-02	7.5976			
1.23693E-02	7.46508			
1.24134E-02	7.45572			
1.28123E-02	7.37103			
1.28514E-02	7.36272			
1.35019E-02	7.24249			
