E(MeV)	pendfb7/Ba135:1
1.00000E-11	309.158359
1.02999E-11	304.631109
1.06087E-11	300.171745
1.09269E-11	295.775821
1.12544E-11	291.447155
1.15920E-11	287.179603
1.19395E-11	282.976969
1.22976E-11	278.833865
1.26662E-11	274.753794
1.30462E-11	270.730997
1.34372E-11	266.770451
1.38403E-11	262.865144
1.42552E-11	259.019969
1.46827E-11	255.229041
1.51229E-11	251.495581
1.55765E-11	247.814692
1.60434E-11	244.190718
1.65246E-11	240.617481
1.70199E-11	237.099003
1.75304E-11	233.630336
1.80559E-11	230.214242
1.85975E-11	226.846614
1.91550E-11	223.530424
1.97295E-11	220.261216
2.03209E-11	217.041713
2.09305E-11	213.867569
2.15579E-11	210.742442
2.22045E-11	207.661122
2.28701E-11	204.627112
2.35561E-11	201.635683
2.42622E-11	198.69038
2.49899E-11	195.78652
2.57390E-11	192.927063
2.65110E-11	190.108123
2.73057E-11	187.332126
2.81247E-11	184.595598
2.89678E-11	181.900683
2.98367E-11	179.243948
3.07311E-11	176.628345
3.16528E-11	174.049649
3.19212E-11	173.330209
3.26017E-11	171.510175
3.30174E-11	170.444489
3.35795E-11	169.006655
3.41512E-11	167.605117
3.45861E-11	166.541273
3.53241E-11	164.811102
3.56235E-11	164.110708
3.65371E-11	162.06232
3.66913E-11	161.717331
3.77919E-11	159.357665
3.89247E-11	157.03489
3.90897E-11	156.710642
4.00923E-11	154.744753
4.04321E-11	154.106177
4.12941E-11	152.489808
4.18206E-11	151.543555
4.25327E-11	150.266527
4.32568E-11	149.022023
4.38076E-11	148.077421
4.47423E-11	146.541194
4.51216E-11	145.919138
4.62788E-11	144.100351
4.64742E-11	143.793896
4.78681E-11	141.698718
4.93030E-11	139.636169
4.95120E-11	139.348254
5.07818E-11	137.602846
5.12123E-11	137.035715
5.23041E-11	135.600548
5.29710E-11	134.760375
5.38729E-11	133.626611
5.47901E-11	132.521626
5.54878E-11	131.682891
5.66717E-11	130.318962
5.71521E-11	129.766694
5.86179E-11	128.151788
5.88653E-11	127.879801
6.06310E-11	126.019581
6.24484E-11	124.18854
6.27131E-11	123.932961
6.43215E-11	122.383378
6.48668E-11	121.879876
6.62496E-11	120.605837
6.70944E-11	119.859935
6.82368E-11	118.853442
6.93985E-11	117.872565
7.02822E-11	117.128009
7.17818E-11	115.917229
7.23903E-11	115.426966
7.42469E-11	113.993503
7.45603E-11	113.752039
7.67967E-11	112.100814
7.90987E-11	110.475492
7.94340E-11	110.248622
8.14712E-11	108.873195
8.21619E-11	108.426294
8.39134E-11	107.295456
8.49834E-11	106.633443
8.64304E-11	105.740084
8.79019E-11	104.869487
8.90212E-11	104.208663
9.09206E-11	103.134073
9.16913E-11	102.698961
9.40430E-11	101.426707
9.44399E-11	101.212432
9.72725E-11	99.7470482
1.00188E-10	98.3045974
1.00613E-10	98.1031501
1.03193E-10	96.8828531
1.04068E-10	96.4862371
1.06287E-10	95.4825452
1.07642E-10	94.8951808
1.09475E-10	94.1022788
1.11339E-10	93.3295877
1.12756E-10	92.7434138
