E(MeV)	mcnp/Bi209:1
1E-11	39.74735945
1.15436E-11	37.13483896
1.30872E-11	35.00730326
1.61743E-11	31.72470172
1.92615E-11	29.28572758
2.23486E-11	27.38589759
2.54358E-11	25.85497717
2.85229E-11	24.58934647
3.46973E-11	22.60706922
4.08716E-11	21.11499324
4.70459E-11	19.94427016
5.32202E-11	18.99725674
5.93945E-11	18.21310209
7.17431E-11	16.98535522
8.40918E-11	16.06422608
9.64404E-11	15.34524692
1.08789E-10	14.76728727
1.33486E-10	13.89385872
1.58184E-10	13.26403833
1.82881E-10	12.78796166
2.07578E-10	12.41539106
2.56973E-10	11.8700079
3.06367E-10	11.49029243
3.55762E-10	11.21093545
4.05156E-10	10.99690152
5.03945E-10	10.69062634
6.02734E-10	10.48197017
7.01523E-10	10.33055726
8.00313E-10	10.21555707
9.22403E-10	10.10657091
9.22404E-10	10.10656974
9.97891E-10	10.05215112
1.19547E-09	9.941331725
1.39305E-09	9.861025459
1.59063E-09	9.800028318
1.98578E-09	9.713254857
2.38094E-09	9.654274105
2.77609E-09	9.611430454
3.17125E-09	9.578809863
3.96156E-09	9.532233581
4.75188E-09	9.500420323
5.54219E-09	9.477223271
6.3325E-09	9.459505082
7.91313E-09	9.434069284
9.49375E-09	9.41656401
1.10744E-08	9.40373696
1.2655E-08	9.393910914
1.58163E-08	9.379702488
1.89775E-08	9.369830176
2.21388E-08	9.362550782
2.53E-08	9.356956941
3.13855E-08	9.349054023
3.7471E-08	9.343447093
4.35565E-08	9.339251297
4.9642E-08	9.33599566
6.18129E-08	9.331180339
7.39839E-08	9.327749084
8.61549E-08	9.325170738
9.83259E-08	9.323161441
1.22668E-07	9.320173962
1.4701E-07	9.318029761
1.71352E-07	9.316406525
1.95694E-07	9.315124472
2.20036E-07	9.314084681
2.6872E-07	9.312472287
3.17403E-07	9.311263238
3.66087E-07	9.310315231
4.14771E-07	9.309547362
5.12139E-07	9.308355548
6.09507E-07	9.307455209
7.06875E-07	9.306740001
8.04243E-07	9.3061508
9.98978E-07	9.305212511
1.19371E-06	9.304476281
1.38845E-06	9.303867238
1.58319E-06	9.303344197
1.97266E-06	9.302462391
2.36213E-06	9.301718541
2.7516E-06	9.301061116
3.14107E-06	9.300461911
3.92001E-06	9.299374925
4.69896E-06	9.298381239
5.4779E-06	9.297445562
6.25684E-06	9.296548611
7.81473E-06	9.294828102
9.37261E-06	9.293167699
1.09305E-05	9.291543158
1.24884E-05	9.289941198
