E(MeV)	pendfb7/Br81:1	
1.00000E-11	156.121018	
1.02999E-11	153.843453	
1.03230E-11	153.673846	
1.06087E-11	151.599142	
1.06324E-11	151.432748	
1.09269E-11	149.387014	
1.09513E-11	149.223133	
1.12544E-11	147.208872	
1.12796E-11	147.046997	
1.15920E-11	145.061492	
1.16179E-11	144.902333	
1.19395E-11	142.946956	
1.19662E-11	142.790003	
1.22976E-11	140.862489	
1.23251E-11	140.707841	
1.26662E-11	138.809959	
1.26946E-11	138.657219	
1.30462E-11	136.786176	
1.30753E-11	136.63644	
1.34372E-11	134.793993	
1.34673E-11	134.645863	
1.38403E-11	132.829604	
1.38712E-11	132.684143	
1.42552E-11	130.895574	
1.42870E-11	130.752355	
1.46827E-11	128.989121	
1.47156E-11	128.847413	
1.51229E-11	127.111609	
1.51567E-11	126.97233	
1.55765E-11	125.260708	
1.56113E-11	125.12355	
1.60434E-11	123.438566	
1.60793E-11	123.303218	
1.65246E-11	121.642038	
1.65615E-11	121.508958	
1.70199E-11	119.873237	
1.70580E-11	119.741817	
1.75304E-11	118.129556	
1.75696E-11	118.000206	
1.80559E-11	116.412502	
1.80963E-11	116.284999	
1.85975E-11	114.719922	
1.86391E-11	114.594337	
1.91550E-11	113.053343	
1.91978E-11	112.929748	
1.97295E-11	111.410572	
1.97736E-11	111.288757	
2.03209E-11	109.792951	
2.03664E-11	109.672748	
2.09305E-11	108.198206	
2.09773E-11	108.079941	
2.15579E-11	106.628278	
2.16061E-11	106.511767	
2.22045E-11	105.080529	
2.22541E-11	104.965853	
2.28701E-11	103.556685	
2.29212E-11	103.443677	
2.35561E-11	102.054434	
2.36087E-11	101.943175	
2.42622E-11	100.575475	
2.43164E-11	100.465813	
2.49899E-11	99.1175443	
2.50458E-11	99.0093687	
2.57390E-11	97.6820775	
2.57966E-11	97.5754647	
2.65110E-11	96.2670921	
2.65703E-11	96.1621041	
2.73057E-11	94.8738726	
2.73668E-11	94.7704137	
2.81247E-11	93.5006139	
2.81876E-11	93.3987392	
2.89678E-11	92.1484457	
2.90326E-11	92.0480669	
2.98367E-11	90.8156044	
2.99034E-11	90.7167822	
3.07311E-11	89.5034116	
3.07998E-11	89.4060552	
3.16528E-11	88.209991	
3.17236E-11	88.1140338	
3.26017E-11	86.9364862	
3.26746E-11	86.8419821	
3.35795E-11	85.681259	
3.36546E-11	85.5881454	
3.45861E-11	84.4453907	
3.46634E-11	84.3537267	
3.56235E-11	83.227246	
3.57032E-11	83.1368534	
3.66913E-11	82.0279923	
3.67734E-11	81.9389418	
3.77919E-11	80.845857	
3.78764E-11	80.7581939	
3.89247E-11	79.6821202	
3.90118E-11	79.5957044	
4.00923E-11	78.5349747	
4.01819E-11	78.4499544	
4.12941E-11	77.4057241	
4.13864E-11	77.3219587	
4.25327E-11	76.2926095	
4.26278E-11	76.2100692	
4.38076E-11	75.1968703	
4.39056E-11	75.1155262	
4.51216E-11	74.1168122	
4.52225E-11	74.0367159	
4.64742E-11	73.0535598	
4.65781E-11	72.9746797	
4.78681E-11	72.0056242	
4.79752E-11	71.9278644	
4.93030E-11	70.9739669	
4.94133E-11	70.8973834	
5.07818E-11	69.9578915	
5.11102E-11	69.7399995	
5.23041E-11	68.9573235	
5.28654E-11	68.6017108	
5.38729E-11	67.9709998	
5.46809E-11	67.4822046	
5.54878E-11	66.9998472	
5.65587E-11	66.3812607	
5.71521E-11	66.0425286	
5.85010E-11	65.2985292	
5.88653E-11	65.0999507	
6.05101E-11	64.2337357	
6.06310E-11	64.1708061	
6.24484E-11	63.2568781	
6.25881E-11	63.1889862	
6.43215E-11	62.3566773	
6.47374E-11	62.1636895	
6.62496E-11	61.4703675	
6.69606E-11	61.1553784	
6.82368E-11	60.5967044	
6.92602E-11	60.1638106	
7.02822E-11	59.7366086	
7.16387E-11	59.1887727	
7.23903E-11	58.8887959	
7.40989E-11	58.2299732	
7.45603E-11	58.0541374	
7.66435E-11	57.2871868	
7.67967E-11	57.2314404	
7.90987E-11	56.4222853	
7.92756E-11	56.3622005	
8.14712E-11	55.6253668	
8.19980E-11	55.4545401	
8.39134E-11	54.8408202	
8.48140E-11	54.5620209	
8.64304E-11	54.0675457	
8.77266E-11	53.6844584	
8.90212E-11	53.3063473	
9.07393E-11	52.8215854	
9.16913E-11	52.5561202	
9.38554E-11	51.9731974	
9.44399E-11	51.8175892	
9.70786E-11	51.1390461	
9.72725E-11	51.08976	
1.00188E-10	50.3739347	
1.00412E-10	50.3208091	
1.03193E-10	49.6691485	
1.03861E-10	49.5179182	
1.06287E-10	48.9751463	
1.07427E-10	48.7287375	
1.09475E-10	48.2913194	
1.11117E-10	47.952538	
1.12756E-10	47.6183211	
1.14933E-10	47.189637	
1.16139E-10	46.9549223	
1.18880E-10	46.439664	
1.19620E-10	46.302164	
1.22962E-10	45.7024312	
1.23208E-10	45.6587956	
1.26901E-10	45.0262299	
1.27185E-10	44.9792408	
1.30707E-10	44.4034115	
1.31553E-10	44.2698216	
1.34626E-10	43.7902635	
1.36070E-10	43.5725778	
1.38664E-10	43.1861208	
1.40743E-10	42.8870205	
1.42820E-10	42.5916917	
1.45577E-10	42.213143	
1.47104E-10	42.0058951	
1.50576E-10	41.5508301	
1.51513E-10	41.4294335	
1.55747E-10	40.8998874	
1.56058E-10	40.8614343	
1.60736E-10	40.3029642	
1.61095E-10	40.2615742	
1.65557E-10	39.7532129	
1.66628E-10	39.6353802	
1.70520E-10	39.2121639	
1.72350E-10	39.0200151	
1.75635E-10	38.6791023	
1.78269E-10	38.415159	
1.80899E-10	38.1546536	
1.84391E-10	37.8207669	
1.86325E-10	37.6379656	
1.90723E-10	37.2366605	
1.91911E-10	37.1294946	
1.97273E-10	36.6625702	
1.97667E-10	36.6286475	
2.03592E-10	36.13628	
2.04047E-10	36.0997767	
2.09699E-10	35.6516257	
2.11055E-10	35.5478264	
2.15985E-10	35.1747963	
2.18303E-10	35.0054794	
2.22463E-10	34.7051011	
2.25800E-10	34.4725401	
2.29132E-10	34.2431313	
2.34544E-10	33.8834878	
2.36004E-10	33.7876934	
2.43079E-10	33.3397632	
2.43622E-10	33.3065775	
2.50370E-10	32.8995121	
2.53057E-10	32.7430754	
2.57875E-10	32.4661528	
2.62852E-10	32.190101	
2.65610E-10	32.0390556	
2.73031E-10	31.64693	
2.73572E-10	31.6186992	
2.81777E-10	31.2056193	
2.83599E-10	31.1171037	
2.90224E-10	30.7993494	
2.94582E-10	30.5976652	
2.98929E-10	30.3990134	
3.05984E-10	30.0879938	
3.07890E-10	30.0050092	
3.17125E-10	29.6171475	
3.17834E-10	29.5884173	
3.26631E-10	29.2364536	
3.30136E-10	29.1011614	
3.36428E-10	28.8613239	
3.42921E-10	28.6226015	
3.46513E-10	28.4921613	
3.56194E-10	28.1530881	
3.56906E-10	28.1284532	
3.67605E-10	27.7715092	
3.69988E-10	27.69482	
3.78631E-10	27.4201145	
3.84309E-10	27.2460755	
3.89981E-10	27.0743439	
3.99192E-10	26.8054118	
4.01678E-10	26.7337005	
4.13719E-10	26.3988424	
4.14644E-10	26.3740326	
4.26128E-10	26.0697934	
4.30701E-10	25.9529738	
4.38901E-10	25.7461675	
4.49268E-10	25.4941165	
4.52066E-10	25.4269818	
4.65617E-10	25.1135724	
4.68636E-10	25.0462534	
4.79583E-10	24.8054008	
4.88839E-10	24.6090909	
4.93959E-10	24.5019139	
5.08775E-10	24.2030174	
5.09913E-10	24.1808852	
5.24026E-10	23.9100307	
5.31895E-10	23.7644777	
5.39744E-10	23.6211653	
5.54825E-10	23.355816	
5.55923E-10	23.3367398	
5.72598E-10	23.0576456	
5.78743E-10	22.9585277	
5.89762E-10	22.7830574	
6.03693E-10	22.5693232	
6.07452E-10	22.5124026	
6.25661E-10	22.2468039	
6.32375E-10	22.1524449	
6.44427E-10	21.9853938	
6.62433E-10	21.7449812	
6.63744E-10	21.72771	
6.83653E-10	21.4751361	
6.93906E-10	21.3498362	
7.04146E-10	21.2263697	
7.25267E-10	20.9811312	
7.26889E-10	20.9629892	
7.47007E-10	20.7409935	
7.61425E-10	20.5877829	
7.69413E-10	20.5040024	
7.92477E-10	20.2710956	
7.97616E-10	20.221121	
8.16247E-10	20.0424077	
8.39054E-10	19.8317802	
8.40715E-10	19.8166498	
8.65932E-10	19.5955617	
8.82644E-10	19.4545029	
8.91889E-10	19.3775297	
9.18641E-10	19.1631627	
9.28500E-10	19.0871108	
9.46178E-10	18.9525869	
9.74558E-10	18.7447471	
9.76737E-10	18.7293858	
1.00377E-09	18.5414672	
1.03182E-09	18.3538654	
1.03388E-09	18.3402634	
1.06487E-09	18.1435908	
1.09002E-09	17.990004	
1.09681E-09	17.94912	
1.12969E-09	17.7586406	
1.15149E-09	17.6371061	
1.16357E-09	17.5706706	
1.19845E-09	17.3861851	
1.21645E-09	17.2946139	
1.23440E-09	17.2045279	
1.27140E-09	17.025938	
1.29049E-09	16.9373045	
1.30954E-09	16.8501241	
1.34879E-09	16.6773264	
1.36905E-09	16.5915747	
1.38925E-09	16.5072107	
1.43089E-09	16.3400004	
1.45238E-09	16.2570367	
1.47381E-09	16.175422	
1.51799E-09	16.01369	
1.54729E-09	15.9105629	
1.56352E-09	15.8542112	
1.61039E-09	15.6978373	
1.64843E-09	15.5758262	
1.65869E-09	15.5433585	
1.70841E-09	15.3922097	
1.75966E-09	15.2424809	
1.76359E-09	15.2314271	
1.81240E-09	15.096267	
1.86677E-09	14.9516093	
1.88680E-09	14.9003684	
1.92272E-09	14.8097837	
1.98039E-09	14.6700595	
2.02714E-09	14.561235	
2.03976E-09	14.5322538	
2.10094E-09	14.3973208	
2.16392E-09	14.2638722	
2.17795E-09	14.2353022	
2.22882E-09	14.1331759	
2.29563E-09	14.004349	
2.34986E-09	13.9039009	
2.36449E-09	13.8771762	
2.43537E-09	13.7528653	
2.50842E-09	13.6298135	
2.54604E-09	13.5689334	
2.58361E-09	13.5089952	
2.66110E-09	13.3902849	
2.74087E-09	13.2729308	
2.75864E-09	13.2478167	
2.82308E-09	13.1580471	
2.90771E-09	13.0448572	
2.99492E-09	12.9328364	
3.00162E-09	12.924575	
3.08470E-09	12.8235662	
3.17722E-09	12.7155735	
3.27246E-09	12.6088401	
3.27978E-09	12.6009647	
3.37062E-09	12.5046271	
3.47166E-09	12.4017731	
3.57579E-09	12.3000114	
3.59891E-09	12.2783172	
3.68297E-09	12.2005801	
3.79344E-09	12.1025465	
3.90715E-09	12.0056881	
3.96582E-09	11.9577159	
4.02435E-09	11.9105471	
4.14498E-09	11.8172541	
4.26931E-09	11.7249871	
4.38859E-09	11.6400217	
4.39728E-09	11.6339184	
