E(MeV)	C-nat			
1.00000E-11	78.2393			
1.10304E-11	74.5075			
1.21669E-11	70.9548			
1.34205E-11	67.5728			
1.48034E-11	64.3533			
1.63287E-11	61.2885			
1.80111E-11	58.3711			
1.98669E-11	55.5941			
2.19139E-11	52.9507			
2.41719E-11	50.4347			
2.66625E-11	48.04			
2.94097E-11	45.7608			
3.24400E-11	43.5916			
3.57825E-11	41.5272			
3.94694E-11	39.5628			
4.35362E-11	37.6934			
4.80221E-11	35.9147			
5.29701E-11	34.2223			
5.84280E-11	32.6122			
6.44483E-11	31.0805			
7.10888E-11	29.6236			
7.84136E-11	28.2378			
8.64931E-11	26.92			
9.54051E-11	25.6668			
1.05235E-10	24.4754			
1.16078E-10	23.3427			
1.28039E-10	22.2662			
1.41232E-10	21.2431			
1.55784E-10	20.2711			
1.71835E-10	19.3527			
1.73047E-10	19.2834			
1.89540E-10	18.4796			
1.92214E-10	18.3493			
2.09070E-10	17.6497			
2.13515E-10	17.4653			
2.30612E-10	16.8613			
2.37165E-10	16.6298			
2.54374E-10	16.1124			
2.63447E-10	15.8397			
2.80583E-10	15.4015			
2.92627E-10	15.0935			
3.09494E-10	14.7268			
3.25056E-10	14.3885			
3.41383E-10	14.0868			
3.61060E-10	13.7233			
3.76558E-10	13.48			
4.01072E-10	13.0954			
4.15358E-10	12.905			
4.45496E-10	12.5036			
4.58155E-10	12.3605			
4.94865E-10	11.9457			
5.05362E-10	11.8452			
5.49678E-10	11.4207			
5.57433E-10	11.3578			
6.10592E-10	10.9265			
6.14869E-10	10.8971			
6.78223E-10	10.4622			
7.48105E-10	10.0565			
7.53382E-10	10.0259			
8.25188E-10	9.67378			
8.36830E-10	9.61672			
9.10213E-10	9.31486			
9.36077E-10	9.20852			
1.00400E-09	8.97576			
1.04709E-09	8.82815			
1.10745E-09	8.65611			
1.17128E-09	8.47424			
1.22156E-09	8.35521			
1.31019E-09	8.14548			
1.34742E-09	8.07241			
1.46558E-09	7.84062			
1.48625E-09	7.80724			
1.63939E-09	7.56014			
1.65096E-09	7.54149			
1.80831E-09	7.33432			
1.85969E-09	7.2667			
1.99463E-09	7.12208			
2.09493E-09	7.01465			
2.20015E-09	6.92365			
2.37644E-09	6.77128			
2.42685E-09	6.73642			
2.67691E-09	6.56357			
2.69579E-09	6.55053			
2.95273E-09	6.40982			
3.07947E-09	6.34045			
3.25697E-09	6.26418			
3.51794E-09	6.15211			
3.59256E-09	6.1272			
