E(MeV)	mcnp/Cu-63:1
1E-11	262.4488175
1.15436E-11	244.3172685
1.30872E-11	229.4969355
1.61743E-11	206.5083915
1.92615E-11	189.3030767
2.23486E-11	175.8041247
2.54358E-11	164.848025
2.85229E-11	155.7259009
3.46973E-11	141.290463
4.08716E-11	130.2721866
4.70459E-11	121.5079421
5.32202E-11	114.3210419
5.93945E-11	108.2900703
7.17431E-11	98.6650976
8.40918E-11	91.25659878
9.64404E-11	85.3288001
1.08789E-10	80.44760975
1.33486E-10	72.81783986
1.58184E-10	67.06740423
1.82881E-10	62.53590915
2.07578E-10	58.84766069
2.56973E-10	53.15504165
3.06367E-10	48.91883682
3.55762E-10	45.61113312
4.05156E-10	42.9377568
5.03945E-10	38.84302142
6.02734E-10	35.81953906
7.01523E-10	33.47216399
8.00313E-10	31.58320154
9.97891E-10	28.70328223
1.19547E-09	26.5859193
1.39305E-09	24.94621554
1.59063E-09	23.62857624
1.98578E-09	21.62140944
2.38094E-09	20.14617761
2.77609E-09	19.00380292
3.17125E-09	18.0858317
3.96156E-09	16.68740891
4.75188E-09	15.65922013
5.54219E-09	14.86248305
6.3325E-09	14.22168669
7.91313E-09	13.24419219
9.49375E-09	12.52468701
1.10744E-08	11.96719394
1.2655E-08	11.51889561
1.58163E-08	10.83381192
1.89775E-08	10.32753709
2.21388E-08	9.934618192
2.53E-08	9.619097022
2.91074E-08	9.311255381
3.29148E-08	9.05966904
4.05297E-08	8.666332613
4.81445E-08	8.368634843
5.57594E-08	8.134620927
6.33742E-08	7.945191879
7.09891E-08	7.788573609
8.62188E-08	7.538977619
1.01448E-07	7.346293858
1.16678E-07	7.193015685
1.31908E-07	7.067505723
1.47138E-07	6.963322058
1.77597E-07	6.795646759
2.08056E-07	6.665050383
2.38516E-07	6.560545619
2.68975E-07	6.475421802
3.29894E-07	6.341178715
3.90813E-07	6.238712326
4.51731E-07	6.15779648
5.1265E-07	6.092335341
6.34488E-07	5.990338672
7.56325E-07	5.913348518
8.78163E-07	5.852862836
0.000001	5.803825979
1.16504E-06	5.75059369
1.33008E-06	5.707683585
1.66016E-06	5.641577809
1.99023E-06	5.592225391
2.32031E-06	5.55364166
2.65039E-06	5.522347106
2.98047E-06	5.496350242
3.64063E-06	5.454963295
4.30078E-06	5.42300944
4.96094E-06	5.397333833
5.62109E-06	5.376039108
6.28125E-06	5.357989557
7.60156E-06	5.328590926
8.92188E-06	5.305293862
1.02422E-05	5.286137188
1.15625E-05	5.269954165
1.42031E-05	5.243641353
1.68438E-05	5.222765125
1.94844E-05	5.205549911
0.000022125	5.190965568
2.60859E-05	5.172642426
2.74063E-05	5.1672882
3.26875E-05	5.148756493
3.79688E-05	5.133803885
0.00004325	5.121588547
