E(MeV)  mcnp	Total /Ca:1 mcnp/Ca
1.000000E-11	49.0156
1.186264E-11	49.0156
1.372528E-11	45.0273
1.558792E-11	41.8827
1.745056E-11	39.3214
2.117584E-11	37.1832
2.490112E-11	33.7899
2.862640E-11	31.1927
3.235168E-11	29.1229
3.980225E-11	27.4235
4.725281E-11	24.7754
5.470337E-11	22.7856
6.215393E-11	21.221
6.960450E-11	19.9494
8.450562E-11	18.8901
9.940675E-11	17.2137
1.292090E-10	15.9353
1.590112E-10	14.0889
1.888135E-10	12.8
2.186158E-10	11.8373
2.484181E-10	11.0847
3.080226E-10	10.4765
3.676271E-10	9.54665
4.272316E-10	8.863
4.868362E-10	8.33513
6.060452E-10	7.91294
7.252543E-10	7.2755
8.444634E-10	6.81339
1.000000E-09	6.46065
1.202091E-09	6.10712
1.440509E-09	5.76408
1.678927E-09	5.4653
1.917345E-09	5.23921
2.394181E-09	5.06122
2.871017E-09	4.79692
3.347853E-09	4.60825
3.824690E-09	4.46554
4.778362E-09	4.35306
5.732035E-09	4.18562
6.685707E-09	4.06559
7.639380E-09	3.97441
9.546725E-09	3.90226
1.336141E-08	3.7943
1.526876E-08	3.65714
1.908345E-08	3.61001
2.099079E-08	3.53904
2.289814E-08	3.51142
2.530000E-08	3.48751
2.671283E-08	3.46155
3.052752E-08	3.44804
3.815690E-08	3.4166
4.578628E-08	3.36893
5.341566E-08	3.334
6.104505E-08	3.30718
7.630381E-08	3.28588
9.156257E-08	3.25345
1.068213E-07	3.22947
1.220801E-07	3.2111
1.525976E-07	3.19663
1.831152E-07	3.17441
2.136327E-07	3.15793
2.441503E-07	3.14523
3.051854E-07	3.13519
3.662205E-07	3.11979
4.272556E-07	3.10837
4.882907E-07	3.09955
6.103609E-07	3.09254
7.324311E-07	3.08182
8.545013E-07	3.07386
9.765715E-07	3.06771
1.464852E-06	3.06277
1.708992E-06	3.04974
1.953133E-06	3.04544
2.441414E-06	3.04199
2.929695E-06	3.03673
3.417976E-06	3.03283
3.906257E-06	3.02981
4.882819E-06	3.02738
5.859381E-06	3.02368
6.835943E-06	3.02094
7.812505E-06	3.01882
9.765627E-06	3.01711
1.367187E-05	3.0145
1.562500E-05	3.01108
1.953125E-05	3.00987
2.343750E-05	3.00803
2.734375E-05	3.00667
3.125000E-05	3.00562
3.906250E-05	3.00477
4.687500E-05	3.00347
5.468750E-05	3.00251
6.250000E-05	3.00177
7.812500E-05	3.00117
1.000000E-04	3.00025
1.093750E-04	2.99935
1.250000E-04	2.99905
1.562500E-04	2.99863
1.875000E-04	2.99798
2.187500E-04	2.9975
2.500000E-04	2.99713
3.125000E-04	2.99683
3.750000E-04	2.99637
4.375000E-04	2.99604
5.000000E-04	2.99577
6.250000E-04	2.99556
7.500000E-04	2.99524
8.750000E-04	2.995
1.000000E-03	2.99481
1.200000E-03	2.99456
1.223777E-03	2.94839
1.246936E-03	2.94317
1.291564E-03	2.93811
1.334178E-03	2.92847
1.375000E-03	2.91939
1.400000E-03	2.91084
1.436722E-03	2.90565
1.475865E-03	2.89632
1.517688E-03	2.88648
1.562500E-03	2.87608
1.600000E-03	2.86506
1.671682E-03	2.85591
1.709955E-03	2.83872
1.750000E-03	2.82959
1.800000E-03	2.82005
2.000000E-03	2.80818
2.500001E-03	2.76137
2.593750E-03	2.64503
