E(MeV)	mcnp/Cd:1
1E-11	93991.21294
1.15478E-11	87467.73557
1.28125E-11	83039.76002
1.49977E-11	76753.98065
1.68859E-11	72336.92116
2.09443E-11	64954.4811
2.3094E-11	61859.03611
2.6875E-11	57345.19793
3.00518E-11	54231.50778
3.4925E-11	50308.71376
4.375E-11	44953.6275
4.94239E-11	42297.2372
5.5E-11	40098.20525
6.625E-11	36539.76164
7.75E-11	33787.82359
8.40775E-11	32441.57923
1E-10	29752.04438
1.18389E-10	27349.40758
1.34127E-10	25699.19792
1.51212E-10	24208.3087
1.67937E-10	22975.33645
2.06319E-10	20736.73997
2.37521E-10	19332.99535
2.66895E-10	18243.544
3.05636E-10	17054.80455
4.1833E-10	14594.25525
5E-10	13360.376
5.47723E-10	12771.3754
7E-10	11315.24683
8E-10	10595.69235
8.94427E-10	10030.87192
1.09734E-09	9075.692536
1.26141E-09	8479.734684
1.45E-09	7925.0474
1.70294E-09	7332.700785
0.000000002	6787.877781
2.4E-09	6223.070821
2.8E-09	5786.063907
3.34664E-09	5323.222876
0.000000004	4902.816678
0.000000005	4431.703351
0.000000006	4088.580785
0.000000007	3825.962447
0.000000008	3618.081496
8.94427E-09	3457.944715
0.00000001	3309.559619
1.25E-08	3044.244394
0.000000015	2855.966719
1.73205E-08	2726.742455
0.00000002	2615.476424
2.5298E-08	2470.829518
0.00000003	2397.099638
0.000000035	2357.116218
0.00000004	2345.800191
0.00000005	2387.359849
0.00000006	2497.76263
0.00000007	2669.983127
0.000000075	2778.534729
0.000000085	3043.277987
0.00000009	3203.760659
0.000000095	3385.873719
0.000000105	3819.57439
0.00000011	4072.17929
0.00000012	4643.593044
0.00000013	5287.575289
0.00000015	6599.449456
0.000000155	6865.159748
0.000000165	7218.76034
1.7302E-07	7277.460387
1.777E-07	7207.931441
0.000000185	6952.437565
0.000000195	6362.898697
0.0000002	5996.336275
2.0929E-07	5256.655748
2.24944E-07	4033.321468
0.00000023	3677.19
0.00000024	3049.649105
2.4748E-07	2649.229437
0.00000026	2101.581532
2.6616E-07	1881.569269
2.74955E-07	1615.300911
0.00000028	1484.890962
0.00000029	1267.270903
0.0000003	1093.735343
3.07682E-07	982.9566556
3.1556E-07	884.7027944
3.27757E-07	756.3293056
3.36004E-07	682.7136409
3.46942E-07	598.4789426
3.55206E-07	543.5927935
3.6725E-07	475.4520911
3.74244E-07	441.6072505
3.87717E-07	385.8365487
3.96033E-07	356.2269413
4.19092E-07	288.2384146
4.37412E-07	245.8302413
4.56221E-07	210.3414369
4.62401E-07	200.1429296
4.79215E-07	175.4615371
4.9664E-07	153.9403236
5.11039E-07	138.8221419
5.22112E-07	128.5903199
