E(MeV)	pendfb7/Ce142:1	
1.00000E-11	62.3964	
1.10304E-11	59.4351	
1.21669E-11	56.6168	
1.34205E-11	53.9345	
1.48034E-11	51.3849	
1.49078E-11	51.2131	
1.63287E-11	48.958	
1.65590E-11	48.6319	
1.80111E-11	46.6483	
1.83941E-11	46.1817	
1.98669E-11	44.45	
2.04314E-11	43.8583	
2.19139E-11	42.3581	
2.26956E-11	41.6532	
2.41719E-11	40.3676	
2.52095E-11	39.5626	
2.66625E-11	38.4736	
2.80031E-11	37.5789	
2.94097E-11	36.6718	
3.11048E-11	35.6986	
3.24400E-11	34.9577	
3.45518E-11	33.9149	
3.57825E-11	33.3274	
3.83789E-11	32.2247	
3.94694E-11	31.7768	
4.26319E-11	30.6218	
4.35362E-11	30.3023	
4.73540E-11	29.1034	
4.80221E-11	28.9004	
5.26017E-11	27.6639	
5.29701E-11	27.5676	
5.84280E-11	26.3008	
6.44483E-11	25.0997	
6.49029E-11	25.0189	
7.10888E-11	23.9582	
7.20917E-11	23.8051	
7.84136E-11	22.8746	
8.06417E-11	22.5829	
8.64931E-11	21.8445	
9.02057E-11	21.4281	
9.54051E-11	20.8656	
1.00904E-10	20.3373	
1.05235E-10	19.9357	
1.12871E-10	19.3074	
1.16078E-10	19.0525	
1.26258E-10	18.3352	
1.28039E-10	18.214	
1.41232E-10	17.4189	
1.42228E-10	17.3656	
1.55784E-10	16.6675	
1.60210E-10	16.4653	
1.71835E-10	15.9537	
1.80475E-10	15.6169	
1.89540E-10	15.2763	
2.04727E-10	14.7715	
2.09070E-10	14.6324	
2.30612E-10	14.0225	
2.32239E-10	13.9816	
2.54374E-10	13.4482	
2.65292E-10	13.2155	
2.80583E-10	12.9019	
3.03065E-10	12.4949	
3.09494E-10	12.3828	
3.41383E-10	11.8926	
3.48642E-10	11.7941	
3.76558E-10	11.43	
4.03881E-10	11.116	
4.15358E-10	10.9891	
4.58155E-10	10.5728	
4.71174E-10	10.4612	
5.05362E-10	10.1798	
5.53555E-10	9.83109	
5.57433E-10	9.80407	
6.14869E-10	9.45322	
