MeV	Cl-nat
1.00000E-11	1838.27
1.10240E-11	1750.9
1.21504E-11	1667.85
1.33946E-11	1588.6
1.47633E-11	1513.27
1.62750E-11	1441.38
1.79381E-11	1373.05
1.97749E-11	1307.85
2.17956E-11	1245.87
2.40274E-11	1186.72
2.64826E-11	1130.51
2.91943E-11	1076.87
3.21775E-11	1025.88
3.54723E-11	977.233
3.90970E-11	930.993
4.31005E-11	886.872
4.75046E-11	844.94
5.23690E-11	804.929
5.77202E-11	766.906
6.36306E-11	730.627
7.01326E-11	696.151
7.73139E-11	663.259
8.52142E-11	632.003
9.39398E-11	602.185
1.03539E-10	573.853
1.14141E-10	546.825
1.25804E-10	521.147
1.38686E-10	496.654
1.52858E-10	473.384
1.68510E-10	451.192
1.85729E-10	430.112
2.04747E-10	410.009
2.25669E-10	390.916
2.48777E-10	372.711
2.74198E-10	355.439
2.78066E-10	353.141
3.02275E-10	338.967
3.10804E-10	334.603
3.33162E-10	323.324
3.47396E-10	317.05
3.67277E-10	308.409
3.88296E-10	300.431
4.04807E-10	294.248
4.34011E-10	284.701
4.46258E-10	280.75
4.85109E-10	269.813
4.91858E-10	267.937
5.42223E-10	255.728
5.97629E-10	244.162
6.06060E-10	242.626
6.58824E-10	233.143
6.77414E-10	230.227
7.26145E-10	222.692
7.67702E-10	217.088
8.00501E-10	212.727
8.70192E-10	204.653
8.82299E-10	203.269
9.72643E-10	194.276
9.86175E-10	193.101
1.07203E-09	185.756
1.11783E-09	182.341
1.18180E-09	177.64
1.28469E-09	171.057
1.30256E-09	169.929
1.43594E-09	162.608
1.47646E-09	160.67
1.58267E-09	155.668
1.72046E-09	150.022
1.74474E-09	149.042
1.92302E-09	142.779
2.00517E-09	140.268
2.11993E-09	136.811
2.33655E-09	131.138
2.36952E-09	130.387
2.57581E-09	125.757
2.83901E-09	120.62
3.12972E-09	115.759
3.44953E-09	111.108
3.80275E-09	106.704
4.19133E-09	102.487
4.25046E-09	101.928
4.62050E-09	98.4817
5.09264E-09	94.6518
5.38409E-09	92.5889
5.61412E-09	90.9843
6.18779E-09	87.4932
6.82140E-09	84.1231
7.01387E-09	83.2264
7.51843E-09	80.9103
8.28830E-09	77.815
9.13523E-09	74.8274
9.52551E-09	73.6179
1.00706E-08	71.9516
1.10997E-08	69.1915
1.22363E-08	66.5177
1.34866E-08	63.9415
1.48676E-08	61.4903
1.63868E-08	59.1475
1.80648E-08	56.9095
1.96375E-08	55.0844
1.99107E-08	54.8063
2.07614E-08	53.9417
2.13472E-08	53.352
2.19495E-08	52.8228
2.32057E-08	51.7206
2.41924E-08	50.9634
2.50875E-08	50.2772
2.53000E-08	50.1262
2.75026E-08	48.6873
2.78906E-08	48.4669
2.98970E-08	47.3289
3.07406E-08	46.9162
3.29584E-08	45.8327
3.38884E-08	45.4428
3.63262E-08	44.4226
3.73512E-08	44.0526
4.00459E-08	43.0816
4.11758E-08	42.7294
4.41379E-08	41.8076
4.53833E-08	41.4719
4.73222E-08	40.95
4.86575E-08	40.5924
5.00305E-08	40.2731
5.36295E-08	39.4374
5.51428E-08	39.1319
5.91210E-08	38.3298
6.07892E-08	38.0374
6.51622E-08	37.2723
6.70009E-08	36.9934
7.18346E-08	36.2614
7.38616E-08	35.9954
7.91750E-08	35.2992
8.14090E-08	35.0452
8.72822E-08	34.3786
8.97450E-08	34.1363
9.62011E-08	33.5022
9.89155E-08	33.2722
1.06052E-07	32.6684
1.09044E-07	32.45
1.16889E-07	31.8785
1.20187E-07	31.67
1.27185E-07	31.2283
1.28858E-07	31.1264
1.32493E-07	30.9341
1.42025E-07	30.431
1.46032E-07	30.2474
1.56568E-07	29.7656
1.60985E-07	29.5907
1.72566E-07	29.1332
1.77435E-07	28.9665
1.92883E-07	28.4384
1.95604E-07	28.3572
2.12634E-07	27.8495
2.15592E-07	27.7724
2.34361E-07	27.2836
2.37668E-07	27.2084
2.58359E-07	26.738
2.61954E-07	26.6665
2.84759E-07	26.2133
2.92794E-07	26.0737
3.13918E-07	25.7071
3.22776E-07	25.5738
3.45995E-07	25.2249
3.51207E-07	25.1561
3.55758E-07	25.1007
3.86730E-07	24.724
3.92186E-07	24.6655
4.26330E-07	24.3002
4.32261E-07	24.2451
4.69894E-07	23.896
4.76524E-07	23.8428
5.18010E-07	23.5107
5.25217E-07	23.4608
5.78997E-07	23.0891
5.87052E-07	23.0405
6.38161E-07	22.7324
6.47165E-07	22.6828
7.13294E-07	22.3193
7.64755E-07	22.0368
7.86334E-07	21.934
8.08521E-07	21.8284
8.54792E-07	21.6512
8.66684E-07	21.6136
9.03711E-07	21.4969
9.96056E-07	21.2559
1.00000E-06	21.2434
1.01411E-06	21.2048
1.05306E-06	21.1081
1.12903E-06	20.9198
1.16089E-06	20.841
1.26196E-06	20.6168
1.27951E-06	20.5779
1.35274E-06	20.4425
1.41053E-06	20.3357
1.53333E-06	20.1427
1.57660E-06	20.086
1.71386E-06	19.9065
1.83715E-06	19.7693
1.99709E-06	19.6135
2.05344E-06	19.5704
2.17096E-06	19.4807
2.23222E-06	19.443
2.24105E-06	19.4376
2.35996E-06	19.3537
2.42655E-06	19.3112
2.53022E-06	19.2452
2.60162E-06	19.1998
2.71224E-06	19.1441
2.94837E-06	19.0253
3.03156E-06	18.9836
3.16108E-06	18.926
3.35522E-06	18.8398
3.38848E-06	18.8234
3.43628E-06	18.7998
3.63294E-06	18.7209
3.73545E-06	18.6798
3.95485E-06	18.5983
4.00417E-06	18.5729
4.41418E-06	18.3972
4.47559E-06	18.3709
4.66680E-06	18.2994
5.00252E-06	18.1741
5.06782E-06	18.1524
5.43804E-06	17.9588
5.51476E-06	17.9187
5.99488E-06	17.6834
6.07195E-06	17.6489
6.07828E-06	17.6449
6.51679E-06	17.3693
6.97833E-06	17.0793
6.98560E-06	17.0767
7.18270E-06	17.0114
7.91819E-06	16.7676
8.02835E-06	16.7343
8.24629E-06	16.6685
8.25488E-06	16.6656
8.97356E-06	16.4284
9.47723E-06	16.2623
1.00300E-05	16.0983
1.09033E-05	15.8562
1.10571E-05	15.8156
1.20197E-05	15.5621
1.27076E-05	15.381
1.34349E-05	15.1986
1.41889E-05	15.0094
1.42037E-05	15.0067
1.50166E-05	14.8605
1.56551E-05	14.7458
1.60968E-05	14.6696
1.77451E-05	14.3852
1.79920E-05	14.3443
2.01102E-05	13.9936
2.03727E-05	13.9501
2.03939E-05	13.946
2.21695E-05	13.6111
2.40995E-05	13.2551
2.47538E-05	13.1368
2.69369E-05	12.8196
3.00769E-05	12.374
3.01082E-05	12.3707
3.22741E-05	12.1403
3.55419E-05	11.8028
3.60739E-05	11.7534
3.97678E-05	11.4215
4.03210E-05	11.3733
4.14156E-05	11.2781
4.14587E-05	11.2741
4.44497E-05	10.9993
4.76473E-05	10.7117
4.96830E-05	10.5286
5.10317E-05	10.4085
5.32570E-05	10.2323
5.47598E-05	10.1132
6.03670E-05	9.67689
6.12068E-05	9.61154
6.47096E-05	9.34025
6.56226E-05	9.2704
7.03433E-05	8.90919
7.23281E-05	8.75889
7.54182E-05	8.52489
7.64674E-05	8.44607
7.96513E-05	8.20688
8.08436E-05	8.13845
8.54702E-05	7.87468
8.96483E-05	7.63817
9.02676E-05	7.59007
9.03616E-05	7.58052
9.54335E-05	7.06689
9.55329E-05	7.05792
9.96143E-05	6.69068
9.98568E-05	6.66886
1.00895E-04	6.62882
1.01000E-04	6.62639
1.03850E-04	6.5605
1.08287E-04	6.45762
1.09793E-04	6.42324
1.11342E-04	6.38789
1.17714E-04	6.24333
1.20598E-04	6.1789
1.25708E-04	6.08408
1.32902E-04	5.95246
1.35286E-04	5.90935
1.36672E-04	5.88427
1.40162E-04	5.83248
1.48384E-04	5.71232
1.52364E-04	5.65417
1.61084E-04	5.52849
1.61302E-04	5.52535
1.65629E-04	5.46333
1.66063E-04	5.45715
1.72705E-04	5.3816
1.80293E-04	5.29619
1.85129E-04	5.24176
1.99872E-04	5.07783
2.00389E-04	5.07208
2.09844E-04	4.8943
2.19318E-04	4.71688
2.20000E-04	4.70412
2.20776E-04	4.6896
2.23547E-04	4.63776
2.29399E-04	4.5367
2.29782E-04	4.53007
2.35872E-04	4.4253
2.39286E-04	4.36656
2.39599E-04	4.36117
2.39685E-04	4.35973
2.40083E-04	4.35302
2.40482E-04	4.34632
2.40849E-04	4.34016
2.41014E-04	4.33743
2.41811E-04	4.32422
2.42874E-04	4.30662
2.43009E-04	4.30439
2.43691E-04	4.29417
2.44549E-04	4.28134
2.45692E-04	4.26425
2.46549E-04	4.25144
2.47407E-04	4.23865
2.48285E-04	4.22556
2.49205E-04	4.21187
2.50125E-04	4.19819
2.51045E-04	4.18453
2.51964E-04	4.17089
2.52884E-04	4.15727
2.54158E-04	4.13845
2.55113E-04	4.12436
2.56068E-04	4.1103
2.57342E-04	4.09161
2.57979E-04	4.08228
2.59011E-04	4.06719
2.60000E-04	4.05298
2.60754E-04	4.04256
2.60917E-04	4.04031
2.62420E-04	4.01991
2.63839E-04	4.00072
2.64165E-04	3.99632
2.64904E-04	3.98687
2.65968E-04	3.97327
2.67387E-04	3.95522
2.68844E-04	3.93677
2.69222E-04	3.93201
2.69592E-04	3.92738
2.71461E-04	3.90411
2.72582E-04	3.89022
2.74077E-04	3.87181
2.75187E-04	3.85822
2.76298E-04	3.84472
2.77779E-04	3.82683
2.79283E-04	3.80878
2.79360E-04	3.80817
2.79630E-04	3.80615
2.80000E-04	3.80332
2.80420E-04	3.80036
2.81218E-04	3.7946
2.82520E-04	3.78555
2.84871E-04	3.76939
2.86720E-04	3.75706
2.88890E-04	3.74286
2.89588E-04	3.73845
2.91739E-04	3.72507
2.93796E-04	3.71252
2.94342E-04	3.70934
2.96228E-04	3.69848
2.98227E-04	3.6872
2.99529E-04	3.68005
3.00000E-04	3.67737
3.01459E-04	3.66873
3.04232E-04	3.65245
3.05837E-04	3.64206
3.11037E-04	3.61052
3.15425E-04	3.58573
3.22069E-04	3.55201
3.24037E-04	3.54234
3.24325E-04	3.5414
3.30398E-04	3.52537
3.35079E-04	3.51586
3.42458E-04	3.50616
3.49057E-04	3.50327
3.50000E-04	3.50262
3.51852E-04	3.49878
3.54938E-04	3.4919
3.62414E-04	3.48117
3.74534E-04	3.47304
3.74689E-04	3.47411
3.75015E-04	3.47868
3.75251E-04	3.48197
3.75623E-04	3.48687
3.79049E-04	3.56868
3.79984E-04	3.60489
3.80000E-04	3.60592
3.80918E-04	3.66329
3.84968E-04	3.97937
3.88730E-04	4.30067
3.89984E-04	4.41517
3.90000E-04	4.41691
3.92492E-04	4.67874
3.93746E-04	4.82378
3.94216E-04	4.90255
3.94530E-04	4.97845
3.94843E-04	5.08312
3.95000E-04	5.15071
3.95077E-04	5.18399
3.95310E-04	5.30449
3.95502E-04	5.42346
3.95620E-04	5.49633
3.95930E-04	5.71993
3.96240E-04	5.96973
3.96705E-04	6.3832
3.97170E-04	6.83538
3.97637E-04	7.32713
3.98110E-04	7.86408
3.98582E-04	8.44325
3.99055E-04	9.0629
3.99843E-04	10.1636
4.00000E-04	10.3954
4.00787E-04	11.5544
4.01377E-04	12.4738
4.01967E-04	13.4552
4.02557E-04	14.515
4.03147E-04	15.6583
4.04074E-04	17.5108
4.04421E-04	18.1127
4.04653E-04	18.4397
4.04884E-04	18.6884
4.04938E-04	18.7229
4.05175E-04	18.8746
4.05438E-04	18.9228
4.05700E-04	18.8715
4.06050E-04	18.6874
4.06401E-04	18.4237
4.07054E-04	17.8663
4.07801E-04	17.2288
4.08465E-04	16.6974
4.08852E-04	16.388
4.09202E-04	16.0424
4.09464E-04	15.7184
4.09727E-04	15.3176
4.09989E-04	14.8284
4.10252E-04	14.2512
4.10515E-04	13.5995
4.10942E-04	12.441
4.11509E-04	10.8889
4.11849E-04	10.0178
4.12190E-04	9.2126
