E(MeV)	mcnp/Co-59:1			
1E-11	1916.962805			
1.15436E-11	1784.263833			
1.30872E-11	1675.781934			
1.61743E-11	1507.474989			
1.92615E-11	1381.472538			
2.23486E-11	1282.584326			
2.54358E-11	1202.302626			
2.85229E-11	1135.439439			
3.46973E-11	1029.586422			
4.08716E-11	948.7446495			
4.70459E-11	884.4055472			
5.32202E-11	831.6175827			
5.93945E-11	787.2934904			
7.17431E-11	716.4989919			
8.40918E-11	661.9477947			
9.64404E-11	618.2528681			
1.08789E-10	582.235264			
1.33486E-10	525.8526196			
1.58184E-10	483.2730462			
1.82881E-10	449.6547169			
2.07578E-10	422.2412718			
2.56973E-10	379.8195407			
3.06367E-10	348.1432799			
3.55762E-10	323.3304599			
4.05156E-10	303.2153814			
5.03945E-10	272.2798003			
6.02734E-10	249.320686			
7.01523E-10	231.4146724			
8.00313E-10	216.9471875			
9.97891E-10	194.7775837			
1.19547E-09	178.3820626			
1.39305E-09	165.623932			
1.59063E-09	155.3302552			
1.98578E-09	139.5741886			
2.38094E-09	127.9322583			
2.77609E-09	118.880026			
3.17125E-09	111.5823458			
3.96156E-09	100.4247392			
4.75188E-09	92.18969314			
5.54219E-09	85.78965579			
6.3325E-09	80.63026123			
7.91313E-09	72.7396189			
9.49375E-09	66.91583461			
1.10744E-08	62.39354684			
1.2655E-08	58.75050498			
1.58163E-08	53.1732542			
1.89775E-08	49.04480827			
2.21388E-08	45.83635862			
2.53E-08	43.25702081			
2.924E-08	40.65924105			
3.31799E-08	38.54687507			
4.10598E-08	35.26122662			
4.89398E-08	32.78688863			
5.68197E-08	30.84910037			
6.46996E-08	29.28502897			
7.25795E-08	27.99464349			
8.83394E-08	25.94285665			
1.04099E-07	24.36241451			
1.19859E-07	23.10745323			
1.35619E-07	22.08141528			
1.51379E-07	21.23078964			
1.82898E-07	19.86364599			
2.14418E-07	18.80043343			
2.45938E-07	17.9509414			
2.77458E-07	17.26011202			
3.40497E-07	16.17250306			
4.03536E-07	15.34418738			
4.66576E-07	14.69169669			
5.29615E-07	14.16528031			
6.55694E-07	13.34793182			
7.81773E-07	12.73399958			
9.07851E-07	12.25429753			
1.03393E-06	11.86865762			
1.28609E-06	11.27502142			
1.53825E-06	10.8332479			
1.7904E-06	10.48992894			
2.04256E-06	10.21467746			
2.54688E-06	9.793898029			
3.05119E-06	9.483553839			
3.55551E-06	9.244085286			
4.05982E-06	9.053304132			
5.06845E-06	8.765441929			
6.07708E-06	8.557626399			
