E(MeV)	Cr-nat			
1.00000E-11	190.493			
1.10304E-11	181.4			
1.21669E-11	172.744			
1.34205E-11	164.503			
1.48034E-11	156.658			
1.63287E-11	149.189			
1.80111E-11	142.079			
1.98669E-11	135.311			
2.19139E-11	128.869			
2.41719E-11	122.736			
2.66625E-11	116.898			
2.94097E-11	111.341			
3.24400E-11	106.052			
3.57825E-11	101.018			
3.94694E-11	96.2315			
3.97479E-11	95.9107			
4.35362E-11	91.6751			
4.41505E-11	91.0659			
4.80221E-11	87.3381			
4.90431E-11	86.4664			
5.29701E-11	83.2102			
5.44753E-11	82.1038			
5.84280E-11	79.2815			
6.05121E-11	77.9628			
6.44483E-11	75.5427			
6.72147E-11	74.0358			
7.10888E-11	71.9848			
7.46633E-11	70.3089			
7.84136E-11	68.5994			
8.29332E-11	66.7755			
8.64931E-11	65.3784			
9.21237E-11	63.4227			
9.54051E-11	62.314			
1.02328E-10	60.2446			
1.05235E-10	59.399			
1.13667E-10	57.2299			
1.16078E-10	56.6263			
1.26258E-10	54.373			
1.28039E-10	53.9892			
1.40249E-10	51.6638			
1.41232E-10	51.4815			
1.55784E-10	49.0971			
1.71835E-10	46.8346			
1.73047E-10	46.6833			
1.89540E-10	44.6836			
1.92214E-10	44.3966			
2.09070E-10	42.6405			
2.15011E-10	42.0929			
2.30612E-10	40.6977			
2.40511E-10	39.9149			
2.54374E-10	38.8507			
2.69035E-10	37.8563			
2.80583E-10	37.0953			
3.00943E-10	35.9108			
3.09494E-10	35.4272			
3.36634E-10	34.0731			
3.41383E-10	33.8427			
3.76558E-10	32.339			
3.79215E-10	32.2386			
4.15358E-10	30.9159			
4.27160E-10	30.5346			
4.58155E-10	29.5635			
4.81192E-10	28.9269			
5.05362E-10	28.2791			
5.45854E-10	27.323			
5.57433E-10	27.0577			
6.14869E-10	25.8997			
6.19206E-10	25.8226			
6.78223E-10	24.8071			
7.07336E-10	24.366			
7.48105E-10	23.7675			
8.08048E-10	22.9938			
8.25188E-10	22.7791			
9.10213E-10	21.8444			
9.29565E-10	21.6573			
1.00400E-09	20.9608			
1.07685E-09	20.3623			
1.10745E-09	20.1186			
1.22156E-09	19.3224			
1.25627E-09	19.1097			
1.34742E-09	18.5694			
1.47592E-09	17.902			
1.48625E-09	17.8499			
1.63939E-09	17.1757			
1.75835E-09	16.717			
1.80831E-09	16.5304			
1.99463E-09	15.9227			
2.12448E-09	15.552			
2.20015E-09	15.343			
2.42685E-09	14.7963			
2.60294E-09	14.4251			
2.67691E-09	14.2742			
2.95273E-09	13.7834			
3.25697E-09	13.311			
3.59256E-09	12.8713			
3.96272E-09	12.4487			
4.19113E-09	12.2211			
