E(MeV)	pendfb7/Cs133:1
1.00000E-11	1471.53189
1.02999E-11	1449.96039
1.06087E-11	1428.71204
1.09269E-11	1407.76563
1.12544E-11	1387.13936
1.15920E-11	1366.80395
1.19395E-11	1346.77756
1.22976E-11	1327.03446
1.26662E-11	1307.59138
1.30462E-11	1288.42087
1.34372E-11	1269.54664
1.38403E-11	1250.93529
1.42552E-11	1232.61012
1.46827E-11	1214.5431
1.51229E-11	1196.74957
1.55765E-11	1179.2062
1.60434E-11	1161.93369
1.65246E-11	1144.90259
1.70199E-11	1128.13208
1.75304E-11	1111.59857
1.80559E-11	1095.31523
1.85975E-11	1079.26248
1.91550E-11	1063.4545
1.97295E-11	1047.87003
2.03209E-11	1032.52208
2.09305E-11	1017.38989
2.15579E-11	1002.49094
2.22045E-11	987.800358
2.28701E-11	973.334877
2.35561E-11	959.071935
2.42622E-11	945.02844
2.49899E-11	931.18206
2.57390E-11	917.54691
2.65110E-11	904.104471
2.73057E-11	890.866298
2.81247E-11	877.815836
2.89678E-11	864.963305
2.98367E-11	852.292338
3.07311E-11	839.815834
3.08613E-11	838.07722
3.16528E-11	827.515181
3.19212E-11	824.087105
3.26017E-11	815.401448
3.30174E-11	810.322291
3.35795E-11	803.458976
3.41512E-11	796.777505
3.45861E-11	791.698204
3.53241E-11	783.448066
3.56235E-11	780.103272
3.65371E-11	770.333362
3.66913E-11	768.685452
3.77919E-11	757.428184
3.89247E-11	746.344202
3.90897E-11	744.79894
4.00923E-11	735.415718
4.04321E-11	732.371701
4.12941E-11	724.654868
4.18206E-11	720.143048
4.25327E-11	714.044808
4.32568E-11	708.109398
4.38076E-11	703.597509
4.47423E-11	696.268941
4.51216E-11	693.296974
4.62788E-11	684.618259
4.64742E-11	683.153764
4.78681E-11	673.153649
4.93030E-11	663.306775
4.95120E-11	661.933986
5.07818E-11	653.599078
5.12123E-11	650.894269
5.23041E-11	644.039122
5.29710E-11	640.031032
5.38729E-11	634.614176
5.47901E-11	629.341384
5.54878E-11	625.333089
5.66717E-11	618.822941
5.71521E-11	616.182993
5.86179E-11	608.472862
5.88653E-11	607.172378
6.06310E-11	598.288676
6.24484E-11	589.541982
6.27131E-11	588.32264
6.43215E-11	580.918473
6.48668E-11	578.51564
6.62496E-11	572.426441
6.70944E-11	568.865828
6.82368E-11	564.054068
6.93985E-11	559.370475
7.02822E-11	555.810008
7.17818E-11	550.027041
7.23903E-11	547.681975
7.42469E-11	540.833505
7.45603E-11	539.678202
7.67967E-11	531.787141
7.90987E-11	524.017689
7.94340E-11	522.934518
8.14712E-11	516.35778
8.21619E-11	514.223461
8.39134E-11	508.814724
8.49834E-11	505.652144
8.64304E-11	501.378046
8.79019E-11	497.21779
8.90212E-11	494.055318
9.09206E-11	488.91874
