TOF,usX	Sigma,barn
0	5466
0.04	5440.85
0.08	5415.78
0.12	5390.78
0.16	5365.86
0.2	5341.02
0.24	5316.26
0.28	5291.57
0.32	5266.96
0.36	5242.42
0.4	5217.96
0.44	5193.58
0.48	5169.27
0.52	5145.04
0.56	5120.89
0.6	5096.81
0.64	5072.8
0.68	5048.88
0.72	5025.02
0.76	5001.25
0.8	4977.55
0.84	4953.92
0.88	4930.37
0.92	4906.89
0.96	4883.49
1	4860.16
1.04	4836.91
1.08	4813.73
1.12	4790.62
1.16	4767.6
1.2	4744.64
1.24	4721.76
1.28	4698.95
1.32	4676.21
1.36	4653.55
1.4	4630.96
1.44	4608.45
1.48	4586.01
1.52	4563.64
1.56	4541.34
1.6	4519.12
1.64	4496.97
1.68	4474.89
1.72	4452.89
1.76	4430.95
1.8	4409.09
1.84	4387.3
1.88	4365.59
1.92	4343.94
1.96	4322.37
2	4300.87
2.04	4279.44
2.08	4258.08
2.12	4236.8
2.16	4215.58
2.2	4194.43
2.24	4173.36
2.28	4152.36
2.32	4131.43
2.36	4110.56
2.4	4089.77
2.44	4069.05
2.48	4048.4
2.52	4027.82
2.56	4007.31
2.6	3986.87
2.64	3966.5
2.68	3946.19
2.72	3925.96
2.76	3905.8
2.8	3885.71
2.84	3865.68
2.88	3845.72
2.92	3825.84
2.96	3806.02
3	3786.27
3.04	3766.59
3.08	3746.98
3.12	3727.43
3.16	3707.96
3.2	3688.55
3.24	3669.21
3.28	3649.94
3.32	3630.73
3.36	3611.6
3.4	3592.53
3.44	3573.53
3.48	3554.59
3.52	3535.72
3.56	3516.92
3.6	3498.19
3.64	3479.52
3.68	3460.92
3.72	3442.39
3.76	3423.92
3.8	3405.52
3.84	3387.18
3.88	3368.91
3.92	3350.71
3.96	3332.57
4	3314.5
4.04	3296.5
4.08	3278.56
4.12	3260.68
4.16	3242.87
4.2	3225.12
4.24	3207.44
4.28	3189.83
4.32	3172.28
4.36	3154.79
4.4	3137.37
4.44	3120.01
4.48	3102.72
4.52	3085.49
4.56	3068.33
4.6	3051.23
4.64	3034.19
4.68	3017.22
4.72	3000.31
4.76	2983.46
4.8	2966.68
4.84	2949.96
4.88	2933.3
4.92	2916.7
4.96	2900.17
5	2883.7
5.04	2867.3
5.08	2850.95
5.12	2834.67
5.16	2818.45
5.2	2802.3
5.24	2786.2
