MeV	Eu-nat	
1.00000E-11	293049	
1.10304E-11	279025	
1.11082E-11	278111	
1.21669E-11	265673	
1.23386E-11	263932	
1.34205E-11	252959	
1.35152E-11	252130	
1.37059E-11	250461	
1.48034E-11	240854	
1.50122E-11	239276	
1.52240E-11	237676	
1.63287E-11	229328	
1.66758E-11	227064	
1.70296E-11	224756	
1.80111E-11	218354	
1.82652E-11	216923	
1.85229E-11	215472	
1.90492E-11	212509	
1.98669E-11	207904	
2.04314E-11	205161	
2.05155E-11	204752	
2.13085E-11	200897	
2.19139E-11	197955	
2.27879E-11	194288	
2.28546E-11	194008	
2.38356E-11	189892	
2.41719E-11	188481	
2.53132E-11	184348	
2.55651E-11	183436	
2.66625E-11	179461	
2.81170E-11	174914	
2.85971E-11	173413	
2.94097E-11	170873	
3.00350E-11	169185	
3.12328E-11	165953	
3.19887E-11	163913	
3.24400E-11	162695	
3.38325E-11	159451	
3.46923E-11	157448	
3.57825E-11	154909	
3.81119E-11	150224	
3.85368E-11	149370	
3.94694E-11	147495	
4.00263E-11	146528	
4.28053E-11	141704	
4.29306E-11	141487	
4.35362E-11	140435	
4.54050E-11	137635	
4.75488E-11	134423	
4.80221E-11	133714	
4.86996E-11	132838	
5.15065E-11	129207	
5.28155E-11	127514	
5.29701E-11	127314	
5.52438E-11	124775	
5.84280E-11	121220	
5.86684E-11	120988	
6.31096E-11	116708	
6.44483E-11	115418	
6.51667E-11	114820	
6.62796E-11	113894	
7.10888E-11	109893	
7.26003E-11	108808	
7.28954E-11	108596	
7.62470E-11	106189	
7.84136E-11	104633	
8.15407E-11	102694	
8.35182E-11	101468	
8.64931E-11	99623.8	
8.77133E-11	98970.8	
9.12114E-11	97098.7	
9.14784E-11	96955.8	
9.54051E-11	94854.4	
1.02029E-10	91794.3	
1.05235E-10	90313.2	
1.06720E-10	89721	
1.14129E-10	86766.4	
1.16078E-10	85989.2	
1.24501E-10	83089.8	
1.25379E-10	82787.6	
1.28039E-10	81871.9	
1.28566E-10	81715.3	
1.41232E-10	77951.5	
1.44821E-10	77030.9	
1.47294E-10	76396.5	
1.48333E-10	76130	
1.55784E-10	74218.6	
1.63139E-10	72589.8	
1.71835E-10	70664.1	
1.76718E-10	69730.7	
1.77964E-10	69492.5	
1.85062E-10	68135.6	
1.89540E-10	67279.6	
2.09070E-10	64056.8	
2.09930E-10	63934.3	
2.12020E-10	63636.5	
2.15011E-10	63210.4	
2.30612E-10	60988	
2.39809E-10	59857	
2.54374E-10	58065.9	
2.57962E-10	57684.9	
2.61602E-10	57298.5	
2.73953E-10	55987.2	
2.80583E-10	55283.3	
3.09494E-10	52633.7	
3.13860E-10	52288.3	
3.15152E-10	52186.1	
3.18288E-10	51937.9	
3.41383E-10	50110.7	
3.65085E-10	48491.7	
3.76558E-10	47708	
3.81871E-10	47394.7	
3.87258E-10	47077.1	
4.15358E-10	45420.1	
4.25914E-10	44882.7	
4.58155E-10	43241.3	
4.67896E-10	42813.2	
5.00382E-10	41385.3	
5.05362E-10	41166.5	
5.49678E-10	39484.8	
5.57433E-10	39190.5	
5.61365E-10	39061.7	
5.96135E-10	37922.5	
6.14869E-10	37308.7	
6.50309E-10	36306.2	
6.68788E-10	35783.5	
6.78223E-10	35516.6	
7.18110E-10	34542.3	
7.48105E-10	33809.7	
7.69363E-10	33361.4	
7.85721E-10	33016.4	
8.25188E-10	32184	
8.79837E-10	31188.7	
8.97550E-10	30866.2	
9.10213E-10	30635.5	
9.16633E-10	30534.6	
1.00400E-09	29160.6	
1.03253E-09	28773.1	
1.06187E-09	28374.6	
1.10091E-09	27844.3	
1.10745E-09	27755.5	
1.18780E-09	26812.9	
1.22156E-09	26417	
1.34742E-09	25141.7	
1.39548E-09	24721	
1.41667E-09	24535.6	
1.48625E-09	23926.5	
1.52849E-09	23607.2	
1.59410E-09	23111.1	
1.63939E-09	22768.6	
1.73389E-09	22151.2	
1.80831E-09	21664.9	
1.87480E-09	21289.5	
1.96689E-09	20769.6	
1.99463E-09	20612.9	
2.03704E-09	20406	
2.20015E-09	19609.9	
2.29460E-09	19211.5	
2.42685E-09	18653.5	
2.46109E-09	18528.6	
2.56673E-09	18143.1	
2.60583E-09	18000.5	
2.67691E-09	17741.1	
2.75297E-09	17501.1	
2.87114E-09	17128.1	
2.95273E-09	16870.6	
3.03663E-09	16641.5	
3.18932E-09	16224.5	
3.25697E-09	16039.8	
3.34952E-09	15821	
3.51794E-09	15422.8	
3.59256E-09	15246.4	
3.69464E-09	15037.4	
3.85323E-09	14712.7	
3.88452E-09	14648.6	
3.96272E-09	14488.5	
4.01863E-09	14389.3	
4.19113E-09	14083.2	
