E(MeV)	"F-19(N,TOT)"
1.00000E-11	48.1851
1.10304E-11	45.891
1.21669E-11	43.7072
1.34206E-11	41.6286
1.48034E-11	39.65
1.63287E-11	37.7668
1.80111E-11	35.9744
1.98669E-11	34.2685
2.19139E-11	32.6451
2.41719E-11	31.1001
2.66625E-11	29.6299
2.94097E-11	28.2309
3.24400E-11	26.8999
3.57825E-11	25.6335
3.94694E-11	24.4287
4.35362E-11	23.2827
4.80221E-11	22.1926
5.29701E-11	21.1559
5.84280E-11	20.1701
6.44483E-11	19.2327
7.10888E-11	18.3416
7.84136E-11	17.4945
8.64931E-11	16.6895
9.54051E-11	15.9245
1.05235E-10	15.2017
1.05978E-10	15.1472
1.16078E-10	14.5144
1.17716E-10	14.412
1.28039E-10	13.8612
1.30762E-10	13.7161
1.41231E-10	13.2404
1.45245E-10	13.0583
1.55784E-10	12.6508
1.61341E-10	12.4362
1.71835E-10	12.0909
1.79211E-10	11.8485
1.89540E-10	11.5595
1.99071E-10	11.2932
2.09070E-10	11.0553
2.21120E-10	10.7691
2.30612E-10	10.5773
2.45625E-10	10.2743
2.54374E-10	10.1242
2.72831E-10	9.80792
2.80584E-10	9.695
3.03066E-10	9.3681
3.09494E-10	9.2887
3.36634E-10	8.95406
3.41383E-10	8.90435
3.73939E-10	8.56419
3.76558E-10	8.54099
4.15358E-10	8.19776
4.58155E-10	7.87751
4.61387E-10	7.85336
5.05362E-10	7.57528
5.12492E-10	7.53027
5.57433E-10	7.29172
5.73273E-10	7.20778
6.14869E-10	7.02371
6.41262E-10	6.90711
6.78223E-10	6.77095
7.17315E-10	6.62719
7.48105E-10	6.53291
8.02387E-10	6.367
8.25188E-10	6.30907
8.97550E-10	6.12556
9.10213E-10	6.09907
1.00400E-09	5.90324
1.01108E-09	5.88848
1.10745E-09	5.72412
1.13892E-09	5.67054
1.22155E-09	5.55566
1.28298E-09	5.47044
1.34742E-09	5.39806
1.45538E-09	5.27703
1.48625E-09	5.24926
1.63939E-09	5.11177
1.65096E-09	5.1014
1.80831E-09	4.98929
1.88593E-09	4.9341
1.99463E-09	4.87321
2.15446E-09	4.78389
2.20016E-09	4.76396
2.42685E-09	4.66534
2.47845E-09	4.64294
2.67691E-09	4.57683
2.87114E-09	4.51228
2.95273E-09	4.4918
3.25697E-09	4.41567
3.34952E-09	4.39256
3.59256E-09	4.34752
3.93516E-09	4.28421
3.96272E-09	4.28049
4.37103E-09	4.22554
4.65558E-09	4.18737
4.82141E-09	4.17148
5.31819E-09	4.12406
5.58560E-09	4.09861
5.86616E-09	4.0801
6.47059E-09	4.04036
6.79594E-09	4.01904
7.13730E-09	4.00406
7.87271E-09	3.97193
8.44395E-09	3.94707
8.68389E-09	3.94039
9.57865E-09	3.91563
1.05656E-08	3.88844
1.07902E-08	3.88228
1.16543E-08	3.86792
1.28551E-08	3.84808
1.41796E-08	3.8263
1.56406E-08	3.81274
1.72522E-08	3.79788
1.90298E-08	3.78157
1.94344E-08	3.77788
2.09906E-08	3.76971
2.31534E-08	3.75844
2.52419E-08	3.74762
2.53000E-08	3.74739
2.79068E-08	3.74049
3.07823E-08	3.73295
3.39540E-08	3.72469
3.74525E-08	3.71565
3.90601E-08	3.71152
4.13115E-08	3.70923
4.55681E-08	3.70496
5.02633E-08	3.70029
5.54423E-08	3.6952
6.11549E-08	3.68964
6.74561E-08	3.68354
6.79319E-08	3.68309
7.44066E-08	3.68123
8.20732E-08	3.67907
9.05297E-08	3.67673
9.98577E-08	3.67419
1.10147E-07	3.67142
1.21496E-07	3.6684
1.34014E-07	3.6651
1.45766E-07	3.66204
1.47823E-07	3.66194
1.63054E-07	3.66125
1.79855E-07	3.66052
1.98386E-07	3.65974
2.18827E-07	3.6589
2.41375E-07	3.65801
2.66245E-07	3.65704
2.93678E-07	3.656
3.23938E-07	3.65487
3.57316E-07	3.65365
3.94132E-07	3.65232
4.34743E-07	3.65087
4.79537E-07	3.64929
5.10755E-07	3.6482
5.28947E-07	3.64816
5.83448E-07	3.64805
6.43565E-07	3.64795
7.09876E-07	3.64785
7.83020E-07	3.64775
8.63700E-07	3.64765
9.52693E-07	3.64756
1.05086E-06	3.64747
1.15913E-06	3.64738
1.27857E-06	3.6473
1.41030E-06	3.64721
1.55562E-06	3.64713
1.72801E-06	3.64704
1.90606E-06	3.64695
2.10245E-06	3.64687
2.31908E-06	3.64679
2.55803E-06	3.6467
2.82161E-06	3.64661
3.11233E-06	3.64652
3.43302E-06	3.64643
3.76022E-06	3.64635
4.11881E-06	3.64625
4.51138E-06	3.64616
4.97622E-06	3.64605
5.45077E-06	3.64595
5.97029E-06	3.64584
6.58545E-06	3.64571
7.21347E-06	3.64559
7.90099E-06	3.64545
8.71508E-06	3.6453
9.47932E-06	3.64516
1.04560E-05	3.64498
1.15334E-05	3.64479
1.27218E-05	3.64458
1.38374E-05	3.64439
1.51569E-05	3.64417
1.64861E-05	3.64394
1.78062E-05	3.64372
1.95042E-05	3.64344
2.15139E-05	3.64311
2.37306E-05	3.64274
2.61757E-05	3.64235
2.90751E-05	3.64188
3.14047E-05	3.6415
3.20709E-05	3.64149
3.48832E-05	3.64147
3.79422E-05	3.64145
4.15605E-05	3.64142
4.61639E-05	3.64139
5.12797E-05	3.64136
5.57765E-05	3.64133
6.10925E-05	3.6413
6.73873E-05	3.64127
7.32966E-05	3.64123
8.08489E-05	3.64119
8.98084E-05	3.64115
9.83681E-05	3.6411
1.08504E-04	3.64106
1.18851E-04	3.64101
1.31097E-04	3.64095
1.43592E-04	3.64089
1.55097E-04	3.64084
1.72276E-04	3.64076
1.91368E-04	3.64068
2.11086E-04	3.64059
2.36120E-04	3.64048
2.60449E-04	3.64038
2.89298E-04	3.64025
3.16886E-04	3.64013
3.49537E-04	3.64
3.82852E-04	3.63985
4.19362E-04	3.6397
4.62572E-04	3.63952
5.13808E-04	3.6393
5.62807E-04	3.6391
6.16448E-04	3.63887
6.75236E-04	3.63863
7.49953E-04	3.63831
8.27226E-04	3.63799
9.06114E-04	3.63766
9.99477E-04	3.63727
1.13368E-03	3.63671
1.26574E-03	3.63617
1.45609E-03	3.63538
1.65176E-03	3.63456
1.84675E-03	3.63376
2.00869E-03	3.63308
2.32695E-03	3.63176
2.69625E-03	3.63023
3.02116E-03	3.62889
3.72768E-03	3.62596
4.02822E-03	3.62472
5.00000E-03	3.6207
6.04114E-03	3.61639
7.04768E-03	3.61222
8.05643E-03	3.60805
8.57043E-03	3.60592
9.06349E-03	3.60388
1.00000E-02	3.60001
1.10000E-02	3.59587
1.27435E-02	3.58867
1.60090E-02	3.58172
1.90000E-02	3.59171
1.92681E-02	3.59262
2.09947E-02	3.61708
2.10316E-02	3.61761
2.11055E-02	3.61866
2.18958E-02	3.64635
2.19344E-02	3.6477
2.20115E-02	3.65041
2.30000E-02	3.71366
2.33245E-02	3.74973
2.33553E-02	3.75737
2.33656E-02	3.75992
2.38204E-02	3.87287
2.45643E-02	4.06646
2.45720E-02	4.06847
2.45937E-02	4.08272
2.49593E-02	4.32317
2.50000E-02	4.34992
2.51369E-02	4.48762
2.51460E-02	4.49681
2.51903E-02	4.57048
2.55457E-02	5.16097
2.55570E-02	5.19151
2.55682E-02	5.22209
2.58714E-02	6.32697
2.58823E-02	6.36656
2.58850E-02	6.3827
2.58931E-02	6.43115
2.59040E-02	6.52584
2.59474E-02	6.9047
2.61971E-02	9.12804
2.62053E-02	9.228
2.62080E-02	9.26136
2.62140E-02	9.37026
2.62200E-02	9.47925
2.62320E-02	9.73516
2.63880E-02	13.0623
2.64000E-02	13.3565
2.64125E-02	13.7403
2.64375E-02	14.6012
2.64500E-02	15.0857
2.64813E-02	16.4608
2.64875E-02	16.7358
2.64938E-02	17.0344
2.65000E-02	17.3331
