E(MeV)	Fe-nat
1.000000E-11	216.302
1.103040E-11	206.014
1.216690E-11	196.221
1.342050E-11	186.9
1.480340E-11	178.028
1.632870E-11	169.584
1.801110E-11	161.549
1.986690E-11	153.901
2.191390E-11	146.624
2.417190E-11	139.699
2.666250E-11	133.11
2.940970E-11	126.841
3.244000E-11	120.877
3.578250E-11	115.216
3.603490E-11	114.823
3.946940E-11	109.828
4.002630E-11	109.085
4.353620E-11	104.702
4.446190E-11	103.642
4.802210E-11	99.8247
4.938660E-11	98.4844
5.297010E-11	95.1855
5.485960E-11	93.593
5.842800E-11	90.7731
6.093600E-11	88.9594
6.444830E-11	86.5771
6.768880E-11	84.5668
7.108880E-11	82.5876
7.518620E-11	80.4073
7.841360E-11	78.7952
8.351820E-11	76.4657
8.649310E-11	75.1907
9.276900E-11	72.7349
9.540510E-11	71.7657
1.030490E-10	69.2013
1.052350E-10	68.5121
1.144640E-10	65.8583
1.160780E-10	65.4219
1.271480E-10	62.6941
1.280390E-10	62.4876
1.412320E-10	59.7024
1.557840E-10	57.0709
1.568830E-10	56.8891
1.718350E-10	54.5739
1.742590E-10	54.2308
1.895400E-10	52.2095
1.949260E-10	51.5589
2.090700E-10	49.9644
2.180440E-10	49.0417
2.306120E-10	47.8344
2.439040E-10	46.6713
2.543740E-10	45.8145
2.728310E-10	44.4404
2.805830E-10	43.9001
3.051880E-10	42.342
3.094940E-10	42.087
3.413830E-10	40.3736
3.437910E-10	40.2557
3.765580E-10	38.7652
3.872580E-10	38.3223
4.153580E-10	37.2403
4.362430E-10	36.51
4.581550E-10	35.7971
4.948650E-10	34.7149
5.053620E-10	34.4269
5.574330E-10	33.1354
5.613650E-10	33.0468
6.148690E-10	31.9321
6.412620E-10	31.4341
6.782230E-10	30.7881
7.325660E-10	29.9304
7.481050E-10	29.7028
8.251880E-10	28.6863
8.427330E-10	28.4771
9.102130E-10	27.7354
9.762570E-10	27.0815
1.004000E-09	26.8276
1.107450E-09	25.9784
1.138920E-09	25.7456
1.221560E-09	25.1834
1.338050E-09	24.4726
1.347420E-09	24.4197
1.486250E-09	23.7204
1.583010E-09	23.2837
1.639390E-09	23.0491
1.808310E-09	22.4226
1.899240E-09	22.1208
1.994630E-09	21.8298
2.200150E-09	21.272
2.310780E-09	21.0039
2.426850E-09	20.7457
2.676910E-09	20.2522
2.871140E-09	19.9109
2.952730E-09	19.7794
3.256970E-09	19.3457
3.592560E-09	18.9214
3.668940E-09	18.8355
3.962720E-09	18.5343
4.371030E-09	18.1647
4.821410E-09	17.8038
5.318190E-09	17.4826
5.866160E-09	17.1707
6.470590E-09	16.8669
6.608170E-09	16.8057
7.137300E-09	16.5919
7.872710E-09	16.3312
8.683890E-09	16.0785
9.578650E-09	15.8329
9.646220E-09	15.8166
1.056560E-08	15.6149
1.165430E-08	15.4063
1.285510E-08	15.2047
1.417960E-08	15.0097
1.531580E-08	14.8626
1.564060E-08	14.824
1.725220E-08	14.6576
1.902980E-08	14.4975
2.099060E-08	14.3432
2.315340E-08	14.1942
2.524190E-08	14.0671
2.530000E-08	14.064
2.790680E-08	13.9368
3.078230E-08	13.815
3.395400E-08	13.6982
3.745250E-08	13.5861
4.131150E-08	13.4783
4.556810E-08	13.3747
5.026330E-08	13.2749
5.544230E-08	13.1786
5.701770E-08	13.153
6.115490E-08	13.0922
6.745610E-08	13.0122
7.440660E-08	12.9358
8.207320E-08	12.8627
9.052970E-08	12.7929
9.985770E-08	12.7262
1.101470E-07	12.6625
1.214960E-07	12.6015
1.340140E-07	12.5431
1.478230E-07	12.4872
1.630540E-07	12.4333
1.798550E-07	12.3816
1.983860E-07	12.3319
2.188270E-07	12.2841
2.282210E-07	12.265
2.430770E-07	12.2377
2.681230E-07	12.1981
2.957500E-07	12.1605
3.285080E-07	12.1221
3.623570E-07	12.088
3.996930E-07	12.0556
4.408760E-07	12.0248
4.897330E-07	11.9934
5.364100E-07	11.9674
5.958540E-07	11.939
6.618520E-07	11.9119
7.300480E-07	11.8879
8.052700E-07	11.8651
8.882420E-07	11.8433
9.797640E-07	11.8225
1.080720E-06	11.8028
1.217410E-06	11.7801
1.342850E-06	11.7624
1.491590E-06	11.7444
1.668490E-06	11.726
1.827610E-06	11.712
2.001800E-06	11.6985
2.192700E-06	11.6856
2.401690E-06	11.6733
2.612290E-06	11.6623
2.942720E-06	11.6476
3.314780E-06	11.6337
3.630890E-06	11.6236
3.949290E-06	11.6147
4.325700E-06	11.6054
4.672300E-06	11.5979
5.153720E-06	11.5886
5.644920E-06	11.5805
6.054520E-06	11.5744
6.678360E-06	11.5661
7.263990E-06	11.5594
7.846030E-06	11.5535
8.654460E-06	11.5461
9.413380E-06	11.5401
1.060360E-05	11.5317
1.161480E-05	11.5254
1.254480E-05	11.5203
1.354990E-05	11.5153
1.494610E-05	11.5092
1.625670E-05	11.5041
1.768230E-05	11.4991
1.909820E-05	11.4947
2.048390E-05	11.4908
2.228020E-05	11.4862
2.406540E-05	11.4821
2.635910E-05	11.4773
2.867060E-05	11.4729
3.118470E-05	11.4686
3.415860E-05	11.464
3.767820E-05	11.4591
4.069520E-05	11.4552
4.457610E-05	11.4506
4.814540E-05	11.4467
5.273680E-05	11.4421
5.695960E-05	11.4381
6.239150E-05	11.4333
6.786270E-05	11.4288
7.537940E-05	11.423
8.141920E-05	11.4186
8.793870E-05	11.4141
9.768380E-05	11.4076
1.069940E-04	11.4017
1.171980E-04	11.3955
1.301790E-04	11.388
1.406090E-04	11.3821
1.529400E-04	11.3753
1.540110E-04	11.3747
1.572860E-04	11.3308
1.722760E-04	11.2822
1.873840E-04	11.2336
2.009800E-04	11.1899
2.096070E-04	11.1624
2.140640E-04	11.1483
2.163520E-04	11.1411
2.186410E-04	11.134
2.200910E-04	11.1296
2.214650E-04	11.1255
2.224940E-04	11.1226
2.231760E-04	11.1208
2.238580E-04	11.1191
2.243700E-04	11.118
2.248820E-04	11.117
2.253550E-04	11.1163
2.256710E-04	11.1159
2.259870E-04	11.1157
2.262720E-04	11.1158
2.265280E-04	11.116
2.267420E-04	11.1164
2.269120E-04	11.1168
2.270830E-04	11.1175
2.272530E-04	11.1183
2.273810E-04	11.1192
2.275090E-04	11.1201
2.276370E-04	11.1214
2.277650E-04	11.1228
2.278930E-04	11.1246
2.280210E-04	11.1267
2.281060E-04	11.1284
2.281920E-04	11.1303
2.282770E-04	11.1324
2.283620E-04	11.1348
2.284480E-04	11.1374
2.285330E-04	11.1404
2.286180E-04	11.1437
2.287030E-04	11.1474
2.287890E-04	11.1514
2.288740E-04	11.1558
2.290020E-04	11.1629
2.291730E-04	11.1731
2.293860E-04	11.1863
2.295140E-04	11.1935
2.296100E-04	11.1982
2.296840E-04	11.2014
2.297700E-04	11.2042
2.298550E-04	11.2061
2.299400E-04	11.2071
2.299980E-04	11.2071
2.300790E-04	11.2064
2.301450E-04	11.2051
2.302300E-04	11.2026
2.303160E-04	11.1991
2.304010E-04	11.1949
2.304860E-04	11.1901
2.306140E-04	11.182
2.309550E-04	11.1589
2.310830E-04	11.1508
2.311690E-04	11.1458
2.312540E-04	11.1411
2.313390E-04	11.1367
2.314250E-04	11.1327
2.315100E-04	11.129
2.315950E-04	11.1256
2.316800E-04	11.1226
2.317660E-04	11.1198
2.318510E-04	11.1173
2.319360E-04	11.115
2.320220E-04	11.1129
2.321500E-04	11.1101
2.322780E-04	11.1076
2.324050E-04	11.1054
2.325330E-04	11.1035
2.326610E-04	11.1017
2.328320E-04	11.0997
2.330030E-04	11.0978
2.331730E-04	11.0962
2.333780E-04	11.0945
2.335830E-04	11.0929
2.338380E-04	11.0911
2.340940E-04	11.0895
2.343820E-04	11.0879
2.347340E-04	11.086
2.352030E-04	11.0838
