E(MeV)	"GA-71(N,TOT)"
1.00000E-11	273.65
1.10304E-11	260.588
1.21669E-11	248.152
1.34206E-11	236.313
1.48034E-11	225.043
1.63287E-11	214.313
1.80111E-11	204.099
1.98669E-11	194.375
2.19139E-11	185.119
2.41719E-11	176.308
2.66625E-11	167.921
2.94097E-11	159.943
2.96172E-11	159.413
3.24400E-11	152.348
3.28977E-11	151.34
3.57825E-11	145.119
3.65434E-11	143.675
3.94694E-11	138.237
4.05910E-11	136.403
4.35362E-11	131.687
4.50892E-11	129.499
4.80221E-11	125.452
5.00834E-11	122.951
5.29701E-11	119.518
5.56336E-11	116.734
5.84280E-11	113.871
6.17957E-11	110.838
6.44483E-11	108.497
6.86438E-11	105.243
7.10888E-11	103.383
7.62470E-11	99.937
7.84136E-11	98.5174
8.46966E-11	94.9019
8.64931E-11	93.8879
9.40778E-11	90.1288
9.54051E-11	89.4835
1.04504E-10	85.6
1.05235E-10	85.2937
1.16078E-10	81.3084
1.28039E-10	77.5231
1.28942E-10	77.2717
1.41231E-10	73.923
1.43224E-10	73.4457
1.55784E-10	70.5011
1.60210E-10	69.5894
1.71835E-10	67.246
1.79211E-10	65.9404
1.89540E-10	64.1502
2.00465E-10	62.4885
2.09070E-10	61.2064
2.24240E-10	59.2238
2.30612E-10	58.4075
2.50835E-10	56.1366
2.54374E-10	55.7471
2.80584E-10	53.22
2.82563E-10	53.0524
3.09494E-10	50.8242
3.18288E-10	50.186
3.41383E-10	48.5462
3.58549E-10	47.478
3.76558E-10	46.3812
4.06731E-10	44.7722
4.15358E-10	44.3217
4.58155E-10	42.3667
4.61387E-10	42.2373
5.05362E-10	40.5172
5.27054E-10	39.7744
5.57433E-10	38.7571
6.02098E-10	37.4492
6.14869E-10	37.083
6.78223E-10	35.4967
6.92644E-10	35.1808
7.48105E-10	33.9939
8.02387E-10	32.979
8.25188E-10	32.562
9.10213E-10	31.2054
9.36077E-10	30.8449
1.00400E-09	29.9198
1.09974E-09	28.7824
1.10745E-09	28.6928
1.22155E-09	27.5374
1.31019E-09	26.7548
1.34742E-09	26.4333
1.48625E-09	25.39
1.58301E-09	24.7564
1.63939E-09	24.3954
1.80831E-09	23.4547
1.93952E-09	22.8185
1.99463E-09	22.5571
2.20016E-09	21.71
2.42685E-09	20.8973
2.67691E-09	20.1356
2.95273E-09	19.4056
3.12292E-09	19.014
3.25697E-09	18.7124
3.59256E-09	18.0574
3.96272E-09	17.43
4.16197E-09	17.1365
4.37103E-09	16.8357
4.82141E-09	16.2737
5.31819E-09	15.7361
5.82536E-09	15.2595
5.86616E-09	15.222
6.47059E-09	14.7408
7.13730E-09	14.281
7.87271E-09	13.8412
8.68389E-09	13.4205
9.57865E-09	13.0275
1.05656E-08	12.6524
1.16543E-08	12.2942
1.28551E-08	11.952
1.41796E-08	11.6248
1.42796E-08	11.6034
1.56406E-08	11.3186
1.72522E-08	11.0268
1.90298E-08	10.7482
2.09906E-08	10.482
2.31534E-08	10.2277
2.52419E-08	10.0131
2.53000E-08	10.0076
2.79068E-08	9.77963
3.07823E-08	9.56247
3.39540E-08	9.35561
3.74525E-08	9.15843
4.13115E-08	8.97025
4.55681E-08	8.79054
5.02633E-08	8.61895
5.54423E-08	8.45518
6.11549E-08	8.29896
6.46797E-08	8.21561
6.74561E-08	8.15147
7.44066E-08	8.01284
8.20732E-08	7.8805
9.05297E-08	7.75426
9.98577E-08	7.63402
1.10147E-07	7.5195
1.21496E-07	7.41043
1.34014E-07	7.30669
1.47823E-07	7.20811
1.64204E-07	7.10725
1.81123E-07	7.01749
1.99786E-07	6.93193
2.20371E-07	6.85037
2.43077E-07	6.77258
2.68123E-07	6.69842
2.95750E-07	6.62799
3.28508E-07	6.55575
3.62357E-07	6.49127
3.99693E-07	6.42966
4.02512E-07	6.42563
4.40876E-07	6.37211
4.86303E-07	6.31736
5.36410E-07	6.26523
5.95854E-07	6.21233
6.57249E-07	6.1649
7.24969E-07	6.11964
7.99668E-07	6.07645
8.82063E-07	6.03521
9.72949E-07	5.99588
1.07320E-06	5.95823
1.18378E-06	5.92212
1.30575E-06	5.88756
1.44029E-06	5.85442
1.58869E-06	5.82267
1.78956E-06	5.78586
1.97395E-06	5.7567
2.17734E-06	5.72857
2.40169E-06	5.70132
2.64915E-06	5.67504
2.92211E-06	5.64949
3.22319E-06	5.62471
3.60546E-06	5.59715
3.94929E-06	5.57516
4.32570E-06	5.55355
4.77141E-06	5.53051
5.26304E-06	5.50778
5.80533E-06	5.48512
6.31441E-06	5.46594
6.91657E-06	5.44481
7.57580E-06	5.42358
8.29826E-06	5.4021
9.08917E-06	5.38025
1.00964E-05	5.3544
1.11367E-05	5.3296
1.26333E-05	5.29648
1.39350E-05	5.26949
1.52631E-05	5.24331
1.64861E-05	5.2202
1.80574E-05	5.19158
1.97794E-05	5.16138
2.18174E-05	5.12691
2.37306E-05	5.09574
2.58116E-05	5.06256
2.84711E-05	5.0214
3.07509E-05	4.98728
3.18478E-05	4.96909
3.51293E-05	4.91604
3.82347E-05	4.86708
4.12983E-05	4.81997
4.42948E-05	4.77495
4.75089E-05	4.72801
5.05663E-05	4.68481
5.05992E-05	4.68428
5.38931E-05	4.63272
5.62065E-05	4.59794
5.82085E-05	4.56903
5.98625E-05	4.54615
6.15635E-05	4.52364
6.33129E-05	4.50196
6.46138E-05	4.48693
6.46590E-05	4.48628
6.60306E-05	4.46797
6.74345E-05	4.45074
6.88649E-05	4.43514
6.98364E-05	4.42583
7.08217E-05	4.41766
7.18209E-05	4.4109
7.28341E-05	4.40591
7.38617E-05	4.40313
7.46432E-05	4.40281
7.54321E-05	4.40432
7.62284E-05	4.40805
7.64429E-05	4.40975
7.70322E-05	4.41444
7.78473E-05	4.42404
7.83945E-05	4.43251
7.89456E-05	4.44307
7.95005E-05	4.45597
8.00593E-05	4.47156
8.06221E-05	4.49032
8.11888E-05	4.51278
8.17595E-05	4.53962
8.19895E-05	4.55217
8.21906E-05	4.56465
8.26216E-05	4.59463
8.30587E-05	4.62876
8.34958E-05	4.66719
8.39350E-05	4.71079
8.43193E-05	4.75402
8.43783E-05	4.76122
8.48216E-05	4.82213
8.51192E-05	4.86744
8.51292E-05	4.8691
8.54189E-05	4.92078
8.57186E-05	4.97885
8.60183E-05	5.04205
8.63201E-05	5.11162
8.63302E-05	5.11419
8.66240E-05	5.19462
8.69279E-05	5.28564
8.72318E-05	5.3856
8.72437E-05	5.3899
8.75379E-05	5.50361
8.77690E-05	5.60069
8.78570E-05	5.64056
8.80002E-05	5.70977
8.82314E-05	5.8303
8.84625E-05	5.96075
8.84745E-05	5.96813
8.86947E-05	6.11122
8.89292E-05	6.27657
8.89394E-05	6.28442
8.91636E-05	6.46691
8.93980E-05	6.67501
8.94075E-05	6.68422
8.96324E-05	6.91705
8.98668E-05	7.18302
8.98756E-05	7.19376
9.00215E-05	7.38342
9.01761E-05	7.59769
9.01904E-05	7.6188
9.03308E-05	7.83736
9.04854E-05	8.09472
9.05079E-05	8.13489
9.06401E-05	8.38379
9.07947E-05	8.69619
9.08255E-05	8.76309
9.09494E-05	9.04627
9.10636E-05	9.32756
9.11040E-05	9.43182
9.12763E-05	9.91361
9.13018E-05	9.99013
9.13913E-05	10.2722
9.15061E-05	10.6566
9.15204E-05	10.7075
9.16210E-05	11.081
9.16844E-05	11.3316
9.17360E-05	11.5433
9.18484E-05	12.0364
9.18509E-05	12.0475
9.19658E-05	12.6081
9.20124E-05	12.8513
9.20711E-05	13.1704
9.21668E-05	13.7238
9.21764E-05	13.7826
9.22626E-05	14.3341
9.23200E-05	14.7251
9.23583E-05	14.9968
9.24541E-05	15.7199
9.24637E-05	15.7972
9.25498E-05	16.5223
9.26073E-05	17.0392
9.26456E-05	17.3971
9.27030E-05	17.9719
9.27413E-05	18.3674
9.27988E-05	19.0018
9.28275E-05	19.3297
9.28945E-05	20.1432
9.29041E-05	20.2634
9.29807E-05	21.2836
9.29845E-05	21.3379
9.30573E-05	22.4021
9.30688E-05	22.5813
9.31339E-05	23.629
9.31531E-05	23.9582
9.32105E-05	24.9786
9.32373E-05	25.4881
9.32871E-05	26.4675
9.33216E-05	27.1945
9.33637E-05	28.1158
9.34058E-05	29.1009
9.34307E-05	29.7057
9.34882E-05	31.1867
9.34901E-05	31.239
9.35456E-05	32.8078
9.35533E-05	33.0373
9.36031E-05	34.5753
9.36165E-05	35.0153
9.36605E-05	36.505
9.36739E-05	36.9877
9.37180E-05	38.6212
9.37314E-05	39.1515
9.37754E-05	40.9482
9.37888E-05	41.5327
9.38329E-05	43.5153
9.38463E-05	44.1595
9.38846E-05	46.0619
9.39037E-05	47.0722
9.39305E-05	48.5367
9.39612E-05	50.3106
9.39765E-05	51.2308
9.40186E-05	53.9168
9.40225E-05	54.1694
9.40617E-05	56.922
9.40684E-05	57.4082
9.41144E-05	60.9597
9.41527E-05	64.2271
9.41603E-05	64.8998
9.41910E-05	67.7815
9.42063E-05	69.2658
9.42293E-05	71.6466
9.42465E-05	73.4876
9.42676E-05	75.8776
9.42810E-05	77.4477
9.43059E-05	80.5364
9.43155E-05	81.7648
9.43442E-05	85.6751
9.43499E-05	86.4852
9.43825E-05	91.3656
9.43844E-05	91.6629
9.44169E-05	97.0489
9.44189E-05	97.377
9.44514E-05	103.335
9.44533E-05	103.698
9.44859E-05	110.317
9.44878E-05	110.721
9.45204E-05	118.093
9.45204E-05	118.093
9.45462E-05	124.585
9.45510E-05	125.825
9.45721E-05	131.673
9.45816E-05	134.417
9.45979E-05	139.434
9.46123E-05	144.007
9.46238E-05	147.915
9.46353E-05	151.956
9.46496E-05	157.312
9.46582E-05	160.631
9.46716E-05	166.113
9.46812E-05	170.164
9.46985E-05	177.92
9.47042E-05	180.593
9.47186E-05	187.711
9.47272E-05	192.109
9.47387E-05	198.365
9.47502E-05	204.811
9.47588E-05	209.976
9.47731E-05	218.848
9.47789E-05	222.645
9.47961E-05	234.388
9.47990E-05	236.486
9.48191E-05	251.619
9.48191E-05	251.619
9.48392E-05	268.356
9.48421E-05	270.826
9.48593E-05	286.705
9.48651E-05	292.183
9.48815E-05	308.865
9.48823E-05	309.666
9.48991E-05	328.237
9.48995E-05	328.671
9.49168E-05	349.258
9.49340E-05	371.566
9.49344E-05	372.094
9.49520E-05	397.012
9.49570E-05	404.256
9.49696E-05	423.938
9.49800E-05	440.493
9.49872E-05	452.954
9.50029E-05	480.576
9.50048E-05	484.176
9.50252E-05	523.423
9.50259E-05	524.947
9.50424E-05	559.859
9.50489E-05	574.017
9.50596E-05	598.619
9.50657E-05	613.029
9.50769E-05	640.381
9.50841E-05	658.735
9.50941E-05	685.053
9.51025E-05	707.873
9.51132E-05	738.255
9.51209E-05	760.555
9.51362E-05	807.45
9.51454E-05	836.392
9.51592E-05	882.138
9.51684E-05	913.452
9.51822E-05	962.695
9.51914E-05	996.341
9.52052E-05	1049.06
9.52144E-05	1085.01
9.52281E-05	1141.11
9.52373E-05	1179.29
9.52511E-05	1238.95
9.52680E-05	1313.4
9.52818E-05	1376.76
9.52986E-05	1455.9
9.53201E-05	1560.35
9.53446E-05	1681.91
9.53660E-05	1790.7
9.54365E-05	2150.47
9.54426E-05	2180.73
9.54824E-05	2373.71
9.54886E-05	2401.84
9.55131E-05	2510.94
9.55192E-05	2536.44
9.55437E-05	2634.61
9.55499E-05	2656.95
9.55744E-05	2741.61
9.55805E-05	2760.2
9.56050E-05	2829.46
9.56065E-05	2833.16
9.56280E-05	2879.85
9.56387E-05	2899.14
9.56510E-05	2918.21
9.56617E-05	2930.65
9.56740E-05	2942.34
9.56833E-05	2947.28
9.56992E-05	2952.67
9.57018E-05	2952.31
9.57276E-05	2942.93
9.57306E-05	2940.43
9.57506E-05	2919.33
9.57536E-05	2914.76
9.57766E-05	2875.72
9.57781E-05	2872.77
9.57981E-05	2826.8
9.58057E-05	2806.22
9.58287E-05	2739.17
9.58348E-05	2718.79
9.58593E-05	2632.09
9.58655E-05	2608.3
9.58900E-05	2508.67
9.58961E-05	2482.08
9.59206E-05	2372.14
9.59267E-05	2343.19
9.59666E-05	2150.08
9.59727E-05	2119.51
9.60585E-05	1685.45
9.60646E-05	1655.17
9.60968E-05	1498.46
