E(MeV)	pendfb7/Gd152:1	
1.000E-11	38710.4004	
1.030E-11	38143.474	
1.061E-11	37585.048	
1.093E-11	37034.5654	
1.125E-11	36492.5041	
1.159E-11	35958.095	
1.194E-11	35431.8145	
1.230E-11	34912.9876	
1.267E-11	34402.0533	
1.305E-11	33898.2902	
1.344E-11	33402.3213	
1.384E-11	32913.2691	
1.426E-11	32431.7459	
1.468E-11	31957.0151	
1.512E-11	31489.4796	
1.558E-11	31028.5264	
1.604E-11	30574.6997	
1.652E-11	30127.2252	
1.702E-11	29686.6073	
1.753E-11	29252.2261	
1.806E-11	28824.4273	
1.860E-11	28402.6966	
1.916E-11	27987.4066	
1.973E-11	27577.9987	
2.032E-11	27174.8143	
2.093E-11	26777.309	
2.156E-11	26385.9409	
2.220E-11	26000.0573	
2.287E-11	25620.0974	
2.356E-11	25245.4687	
2.426E-11	24876.6151	
2.499E-11	24512.9502	
2.574E-11	24154.8446	
2.651E-11	23801.8119	
2.731E-11	23454.1957	
2.742E-11	23405.6653	
2.812E-11	23111.5075	
2.836E-11	23015.9109	
2.897E-11	22774.0179	
2.934E-11	22632.4178	
2.984E-11	22441.2967	
3.034E-11	22255.0657	
3.073E-11	22113.6697	
3.139E-11	21883.7655	
3.165E-11	21790.6674	
3.246E-11	21518.4676	
3.260E-11	21472.5796	
3.358E-11	21158.9969	
3.459E-11	20850.2716	
3.473E-11	20807.1921	
3.562E-11	20545.9055	
3.593E-11	20461.0288	
3.669E-11	20246.1954	
3.716E-11	20120.4422	
3.779E-11	19950.7059	
3.844E-11	19785.3192	
3.892E-11	19659.7452	
3.976E-11	19455.5674	
4.009E-11	19372.8745	
4.112E-11	19131.1523	
4.129E-11	19090.4128	
4.253E-11	18811.9186	
4.381E-11	18537.7757	
4.399E-11	18499.5179	
4.512E-11	18267.4916	
4.550E-11	18192.1299	
4.647E-11	18001.3442	
4.707E-11	17889.679	
4.787E-11	17738.9604	
4.868E-11	17592.0922	
4.930E-11	17480.5823	
5.036E-11	17299.2873	
5.078E-11	17225.866	
5.208E-11	17011.1984	
5.230E-11	16975.0367	
5.387E-11	16727.7608	
5.549E-11	16484.3317	
5.572E-11	16450.3641	
5.715E-11	16244.348	
