E(MeV)	pendfb7/Gd157:1
1.000000E-11	9703167.96
1.029990E-11	9560907.99
1.060870E-11	9420778.8
1.092690E-11	9282640.6
1.125440E-11	9146613.38
1.159200E-11	9012504.15
1.193950E-11	8880432.4
1.229760E-11	8750228.8
1.266620E-11	8622003.49
1.304620E-11	8495575.45
1.343720E-11	8371101.06
1.384030E-11	8248360.04
1.425520E-11	8127506.08
1.468270E-11	8008354.34
1.512290E-11	7891005.91
1.557650E-11	7775306.97
1.604340E-11	7661394.11
1.652460E-11	7549073.01
1.701990E-11	7438470.24
1.753040E-11	7329430.2
1.805590E-11	7222039.69
1.859750E-11	7116169.66
1.915500E-11	7011913.54
1.972950E-11	6909131.23
2.032090E-11	6807908.36
2.093050E-11	6708108.3
2.155790E-11	6609846.07
2.220450E-11	6512957.8
2.287010E-11	6417553.76
2.355610E-11	6323485.2
2.426220E-11	6230863.6
2.498990E-11	6139541.7
2.573900E-11	6049612.69
2.584810E-11	6037083.19
2.651100E-11	5960954.29
2.673580E-11	5936255.81
2.730570E-11	5873642.73
2.765390E-11	5837047.83
2.812470E-11	5787568.83
2.860360E-11	5739417.85
2.896780E-11	5702800
2.958590E-11	5643350.2
2.983670E-11	5619228.29
3.060190E-11	5548822.77
3.073110E-11	5536935.36
3.165280E-11	5455802.92
3.260170E-11	5375904.24
3.273980E-11	5364779.16
3.357950E-11	5297135.65
3.386420E-11	5275196.11
3.458610E-11	5219566.05
3.502710E-11	5187056.01
3.562350E-11	5143090.81
3.623000E-11	5100317.04
3.669130E-11	5067784.14
3.747420E-11	5014968.9
3.779190E-11	4993536.89
3.876110E-11	4930984.59
3.892470E-11	4920426
4.009230E-11	4848341.41
4.129410E-11	4777363.19
4.146910E-11	4767475.22
4.253270E-11	4707380.01
4.289320E-11	4687894.51
4.380760E-11	4638470.83
4.436620E-11	4609587.99
4.512160E-11	4570530.11
4.588980E-11	4532532.94
4.647420E-11	4503627.48
4.746580E-11	4456705.35
4.786810E-11	4437668.98
4.909580E-11	4382094.64
4.930300E-11	4372715.47
5.078180E-11	4308680.52
5.230410E-11	4245620.66
5.252580E-11	4236834.93
5.387290E-11	4183451.73
5.432960E-11	4166138.37
5.548780E-11	4122232.1
5.619540E-11	4096570.99
5.715210E-11	4061876.85
5.812520E-11	4028117.5
5.886530E-11	4002441.94
6.012130E-11	3960759.45
6.063100E-11	3943844.47
6.218600E-11	3894476.18
6.244840E-11	3886145.61
6.432150E-11	3829259.79
6.624960E-11	3773241.74
6.653040E-11	3765437.62
6.823680E-11	3718013.4
6.881520E-11	3702635.12
7.028220E-11	3663631.76
7.117840E-11	3640838.23
7.239030E-11	3610015.84
7.362280E-11	3580028.97
7.456030E-11	3557219.86
7.615110E-11	3520193.82
7.679670E-11	3505167.65
7.876630E-11	3461314.01
7.909870E-11	3453913.17
8.147120E-11	3403381.73
8.391340E-11	3353621.61
8.426910E-11	3346688.68
8.643040E-11	3304563.62
8.716300E-11	3290903.99
8.902120E-11	3256257.64
9.015630E-11	3236011.58
9.169130E-11	3208633.2
9.325250E-11	3181995.58
9.443990E-11	3161736.17
9.645490E-11	3128847.14
9.727250E-11	3115502.4
9.976730E-11	3076544.13
1.001880E-10	3069974.67
1.031930E-10	3025097.43
1.062870E-10	2980893.16
1.067370E-10	2974742.21
1.094750E-10	2937317.65
1.104030E-10	2925182.59
1.127560E-10	2894413.89
1.141940E-10	2876430.77
1.161390E-10	2852107.71
1.186140E-10	2822496.8
1.196200E-10	2810461.23
1.232080E-10	2769394.92
1.269010E-10	2728962
1.279770E-10	2717693.09
1.307070E-10	2689102.41
1.329330E-10	2666803.98
1.346260E-10	2649845.05
1.380780E-10	2616758.59
1.386640E-10	2611142.05
1.428200E-10	2573041.22
1.434250E-10	2567735.74
1.471040E-10	2535473.71
1.489770E-10	2519759.71
1.515130E-10	2498483.68
1.547460E-10	2472543.1
1.560580E-10	2462016.2
1.607360E-10	2426107.06
1.655570E-10	2390708.03
1.669610E-10	2380846.39
1.705200E-10	2355848.54
1.734230E-10	2336343.48
1.756350E-10	2321481.46
1.801390E-10	2292531.37
1.808990E-10	2287646.45
1.863250E-10	2254290.56
1.871120E-10	2249662.46
1.919110E-10	2221441.51
1.943580E-10	2207675.27
1.976670E-10	2189059.94
2.018810E-10	2166383.05
2.035920E-10	2157175.76
2.096990E-10	2125742.42
2.159850E-10	2094793.2
2.178160E-10	2086169.31
2.224630E-10	2064282.63
2.272060E-10	2042915.71
2.291320E-10	2034239.35
2.360040E-10	2004624.34
2.370000E-10	2000518.79
