E(MeV)	Gd-160
1.000000E-11	113.924
1.103040E-11	108.558
1.216690E-11	103.453
1.342050E-11	98.6058
1.351520E-11	98.2715
1.480340E-11	93.9932
1.501220E-11	93.3602
1.632870E-11	89.6045
1.667580E-11	88.7012
1.801110E-11	85.4293
1.852290E-11	84.2858
1.986690E-11	81.4577
2.057560E-11	80.0985
2.191390E-11	77.6803
2.285460E-11	76.1319
2.417190E-11	74.0881
2.538730E-11	72.3712
2.666250E-11	70.6727
2.819930E-11	68.81
2.940970E-11	67.426
3.132420E-11	65.4352
3.244000E-11	64.3402
3.479380E-11	62.2406
3.578250E-11	61.408
3.864960E-11	59.2146
3.946940E-11	58.6223
4.293060E-11	56.3519
4.353620E-11	55.9765
4.768800E-11	53.6418
4.802210E-11	53.4642
5.297010E-11	51.0794
5.842800E-11	48.8253
5.884020E-11	48.6703
6.444830E-11	46.69
6.581850E-11	46.2499
7.108880E-11	44.6622
7.362450E-11	43.9681
7.841360E-11	42.7374
8.235630E-11	41.8179
8.649310E-11	40.9113
9.212370E-11	39.7928
9.540510E-11	39.1796
1.030490E-10	37.8865
1.052350E-10	37.5388
1.160780E-10	35.9802
1.280390E-10	34.5225
1.307610E-10	34.2217
1.412320E-10	33.1396
1.472940E-10	32.5727
1.557840E-10	31.8287
1.659250E-10	31.0262
1.718350E-10	30.5878
1.882220E-10	29.4924
1.895400E-10	29.4098
2.090700E-10	28.309
2.135150E-10	28.0827
2.306120E-10	27.2712
2.439040E-10	26.7029
2.543740E-10	26.2855
2.805830E-10	25.3473
3.094940E-10	24.4811
3.227790E-10	24.1234
3.413830E-10	23.6569
3.739390E-10	22.9257
3.765580E-10	22.8708
4.153580E-10	22.1449
4.362430E-10	21.7949
4.581550E-10	21.4538
5.053620E-10	20.7986
5.161070E-10	20.665
5.574330E-10	20.1899
6.148690E-10	19.6016
6.782230E-10	19.0659
7.429010E-10	18.5794
7.481050E-10	18.543
8.251880E-10	18.0665
9.102130E-10	17.6
9.166330E-10	17.5686
1.004000E-09	17.1758
1.107450E-09	16.7644
1.154980E-09	16.5966
1.221560E-09	16.3798
1.347420E-09	16.0185
1.486250E-09	15.6663
1.496740E-09	15.6427
1.639390E-09	15.3483
1.808310E-09	15.0417
1.994630E-09	14.7435
2.022770E-09	14.7036
2.200150E-09	14.4735
2.426850E-09	14.2156
2.676910E-09	13.9657
2.871140E-09	13.7947
2.952730E-09	13.7285
3.256970E-09	13.5129
3.592560E-09	13.305
3.962720E-09	13.104
4.371030E-09	12.9093
4.821410E-09	12.7367
5.318190E-09	12.5708
5.866160E-09	12.4112
6.470590E-09	12.2574
7.137300E-09	12.1088
7.443670E-09	12.049
7.872710E-09	11.9721
8.683890E-09	11.846
9.578650E-09	11.7249
1.056560E-08	11.6088
1.165430E-08	11.4972
1.285510E-08	11.3899
1.417960E-08	11.2866
1.542300E-08	11.2018
1.564060E-08	11.188
1.725220E-08	11.0991
1.902980E-08	11.014
2.099060E-08	10.9323
2.315340E-08	10.8539
2.524190E-08	10.7875
2.530000E-08	10.7858
2.790680E-08	10.7176
3.078230E-08	10.6528
3.395400E-08	10.5909
3.745250E-08	10.5318
4.131150E-08	10.4753
4.556810E-08	10.4214
5.026330E-08	10.3699
5.544230E-08	10.3207
6.115490E-08	10.2738
6.745610E-08	10.229
