E(MeV)	"ENDF/B-VII.1: H-1(N,TOT)"
1.00000E-11	1176.37
1.10304E-11	1120.1
1.21669E-11	1066.52
1.34205E-11	1015.5
1.48034E-11	966.925
1.63287E-11	920.675
1.80111E-11	876.639
1.98669E-11	834.711
2.19139E-11	794.79
2.41719E-11	756.781
2.66625E-11	720.592
2.94097E-11	686.135
3.24400E-11	653.329
3.57825E-11	622.094
3.94694E-11	592.354
4.35362E-11	564.039
4.80221E-11	537.081
5.28819E-11	511.84
5.29701E-11	511.443
5.83307E-11	487.383
5.84280E-11	487.005
6.43409E-11	464.097
6.44483E-11	463.737
7.09704E-11	441.928
7.10888E-11	441.585
7.82830E-11	420.821
7.84136E-11	420.495
8.63490E-11	400.726
8.64931E-11	400.416
9.52462E-11	381.595
9.54051E-11	381.3
1.05060E-10	363.382
1.05235E-10	363.101
1.15885E-10	346.042
1.16078E-10	345.775
1.27826E-10	329.535
1.28039E-10	329.28
1.40996E-10	313.82
1.41232E-10	313.576
1.55524E-10	298.86
1.55784E-10	298.628
1.71549E-10	284.618
1.71835E-10	284.398
1.89225E-10	271.061
1.89540E-10	270.852
2.08722E-10	258.155
2.09070E-10	257.956
2.30228E-10	245.871
2.30612E-10	245.681
2.53950E-10	234.177
2.54374E-10	233.997
2.80116E-10	223.047
2.80583E-10	222.876
3.08979E-10	212.453
3.09494E-10	212.29
3.40815E-10	202.371
3.41383E-10	202.215
3.75931E-10	192.774
3.76558E-10	192.626
4.14666E-10	183.641
4.15358E-10	183.5
4.57392E-10	174.95
4.58155E-10	174.816
5.04520E-10	166.68
5.05362E-10	166.552
5.56504E-10	158.81
5.57433E-10	158.689
6.13845E-10	151.322
6.14869E-10	151.207
6.77094E-10	144.198
6.78223E-10	144.088
7.46859E-10	137.421
7.48105E-10	137.316
8.23813E-10	130.974
8.25188E-10	130.875
9.08697E-10	124.842
9.10213E-10	124.747
1.00233E-09	119.01
1.00400E-09	118.92
1.10560E-09	113.464
1.10745E-09	113.379
1.21952E-09	108.191
1.22156E-09	108.11
1.34518E-09	103.178
1.34742E-09	103.101
1.48378E-09	98.413
1.48625E-09	98.3395
1.63666E-09	93.8843
1.63939E-09	93.8145
1.80530E-09	89.5811
1.80831E-09	89.5152
1.99463E-09	85.4422
2.00536E-09	85.2082
2.20015E-09	81.5802
2.22748E-09	81.0723
2.42685E-09	77.9093
