E(MeV)	"1-H-WTR(N,TOT),,SIG"
1.200E-10	386.30
1.800E-10	352.14
2.200E-10	336.37
2.700E-10	321.00
3.500E-10	302.53
4.000E-10	293.45
5.000E-10	278.87
5.900E-10	268.53
6.400E-10	263.59
7.300E-10	255.79
7.700E-10	252.69
7.800E-10	251.95
8.300E-10	248.40
9.200E-10	242.63
1.000E-09	238.05
1.030E-09	236.45
1.140E-09	231.03
1.200E-09	228.34
1.300E-09	224.21
1.450E-09	218.69
1.460E-09	218.35
1.690E-09	211.17
1.980E-09	203.67
2.100E-09	200.95
2.220E-09	198.42
2.460E-09	193.82
2.600E-09	191.39
2.650E-09	190.56
2.950E-09	185.95
3.290E-09	181.38
3.540E-09	178.37
3.550E-09	178.25
3.590E-09	177.80
3.627E-09	177.38
3.732E-09	176.23
3.808E-09	175.42
3.932E-09	174.14
3.940E-09	174.06
4.200E-09	171.54
4.365E-09	170.04
4.427E-09	169.49
4.500E-09	168.86
4.601E-09	168.00
4.636E-09	167.71
4.851E-09	165.99
4.860E-09	165.92
4.890E-09	165.68
5.115E-09	163.99
5.200E-09	163.37
5.250E-09	163.02
5.394E-09	162.01
5.453E-09	161.61
5.680E-09	160.11
5.689E-09	160.06
5.715E-09	159.89
5.977E-09	158.26
6.000E-09	158.12
6.180E-09	157.06
6.324E-09	156.24
6.329E-09	156.21
6.600E-09	154.72
6.675E-09	154.32
6.773E-09	153.81
7.018E-09	152.56
7.040E-09	152.46
7.130E-09	152.01
7.265E-09	151.36
7.425E-09	150.61
7.700E-09	149.37
7.830E-09	148.80
8.000E-09	148.07
8.255E-09	147.01
8.324E-09	146.73
8.626E-09	145.54
8.701E-09	145.26
9.050E-09	143.96
9.169E-09	143.53
9.332E-09	142.95
9.557E-09	142.18
9.658E-09	141.84
1.001E-08	140.68
1.019E-08	140.11
1.061E-08	138.83
1.074E-08	138.44
1.111E-08	137.37
1.132E-08	136.79
1.176E-08	135.60
1.195E-08	135.11
1.261E-08	133.46
1.261E-08	133.46
1.300E-08	132.53
1.304E-08	132.44
1.329E-08	131.87
1.366E-08	131.04
1.400E-08	130.31
1.403E-08	130.25
1.463E-08	129.01
1.481E-08	128.65
1.500E-08	128.27
1.515E-08	127.98
1.561E-08	127.11
1.600E-08	126.40
1.622E-08	124.36
1.648E-08	123.83
1.698E-08	122.83
1.739E-08	122.03
1.799E-08	120.86
1.800E-08	120.84
1.833E-08	120.21
1.883E-08	119.27
1.900E-08	118.96
1.934E-08	118.33
1.996E-08	117.20
2.000E-08	117.13
2.043E-08	116.36
2.137E-08	114.73
2.157E-08	114.39
2.213E-08	113.44
2.275E-08	112.42
2.371E-08	110.87
2.402E-08	110.39
2.512E-08	108.70
2.530E-08	108.43
2.541E-08	108.27
2.630E-08	106.96
2.684E-08	106.19
2.786E-08	104.77
2.831E-08	104.16
2.918E-08	103.01
2.991E-08	102.08
3.000E-08	101.96
3.090E-08	100.85
3.164E-08	99.96
3.272E-08	98.70
3.342E-08	97.91
3.427E-08	96.98
3.500E-08	96.21
3.524E-08	95.96
3.600E-08	95.18
3.671E-08	94.48
3.720E-08	94.00
3.758E-08	93.64
3.934E-08	92.03
4.000E-08	91.45
4.117E-08	90.47
4.167E-08	90.06
4.312E-08	88.93
4.404E-08	88.24
4.500E-08	87.55
4.515E-08	87.45
4.645E-08	86.56
4.780E-08	85.69
4.905E-08	84.93
5.000E-08	84.37
5.063E-08	84.01
5.188E-08	83.33
5.423E-08	82.15
5.479E-08	81.88
5.500E-08	81.78
5.677E-08	80.99
5.808E-08	80.44
5.944E-08	79.89
6.000E-08	79.68
6.120E-08	79.23
6.365E-08	78.39
6.458E-08	78.08
6.500E-08	77.95
6.590E-08	77.68
6.824E-08	77.00
6.977E-08	76.58
7.000E-08	76.52
7.223E-08	75.96
7.472E-08	75.37
7.500E-08	75.31
7.657E-08	74.96
7.910E-08	74.42
8.000E-08	74.24
8.132E-08	73.98
8.374E-08	73.51
8.500E-08	73.28
8.606E-08	73.08
8.766E-08	72.79
9.000E-08	72.37
9.075E-08	72.23
9.388E-08	71.68
9.583E-08	71.34
1.000E-07	70.61
1.005E-07	70.52
1.014E-07	70.36
1.074E-07	69.32
1.076E-07	69.29
