E(MeV)	JEFF-3.3:	"HF-176(N,TOT)"
1.00000E-11	867.736	
1.10304E-11	826.264	
1.21669E-11	786.785	
1.22528E-11	784.2	
1.34206E-11	749.197	
1.36099E-11	744.279	
1.48034E-11	713.409	
1.51181E-11	706.353	
1.63287E-11	679.335	
1.67926E-11	670.362	
1.80111E-11	646.895	
1.86536E-11	636.172	
1.98669E-11	616.008	
2.07197E-11	603.729	
2.19139E-11	586.603	
2.30159E-11	572.912	
2.41719E-11	558.607	
2.55651E-11	543.671	
2.66625E-11	531.953	
2.83982E-11	515.898	
2.94097E-11	506.579	
3.15437E-11	489.547	
3.24400E-11	482.421	
3.50393E-11	464.522	
3.57825E-11	459.424	
3.89203E-11	440.78	
3.94694E-11	437.53	
4.32334E-11	418.234	
4.35362E-11	416.688	
4.80221E-11	396.848	
5.29701E-11	377.966	
5.33438E-11	376.73	
5.84280E-11	359.994	
5.96704E-11	356.451	
6.44483E-11	342.885	
6.67472E-11	337.23	
7.10888E-11	326.598	
7.46633E-11	319.016	
7.84136E-11	311.094	
8.35183E-11	301.756	
8.64931E-11	296.336	
9.34234E-11	285.402	
9.54051E-11	282.288	
1.05235E-10	268.915	
1.16078E-10	256.197	
1.18547E-10	253.69	
1.28039E-10	244.091	
1.33535E-10	239.278	
1.41231E-10	232.567	
1.50426E-10	225.626	
1.55784E-10	221.598	
1.70640E-10	211.931	
1.71835E-10	211.156	
1.89540E-10	201.226	
1.93571E-10	199.269	
2.09070E-10	191.777	
2.21120E-10	186.735	
2.30612E-10	182.782	
2.54374E-10	174.217	
2.80584E-10	166.077	
2.92627E-10	162.84	
3.09494E-10	158.327	
3.39009E-10	151.495	
3.41383E-10	150.947	
3.76558E-10	143.934	
3.95493E-10	140.667	
4.15358E-10	137.255	
4.58155E-10	130.898	
4.67897E-10	129.647	
5.05362E-10	124.854	
5.57433E-10	119.095	
6.14869E-10	113.624	
6.73506E-10	108.796	
6.78223E-10	108.409	
7.48105E-10	103.455	
8.25188E-10	98.7304	
8.31009E-10	98.4219	
9.10213E-10	94.2437	
1.00400E-09	89.9674	
1.04709E-09	88.2686	
1.10745E-09	85.8999	
1.22155E-09	82.0298	
1.34742E-09	78.3404	
1.35693E-09	78.0995	
1.48625E-09	74.8373	
1.63939E-09	71.4998	
1.80831E-09	68.3185	
1.83382E-09	67.9032	
1.99463E-09	65.2974	
2.20016E-09	62.4205	
2.42685E-09	59.6788	
2.60294E-09	57.8386	
2.67691E-09	57.0688	
2.95273E-09	54.5897	
3.25697E-09	52.2277	
3.59256E-09	49.9773	
3.96272E-09	47.8329	
4.37103E-09	45.7987	
4.82141E-09	43.8614	
5.31819E-09	42.0163	
5.86616E-09	40.2589	
6.47059E-09	38.5847	
6.74834E-09	37.9201	
