E(MeV)	"HF-177(N,TOT)"	
1.00000E-11	18148.8	
1.10240E-11	17285.4	
1.21504E-11	16464.7	
1.33946E-11	15681.4	
1.47633E-11	14936.9	
1.62750E-11	14226.3	
1.79381E-11	13550.8	
1.97749E-11	12906.2	
2.17956E-11	12293.4	
2.40274E-11	11708.6	
2.64826E-11	11152.7	
2.91943E-11	10622.1	
3.21775E-11	10117.8	
3.54723E-11	9636.49	
3.90970E-11	9178.96	
4.31005E-11	8742.32	
4.75046E-11	8327.27	
5.23690E-11	7931.15	
5.77202E-11	7554.62	
5.85345E-11	7505.11	
6.36306E-11	7195.27	
6.54260E-11	7100.95	
7.01326E-11	6853.69	
7.31288E-11	6717.67	
7.73139E-11	6527.69	
8.17386E-11	6354.13	
8.52142E-11	6217.81	
9.13619E-11	6009.44	
9.39398E-11	5922.07	
1.02118E-10	5682.56	
1.03539E-10	5640.95	
1.14141E-10	5372.66	
1.25804E-10	5117.64	
1.27579E-10	5084.1	
1.38686E-10	4874.26	
1.44583E-10	4777.99	
1.52858E-10	4642.9	
1.63886E-10	4487.34	
1.68510E-10	4422.11	
1.85729E-10	4212.24	
2.04747E-10	4011.95	
2.10524E-10	3959.38	
2.25669E-10	3821.56	
2.38584E-10	3720.01	
2.48777E-10	3639.86	
2.74198E-10	3467.16	
3.02275E-10	3302.33	
3.15128E-10	3237.14	
3.33162E-10	3145.67	
3.67277E-10	2996.15	
4.04807E-10	2854.03	
4.27973E-10	2778.24	
4.46258E-10	2718.41	
4.91858E-10	2589.49	
5.05736E-10	2555.59	
5.42223E-10	2466.47	
5.97629E-10	2349.53	
6.06060E-10	2334.16	
6.58824E-10	2237.94	
7.26145E-10	2131.88	
7.36390E-10	2117.93	
8.00501E-10	2030.66	
8.82299E-10	1934.45	
9.19993E-10	1896.15	
9.72643E-10	1842.65	
1.07203E-09	1755.39	
1.16536E-09	1684.6	
1.18180E-09	1672.13	
1.30256E-09	1593	
1.43594E-09	1517.49	
1.53924E-09	1466.97	
1.58267E-09	1445.72	
1.74474E-09	1377.25	
1.92302E-09	1312.17	
2.11993E-09	1250.08	
2.33655E-09	1191.08	
2.57581E-09	1134.78	
2.83901E-09	1081.29	
3.08618E-09	1037.9	
3.12972E-09	1030.26	
3.44953E-09	981.771	
3.80275E-09	935.52	
4.19133E-09	891.582	
4.62050E-09	849.678	
4.81697E-09	833.116	
5.09264E-09	809.876	
5.61412E-09	771.924	
6.18779E-09	735.883	
6.82140E-09	701.52	
7.51843E-09	668.888	
8.17440E-09	642.372	
8.28830E-09	637.768	
9.13523E-09	608.203	
1.00706E-08	580.011	
1.10997E-08	553.232	
1.12582E-08	549.673	
1.22363E-08	527.717	
1.34866E-08	503.522	
1.48676E-08	480.5	
1.63868E-08	458.674	
1.80648E-08	437.881	
1.80679E-08	437.848	
1.99107E-08	418.146	
2.19495E-08	399.359	
2.41924E-08	381.566	
2.50875E-08	375.159	
2.50897E-08	375.144	
2.53000E-08	373.69	
2.78906E-08	357.199	
3.07406E-08	341.626	
3.29584E-08	331.221	
3.38884E-08	326.858	
3.73512E-08	312.889	
4.06030E-08	301.617	
4.11758E-08	299.631	
4.53833E-08	287.099	
4.79806E-08	280.469	
5.00305E-08	275.236	
5.51428E-08	264.077	
5.59207E-08	262.628	
6.07892E-08	253.557	
6.33740E-08	249.453	
6.70009E-08	243.695	
7.08353E-08	238.519	
7.38616E-08	234.434	
7.80886E-08	229.596	
8.14090E-08	225.795	
8.60680E-08	221.289	
8.97450E-08	217.733	
9.35611E-08	214.628	
9.89155E-08	210.272	
1.01707E-07	208.403	
1.09044E-07	203.49	
1.10561E-07	202.474	
1.16889E-07	199.035	
1.23578E-07	195.4	
1.25321E-07	194.642	
1.34337E-07	190.726	
1.38127E-07	189.08	
1.42025E-07	187.754	
1.50153E-07	184.988	
1.54389E-07	183.547	
1.58746E-07	182.417	
1.67831E-07	180.061	
1.72566E-07	178.834	
1.77435E-07	177.913	
1.85016E-07	176.481	
1.92883E-07	174.995	
2.01124E-07	173.947	
2.09676E-07	172.86	
2.15592E-07	172.108	
2.18633E-07	171.89	
2.27930E-07	171.224	
2.37668E-07	170.527	
2.40974E-07	170.29	
2.47774E-07	170.127	
2.58359E-07	169.875	
2.65475E-07	169.705	
2.68996E-07	169.706	
2.69345E-07	169.714	
2.80852E-07	169.996	
2.92794E-07	170.29	
2.96541E-07	170.382	
3.05303E-07	170.969	
3.18285E-07	171.841	
3.26842E-07	172.417	
3.27266E-07	172.462	
3.36500E-07	173.46	
3.45995E-07	174.487	
3.55298E-07	175.495	
3.55758E-07	175.564	
3.65796E-07	177.062	
3.76118E-07	178.604	
3.86230E-07	180.117	
3.86730E-07	180.213	
3.97643E-07	182.304	
4.08863E-07	184.456	
4.14094E-07	185.46	
4.20399E-07	186.948	
4.32261E-07	189.751	
4.43883E-07	192.5	
4.44458E-07	192.663	
4.56999E-07	196.213	
4.69286E-07	199.696	
4.69894E-07	199.898	
4.83153E-07	204.312	
4.93378E-07	207.721	
4.96143E-07	208.644	
5.03795E-07	211.586	
5.14407E-07	215.672	
5.17340E-07	216.802	
5.25217E-07	220.247	
5.36332E-07	225.114	
5.39338E-07	226.432	
5.47655E-07	230.593	
5.59191E-07	236.37	
5.62380E-07	237.969	
5.70942E-07	242.902	
5.83025E-07	249.874	
5.86293E-07	251.762	
5.95335E-07	257.659	
6.02836E-07	262.559	
6.07875E-07	266.207	
6.19846E-07	274.889	
6.20649E-07	275.538	
6.29405E-07	282.627	
6.37336E-07	289.056	
6.38161E-07	289.806	
6.47165E-07	297.992	
6.55319E-07	305.416	
6.56168E-07	306.289	
6.65425E-07	315.815	
6.73810E-07	324.454	
6.74683E-07	325.461	
6.84201E-07	336.454	
6.88069E-07	340.928	
6.93720E-07	348.167	
7.02597E-07	359.557	
7.03507E-07	360.858	
7.13294E-07	374.864	
7.17396E-07	380.745	
7.23358E-07	390.317	
7.32472E-07	404.978	
7.33421E-07	406.7	
7.43768E-07	425.513	
7.47973E-07	433.171	
7.51529E-07	440.37	
7.58452E-07	454.408	
7.59435E-07	456.587	
7.67415E-07	474.305	
7.69078E-07	478.005	
7.75394E-07	493.426	
7.79853E-07	504.334	
7.83599E-07	514.435	
7.90779E-07	533.836	
7.91803E-07	536.904	
8.00085E-07	561.746	
8.01858E-07	567.076	
8.08521E-07	589.382	
8.13092E-07	604.717	
8.16957E-07	619.029	
8.21596E-07	636.242	
8.25552E-07	652.283	
8.30259E-07	671.415	
8.34226E-07	689.102	
8.38922E-07	710.079	
8.40009E-07	715.427	
8.45873E-07	744.326	
8.47748E-07	753.58	
8.51819E-07	775.819	
8.56655E-07	802.282	
8.57765E-07	809.03	
8.63711E-07	845.245	
8.65562E-07	856.545	
8.69741E-07	885.029	
8.74721E-07	919.049	
8.75854E-07	927.75	
8.81968E-07	974.777	
8.83880E-07	989.516	
8.88082E-07	1025.34	
8.89986E-07	1041.6	
8.94282E-07	1081.56	
8.96264E-07	1100.04	
9.00568E-07	1143.89	
9.02542E-07	1164.05	
9.06854E-07	1212.32	
9.08820E-07	1234.37	
9.11569E-07	1268.28	
9.15098E-07	1311.88	
9.16284E-07	1328.06	
9.21131E-07	1394.35	
9.21553E-07	1400.13	
9.25979E-07	1467.44	
9.28008E-07	1498.37	
9.30827E-07	1546.22	
