E(MeV)	"HF-178(N,TOT)"
1.00000E-11	4224.5
1.10240E-11	4023.57
1.21504E-11	3832.57
1.33946E-11	3650.29
1.47633E-11	3477.02
1.62750E-11	3311.67
1.79381E-11	3154.48
1.97749E-11	3004.47
2.17956E-11	2861.87
2.40274E-11	2725.79
2.64826E-11	2596.44
2.91943E-11	2472.99
3.21775E-11	2355.64
3.54723E-11	2243.66
3.90970E-11	2137.21
4.31005E-11	2035.62
4.75046E-11	1939.06
5.23690E-11	1846.91
5.30975E-11	1834.98
5.77202E-11	1759.33
5.93489E-11	1736.28
6.36306E-11	1675.74
6.63362E-11	1642.66
7.01326E-11	1596.28
7.41462E-11	1553.89
7.73139E-11	1520.45
8.28757E-11	1469.7
8.52142E-11	1448.38
9.26330E-11	1389.89
9.39398E-11	1379.6
1.03539E-10	1314.22
1.14141E-10	1251.83
1.15729E-10	1243.75
1.25804E-10	1192.54
1.29354E-10	1176.93
1.38686E-10	1135.95
1.46623E-10	1105.82
1.52858E-10	1082.16
1.66166E-10	1038.51
1.68510E-10	1030.83
1.85729E-10	982.045
1.88349E-10	975.628
2.04747E-10	935.494
2.13453E-10	917.073
2.25669E-10	891.246
2.45316E-10	855.337
2.48777E-10	849.016
2.74198E-10	808.885
2.81935E-10	798.326
3.02275E-10	770.588
3.24019E-10	744.956
3.33162E-10	734.186
3.67277E-10	699.451
3.77640E-10	690.33
4.04807E-10	666.439
4.46258E-10	634.928
4.91858E-10	604.99
5.27343E-10	584.851
5.42223E-10	576.413
5.97629E-10	549.256
6.31831E-10	534.766
6.58824E-10	523.339
7.26145E-10	498.706
7.67702E-10	485.564
8.00501E-10	475.199
8.82299E-10	452.858
9.59112E-10	434.726
9.72643E-10	431.534
1.07203E-09	411.273
1.18180E-09	391.932
1.23206E-09	384.28
1.30256E-09	373.552
1.43594E-09	356.013
1.58267E-09	339.339
1.62733E-09	334.952
1.74474E-09	323.431
1.92302E-09	308.31
2.11993E-09	293.878
2.24125E-09	286.193
2.33655E-09	280.162
2.57581E-09	267.076
2.83901E-09	254.636
3.12972E-09	242.762
3.30883E-09	236.441
3.44953E-09	231.479
3.80275E-09	220.715
4.19133E-09	210.484
4.62050E-09	200.721
5.09264E-09	191.441
5.38409E-09	186.492
5.61412E-09	182.589
6.18779E-09	174.18
6.82140E-09	166.156
7.51843E-09	158.529
8.28830E-09	151.249
9.13523E-09	144.325
1.00706E-08	137.713
1.02107E-08	136.857
1.10997E-08	131.429
1.22363E-08	125.434
1.34866E-08	119.739
1.48676E-08	114.311
1.63868E-08	109.155
1.80648E-08	104.232
1.99107E-08	99.5469
2.19495E-08	95.0749
2.41924E-08	90.8261
2.50875E-08	89.2926
2.53000E-08	88.9408
2.78906E-08	84.9845
3.07406E-08	81.2322
3.38884E-08	77.6565
3.73512E-08	74.2514
4.11758E-08	70.9975
4.53833E-08	67.9065
5.00305E-08	64.9598
5.51428E-08	62.1619
6.07892E-08	59.4968
6.70009E-08	56.9753
7.38616E-08	54.5672
8.14090E-08	52.2725
8.97450E-08	50.0853
9.89155E-08	48.0098
1.09044E-07	46.0326
1.20187E-07	44.1569
1.32493E-07	42.3753
1.46032E-07	40.6895
1.60985E-07	39.0732
1.77435E-07	37.5415
1.95604E-07	36.0842
2.15592E-07	34.7034
2.37668E-07	33.3921
2.65649E-07	31.9864
2.92794E-07	30.8133
3.22776E-07	29.6991
3.55758E-07	28.6462
3.92186E-07	27.6482
4.32261E-07	26.7057
4.76524E-07	25.8136
5.25217E-07	24.978
5.87052E-07	24.0779
6.47165E-07	23.338
7.13294E-07	22.6456
7.23358E-07	22.5571
7.97273E-07	21.9029
8.91139E-07	21.2206
9.82389E-07	20.6746
1.08277E-06	20.1734
1.21025E-06	19.6567
1.22733E-06	19.6034
1.35274E-06	19.2054
1.49125E-06	18.8774
1.65244E-06	18.5885
1.76222E-06	18.4729
1.83136E-06	18.3985
1.99080E-06	18.3113
2.16412E-06	18.3089
2.35252E-06	18.4043
