E(MeV)	Hf-179
1.00000E-11	2232.7
1.10240E-11	2126.54
1.21504E-11	2025.64
1.33946E-11	1929.35
1.47633E-11	1837.81
1.62750E-11	1750.46
1.79381E-11	1667.43
1.97749E-11	1588.19
2.17956E-11	1512.88
2.40274E-11	1441
2.64826E-11	1372.68
2.91943E-11	1307.48
3.21775E-11	1245.51
3.54723E-11	1186.37
3.90970E-11	1130.16
4.31005E-11	1076.53
4.75046E-11	1025.54
5.23690E-11	976.899
5.30975E-11	970.592
5.77202E-11	930.663
5.93489E-11	918.485
6.36306E-11	886.541
6.63362E-11	869.069
7.01326E-11	844.605
7.41462E-11	822.218
7.73139E-11	804.587
8.28757E-11	777.794
8.52142E-11	766.551
9.26330E-11	735.684
9.39398E-11	730.258
1.03539E-10	695.763
1.14141E-10	662.858
1.15729E-10	658.592
1.25804E-10	631.585
1.29354E-10	623.349
1.38686E-10	601.748
1.46623E-10	585.848
1.52858E-10	573.385
1.66166E-10	550.367
1.68510E-10	546.321
1.85729E-10	520.607
1.88349E-10	517.221
2.04747E-10	496.076
2.13453E-10	486.362
2.25669E-10	472.762
2.45316E-10	453.838
2.48777E-10	450.511
2.74198E-10	429.374
2.81935E-10	423.808
3.02275E-10	409.208
3.24019E-10	395.705
3.33162E-10	390.039
3.67277E-10	371.754
3.77640E-10	366.948
4.04807E-10	354.38
4.46258E-10	337.793
4.91858E-10	322.045
5.27343E-10	311.445
5.42223E-10	307.01
5.97629E-10	292.727
6.31831E-10	285.102
6.58824E-10	279.097
7.26145E-10	266.146
7.78533E-10	257.43
8.00501E-10	253.784
8.82299E-10	242.043
9.72643E-10	230.829
1.07203E-09	220.185
1.18180E-09	210.021
1.24944E-09	204.605
1.30256E-09	200.361
1.43594E-09	191.148
1.58267E-09	182.385
1.65029E-09	178.893
1.74474E-09	174.027
1.92302E-09	166.086
2.11993E-09	158.504
2.30449E-09	152.359
2.33655E-09	151.294
2.57581E-09	144.423
2.83901E-09	137.889
3.12972E-09	131.65
3.40219E-09	126.595
3.44953E-09	125.719
3.80275E-09	120.067
4.19133E-09	114.693
4.62050E-09	109.563
5.09264E-09	104.685
5.53601E-09	100.725
5.61412E-09	100.029
6.18779E-09	95.6103
6.82140E-09	91.3923
7.51843E-09	87.3813
8.28830E-09	83.5509
9.13523E-09	79.9073
1.00706E-08	76.4249
1.06470E-08	74.569
1.10997E-08	73.1142
1.22363E-08	69.9576
1.34866E-08	66.9577
1.48676E-08	64.0964
1.63868E-08	61.3766
1.80648E-08	58.7776
1.99107E-08	56.3026
2.19495E-08	53.9379
2.41924E-08	51.6891
2.50875E-08	50.8768
2.53000E-08	50.6905
2.78906E-08	48.5945
3.07406E-08	46.6013
3.38884E-08	44.7003
3.73512E-08	42.8946
4.11758E-08	41.1668
4.53833E-08	39.5192
5.00305E-08	37.945
5.51428E-08	36.4472
6.07892E-08	35.0167
6.70009E-08	33.659
7.38616E-08	32.3628
8.14090E-08	31.1223
8.97450E-08	29.9352
9.89155E-08	28.8048
1.09044E-07	27.7235
1.20187E-07	26.6932
1.32493E-07	25.7078
1.42025E-07	25.0502
1.46032E-07	24.7744
1.60985E-07	23.8763
1.77435E-07	23.0184
1.95604E-07	22.1967
2.15592E-07	21.4125
2.37668E-07	20.6607
2.61954E-07	19.9425
2.84759E-07	19.3533
3.13918E-07	18.6905
3.45995E-07	18.0539
3.81424E-07	17.4424
4.20399E-07	16.8564
4.63447E-07	16.2927
5.10804E-07	15.7531
5.63108E-07	15.2326
6.20649E-07	14.7331
6.47165E-07	14.5306
6.74683E-07	14.3227
7.54116E-07	13.8012
8.31335E-07	13.3625
9.03711E-07	13.0008
9.82389E-07	12.652
1.06792E-06	12.3155
1.16089E-06	11.9922
1.26196E-06	11.6826
1.35274E-06	11.4382
1.37182E-06	11.3874
1.49125E-06	11.1102
1.59853E-06	10.894
1.71386E-06	10.6886
1.83715E-06	10.4984
1.96969E-06	10.3259
2.11138E-06	10.1754
2.25010E-06	10.0596
2.37887E-06	9.9823
2.51501E-06	9.93013
2.53022E-06	9.92789
2.65894E-06	9.90022
2.77254E-06	9.90745
2.89043E-06	9.94093
2.98996E-06	9.99844
3.01392E-06	10.01
3.09896E-06	10.0754
3.18640E-06	10.1652
3.27631E-06	10.2845
3.34198E-06	10.3946
3.36876E-06	10.4366
3.46381E-06	10.625
3.53678E-06	10.8006
3.58240E-06	10.9298
3.61110E-06	11.008
3.68752E-06	11.254
3.76538E-06	11.5504
3.78741E-06	11.6497
3.84469E-06	11.901
3.89855E-06	12.174
3.94922E-06	12.463
3.95317E-06	12.485
4.00856E-06	12.8338
4.06472E-06	13.2331
4.11715E-06	13.6549
4.12166E-06	13.6906
4.17941E-06	14.2149
4.23332E-06	14.7764
4.23796E-06	14.8242
4.28229E-06	15.3403
4.32744E-06	15.927
4.35277E-06	16.2954
4.37259E-06	16.581
4.41860E-06	17.326
4.46502E-06	18.1752
4.47559E-06	18.3943
4.51145E-06	19.1324
4.54327E-06	19.8625
4.57510E-06	20.662
4.60188E-06	21.4001
4.60692E-06	21.5384
4.63875E-06	22.4983
4.67147E-06	23.5879
4.70419E-06	24.7956
4.73691E-06	26.138
4.76510E-06	27.4266
4.76964E-06	27.6337
4.80328E-06	29.3542
4.82852E-06	30.785
4.85375E-06	32.3544
4.86524E-06	33.1404
4.87898E-06	34.0831
4.90422E-06	35.991
4.93016E-06	38.1626
4.93388E-06	38.5083
4.95611E-06	40.5842
4.98206E-06	43.2873
4.98536E-06	43.6725
5.00800E-06	46.324
5.02412E-06	48.446
5.03395E-06	49.7447
5.05122E-06	52.2675
5.05652E-06	53.11
5.06845E-06	55.0103
5.07812E-06	56.6876
5.08569E-06	58.0038
5.09756E-06	60.2575
