E(MeV)	Hf-180	
1.00000E-11	755.134	
1.10304E-11	719.239	
1.11082E-11	716.854	
1.21669E-11	685.068	
1.23386E-11	680.533	
1.34205E-11	652.539	
1.37059E-11	646.044	
1.48034E-11	621.573	
1.52240E-11	613.326	
1.63287E-11	592.098	
1.69111E-11	582.258	
1.80111E-11	564.043	
1.87842E-11	552.79	
1.98669E-11	537.34	
2.08659E-11	524.813	
2.19139E-11	511.927	
2.31770E-11	498.282	
2.41719E-11	487.741	
2.57455E-11	473.097	
2.66625E-11	464.725	
2.85971E-11	449.216	
2.94097E-11	442.825	
3.17662E-11	426.552	
3.24400E-11	421.986	
3.52847E-11	405.066	
3.57825E-11	402.16	
3.91949E-11	384.679	
3.94694E-11	383.299	
4.35362E-11	365.357	
4.80221E-11	348.313	
4.83608E-11	347.182	
5.29701E-11	332.102	
5.37174E-11	329.954	
5.84280E-11	316.692	
6.00883E-11	312.587	
6.44483E-11	302.031	
6.72147E-11	296.153	
7.10888E-11	288.087	
7.51862E-11	280.604	
7.84136E-11	274.826	
8.41032E-11	265.896	
8.64931E-11	262.217	
9.40778E-11	251.986	
9.54051E-11	250.231	
1.05235E-10	238.843	
1.05978E-10	238.088	
1.16078E-10	228.045	
1.19377E-10	225.169	
1.28039E-10	217.777	
1.34477E-10	212.963	
1.41232E-10	208.017	
1.52548E-10	200.764	
1.55784E-10	198.732	
1.71835E-10	189.916	
1.73047E-10	189.333	
1.89540E-10	181.575	
1.97676E-10	178.226	
2.09070E-10	173.636	
2.25822E-10	167.737	
2.30612E-10	166.085	
2.54374E-10	158.928	
2.59782E-10	157.503	
2.80583E-10	152.147	
3.00943E-10	147.568	
3.09494E-10	145.686	
3.41383E-10	139.563	
3.51084E-10	137.937	
3.76558E-10	133.761	
4.12469E-10	128.627	
4.15358E-10	128.223	
4.58155E-10	123.004	
4.87980E-10	119.834	
5.05362E-10	118.025	
5.57433E-10	113.309	
5.85461E-10	111.097	
6.14869E-10	108.826	
6.78223E-10	104.57	
7.12325E-10	102.575	
7.48105E-10	100.528	
8.25188E-10	96.694	
8.85063E-10	94.1028	
9.10213E-10	93.0376	
1.00400E-09	89.5888	
1.10745E-09	86.2826	
1.13099E-09	85.6279	
1.22156E-09	83.1678	
1.34742E-09	80.2001	
1.48625E-09	77.3565	
1.63939E-09	74.6934	
1.80831E-09	72.1455	
1.99463E-09	69.7063	
2.03704E-09	69.224	
2.20015E-09	67.4114	
2.42685E-09	65.2285	
2.67691E-09	63.1411	
2.95273E-09	61.1437	
3.25697E-09	59.276	
3.59256E-09	57.4923	
3.96272E-09	55.7884	
4.37103E-09	54.1597	
4.65558E-09	53.1756	
4.82141E-09	52.6145	
5.31819E-09	51.161	
5.86616E-09	49.774	
6.47059E-09	48.4501	
7.13730E-09	47.1858	
7.87271E-09	45.9777	
8.44395E-09	45.1642	
8.68389E-09	44.8298	
9.57865E-09	43.7516	
1.05656E-08	42.7229	
1.16543E-08	41.7418	
1.28551E-08	40.8062	
1.41796E-08	39.9143	
1.56406E-08	39.0637	
1.72522E-08	38.2515	
1.90298E-08	37.4748	
1.97086E-08	37.2176	
2.09906E-08	36.74	
2.31534E-08	36.0434	
2.52419E-08	35.4568	
2.53000E-08	35.4415	
2.79068E-08	34.8121	
3.07823E-08	34.2124	
3.39540E-08	33.6415	
3.74525E-08	33.0987	
4.13115E-08	32.5806	
4.55681E-08	32.0853	
5.02633E-08	31.6129	
5.54423E-08	31.1625	
6.11549E-08	30.7331	
6.74561E-08	30.3241	
7.44066E-08	29.9353	
8.26521E-08	29.5363	
9.11684E-08	29.1805	
1.00562E-07	28.8406	
1.10924E-07	28.5158	
1.22353E-07	28.2051	
1.34960E-07	27.9077	
1.48866E-07	27.624	
1.55256E-07	27.511	
1.65354E-07	27.3369	
1.82392E-07	27.0822	
2.01185E-07	26.8385	
2.21915E-07	26.6051	
2.44780E-07	26.3814	
2.70002E-07	26.1667	
2.97822E-07	25.9608	
3.33143E-07	25.7356	
3.70061E-07	25.5319	
4.08191E-07	25.3486	
4.50250E-07	25.1713	
4.96642E-07	24.9995	
5.47815E-07	24.8325	
6.00027E-07	24.6829	
6.57249E-07	24.5346	
7.24969E-07	24.3784	
7.94067E-07	24.2358	
8.69792E-07	24.0948	
9.59413E-07	23.9445	
1.05827E-06	23.7952	
1.16731E-06	23.6461	
1.27857E-06	23.5078	
1.41030E-06	23.3572	
1.54480E-06	23.2155	
1.68026E-06	23.0826	
1.82761E-06	22.9471	
2.00180E-06	22.7967	
2.19270E-06	22.6422	
2.40169E-06	22.4822	
2.59412E-06	22.3429	
2.72443E-06	22.2516	
2.80184E-06	22.2018	
3.04754E-06	22.051	
3.31478E-06	21.894	
3.58038E-06	21.7437	
3.86707E-06	21.5869	
4.20618E-06	21.4071	
4.57503E-06	21.218	
4.97622E-06	21.0177	
5.41259E-06	20.8057	
5.80533E-06	20.6199	
6.01240E-06	20.5321	
6.53964E-06	20.3141	
7.06329E-06	20.102	
7.57580E-06	19.8979	
8.06897E-06	19.7042	
8.65446E-06	19.4773	
9.08917E-06	19.311	
9.28242E-06	19.2452	
9.88621E-06	19.0423	
1.05298E-05	18.8284	
1.12938E-05	18.577	
1.21133E-05	18.3103	
1.26333E-05	18.1427	
1.29922E-05	18.0402	
1.39350E-05	17.7738	
1.49461E-05	17.4906	
1.60306E-05	17.1893	
1.64861E-05	17.0637	
1.73142E-05	16.8612	
1.84413E-05	16.5875	
1.96409E-05	16.2981	
2.06284E-05	16.0611	
2.07729E-05	16.0304	
2.19702E-05	15.777	
2.32366E-05	15.5104	
2.44049E-05	15.2655	
2.52742E-05	15.084	
2.56308E-05	15.0177	
2.69195E-05	14.7789	
2.84711E-05	14.4926	
3.01122E-05	14.191	
3.05370E-05	14.1132	
3.18478E-05	13.8972	
