MeV	"I-127(N,TOT)"	
1.00000E-11	338.667	
1.10304E-11	322.488	
1.21669E-11	307.084	
1.34206E-11	292.419	
1.48034E-11	278.457	
1.63287E-11	265.168	
1.64438E-11	264.296	
1.80111E-11	252.516	
1.82652E-11	250.855	
1.98669E-11	240.47	
2.02893E-11	238.089	
2.19139E-11	229.002	
2.25366E-11	225.974	
2.41719E-11	218.083	
2.50341E-11	214.467	
2.66625E-11	207.689	
2.78070E-11	203.548	
2.94097E-11	197.794	
3.08885E-11	193.179	
3.24400E-11	188.373	
3.43098E-11	183.34	
3.57825E-11	179.406	
3.81119E-11	173.998	
3.94694E-11	170.869	
4.23333E-11	165.134	
4.35362E-11	162.743	
4.70246E-11	156.718	
4.80221E-11	155.007	
5.22332E-11	148.735	
5.29701E-11	147.645	
5.80216E-11	141.155	
5.84280E-11	140.636	
6.44483E-11	133.966	
7.10888E-11	127.621	
7.15903E-11	127.204	
7.84136E-11	121.581	
7.95198E-11	120.789	
8.64931E-11	115.835	
8.89508E-11	114.318	
9.54051E-11	110.365	
9.95003E-11	108.186	
1.05235E-10	105.159	
1.11301E-10	102.379	
1.16078E-10	100.205	
1.24501E-10	96.8775	
1.28039E-10	95.4901	
1.39267E-10	91.6678	
1.41231E-10	91.0038	
1.55784E-10	86.7358	
1.56883E-10	86.4557	
1.71835E-10	82.6785	
1.76718E-10	81.6075	
1.89540E-10	78.8173	
1.99071E-10	77.0171	
2.09070E-10	75.1433	
2.25822E-10	72.4193	
2.30612E-10	71.6463	
2.54374E-10	68.3204	
2.56168E-10	68.1023	
2.80584E-10	65.161	
2.92627E-10	63.902	
3.09494E-10	62.1533	
3.34292E-10	59.9234	
3.41383E-10	59.2906	
3.76558E-10	56.5697	
3.84565E-10	56.0325	
4.15358E-10	53.9837	
4.45496E-10	52.2453	
4.58155E-10	51.5209	
5.05362E-10	49.1801	
5.19722E-10	48.5627	
5.57433E-10	46.955	
6.10592E-10	44.9915	
6.14869E-10	44.8347	
6.78223E-10	42.8238	
7.27435E-10	41.4705	
7.48105E-10	40.9067	
8.25188E-10	39.0862	
8.78907E-10	37.9873	
9.10213E-10	37.3521	
1.00400E-09	35.7049	
1.07685E-09	34.597	
1.10745E-09	34.1353	
1.22155E-09	32.6456	
1.34742E-09	31.2233	
1.48625E-09	29.8766	
1.63939E-09	28.5914	
1.73389E-09	27.905	
1.80831E-09	27.3688	
1.99463E-09	26.2078	
2.20016E-09	25.1001	
2.31078E-09	24.5842	
2.42685E-09	24.0473	
2.67691E-09	23.0472	
2.95273E-09	22.0934	
3.21166E-09	21.3189	
3.25697E-09	21.1844	
3.59256E-09	20.3235	
3.96272E-09	19.5028	
4.37103E-09	18.7202	
4.78787E-09	18.0293	
4.82141E-09	17.9742	
5.31819E-09	17.2684	
5.86616E-09	16.5958	
6.47059E-09	15.955	
7.13730E-09	15.3441	
7.87271E-09	14.7616	
8.68389E-09	14.2106	
9.57865E-09	13.6854	
1.05656E-08	13.1846	
1.16543E-08	12.7072	
1.28551E-08	12.2524	
1.41796E-08	11.8189	
1.52085E-08	11.5281	
1.56406E-08	11.4067	
1.72522E-08	11.0158	
1.90298E-08	10.6431	
2.09906E-08	10.2878	
2.31534E-08	9.94913	
2.52419E-08	9.66418	
2.53000E-08	9.65677	
2.79068E-08	9.34974	
3.07823E-08	9.05737	
3.39540E-08	8.77921	
3.74525E-08	8.51464	
4.13115E-08	8.26239	
4.55681E-08	8.02159	
5.02633E-08	7.79203	
5.54423E-08	7.57338	
6.11549E-08	7.36514	
6.74561E-08	7.1671	
7.44066E-08	6.97891	
8.26521E-08	6.78635	
9.11684E-08	6.61494	
1.00562E-07	6.45154	
1.01981E-07	6.43021	
1.10924E-07	6.29689	
1.22353E-07	6.14977	
1.34960E-07	6.00966	
1.48866E-07	5.87648	
1.65354E-07	5.74069	
1.82392E-07	5.61979	
2.01185E-07	5.50457	
2.21915E-07	5.39476	
2.44780E-07	5.29033	
2.71906E-07	5.18401	
2.99923E-07	5.08894	
3.30826E-07	4.99826	
3.64913E-07	4.91172	
4.02512E-07	4.8291	
4.43986E-07	4.75018	
4.89733E-07	4.67487	
5.47815E-07	4.59306	
6.08493E-07	4.51964	
6.71190E-07	4.45411	
7.40347E-07	4.39123	
8.16630E-07	4.33094	
9.00773E-07	4.27301	
9.86675E-07	4.22182	
1.08072E-06	4.17165	
1.18378E-06	4.1232	
1.29660E-06	4.07633	
1.42025E-06	4.03063	
1.54480E-06	3.99023	
1.69203E-06	3.94704	
1.85339E-06	3.90495	
2.03004E-06	3.86379	
2.22363E-06	3.82332	
2.45275E-06	3.78065	
2.70547E-06	3.73864	
3.00514E-06	3.69408	
3.29172E-06	3.65573	
3.63089E-06	3.6146	
4.00501E-06	3.57344	
4.38673E-06	3.53506	
4.83872E-06	3.49349	
5.33729E-06	3.4515	
5.84628E-06	3.41205	
6.35895E-06	3.37538	
6.77258E-06	3.34829	
7.00701E-06	3.33489	
7.04900E-06	3.33285	
7.17366E-06	3.32845	
7.22409E-06	3.32809	
7.26547E-06	3.32916	
7.29782E-06	3.33158	
7.32275E-06	3.33509	
7.34900E-06	3.34141	
7.36900E-06	3.34908	
7.38400E-06	3.35717	
7.39900E-06	3.3679	
7.41400E-06	3.38182	
7.42900E-06	3.39938	
7.44400E-06	3.42071	
7.45900E-06	3.44541	
7.49400E-06	3.50858	
7.50900E-06	3.53258	
7.52175E-06	3.54855	
7.53100E-06	3.55665	
7.54100E-06	3.56156	
7.54880E-06	3.56239	
7.55500E-06	3.56114	
7.56500E-06	3.55563	
7.57375E-06	3.54748	
7.58500E-06	3.53304	
7.60000E-06	3.50848	
7.63500E-06	3.44188	
7.65000E-06	3.41497	
7.66500E-06	3.39119	
7.68000E-06	3.37105	
7.69500E-06	3.35453	
7.71000E-06	3.34128	
7.72500E-06	3.33075	
7.74500E-06	3.32002	
7.76750E-06	3.31117	
7.79350E-06	3.30371	
7.83050E-06	3.29612	
7.87669E-06	3.28932	
7.95974E-06	3.28057	
8.07203E-06	3.27169	
8.30140E-06	3.25716	
8.65774E-06	3.23807	
8.78945E-06	3.23175	
9.04903E-06	3.22069	
9.18610E-06	3.21616	
9.24143E-06	3.21403	
9.37181E-06	3.21053	
9.50403E-06	3.20915	
9.60436E-06	3.21057	
9.67187E-06	3.21346	
9.73986E-06	3.21882	
9.79121E-06	3.22532	
9.84256E-06	3.235	
9.87727E-06	3.24413	
9.91199E-06	3.25621	
9.93802E-06	3.26791	
9.96406E-06	3.28265	
9.98877E-06	3.30042	
1.00108E-05	3.3205	
1.00255E-05	3.3368	
1.00402E-05	3.3561	
1.00549E-05	3.37919	
1.00660E-05	3.39961	
1.00770E-05	3.42335	
1.00880E-05	3.45114	
1.00991E-05	3.48392	
1.01088E-05	3.51815	
1.01186E-05	3.55825	
1.01251E-05	3.58886	
1.01317E-05	3.62303	
1.01382E-05	3.66126	
1.01447E-05	3.70404	
1.01512E-05	3.75195	
1.01580E-05	3.80755	
1.01647E-05	3.86999	
1.01715E-05	3.94002	
1.01782E-05	4.01841	
1.01850E-05	4.10591	
1.01917E-05	4.20325	
1.01985E-05	4.31108	
1.02052E-05	4.42997	
1.02120E-05	4.56035	
1.02187E-05	4.70245	
1.02255E-05	4.85628	
1.02322E-05	5.02156	
1.02412E-05	5.2587	
1.02502E-05	5.51276	
1.02637E-05	5.91737	
1.02862E-05	6.6082	
1.02952E-05	6.8697	
1.03042E-05	7.11071	
1.03132E-05	7.32313	
1.03200E-05	7.45908	
1.03281E-05	7.59134	
1.03362E-05	7.68607	
1.03429E-05	7.73414	
1.03507E-05	7.75326	
1.03582E-05	7.73433	
1.03649E-05	7.68647	
1.03726E-05	7.59835	
1.03802E-05	7.47671	
1.03870E-05	7.34424	
1.03960E-05	7.13603	
1.04050E-05	6.89862	
1.04185E-05	6.50535	
1.04455E-05	5.68086	
1.04567E-05	5.35558	
1.04657E-05	5.11235	
1.04725E-05	4.94176	
1.04792E-05	4.78216	
1.04860E-05	4.63398	
1.04927E-05	4.49734	
1.04995E-05	4.37213	
1.05062E-05	4.25804	
1.05130E-05	4.15458	
1.05197E-05	4.06116	
1.05251E-05	3.99321	
1.05314E-05	3.92103	
1.05377E-05	3.85591	
1.05440E-05	3.79726	
1.05501E-05	3.74628	
1.05559E-05	3.70187	
1.05618E-05	3.66164	
1.05706E-05	3.60823	
1.05793E-05	3.56206	
1.05881E-05	3.52205	
1.05976E-05	3.48455	
1.06086E-05	3.44756	
1.06195E-05	3.41607	
1.06305E-05	3.38906	
1.06415E-05	3.3657	
1.06524E-05	3.34534	
1.06671E-05	3.32199	
1.06817E-05	3.30212	
1.06963E-05	3.28502	
1.07109E-05	3.27017	
1.07298E-05	3.25365	
1.07487E-05	3.23955	
1.07770E-05	3.22189	
1.08054E-05	3.20742	
1.08432E-05	3.19175	
1.08812E-05	3.17903	
1.09195E-05	3.16845	
1.09770E-05	3.15561	
1.10153E-05	3.1485	
1.10930E-05	3.13656	
1.11707E-05	3.12691	
1.12889E-05	3.11503	
1.14082E-05	3.1052	
1.15691E-05	3.09401	
1.18476E-05	3.07789	
1.18807E-05	3.07616	
1.20329E-05	3.0689	
1.22183E-05	3.05862	
1.25655E-05	3.04191	
1.28326E-05	3.03109	
1.30137E-05	3.0254	
1.31511E-05	3.02267	
1.32435E-05	3.02218	
1.33316E-05	3.02344	
1.33944E-05	3.02604	
1.34571E-05	3.03098	
1.35018E-05	3.03675	
1.35352E-05	3.043	
1.35687E-05	3.05168	
1.35910E-05	3.05941	
1.36133E-05	3.06933	
1.36356E-05	3.08231	
1.36514E-05	3.09404	
1.36673E-05	3.1086	
1.36831E-05	3.12689	
1.36936E-05	3.14169	
1.37041E-05	3.15908	
1.37147E-05	3.17954	
1.37243E-05	3.20133	
1.37330E-05	3.224	
1.37416E-05	3.24988	
1.37503E-05	3.27936	
1.37596E-05	3.31538	
1.37695E-05	3.35939	
1.37794E-05	3.40966	
1.37894E-05	3.46661	
1.37993E-05	3.53053	
1.38092E-05	3.60147	
1.38191E-05	3.67925	
1.38290E-05	3.76336	
1.38439E-05	3.89941	
1.38786E-05	4.23577	
1.38935E-05	4.37038	
1.39034E-05	4.45057	
1.39133E-05	4.52012	
1.39218E-05	4.56913	
1.39302E-05	4.60752	
1.39376E-05	4.63178	
1.39451E-05	4.64652	
1.39528E-05	4.6514	
1.39614E-05	4.64417	
1.39689E-05	4.62737	
1.39775E-05	4.59587	
1.39850E-05	4.55932	
1.39937E-05	4.50655	
1.40036E-05	4.43462	
1.40135E-05	4.35259	
1.40284E-05	4.21623	
1.40631E-05	3.87971	
1.40780E-05	3.7446	
1.40879E-05	3.66124	
1.40978E-05	3.58422	
1.41077E-05	3.51398	
1.41176E-05	3.45066	
1.41275E-05	3.39417	
1.41375E-05	3.34421	
1.41474E-05	3.30037	
1.41548E-05	3.27119	
1.41660E-05	3.23281	
1.41771E-05	3.20018	
1.41863E-05	3.17711	
1.41955E-05	3.15696	
1.42092E-05	3.13143	
1.42208E-05	3.11391	
1.42230E-05	3.11049	
1.42368E-05	3.09311	
1.42505E-05	3.07864	
1.42704E-05	3.06172	
1.42902E-05	3.04826	
1.43100E-05	3.03733	
1.43398E-05	3.02432	
1.43695E-05	3.01415	
1.44092E-05	3.00356	
1.44563E-05	2.99392	
1.45270E-05	2.98317	
1.45976E-05	2.97515	
1.47092E-05	2.96564	
1.48648E-05	2.95596	
1.50219E-05	2.94855	
1.52339E-05	2.94085	
1.55570E-05	2.93279	
1.57137E-05	2.93085	
1.58878E-05	2.92632	
1.61119E-05	2.92308	
1.63392E-05	2.92232	
1.65698E-05	2.92465	
1.67358E-05	2.92913	
1.68035E-05	2.92979	
1.69809E-05	2.93478	
1.71600E-05	2.94332	
1.73415E-05	2.95647	
1.74542E-05	2.96745	
1.74634E-05	2.96815	
1.75862E-05	2.98051	
1.77098E-05	2.99653	
1.78343E-05	3.01698	
1.79502E-05	3.0409	
1.79597E-05	3.04262	
1.80544E-05	3.06402	
1.81490E-05	3.08972	
1.82451E-05	3.12094	
1.83318E-05	3.15466	
1.83411E-05	3.15798	
1.84375E-05	3.20025	
1.85025E-05	3.23379	
1.85674E-05	3.27211	
1.85905E-05	3.28769	
1.86323E-05	3.31442	
1.86977E-05	3.36259	
1.87635E-05	3.41867	
1.88293E-05	3.48366	
1.88528E-05	3.51054	
1.88952E-05	3.55722	
1.89448E-05	3.62001	
1.89948E-05	3.69167	
1.90449E-05	3.77294	
1.90518E-05	3.7856	
1.90950E-05	3.8627	
1.91450E-05	3.96501	
1.91951E-05	4.08258	
1.92440E-05	4.21488	
1.92526E-05	4.2412	
1.92766E-05	4.31237	
1.93092E-05	4.41949	
1.93418E-05	4.53831	
1.93744E-05	4.6704	
1.94051E-05	4.80899	
1.94070E-05	4.81748	
1.94396E-05	4.9792	
1.94681E-05	5.1367	
1.94924E-05	5.28502	
1.95168E-05	5.44751	
1.95411E-05	5.62368	
1.95655E-05	5.81782	
1.95898E-05	6.03232	
1.96081E-05	6.21057	
1.96142E-05	6.26931	
1.96385E-05	6.53072	
1.96610E-05	6.79951	
1.96817E-05	7.07263	
1.96994E-05	7.32988	
1.97024E-05	7.37386	
1.97231E-05	7.70539	
1.97438E-05	8.07417	
1.97645E-05	8.48589	
1.97651E-05	8.49946	
1.97852E-05	8.94475	
1.98007E-05	9.32644	
1.98162E-05	9.74496	
1.98308E-05	10.1769	
1.98454E-05	10.6483	
1.98600E-05	11.1672	
1.98746E-05	11.7403	
1.98893E-05	12.3756	
1.98990E-05	12.8471	
