MeV	"I-127(N,EL)I-127-L0"
1.00000E-11	19.1153
1.10304E-11	18.2309
1.21669E-11	17.3902
1.34206E-11	16.5914
1.48034E-11	15.8324
1.64439E-11	15.0612
1.82652E-11	14.3319
2.02894E-11	13.6416
2.25366E-11	12.9893
2.50342E-11	12.3724
2.78070E-11	11.7899
3.08885E-11	11.2394
3.43098E-11	10.7201
3.81120E-11	10.2299
4.23333E-11	9.76798
4.70247E-11	9.33252
5.22332E-11	8.9227
5.80216E-11	8.53697
6.44483E-11	8.17455
7.15903E-11	7.83405
7.95198E-11	7.51477
8.89508E-11	7.19624
9.95003E-11	6.89946
1.11301E-10	6.62336
1.24501E-10	6.36691
1.39267E-10	6.12914
1.56883E-10	5.89585
1.76718E-10	5.6816
1.99071E-10	5.4851
2.25822E-10	5.29542
2.56169E-10	5.12341
2.92627E-10	4.95976
3.34293E-10	4.81309
3.84565E-10	4.67569
4.45496E-10	4.54855
5.19722E-10	4.4323
6.10592E-10	4.32732
7.27435E-10	4.23011
8.78907E-10	4.1421
1.07685E-09	4.06418
1.34742E-09	3.99461
1.73389E-09	3.93285
2.31078E-09	3.87909
3.21166E-09	3.83375
4.78787E-09	3.79543
7.87271E-09	3.76477
1.52085E-08	3.74162
2.52419E-08	3.73148
2.53000E-08	3.73144
1.01981E-07	3.71742
8.96759E-06	3.36785
1.23834E-05	3.21278
1.46505E-05	3.08991
1.61992E-05	2.98604
1.71680E-05	2.90342
1.77804E-05	2.83702
1.82856E-05	2.76665
1.86735E-05	2.69542
1.89369E-05	2.63224
1.91373E-05	2.57121
1.93258E-05	2.49775
1.94476E-05	2.43798
1.95696E-05	2.36385
1.96610E-05	2.29509
1.97380E-05	2.22513
1.98077E-05	2.14892
1.98542E-05	2.0893
1.99064E-05	2.0115
1.99500E-05	1.9359
1.99936E-05	1.8483
2.00371E-05	1.74673
2.00807E-05	1.63106
2.01260E-05	1.50407
2.01504E-05	1.44281
2.01667E-05	1.41091
2.01791E-05	1.39457
2.01879E-05	1.3889
2.01922E-05	1.38821
2.02009E-05	1.39183
2.02096E-05	1.40316
2.02184E-05	1.42352
2.02271E-05	1.45435
2.02358E-05	1.49714
2.02416E-05	1.53307
2.02474E-05	1.57545
2.02532E-05	1.62474
2.02590E-05	1.68139
2.02648E-05	1.74581
2.02706E-05	1.81841
2.02764E-05	1.89956
2.02822E-05	1.98959
2.02880E-05	2.08876
2.02939E-05	2.19732
2.02997E-05	2.31541
2.03066E-05	2.46982
2.03151E-05	2.67487
2.03238E-05	2.90787
2.03310E-05	3.11766
2.03397E-05	3.38699
2.03514E-05	3.77289
2.03653E-05	4.26882
2.03909E-05	5.22908
2.04118E-05	6.00633
2.04234E-05	6.41175
2.04373E-05	6.85661
2.04489E-05	7.18285
2.04614E-05	7.48016
2.04707E-05	7.66191
2.04791E-05	7.79595
2.04908E-05	7.93195
2.05024E-05	8.01158
2.05140E-05	8.03696
2.05256E-05	8.01182
2.05372E-05	7.94125
2.05488E-05	7.83132
2.05663E-05	7.60725
2.05837E-05	7.33272
2.06418E-05	6.3092
2.06650E-05	5.93382
2.06836E-05	5.66473
2.07022E-05	5.42551
2.07225E-05	5.19705
2.07428E-05	5.00025
2.07632E-05	4.83109
2.07835E-05	4.68538
2.08125E-05	4.51029
2.08416E-05	4.36577
2.08706E-05	4.24462
2.09142E-05	4.09553
2.09577E-05	3.97519
2.10158E-05	3.8463
2.10877E-05	3.72154
2.11596E-05	3.62317
2.12416E-05	3.53319
2.13440E-05	3.44408
2.14805E-05	3.35213
2.16320E-05	3.27364
2.18604E-05	3.18447
2.20909E-05	3.11628
2.24025E-05	3.04496
2.28789E-05	2.96268
2.33641E-05	2.89746
2.40281E-05	2.82583
2.48851E-05	2.75333
2.55923E-05	2.70936
2.61351E-05	2.68854
2.64969E-05	2.68359
2.68707E-05	2.68938
2.72498E-05	2.71135
2.75382E-05	2.74361
2.78292E-05	2.79561
2.80241E-05	2.84528
2.82218E-05	2.91189
2.83701E-05	2.97554
2.85197E-05	3.05484
2.86701E-05	3.15353
2.88205E-05	3.27617
2.89221E-05	3.37614
2.90238E-05	3.4932
2.91254E-05	3.63077
2.92271E-05	3.79322
2.93044E-05	3.93684
2.93817E-05	4.10116
2.94590E-05	4.29001
2.95363E-05	4.5081
2.96136E-05	4.76134
2.96641E-05	4.94912
2.97135E-05	5.15291
2.97629E-05	5.37926
2.98123E-05	5.63142
2.98618E-05	5.9133
2.99112E-05	6.2296
2.99606E-05	6.58601
3.00100E-05	6.98945
3.00522E-05	7.37716
3.00871E-05	7.73316
3.01220E-05	8.12532
3.01569E-05	8.55856
3.01918E-05	9.03875
3.02267E-05	9.57287
3.02616E-05	10.1692
3.02965E-05	10.8379
3.03256E-05	11.4591
3.03606E-05	12.2938
3.03838E-05	12.9125
3.04071E-05	13.588
3.04304E-05	14.3275
3.04536E-05	15.1395
3.04769E-05	16.0338
3.05002E-05	17.0219
3.05188E-05	17.8891
3.05374E-05	18.8334
3.05561E-05	19.8642
3.05747E-05	20.9928
3.05933E-05	22.2321
3.06119E-05	23.5975
3.06305E-05	25.107
3.06492E-05	26.7824
3.06643E-05	28.2835
3.06794E-05	29.9276
3.06945E-05	31.7339
3.07097E-05	33.7252
3.07248E-05	35.9282
3.07399E-05	38.3745
3.07551E-05	41.1014
3.07664E-05	43.3572
3.07797E-05	46.2688
3.07940E-05	49.7567
3.08084E-05	53.6743
3.08179E-05	56.5577
3.08274E-05	59.6846
3.08370E-05	63.0796
3.08496E-05	68.0065
3.08586E-05	71.9218
3.08677E-05	76.1683
3.08768E-05	80.776
3.08859E-05	85.7771
3.08949E-05	91.2053
3.09043E-05	97.2538
3.09136E-05	103.829
3.09229E-05	110.971
3.09322E-05	118.721
3.09415E-05	127.122
3.09508E-05	136.211
3.09601E-05	146.028
3.09694E-05	156.608
3.09787E-05	167.981
3.09880E-05	180.172
3.09974E-05	193.201
3.10067E-05	207.076
3.10206E-05	229.475
3.10346E-05	253.727
3.10486E-05	279.716
3.10625E-05	307.248
3.10811E-05	345.865
3.11277E-05	445.736
3.11463E-05	483.6
3.11603E-05	509.825
3.11742E-05	533.461
3.11882E-05	553.891
3.12031E-05	571.521
3.12180E-05	584.302
3.12320E-05	591.506
3.12454E-05	593.871
3.12594E-05	591.514
3.12729E-05	584.616
3.12822E-05	577.341
3.12953E-05	563.899
3.13083E-05	546.971
3.13223E-05	525.444
3.13362E-05	500.984
3.13549E-05	464.904
3.13828E-05	406.464
3.14154E-05	337.423
3.14340E-05	299.824
3.14480E-05	273.167
3.14619E-05	248.101
3.14759E-05	224.787
3.14899E-05	203.312
3.14992E-05	190.03
3.15085E-05	177.572
3.15178E-05	165.923
3.15271E-05	155.062
3.15364E-05	144.96
3.15457E-05	135.585
3.15550E-05	126.902
3.15643E-05	118.872
3.15736E-05	111.457
3.15830E-05	104.617
3.15923E-05	98.3113
3.16016E-05	92.5017
3.16132E-05	85.88
3.16237E-05	80.4746
3.16342E-05	75.5444
3.16446E-05	71.0445
3.16551E-05	66.9336
3.16621E-05	64.3902
3.16751E-05	60.024
3.16882E-05	56.1034
3.17012E-05	52.5737
3.17142E-05	49.3874
3.17273E-05	46.5026
3.17403E-05	43.8832
3.17533E-05	41.4978
3.17664E-05	39.3193
3.17803E-05	37.188
3.17943E-05	35.2421
3.18129E-05	32.8996
3.18315E-05	30.8061
3.18502E-05	28.9265
3.18688E-05	27.2316
3.18874E-05	25.6972
3.19060E-05	24.303
3.19270E-05	22.8809
3.19502E-05	21.4586
3.19735E-05	20.1802
3.19968E-05	19.0263
3.20201E-05	17.9808
3.20433E-05	17.0303
3.20666E-05	16.1632
3.20899E-05	15.3698
3.21155E-05	14.5724
3.21434E-05	13.7816
3.21713E-05	13.0634
3.21993E-05	12.4089
3.22272E-05	11.8106
3.22551E-05	11.262
3.22970E-05	10.5206
3.23363E-05	9.90217
3.23703E-05	9.41786
3.24157E-05	8.83653
3.24611E-05	8.31874
3.25065E-05	7.85539
3.25519E-05	7.4389
3.25973E-05	7.06299
3.26427E-05	6.72237
3.26881E-05	6.41259
3.27457E-05	6.05781
3.28033E-05	5.74045
3.28610E-05	5.45531
3.29186E-05	5.19806
3.29763E-05	4.96508
3.30339E-05	4.75335
3.31204E-05	4.47008
3.32077E-05	4.21969
3.32954E-05	3.99833
3.33831E-05	3.80269
3.34707E-05	3.62915
3.35584E-05	3.47479
3.36169E-05	3.38128
3.37355E-05	3.21189
3.38540E-05	3.06647
3.39726E-05	2.94233
3.40912E-05	2.83747
3.42114E-05	2.74945
3.43317E-05	2.67911
3.44519E-05	2.62625
3.45721E-05	2.59124
3.46952E-05	2.57515
3.47363E-05	2.57457
3.48281E-05	2.58255
3.49200E-05	2.60424
3.50119E-05	2.64119
3.51038E-05	2.69555
3.51957E-05	2.76979
3.52884E-05	2.86795
3.53506E-05	2.94862
3.54127E-05	3.04285
3.54748E-05	3.15225
3.55369E-05	3.27867
3.55991E-05	3.42431
3.56612E-05	3.59179
3.57233E-05	3.78426
3.57841E-05	4.00029
3.58449E-05	4.24777
3.59057E-05	4.53139
3.59462E-05	4.74329
3.59867E-05	4.97565
3.60272E-05	5.23066
3.60665E-05	5.50197
3.61046E-05	5.78982
3.61427E-05	6.10493
3.61808E-05	6.45031
3.62189E-05	6.8294
3.62569E-05	7.2461
3.62950E-05	7.7049
3.63331E-05	8.21095
3.63670E-05	8.70523
3.63966E-05	9.17594
3.64262E-05	9.68611
3.64558E-05	10.2398
3.64854E-05	10.8418
3.65151E-05	11.4971
3.65447E-05	12.212
3.65743E-05	12.9931
3.66007E-05	13.7529
3.66356E-05	14.8575
3.66589E-05	15.6657
3.66822E-05	16.538
3.67055E-05	17.4813
3.67287E-05	18.5028
3.67520E-05	19.6111
3.67753E-05	20.8159
3.67960E-05	21.9793
3.68167E-05	23.237
3.68375E-05	24.5988
3.68582E-05	26.0763
3.68789E-05	27.6827
3.68997E-05	29.4329
3.69204E-05	31.3442
3.69411E-05	33.4369
3.69581E-05	35.2957
3.69750E-05	37.3055
3.69919E-05	39.483
3.70088E-05	41.8473
3.70258E-05	44.4206
3.70427E-05	47.2286
3.70596E-05	50.301
3.70765E-05	53.6728
3.70918E-05	56.9976
3.71070E-05	60.6338
3.71222E-05	64.623
3.71375E-05	69.0146
3.71527E-05	73.8671
3.71679E-05	79.2506
3.71794E-05	83.6868
3.71908E-05	88.5105
3.72043E-05	94.796
3.72162E-05	100.872
3.72280E-05	107.563
3.72399E-05	114.955
3.72517E-05	123.149
3.72636E-05	132.261
3.72724E-05	139.778
3.72813E-05	147.952
3.72902E-05	156.855
3.72983E-05	165.604
3.73084E-05	177.704
3.73186E-05	191.108
3.73287E-05	205.979
3.73363E-05	218.201
3.73440E-05	231.429
3.73516E-05	245.75
3.73592E-05	261.258
3.73668E-05	278.05
3.73744E-05	296.231
3.73822E-05	316.364
3.73900E-05	338.183
3.73978E-05	361.811
3.74056E-05	387.378
3.74133E-05	415.014
3.74211E-05	444.851
3.74289E-05	477.02
3.74367E-05	511.648
3.74443E-05	548.025
3.74519E-05	586.986
3.74621E-05	643.129
3.74722E-05	704.262
3.74807E-05	759.141
3.74909E-05	829.826
3.75010E-05	905.835
3.75112E-05	987.159
3.75213E-05	1073.7
3.75349E-05	1196.87
3.75484E-05	1328.21
3.75653E-05	1502.2
3.75924E-05	1795.84
3.76263E-05	2165.77
3.76466E-05	2373.24
3.76601E-05	2499.45
3.76737E-05	2612.58
3.76872E-05	2709.96
3.76987E-05	2778.53
3.77129E-05	2843.29
3.77265E-05	2882.94
3.77401E-05	2900.14
3.77428E-05	2900.78
3.77549E-05	2892.5
3.77684E-05	2861.86
3.77820E-05	2809.5
3.77955E-05	2736.89
3.78091E-05	2645.97
3.78226E-05	2539.09
3.78361E-05	2418.89
3.78564E-05	2219.83
3.78835E-05	1934.51
3.79106E-05	1646.1
3.79309E-05	1438.6
3.79478E-05	1276.09
3.79614E-05	1154.57
3.79749E-05	1041.44
3.79851E-05	962.383
3.79959E-05	883.628
3.80081E-05	801.903
3.80162E-05	751.405
3.80277E-05	685.173
3.80379E-05	631.714
3.80480E-05	582.699
3.80582E-05	537.89
3.80683E-05	497.026
3.80785E-05	459.839
3.80874E-05	430.102
3.80963E-05	402.791
3.81052E-05	377.727
