E(MeV)	j33-k300/In115K3:1
1E-11	9787.41
1.08465E-11	9787.41
1.17567E-11	9397.75
1.27342E-11	9026.67
1.37826E-11	8673.33
1.49493E-11	8336.96
1.62038E-11	8005.06
1.7551E-11	7688.98
1.8996E-11	7388.01
2.0604E-11	7101.5
2.2333E-11	6818.8
2.41899E-11	6549.56
2.61814E-11	6293.21
2.83977E-11	6049.17
3.07807E-11	5808.36
3.33399E-11	5579.03
3.60847E-11	5360.68
3.91393E-11	5152.81
4.24238E-11	4947.71
4.5951E-11	4752.38
4.97341E-11	4566.39
5.39441E-11	4389.34
5.84709E-11	4214.64
6.33324E-11	4048.27
6.85465E-11	3889.85
7.4349E-11	3739.05
8.05881E-11	3590.25
8.72885E-11	3448.54
9.44748E-11	3313.62
1.02472E-10	3185.18
1.11071E-10	3058.44
1.20306E-10	2937.74
1.30211E-10	2822.83
1.41233E-10	2713.42
1.53085E-10	2605.48
1.65813E-10	2502.69
1.79464E-10	2404.82
1.94656E-10	2311.64
2.10991E-10	2219.72
2.28533E-10	2132.17
2.47348E-10	2048.81
2.68286E-10	1969.45
2.908E-10	1891.16
3.14978E-10	1816.61
3.4091E-10	1745.62
3.69768E-10	1678.04
4.00798E-10	1611.37
4.34121E-10	1547.87
4.69862E-10	1487.42
5.09636E-10	1429.87
5.52403E-10	1373.1
5.98332E-10	1319.03
6.47591E-10	1267.55
7.0241E-10	1218.55
7.61354E-10	1170.2
8.24656E-10	1124.16
8.92548E-10	1080.33
9.68103E-10	1038.61
1.04934E-09	997.443
1.13659E-09	958.24
1.23016E-09	920.925
1.3343E-09	885.408
1.44627E-09	850.366
1.56651E-09	817
1.69548E-09	785.236
1.83901E-09	755.005
1.88685E-09	716.374
1.99333E-09	696.78
2.09981E-09	679.408
2.15906E-09	669.742
2.33681E-09	644.011
2.53463E-09	618.63
2.60056E-09	611.139
2.74732E-09	594.466
2.89409E-09	579.688
2.97575E-09	571.466
3.22073E-09	549.577
3.49337E-09	527.99
3.58425E-09	521.62
3.78653E-09	507.444
3.9888E-09	494.876
4.10135E-09	487.883
4.43901E-09	469.28
4.81477E-09	450.926
4.94003E-09	445.509
5.21881E-09	433.451
5.4976E-09	422.761
5.65272E-09	416.813
6.1181E-09	400.98
6.636E-09	385.369
6.80864E-09	380.767
7.19287E-09	370.522
7.57711E-09	361.454
7.79092E-09	356.408
8.43232E-09	342.989
9.14613E-09	329.779
9.38406E-09	325.881
9.91364E-09	317.207
1.04432E-08	309.513
1.07379E-08	305.233
1.16219E-08	293.826
1.26057E-08	282.569
1.29337E-08	279.248
1.36636E-08	271.857
1.43935E-08	265.181
1.6018E-08	252.151
1.7374E-08	242.661
1.78259E-08	239.864
1.88319E-08	233.639
1.98379E-08	228.13
2.03977E-08	225.065
2.2077E-08	216.924
2.39458E-08	208.917
2.45688E-08	206.487
