MeV	K-0
1.00000E-11	128.572
1.10240E-11	122.465
1.21504E-11	116.661
1.33946E-11	111.122
1.47633E-11	105.857
1.62750E-11	100.833
1.79381E-11	96.0579
1.97749E-11	91.5012
2.17956E-11	87.1705
2.40274E-11	83.038
2.64826E-11	79.1106
2.91943E-11	75.363
3.21775E-11	71.8015
3.54723E-11	68.4034
3.90970E-11	65.174
4.31005E-11	62.0928
4.75046E-11	59.165
5.23690E-11	56.3717
5.77202E-11	53.7175
6.36306E-11	51.1854
7.01326E-11	48.7797
7.73139E-11	46.4849
8.52142E-11	44.3048
9.39398E-11	42.2254
1.03539E-10	40.2501
1.14141E-10	38.3664
1.25804E-10	36.5771
1.38686E-10	34.8711
1.52858E-10	33.2509
1.68510E-10	31.7062
1.85729E-10	30.2396
2.04747E-10	28.8416
2.25669E-10	27.5145
2.48777E-10	26.2518
2.52238E-10	26.0847
2.74198E-10	25.0527
2.81935E-10	24.7318
3.02275E-10	23.9096
3.15128E-10	23.4514
3.33162E-10	22.8245
3.52229E-10	22.2403
3.67277E-10	21.7905
3.93698E-10	21.0948
4.04807E-10	20.8093
4.40049E-10	20.0118
4.46258E-10	19.8746
4.91858E-10	18.988
5.42223E-10	18.1465
5.49766E-10	18.0355
5.97629E-10	17.3484
6.14492E-10	17.1352
6.58824E-10	16.5892
6.96528E-10	16.1807
7.26145E-10	15.8682
7.89364E-10	15.2819
8.00501E-10	15.1812
8.82299E-10	14.5317
8.94746E-10	14.4448
9.72643E-10	13.9151
1.01400E-09	13.6681
1.07203E-09	13.3304
1.16536E-09	12.8541
1.18180E-09	12.7723
1.30256E-09	12.246
1.33932E-09	12.1055
1.43594E-09	11.7461
1.56096E-09	11.3386
1.58267E-09	11.2697
1.74474E-09	10.8197
1.81892E-09	10.6392
1.92302E-09	10.3928
2.11993E-09	9.98521
2.14942E-09	9.93174
2.33655E-09	9.60222
2.57581E-09	9.234
2.83901E-09	8.88988
3.12972E-09	8.55796
3.44953E-09	8.24796
3.80275E-09	7.94925
3.85565E-09	7.91017
4.19133E-09	7.66932
4.62050E-09	7.40102
4.88493E-09	7.25682
5.09264E-09	7.14665
5.61412E-09	6.90604
6.18779E-09	6.67552
6.36239E-09	6.61435
6.82140E-09	6.45814
7.51843E-09	6.25192
8.28830E-09	6.05376
8.64073E-09	5.97475
9.13523E-09	5.86703
1.00706E-08	5.6901
1.10997E-08	5.52099
1.22363E-08	5.35856
1.24065E-08	5.33739
1.34866E-08	5.20696
1.48676E-08	5.0623
1.63868E-08	4.92418
1.80648E-08	4.79168
1.93643E-08	4.7025
1.99107E-08	4.6657
2.19495E-08	4.5466
2.41924E-08	4.43289
2.50875E-08	4.39168
2.53000E-08	4.38225
2.78906E-08	4.27604
3.07406E-08	4.17448
3.38884E-08	4.07685
3.73512E-08	3.98327
4.11758E-08	3.89314
4.53833E-08	3.80663
5.00305E-08	3.72314
5.51428E-08	3.64278
5.99435E-08	3.57662
6.07892E-08	3.56571
6.70009E-08	3.49594
7.38616E-08	3.42877
8.14090E-08	3.36427
8.97450E-08	3.30202
9.89155E-08	3.24213
1.04576E-07	3.20975
1.09044E-07	3.18247
1.20187E-07	3.12218
1.32493E-07	3.06299
1.46032E-07	3.00492
1.58746E-07	2.95603
1.60985E-07	2.94811
1.77435E-07	2.89633
1.95604E-07	2.8453
2.01124E-07	2.8314
2.15592E-07	2.80167
2.37668E-07	2.76183
2.61954E-07	2.7232
2.84759E-07	2.69127
2.88777E-07	2.68599
3.18285E-07	2.65187
3.50877E-07	2.61869
3.86730E-07	2.58662
4.08863E-07	2.56913
