E(MeV)	pendfb7/Kr83:1
1.00000E-11	10100.5778
1.02565E-11	9973.90276
1.02999E-11	9952.46924
1.05195E-11	9848.72067
1.06087E-11	9806.57872
1.09269E-11	9662.76074
1.10660E-11	9602.60983
1.12544E-11	9521.14017
1.13498E-11	9481.68479
1.15920E-11	9381.51611
1.17396E-11	9323.11189
1.19395E-11	9244.01296
1.21428E-11	9167.05387
1.22976E-11	9108.45443
1.25598E-11	9013.49104
1.26662E-11	8974.95518
1.29911E-11	8862.41287
1.30462E-11	8843.32675
1.34372E-11	8713.73195
1.38403E-11	8585.94144
1.38987E-11	8568.23054
1.42552E-11	8460.11523
1.43760E-11	8425.06081
1.46827E-11	8336.06088
1.48697E-11	8284.15915
1.51229E-11	8213.88364
1.53803E-11	8145.52721
1.55765E-11	8093.42335
1.59085E-11	8009.08929
1.60434E-11	7974.82223
1.64548E-11	7874.84119
1.65246E-11	7857.87796
1.70199E-11	7742.72231
1.75304E-11	7629.19329
1.76044E-11	7613.44812
1.80559E-11	7517.38126
1.82090E-11	7486.22151
1.85975E-11	7407.15185
1.88343E-11	7361.04509
1.91550E-11	7298.60237
1.94811E-11	7237.85783
1.97295E-11	7191.58692
2.01501E-11	7116.6326
2.03209E-11	7086.19466
2.08421E-11	6997.35184
2.09305E-11	6982.28333
2.15579E-11	6879.9727
2.22045E-11	6779.09213
2.22982E-11	6765.10813
2.28701E-11	6679.75647
2.30640E-11	6652.07182
2.35561E-11	6581.81078
2.38560E-11	6540.85025
2.42622E-11	6485.37119
2.46753E-11	6431.39238
2.49899E-11	6390.28433
2.55226E-11	6323.69706
2.57390E-11	6296.64715
2.63991E-11	6217.71331
2.65110E-11	6204.33246
2.73057E-11	6113.41963
2.81247E-11	6023.79497
2.82434E-11	6011.36796
2.89678E-11	5935.52866
2.92134E-11	5910.93181
2.98367E-11	5848.5083
3.02166E-11	5812.1114
3.07311E-11	5762.81893
3.12543E-11	5714.86325
3.16528E-11	5678.33736
3.23276E-11	5619.17224
3.26017E-11	5595.1397
3.34378E-11	5525.0045
3.35795E-11	5513.11818
3.45861E-11	5432.34455
3.56235E-11	5352.70987
3.57738E-11	5341.67194
3.66913E-11	5274.29139
3.70024E-11	5252.43696
3.77919E-11	5196.97546
3.82731E-11	5164.63497
3.89247E-11	5120.84222
3.95875E-11	5078.2307
4.00923E-11	5045.77702
4.09470E-11	4993.21067
4.12941E-11	4971.86309
4.23531E-11	4909.55219
4.25327E-11	4898.98464
4.38076E-11	4827.22393
4.51216E-11	4756.47103
4.53120E-11	4746.6635
4.64742E-11	4686.79846
4.68681E-11	4667.38743
4.78681E-11	4618.10835
4.84777E-11	4589.37125
4.93030E-11	4550.46587
4.95120E-11	4541.03746
5.01425E-11	4512.60646
5.07818E-11	4483.77864
5.12123E-11	4465.2009
5.18644E-11	4437.07217
5.23041E-11	4418.10544
5.29710E-11	4390.57487
5.36455E-11	4362.74225
5.38729E-11	4353.35881
5.47901E-11	4317.1395
5.54878E-11	4289.59952
5.66717E-11	4244.87846
5.71521E-11	4226.73918
5.73933E-11	4218.02338
5.86179E-11	4173.77226
5.88653E-11	4164.83609
5.93643E-11	4147.58795
6.06310E-11	4103.80392
6.14030E-11	4078.27705
6.24484E-11	4043.70997
6.27131E-11	4035.33412
6.35117E-11	4010.07488
6.43215E-11	3984.4614
6.48668E-11	3967.95509
6.56928E-11	3942.96247
6.62496E-11	3926.11515
6.70944E-11	3901.65415
6.79488E-11	3876.92552
6.82368E-11	3868.59003
6.93985E-11	3836.41257
7.02822E-11	3811.94548
7.17818E-11	3772.21294
7.23903E-11	3756.09711
7.26958E-11	3748.35418
7.42469E-11	3709.04136
7.45603E-11	3701.10145
7.51923E-11	3685.77839
7.67967E-11	3646.87916
7.77745E-11	3624.20136
7.90987E-11	3593.48961
7.94340E-11	3586.04773
8.04454E-11	3563.60946
8.14712E-11	3540.85173
8.21619E-11	3526.18714
8.32081E-11	3503.98405
8.39134E-11	3489.01575
8.49834E-11	3467.2849
8.60656E-11	3445.3154
8.64304E-11	3437.90967
8.79019E-11	3409.32192
8.90212E-11	3387.58554
9.09206E-11	3352.28685
9.16913E-11	3337.96992
9.28589E-11	3317.21336
9.40430E-11	3296.16348
9.44399E-11	3289.11061
9.68620E-11	3247.92159
9.72725E-11	3240.94084
1.00188E-10	3193.50793
1.00613E-10	3186.89269
1.01038E-10	3180.2802
1.03193E-10	3146.75103
1.04068E-10	3133.72187
1.05393E-10	3114.00017
1.06287E-10	3100.6936
1.07642E-10	3081.39096
1.09475E-10	3055.28971
1.09937E-10	3048.99357
1.11339E-10	3029.88713
1.12756E-10	3010.58413
1.14676E-10	2985.56126
1.15162E-10	2979.22734
1.16139E-10	2966.4995
1.19117E-10	2929.36961
1.19620E-10	2923.1007
1.23208E-10	2880.30487
1.24777E-10	2862.40339
1.26901E-10	2838.16964
1.27439E-10	2832.29571
1.30156E-10	2802.64352
1.30707E-10	2796.63014
1.31815E-10	2785.05941
1.34626E-10	2755.71645
1.35767E-10	2744.31576
1.36342E-10	2738.57046
1.38664E-10	2715.37883
1.41024E-10	2692.82432
1.41620E-10	2687.13065
1.42820E-10	2675.66687
1.45867E-10	2647.81248
1.47104E-10	2636.50886
