E(MeV)	pendfb7/La139:1	
1.00000E-11	505.728173	
1.02999E-11	498.336976	
1.06075E-11	491.085045	
1.06087E-11	491.056875	
1.09255E-11	483.912028	
1.09269E-11	483.880587	
1.12532E-11	476.840026	
1.12544E-11	476.814244	
1.15905E-11	469.878631	
1.15920E-11	469.847809	
1.19381E-11	463.015144	
1.19395E-11	462.987622	
1.22960E-11	456.254947	
1.22976E-11	456.224859	
1.26648E-11	449.590482	
1.26662E-11	449.565296	
1.30445E-11	443.028614	
1.30462E-11	442.999363	
1.34357E-11	436.559949	
1.34372E-11	436.535256	
1.38385E-11	430.189906	
1.38403E-11	430.161565	
1.42535E-11	423.911745	
1.42552E-11	423.886141	
1.46808E-11	417.727047	
1.46827E-11	417.699668	
1.51212E-11	411.630555	
1.51229E-11	411.607125	
1.55744E-11	405.628392	
1.55765E-11	405.600702	
1.60416E-11	399.710081	
1.60434E-11	399.68738	
1.65224E-11	393.883641	
1.65246E-11	393.857098	
1.70180E-11	388.138431	
1.70199E-11	388.116502	
1.75281E-11	382.48269	
1.75304E-11	382.457302	
1.80539E-11	376.90541	
1.80559E-11	376.88429	
1.85951E-11	371.414792	
1.85975E-11	371.390551	
1.91528E-11	366.002221	
1.91550E-11	365.980964	
1.97270E-11	360.671506	
1.97295E-11	360.648398	
2.03186E-11	355.417458	
2.03209E-11	355.397121	
2.09277E-11	350.243767	
2.09305E-11	350.220088	
2.15554E-11	345.143548	
2.15579E-11	345.123325	
2.22016E-11	340.120797	
2.22045E-11	340.098355	
2.28675E-11	335.170017	
2.28701E-11	335.150772	
2.35530E-11	330.294933	
2.35561E-11	330.272983	
2.42594E-11	325.489622	
2.42622E-11	325.470659	
2.49866E-11	320.757624	
2.49899E-11	320.736244	
2.57361E-11	316.092537	
2.57390E-11	316.074566	
2.65076E-11	311.499415	
2.65110E-11	311.479261	
2.73026E-11	306.971832	
2.73057E-11	306.954255	
2.81211E-11	302.51345	
2.81247E-11	302.493926	
2.89645E-11	298.118857	
2.89678E-11	298.101743	
2.98367E-11	293.773383	
2.99592E-11	293.187136	
3.07311E-11	289.511474	
3.09881E-11	288.335723	
3.16528E-11	285.309846	
3.20523E-11	283.562883	
3.26017E-11	281.172256	
3.31530E-11	278.867623	
3.35795E-11	277.093421	
3.42915E-11	274.248349	
3.45861E-11	273.076883	
3.54691E-11	269.704152	
3.56235E-11	269.117251	
3.66872E-11	265.233297	
3.66913E-11	265.218398	
3.77919E-11	261.377237	
3.79471E-11	260.856847	
3.89247E-11	257.595205	
3.92503E-11	256.551693	
4.00923E-11	253.866492	
4.05982E-11	252.316689	
4.12941E-11	250.19528	
4.19924E-11	248.150366	
4.25327E-11	246.575848	
4.34345E-11	244.051577	
4.38076E-11	243.012269	
4.49261E-11	240.019659	
4.51216E-11	239.499102	
4.64689E-11	236.053447	
4.64742E-11	236.039957	
4.78681E-11	232.632298	
4.80647E-11	232.170605	
4.93030E-11	229.276956	
4.97154E-11	228.351285	
5.07818E-11	225.969395	
5.14227E-11	224.594363	
5.23041E-11	222.712563	
5.31886E-11	220.898671	
5.38729E-11	219.502135	
5.50152E-11	217.263043	
5.54878E-11	216.341126	
5.69045E-11	213.686846	
5.71521E-11	213.225167	
5.88587E-11	210.168923	
5.88653E-11	210.15716	
6.06310E-11	207.134838	
6.08800E-11	206.725436	
6.24484E-11	204.159347	
6.29707E-11	203.338579	
6.43215E-11	201.226205	
6.51332E-11	200.007009	
6.62496E-11	198.338259	
6.73700E-11	196.72985	
6.82368E-11	195.49148	
6.96836E-11	193.506275	
7.02822E-11	192.688833	
7.20766E-11	190.335591	
7.23903E-11	189.926142	
7.45519E-11	187.216688	
7.45603E-11	187.206209	
7.67967E-11	184.526894	
7.71121E-11	184.163976	
7.90987E-11	181.889185	
7.97602E-11	181.161723	
8.14712E-11	179.289188	
8.24993E-11	178.208589	
8.39134E-11	176.729399	
8.53325E-11	175.303883	
8.64304E-11	174.206263	
8.82630E-11	172.446844	
8.90212E-11	171.722357	
9.12940E-11	169.636905	
9.16913E-11	169.274062	
9.44292E-11	166.873075	
9.44399E-11	166.863735	
9.72725E-11	164.48964	
9.76721E-11	164.167968	
1.00188E-10	162.152428	
1.01026E-10	161.507896	
1.03193E-10	159.84913	
1.04496E-10	158.891298	
1.06287E-10	157.580963	
1.08084E-10	156.318403	
1.09475E-10	155.34568	
1.11796E-10	153.787119	
1.12756E-10	153.145473	
1.15635E-10	151.298353	
1.16139E-10	150.976486	
1.19606E-10	148.850513	
1.19620E-10	148.841968	
1.23208E-10	146.739186	
1.23714E-10	146.454442	
1.26901E-10	144.669477	
1.27962E-10	144.098927	
1.30707E-10	142.629729	
1.32357E-10	141.781895	
1.34626E-10	140.621742	
1.37480E-10	139.220417	
1.38664E-10	138.64206	
1.42804E-10	136.700809	
1.42820E-10	136.693345	
1.47104E-10	134.77489	
1.48332E-10	134.246852	
1.51513E-10	132.886121	
1.54076E-10	131.833794	
1.56058E-10	131.024192	
1.60040E-10	129.462597	
1.60736E-10	129.191024	
1.65557E-10	127.385392	
1.66237E-10	127.140886	
1.70520E-10	125.608832	
1.72672E-10	124.869866	
1.75635E-10	123.857585	
1.79359E-10	122.636242	
1.80899E-10	122.133704	
1.86301E-10	120.441975	
1.86325E-10	120.434496	
1.91911E-10	118.76374	
1.93516E-10	118.3029	
1.97667E-10	117.117041	
2.01006E-10	116.201477	
2.03592E-10	115.495907	
2.08790E-10	114.134839	
2.09699E-10	113.897983	
2.15985E-10	112.326047	
2.16872E-10	112.113134	
2.22463E-10	110.777789	
2.25270E-10	110.134391	
2.29132E-10	109.253516	
2.33990E-10	108.190047	
2.36004E-10	107.751284	
2.43051E-10	106.278121	
2.43079E-10	106.272297	
2.50370E-10	104.817023	
2.53529E-10	104.211935	
2.57875E-10	103.383928	
2.64459E-10	102.180226	
2.65610E-10	101.970892	
2.73572E-10	100.581551	
2.75860E-10	100.1984	
2.81777E-10	99.2127701	
2.87752E-10	98.2578107	
2.90224E-10	97.8647559	
2.98929E-10	96.5367486	
3.00157E-10	96.3569943	
3.07890E-10	95.230956	
3.13096E-10	94.5035674	
3.17125E-10	93.9434943	
3.26594E-10	92.680745	
3.26631E-10	92.6758352	
3.36428E-10	91.4286826	
3.40673E-10	90.9102623	
3.46513E-10	90.2006313	
3.55360E-10	89.1692848	
3.56906E-10	88.9899801	
3.67605E-10	87.7997832	
3.72244E-10	87.304689	
3.78631E-10	86.6267164	
3.89937E-10	85.4755965	
3.89981E-10	85.47114	
4.01678E-10	84.3347774	
4.08463E-10	83.7025305	
4.13719E-10	83.2153225	
4.26128E-10	82.1120203	
4.27878E-10	81.962769	
4.38901E-10	81.0275928	
4.48208E-10	80.2703308	
4.52066E-10	79.9580119	
4.65617E-10	78.9059177	
4.69511E-10	78.6159572	
4.79583E-10	77.8699328	
4.93903E-10	76.8527211	
4.93959E-10	76.8487642	
5.08775E-10	75.8449328	
5.19563E-10	75.1439758	
5.24026E-10	74.8555135	
5.39744E-10	73.8814021	
5.46555E-10	73.4766019	
5.55923E-10	72.9227399	
5.72598E-10	71.9774851	
5.74950E-10	71.8496267	
5.89762E-10	71.0487689	
6.07372E-10	70.1358627	
6.07452E-10	70.1317375	
6.25661E-10	69.2315816	
6.41635E-10	68.4744465	
6.44427E-10	68.3428042	
6.63744E-10	67.4696554	
6.77818E-10	66.8597719	
6.83653E-10	66.6082209	
7.04146E-10	65.7612799	
7.16054E-10	65.2894806	
7.25267E-10	64.9263768	
7.47007E-10	64.1050255	
7.59640E-10	63.6474906	
7.69413E-10	63.2954233	
7.92477E-10	62.49899	
8.05879E-10	62.0553724	
8.16247E-10	61.7139656	
8.40715E-10	60.9417038	
8.54933E-10	60.5115591	
8.65932E-10	60.1805418	
8.91889E-10	59.4318384	
9.10800E-10	58.9090153	
9.18641E-10	58.6933753	
9.46178E-10	57.9676013	
9.70335E-10	57.3573802	
9.74558E-10	57.2512615	
1.00377E-09	56.5477878	
1.03388E-09	55.8529729	
1.03813E-09	55.7590595	
1.06487E-09	55.1706815	
1.09681E-09	54.4973347	
1.11065E-09	54.2177018	
1.12969E-09	53.8351382	
1.16357E-09	53.1826607	
1.19326E-09	52.6348528	
1.19845E-09	52.5395453	
1.23440E-09	51.9073242	
1.27140E-09	51.2837391	
1.28204E-09	51.1120254	
1.30954E-09	50.6702475	
1.34879E-09	50.0661096	
1.38323E-09	49.5582846	
1.38925E-09	49.4699939	
1.43089E-09	48.884766	
1.47381E-09	48.3069246	
1.49871E-09	47.985749	
1.51799E-09	47.7383238	
1.56352E-09	47.1786199	
1.61039E-09	46.6266691	
1.62386E-09	46.4747043	
1.65869E-09	46.0837329	
1.70841E-09	45.5491449	
1.75966E-09	45.0213414	
1.76688E-09	44.9500158	
1.81240E-09	44.5032336	
1.86677E-09	43.9921278	
1.92272E-09	43.4881479	
1.93062E-09	43.4200109	
1.98039E-09	42.9928626	
2.03976E-09	42.5048988	
2.10094E-09	42.023179	
2.11847E-09	41.8909357	
2.16392E-09	41.5500007	
2.22882E-09	41.0836322	
2.29563E-09	40.6238243	
2.33446E-09	40.3678978	
2.36449E-09	40.1709481	
2.43537E-09	39.7258218	
2.50842E-09	39.2864572	
2.58332E-09	38.8549555	
2.58361E-09	38.8532819	
2.66110E-09	38.4279512	
2.74087E-09	38.0086676	
2.82308E-09	37.594818	
2.87077E-09	37.3648854	
2.90771E-09	37.187749	
2.99492E-09	36.7872071	
3.08470E-09	36.3923689	
3.17722E-09	36.0026698	
3.21732E-09	35.8409379	
3.27246E-09	35.6196893	
3.37062E-09	35.2426065	
3.47166E-09	34.8709182	
3.57579E-09	34.5040873	
3.63619E-09	34.300299	
3.68297E-09	34.143315	
3.79344E-09	33.7883833	
3.90715E-09	33.4385493	
4.02435E-09	33.0933135	
4.12702E-09	32.803673	
4.14498E-09	32.7532715	
4.26931E-09	32.4192325	
4.39728E-09	32.0900143	
4.52918E-09	31.7651471	
4.66494E-09	31.4449452	
4.72381E-09	31.3119997	
4.80487E-09	31.1299283	
4.94890E-09	30.8201843	
5.09734E-09	30.5145593	
5.25013E-09	30.2133503	
5.40761E-09	29.9161253	
5.47585E-09	29.7928016	
5.56971E-09	29.624083	
5.73677E-09	29.3366005	
5.90873E-09	29.0533004	
6.08596E-09	28.7737745	
6.26840E-09	28.4982952	
6.40131E-09	28.3061388	
6.45641E-09	28.2268883	
6.64995E-09	27.960456	
6.84941E-09	27.6975986	
7.05473E-09	27.4385743	
7.26633E-09	27.1830099	
7.48415E-09	26.9311544	
7.61071E-09	26.7910428	
7.70863E-09	26.683225	
7.93970E-09	26.4396725	
8.17785E-09	26.1993997	
8.42299E-09	25.96264	
8.67563E-09	25.7290564	
8.93569E-09	25.4988753	
9.16384E-09	25.3055601	
9.20371E-09	25.2719459	
9.47961E-09	25.0493612	
9.76394E-09	24.8297894	
1.00566E-08	24.6134455	
1.03583E-08	24.4000202	
1.06688E-08	24.1897228	
1.09888E-08	23.9822513	
1.12691E-08	23.808246	
1.13182E-08	23.7779698	
1.16577E-08	23.5773776	
1.20071E-08	23.3797497	
1.23672E-08	23.184821	
1.27380E-08	22.9927431	
1.31200E-08	22.8032595	
1.35133E-08	22.6165548	
1.39186E-08	22.4323616	
1.42138E-08	22.3039787	
1.43359E-08	22.2511433	
1.47659E-08	22.0730717	
1.52085E-08	21.8976362	
1.56647E-08	21.7245863	
1.61342E-08	21.5540928	
1.66182E-08	21.3859123	
1.71163E-08	21.2202107	
1.76297E-08	21.0567514	
1.81582E-08	20.8956954	
1.84652E-08	20.8061158	
1.87028E-08	20.7371899	
1.92635E-08	20.5815268	
1.98412E-08	20.4279966	
2.04360E-08	20.2767508	
2.10490E-08	20.1275734	
2.16799E-08	19.9806104	
2.23302E-08	19.8356516	
2.29996E-08	19.6928381	
2.36894E-08	19.5519642	
2.43996E-08	19.4131663	
2.52141E-08	19.261395	
2.52687E-08	19.2512372	
2.53000E-08	19.2455837	
2.60589E-08	19.1117858	
2.68400E-08	18.9799783	
2.76450E-08	18.8499724	
2.84737E-08	18.7218962	
2.93278E-08	18.5955675	
3.02069E-08	18.4711113	
3.11130E-08	18.3483509	
3.20456E-08	18.2274076	
3.30068E-08	18.1081094	
3.39962E-08	17.9905739	
3.50159E-08	17.8746337	
3.60655E-08	17.7604035	
3.62184E-08	17.7444803	
3.71473E-08	17.6482514	
3.82608E-08	17.5378639	
3.94084E-08	17.4289971	
4.05898E-08	17.3217581	
4.18072E-08	17.2159924	
4.30604E-08	17.1118012	
4.43520E-08	17.0090316	
4.56815E-08	16.9077805	
4.70517E-08	16.8079001	
4.84621E-08	16.7094873	
4.99157E-08	16.6124021	
5.14120E-08	16.5167418	
5.29541E-08	16.422372	
5.45414E-08	16.3293871	
5.59402E-08	16.2509504	
5.61773E-08	16.2377258	
5.78613E-08	16.1478379	
5.95968E-08	16.05918	
6.13833E-08	15.9718391	
6.32245E-08	15.8856904	
6.51197E-08	15.8008185	
6.70729E-08	15.7171018	
6.90835E-08	15.6346226	
7.11556E-08	15.5532629	
7.32886E-08	15.4731031	
7.54868E-08	15.3940294	
7.77496E-08	15.3161217	
8.00817E-08	15.239271	
8.24822E-08	15.163555	
8.49562E-08	15.0888645	
8.75029E-08	15.0152677	
9.01274E-08	14.942651	
9.28291E-08	14.8710791	
9.56135E-08	14.8004472	
9.76518E-08	14.750935	
9.84796E-08	14.7309343	
1.01433E-07	14.6626129	
1.04474E-07	14.5952898	
1.07608E-07	14.5288706	
1.10833E-07	14.4634209	
1.14158E-07	14.3988472	
1.17580E-07	14.3352128	
1.21106E-07	14.2724263	
1.24737E-07	14.2105493	
1.28478E-07	14.1494929	
1.32329E-07	14.0893168	
1.36298E-07	14.0299348	
1.40384E-07	13.9714049	
1.44595E-07	13.913643	
1.48929E-07	13.8567058	
1.53396E-07	13.8005126	
1.57995E-07	13.7451212	
1.62733E-07	13.690458	
1.67612E-07	13.6365802	
1.72639E-07	13.5834047	
1.77814E-07	13.5309683	
1.83147E-07	13.479185	
1.88637E-07	13.4281079	
1.94296E-07	13.377672	
2.00120E-07	13.3279315	
2.06122E-07	13.2788169	
2.10516E-07	13.244367	
2.12301E-07	13.2304515	
2.18669E-07	13.1828836	
2.25224E-07	13.1359749	
2.31979E-07	13.0896582	
2.38933E-07	13.0439792	
2.46100E-07	12.9988727	
2.53477E-07	12.9543832	
2.61080E-07	12.9104475	
2.68906E-07	12.8671093	
2.76971E-07	12.8243075	
2.85274E-07	12.782085	
2.93830E-07	12.7403828	
3.02638E-07	12.6992433	
3.11716E-07	12.65861	
3.21060E-07	12.6185254	
3.30690E-07	12.5789383	
3.40603E-07	12.5399013	
3.50819E-07	12.5013702	
3.61335E-07	12.4633689	
3.72173E-07	12.4258295	
3.83329E-07	12.3888067	
3.94827E-07	12.3522716	
4.06662E-07	12.316275	
4.18860E-07	12.2807805	
4.31416E-07	12.24586	
4.44356E-07	12.2115204	
4.57676E-07	12.1778395	
4.71403E-07	12.1448182	
4.83493E-07	12.117125	
4.95894E-07	12.0900669	
5.08612E-07	12.0637463	
5.19455E-07	12.0424865	
5.30538E-07	12.0219343	
5.41848E-07	12.0022813	
5.51074E-07	11.987331	
5.60456E-07	11.9732338	
5.69999E-07	11.9601922	
5.77267E-07	11.9512645	
5.84617E-07	11.943263	
5.92072E-07	11.9363796	
5.99611E-07	11.9309164	
6.04694E-07	11.9282378	
6.09820E-07	11.9264979	
6.12405E-07	11.9261062	
6.13625E-07	11.925937	
6.18826E-07	11.9263557	
6.22761E-07	11.9276792	
6.26717E-07	11.9300253	
6.30696E-07	11.9335683	
6.34698E-07	11.938522	
6.37388E-07	11.9427535	
6.40078E-07	11.9478075	
6.42791E-07	11.9538376	
6.45504E-07	11.960922	
6.48240E-07	11.9692721	
6.50976E-07	11.9789947	
6.53045E-07	11.9873742	
6.55115E-07	11.9967397	
6.57190E-07	12.0072271	
6.59277E-07	12.0189996	
6.61364E-07	12.0321364	
6.63462E-07	12.0468758	
6.65567E-07	12.0633673	
6.66970E-07	12.0754069	
6.68379E-07	12.0884108	
6.69794E-07	12.1024571	
6.71209E-07	12.117564	
6.72624E-07	12.1338064	
6.74045E-07	12.1513395	
6.75472E-07	12.1702625	
6.76899E-07	12.190591	
6.78326E-07	12.2124144	
6.79759E-07	12.2359262	
6.81198E-07	12.2612396	
6.82277E-07	12.2814001	
6.83356E-07	12.3026107	
6.84436E-07	12.3249084	
6.85521E-07	12.3484642	
6.86610E-07	12.3732603	
6.87698E-07	12.399263	
6.88786E-07	12.4265001	
6.89875E-07	12.454995	
6.90966E-07	12.4848521	
6.92064E-07	12.5161848	
6.93162E-07	12.548835	
6.94259E-07	12.5828016	
6.95357E-07	12.6180751	
6.96455E-07	12.6546372	
6.97825E-07	12.7020581	
6.99196E-07	12.7513637	
7.00567E-07	12.802447	
7.01937E-07	12.8551706	
7.03344E-07	12.9107901	
7.04750E-07	12.9677417	
7.06859E-07	13.0551027	
7.12061E-07	13.2740755	
7.13560E-07	13.3361318	
7.15073E-07	13.3972766	
7.16585E-07	13.4564125	
7.17719E-07	13.4990984	
7.18853E-07	13.5400842	
7.19974E-07	13.5786914	
7.21069E-07	13.6143495	
7.22165E-07	13.647769	
7.23260E-07	13.6787506	
7.24355E-07	13.7071056	
7.25450E-07	13.732658	
7.26294E-07	13.7503317	
7.27137E-07	13.7661788	
7.27981E-07	13.7801384	
7.28825E-07	13.7921565	
7.29669E-07	13.8021862	
7.30411E-07	13.809336	
7.31334E-07	13.8159984	
7.32256E-07	13.8201707	
7.33409E-07	13.8218541	
7.34405E-07	13.8201405	
7.35350E-07	13.8158056	
7.36194E-07	13.8097223	
7.37038E-07	13.8015744	
7.37881E-07	13.7913922	
