E(MeV)	mcnp/Li-7:1
1.00000E-11	23.40768068
1.15436E-11	21.78942702
1.30872E-11	20.46666144
1.61743E-11	18.41465756
1.92615E-11	16.87870267
2.23486E-11	15.67347909
2.54358E-11	14.69525005
2.85229E-11	13.880691
3.46973E-11	12.59150127
4.08716E-11	11.60730013
4.70459E-11	10.82423051
5.32202E-11	10.18198209
5.93945E-11	9.64304492
7.17431E-11	8.782742449
8.40918E-11	8.120354642
9.64404E-11	7.590184056
1.08789E-10	7.153506264
1.33486E-10	6.470674759
1.58184E-10	5.955793828
1.82881E-10	5.549902163
2.07578E-10	5.21944383
2.56973E-10	4.709293185
3.06367E-10	4.329597798
3.55762E-10	4.033172066
4.05156E-10	3.793695767
5.03945E-10	3.427256737
6.02734E-10	3.157190309
7.01523E-10	2.948012099
8.00313E-10	2.78015488
9.97891E-10	2.525468664
1.19547E-09	2.339665006
1.39305E-09	2.197045532
1.59063E-09	2.083541519
1.98578E-09	1.913216526
2.38094E-09	1.790683954
2.77609E-09	1.697829897
3.17125E-09	1.624807868
3.96156E-09	1.516960724
4.75188E-09	1.440902634
5.54219E-09	1.384274984
6.33250E-09	1.340434719
7.91313E-09	1.276933411
9.49375E-09	1.233121248
1.10744E-08	1.201043655
1.26550E-08	1.176520553
1.58163E-08	1.141437593
1.89775E-08	1.117480404
2.21388E-08	1.100028875
2.53000E-08	1.086715838
2.99688E-08	1.071923696
3.46375E-08	1.06090004
3.93063E-08	1.052339889
4.39750E-08	1.045482682
5.33125E-08	1.035144521
6.26500E-08	1.02768913
7.19875E-08	1.02203972
8.13250E-08	1.017604214
1.00000E-07	1.011085504
1.14063E-07	1.007524403
1.28125E-07	1.004717722
1.56250E-07	1.000576903
1.84375E-07	0.99767201
2.12500E-07	0.995534516
2.40625E-07	0.993911777
2.68750E-07	0.992651116
3.25000E-07	0.990853546
3.81250E-07	0.989683856
4.37500E-07	0.988919553
4.93750E-07	0.988434265
5.50000E-07	0.988149503
6.62500E-07	0.987979397
7.75000E-07	0.988160047
8.87500E-07	0.988536789
1.00000E-06	0.988803336
1.14063E-06	0.988683321
1.28125E-06	0.988457735
1.56250E-06	0.988226238
1.84375E-06	0.988211257
2.12500E-06	0.988339184
2.40625E-06	0.98856441
2.68750E-06	0.988862003
3.25000E-06	0.989596419
3.81250E-06	0.990454641
4.37500E-06	0.991396202
4.93750E-06	0.992395485
5.50000E-06	0.993438066
6.62500E-06	0.995608688
7.75000E-06	0.997856202
8.87500E-06	1.000155838
1.00000E-05	1.00227779
1.14063E-05	1.002774893
1.28125E-05	1.003105332
1.56250E-05	1.00382623
1.84375E-05	1.004599947
