E(MeV)	Lu-175
1.00000E-11	1184.19791
1.02999E-11	1166.84881
1.06087E-11	1149.75974
1.09269E-11	1132.91366
1.12544E-11	1116.32521
1.15920E-11	1099.97084
1.19395E-11	1083.86513
1.22976E-11	1067.98741
1.26662E-11	1052.35115
1.30462E-11	1036.93425
1.34372E-11	1021.75577
1.38403E-11	1006.78887
1.42552E-11	992.052281
1.46827E-11	977.523461
1.51229E-11	963.214742
1.55765E-11	949.107363
1.60434E-11	935.217979
1.65246E-11	921.522897
1.70199E-11	908.037548
1.75304E-11	894.74296
1.80559E-11	881.649715
1.85975E-11	868.742078
1.91550E-11	856.031441
1.97295E-11	843.50072
2.03209E-11	831.160357
2.09305E-11	818.993691
2.15579E-11	807.014745
2.22045E-11	795.20354
2.28701E-11	783.573519
2.35561E-11	772.107396
2.36555E-11	770.516465
2.42622E-11	760.817615
2.44678E-11	757.669951
2.49899E-11	749.6863
2.53081E-11	745.026943
2.57390E-11	738.72477
2.61772E-11	732.58764
2.65110E-11	727.918149
2.70762E-11	720.346613
2.73057E-11	717.275756
2.80060E-11	708.303316
2.81247E-11	706.784258
2.89678E-11	696.451927
2.98367E-11	686.267266
2.99626E-11	684.854124
3.07311E-11	676.238505
3.09916E-11	673.441699
3.16528E-11	666.351239
3.20559E-11	662.212143
3.26017E-11	656.614353
3.31567E-11	651.163169
3.35795E-11	647.015293
3.42954E-11	640.290123
3.45861E-11	637.562439
3.54731E-11	629.592815
3.56235E-11	628.243037
3.66913E-11	619.066172
3.77919E-11	610.020014
3.79514E-11	608.764536
3.89247E-11	601.112414
3.92547E-11	598.628123
4.00923E-11	592.32995
4.06028E-11	588.654177
4.12941E-11	583.682376
4.19971E-11	578.840677
4.25327E-11	575.156168
4.34394E-11	569.183567
4.38076E-11	566.76095
4.49312E-11	559.68205
4.51216E-11	558.483859
4.64742E-11	550.333384
4.78681E-11	542.299412
4.80702E-11	541.183996
4.93030E-11	534.387989
4.97210E-11	532.181555
5.07818E-11	526.588587
5.14285E-11	523.323607
5.23041E-11	518.90809
5.31946E-11	514.607957
5.38729E-11	511.336273
5.50214E-11	506.031882
5.54878E-11	503.880246
5.69109E-11	497.593931
5.71521E-11	496.529672
5.88653E-11	489.291373
6.06310E-11	482.156411
6.08869E-11	481.166214
6.24484E-11	475.131038
6.29778E-11	473.171844
6.43215E-11	468.204833
6.51406E-11	465.305484
6.62496E-11	461.384461
6.73776E-11	457.565806
