E(MeV)	"LU-176(N,TOT)"
1.00000E-11	72985.2
1.10304E-11	69493.8
1.21669E-11	66169.5
1.22527E-11	65952.8
1.34205E-11	63004.3
1.36099E-11	62591.5
1.48034E-11	59990.6
1.51181E-11	59398.6
1.63287E-11	57121.2
1.67926E-11	56367.9
1.80111E-11	54389.2
1.86536E-11	53488.6
1.98669E-11	51787.9
2.07197E-11	50756.1
2.19139E-11	49311.2
2.30158E-11	48160.4
2.41719E-11	46953
2.55651E-11	45697.1
2.66625E-11	44707.8
2.83982E-11	43357.2
2.94097E-11	42570.1
3.15437E-11	41136.8
3.24400E-11	40534.8
3.50393E-11	39027.8
3.57825E-11	38596.9
3.89203E-11	37026.6
3.94694E-11	36751.8
4.32334E-11	35126
4.35362E-11	34995.2
4.80221E-11	33322.7
5.29701E-11	31730.3
5.33438E-11	31626.5
5.84280E-11	30214.2
5.96703E-11	29916.4
6.44483E-11	28770.8
6.67471E-11	28295.1
7.10888E-11	27396.6
7.46633E-11	26758.1
7.84136E-11	26088.2
8.35182E-11	25301.2
8.64931E-11	24842.6
9.34234E-11	23920.4
9.54051E-11	23656.7
1.04503E-10	22611.8
1.05235E-10	22527.8
1.16078E-10	21453
1.17716E-10	21312.8
1.28039E-10	20429.7
1.32606E-10	20092.5
1.41232E-10	19455.7
1.49372E-10	18936.9
1.55784E-10	18528.4
1.69444E-10	17777.1
1.71835E-10	17645.6
1.89540E-10	16805.3
1.92214E-10	16695.8
2.09070E-10	16005.4
2.19582E-10	15633.8
2.30612E-10	15244
2.52604E-10	14573.2
2.54374E-10	14519.2
2.80583E-10	13829.4
2.90592E-10	13602.1
3.09494E-10	13172.8
3.36634E-10	12641
3.41383E-10	12547.9
3.76558E-10	11953.2
3.92722E-10	11717.4
4.15358E-10	11387.2
4.58155E-10	10848.6
4.64619E-10	10778.5
5.05362E-10	10336.1
5.53555E-10	9884.81
5.57433E-10	9848.49
6.14869E-10	9384.54
6.68788E-10	9008.89
6.78223E-10	8943.16
7.48105E-10	8523.29
8.25188E-10	8123.92
