E(MeV)	Mg-nat
1.00000E-11	30.1066
1.10240E-11	28.6821
1.21504E-11	27.3284
1.33946E-11	26.037
1.47633E-11	24.8097
1.62750E-11	23.6389
1.79381E-11	22.5265
1.97749E-11	21.4653
2.17956E-11	20.457
2.40274E-11	19.4953
2.64826E-11	18.5818
2.91943E-11	17.7105
3.21775E-11	16.8828
3.54723E-11	16.0937
3.90970E-11	15.3442
4.31005E-11	14.6296
4.75046E-11	13.9511
5.23690E-11	13.3043
5.77202E-11	12.6903
6.36306E-11	12.1052
7.01326E-11	11.55
7.73139E-11	11.021
8.52142E-11	10.5191
9.39398E-11	10.0412
1.03539E-10	9.58795
1.14141E-10	9.15652
1.25804E-10	8.74758
1.38686E-10	8.35853
1.52858E-10	7.98996
1.68510E-10	7.63955
1.85729E-10	7.30781
2.04747E-10	6.99265
2.25669E-10	6.69453
2.48777E-10	6.41155
2.74198E-10	6.14415
3.02275E-10	5.89058
3.33162E-10	5.65314
3.37862E-10	5.61845
3.67277E-10	5.42759
3.77640E-10	5.3631
4.04807E-10	5.21442
4.22101E-10	5.12373
4.46258E-10	5.01229
4.71797E-10	4.89954
4.91858E-10	4.82159
5.27343E-10	4.68979
5.42223E-10	4.64114
5.89429E-10	4.49376
5.97629E-10	4.47122
6.58824E-10	4.31078
7.26145E-10	4.1627
7.36390E-10	4.14114
8.00501E-10	4.02294
8.23088E-10	3.98316
8.82299E-10	3.89247
9.32792E-10	3.81874
9.72643E-10	3.76848
1.05732E-09	3.6669
1.07203E-09	3.65163
1.18180E-09	3.54354
1.19825E-09	3.5281
1.30256E-09	3.44383
1.35821E-09	3.40109
1.43594E-09	3.35001
1.56096E-09	3.27214
1.58267E-09	3.26062
1.74474E-09	3.17943
1.79397E-09	3.15603
1.92302E-09	3.10399
2.06175E-09	3.05111
2.11993E-09	3.03234
2.33655E-09	2.9666
2.40248E-09	2.94768
2.57581E-09	2.90633
2.83901E-09	2.8473
3.12972E-09	2.79649
3.35486E-09	2.75954
3.44953E-09	2.74666
3.80275E-09	2.70183
4.02038E-09	2.67594
4.19133E-09	2.65935
4.62050E-09	2.62064
4.95289E-09	2.59264
5.09264E-09	2.58314
5.61412E-09	2.55034
6.18779E-09	2.5168
6.82140E-09	2.48938
7.51843E-09	2.46153
7.94871E-09	2.44557
8.28830E-09	2.43559
9.13523E-09	2.41281
1.00706E-08	2.38966
1.04989E-08	2.37985
1.10997E-08	2.36914
1.22363E-08	2.35071
1.34866E-08	2.33218
1.46608E-08	2.31618
1.48676E-08	2.31401
1.63868E-08	2.2996
1.80648E-08	2.28519
1.99107E-08	2.27076
2.16442E-08	2.25837
2.19495E-08	2.25656
2.41924E-08	2.24453
2.50875E-08	2.24004
2.53000E-08	2.23905
2.78906E-08	2.2292
3.07406E-08	2.2195
3.38884E-08	2.20987
3.73512E-08	2.20031
