E(MeV)	Mo-nat
1.000000E-11	162.742
1.102400E-11	155.034
1.215040E-11	147.71
1.339460E-11	140.722
1.476330E-11	134.081
1.627500E-11	127.745
1.793810E-11	121.724
1.977490E-11	115.98
2.179560E-11	110.522
2.402740E-11	105.315
2.648260E-11	100.369
2.919430E-11	95.6504
3.217750E-11	91.168
3.547230E-11	86.893
3.909700E-11	82.8321
4.310050E-11	78.9596
4.750460E-11	75.2817
5.236900E-11	71.7749
5.772020E-11	68.4449
6.363060E-11	65.2703
7.013260E-11	62.2564
7.731390E-11	59.3839
8.521420E-11	56.6572
9.393980E-11	54.0591
1.035390E-10	51.5981
1.050000E-10	51.2662
1.141410E-10	49.2521
1.173620E-10	48.6237
1.258040E-10	47.0251
1.311790E-10	46.1247
1.386860E-10	44.9032
1.466230E-10	43.7614
1.528580E-10	42.8896
1.638860E-10	41.5274
1.685100E-10	40.9719
1.831810E-10	39.4159
1.857290E-10	39.1529
2.047470E-10	37.4212
2.256690E-10	35.7858
2.288530E-10	35.5659
2.487770E-10	34.2289
2.557960E-10	33.813
2.741980E-10	32.7547
2.898900E-10	31.9588
3.022750E-10	31.3492
3.285910E-10	30.2083
3.331620E-10	30.0158
3.672770E-10	28.7513
3.723870E-10	28.5843
4.048070E-10	27.5567
4.221010E-10	27.074
4.462580E-10	26.4198
4.851090E-10	25.4948
4.918580E-10	25.3388
5.422230E-10	24.3169
5.575220E-10	24.0438
5.976290E-10	23.3505
6.496590E-10	22.5609
6.588240E-10	22.4259
7.261450E-10	21.5572
7.571680E-10	21.2058
8.005010E-10	20.7302
8.822990E-10	19.9436
8.947460E-10	19.8386
9.726430E-10	19.2029
1.072030E-09	18.4928
1.181800E-09	17.8283
1.302560E-09	17.1889
1.435940E-09	16.5909
1.582670E-09	16.0162
1.605000E-09	15.9396
1.744740E-09	15.4766
1.923020E-09	14.9612
2.033070E-09	14.6832
2.119930E-09	14.4708
2.336550E-09	14.0094
2.575810E-09	13.565
2.648490E-09	13.4472
2.839010E-09	13.1484
3.129720E-09	12.7518
3.449530E-09	12.3718
3.596900E-09	12.219
3.802750E-09	12.0127
4.191330E-09	11.6743
4.620500E-09	11.3492
5.092640E-09	11.0379
5.164490E-09	10.9966
5.614120E-09	10.747
6.187790E-09	10.4707
6.821400E-09	10.2056
7.518430E-09	9.95206
7.948710E-09	9.81595
8.288300E-09	9.71198
9.135230E-09	9.4873
1.007060E-08	9.2722
1.109970E-08	9.0669
1.223630E-08	8.86997
1.348660E-08	8.68162
1.386720E-08	8.63174
1.486760E-08	8.50472
1.638680E-08	8.33755
1.806480E-08	8.17759
1.991070E-08	8.02498
2.194950E-08	7.87882
2.419240E-08	7.73939
2.508750E-08	7.68891
2.530000E-08	7.67749
2.789060E-08	7.55066
3.074060E-08	7.42994
3.388840E-08	7.3145
3.735120E-08	7.20452
4.117580E-08	7.09929
4.538330E-08	6.99909
5.003050E-08	6.90335
5.514280E-08	6.81219
6.078920E-08	6.72492
6.700090E-08	6.64167
7.386160E-08	6.56196
7.917500E-08	6.50826
8.140900E-08	6.48641
8.974500E-08	6.41593
9.891550E-08	6.34906
1.090440E-07	6.28528
1.201870E-07	6.22464
1.324930E-07	6.16665
1.460320E-07	6.11171
1.609850E-07	6.05904
1.774350E-07	6.00891
1.956040E-07	5.96122
2.155920E-07	5.91583
2.376680E-07	5.87264
2.619540E-07	5.83127
2.887770E-07	5.7921
3.182850E-07	5.75465
3.508770E-07	5.71874
3.867300E-07	5.68479
4.263300E-07	5.65229
4.698940E-07	5.62154
5.180100E-07	5.59178
5.709420E-07	5.56387
6.294050E-07	5.53703
6.842010E-07	5.51479
7.541160E-07	5.49025
8.429000E-07	5.46347
9.292110E-07	5.44112
1.024160E-06	5.41985
1.113320E-06	5.40239
1.227330E-06	5.38267
1.352740E-06	5.36392
1.491250E-06	5.3459
1.512000E-06	5.34357
1.666830E-06	5.32688
1.811940E-06	5.31345
1.969690E-06	5.30053
2.170960E-06	5.28601
2.359960E-06	5.27411
2.601620E-06	5.26075
2.867460E-06	5.24821
3.074330E-06	5.2395
3.341980E-06	5.22927
3.632940E-06	5.21961
3.894280E-06	5.21176
3.947140E-06	5.2109
3.949220E-06	5.21068
4.032410E-06	5.20422
4.060660E-06	5.20174
4.112870E-06	5.19607
4.175230E-06	5.19457
4.731720E-06	5.17948
5.438040E-06	5.16184
5.994880E-06	5.14907
6.607460E-06	5.13667
7.182700E-06	5.12621
7.593760E-06	5.1196
8.028350E-06	5.11331
8.371340E-06	5.10702
8.607550E-06	5.10332
8.850430E-06	5.10031
9.031740E-06	5.09876
9.190460E-06	5.09813
9.384510E-06	5.09836
9.515060E-06	5.09926
9.649300E-06	5.10098
9.783540E-06	5.10369
9.887070E-06	5.10665
9.956080E-06	5.10929
1.002510E-05	5.11283
1.009510E-05	5.11742
1.016600E-05	5.12292
1.023700E-05	5.12917
1.030800E-05	5.13627
1.037990E-05	5.14447
1.045290E-05	5.154
1.052590E-05	5.16496
1.058060E-05	5.1743
1.063530E-05	5.18476
1.069160E-05	5.19686
1.074780E-05	5.21057
1.080410E-05	5.22619
1.086040E-05	5.24409
1.089790E-05	5.25749
1.093540E-05	5.27225
1.097090E-05	5.28766
1.100650E-05	5.30464
1.104200E-05	5.32341
1.107760E-05	5.34422
1.111310E-05	5.36737
1.114870E-05	5.39323
1.118420E-05	5.42226
1.121090E-05	5.44643
1.124470E-05	5.48059
1.126980E-05	5.50861
1.129480E-05	5.53936
1.131980E-05	5.57321
1.134480E-05	5.61059
1.136980E-05	5.65201
1.139480E-05	5.69805
1.141980E-05	5.74945
1.144610E-05	5.81012
1.146360E-05	5.85497
1.148110E-05	5.90381
1.149860E-05	5.95715
1.151610E-05	6.01556
1.153360E-05	6.07969
1.155110E-05	6.15034
1.156670E-05	6.21967
1.158050E-05	6.28618
1.159420E-05	6.35847
