E (MeV)	Na-23	
1.00000E-11	67.3538	
1.15478E-11	62.8103	
1.19336E-11	61.6778	
1.28125E-11	59.6588	
1.38672E-11	57.236	
1.49977E-11	55.1323	
1.58008E-11	53.638	
1.68859E-11	51.9593	
1.77344E-11	50.6467	
2.09443E-11	46.7241	
2.16016E-11	45.921	
2.30940E-11	44.5312	
2.54688E-11	42.3198	
2.68750E-11	41.2793	
2.93359E-11	39.4585	
3.00518E-11	39.0246	
3.32031E-11	37.1145	
3.49250E-11	36.3031	
4.09375E-11	33.47	
4.37500E-11	32.4761	
4.86719E-11	30.7368	
4.94239E-11	30.5281	
5.64063E-11	28.59	
5.89458E-11	28.0176	
6.41406E-11	26.8466	
6.72728E-11	26.2586	
7.18750E-11	25.3947	
7.75000E-11	24.5594	
8.61866E-11	23.2693	
8.73438E-11	23.0975	
1.00000E-10	21.6638	
1.02813E-10	21.3452	
1.15478E-10	20.205	
1.18281E-10	19.9526	
1.28125E-10	19.2269	
1.33750E-10	18.8121	
1.49977E-10	17.8831	
1.64688E-10	17.0409	
1.68859E-10	16.8622	
1.95625E-10	15.7154	
2.09443E-10	15.2517	
2.26563E-10	14.6771	
2.30940E-10	14.5581	
2.57500E-10	13.8363	
2.68750E-10	13.6019	
3.00518E-10	12.94	
3.19375E-10	12.5471	
3.49250E-10	12.0877	
3.81250E-10	11.5956	
4.37500E-10	10.9252	
4.43125E-10	10.8581	
4.94239E-10	10.3693	
5.05000E-10	10.2664	
5.89458E-10	9.65376	
6.28750E-10	9.36877	
6.72728E-10	9.13622	
7.52500E-10	8.71441	
7.75000E-10	8.62316	
8.61866E-10	8.27086	
8.76250E-10	8.21252	
1.00000E-09	7.81333	
1.14063E-09	7.44703	
1.15478E-09	7.41691	
1.28125E-09	7.14778	
1.49977E-09	6.78898	
1.56250E-09	6.68598	
1.68859E-09	6.53278	
1.84375E-09	6.34426	
2.09443E-09	6.10854	
2.12500E-09	6.0798	
2.40625E-09	5.86822	
2.53093E-09	5.79123	
2.68750E-09	5.69454	
2.77371E-09	5.65324	
3.25000E-09	5.42505	
3.25596E-09	5.42292	
3.81250E-09	5.22427	
3.98331E-09	5.17677	
4.37500E-09	5.06785	
4.94239E-09	4.95182	
5.50000E-09	4.8378	
6.62500E-09	4.67482	
7.42813E-09	4.58712	
7.75000E-09	4.55198	
8.61866E-09	4.47732	
8.87500E-09	4.45529	
1.00000E-08	4.37667	
1.19125E-08	4.27129	
1.24303E-08	4.24925	
1.38250E-08	4.18988	
1.48471E-08	4.15498	
1.57375E-08	4.12457	
1.69633E-08	4.09004	
1.76500E-08	4.07069	
2.00000E-08	4.01895	
2.14750E-08	3.98647	
2.21899E-08	3.97466	
2.50000E-08	3.92825	
2.53000E-08	3.92329	
2.89750E-08	3.87565	
3.00421E-08	3.8644	
3.26500E-08	3.8369	
3.50000E-08	3.81775	
4.00000E-08	3.77701	
4.75000E-08	3.73124	
4.94146E-08	3.72203	
5.50000E-08	3.69516	
6.00000E-08	3.67547	
6.25000E-08	3.66563	
6.76539E-08	3.64851	
7.00000E-08	3.64072	
7.53077E-08	3.62648	
8.50000E-08	3.60048	
8.61832E-08	3.59802	
9.06155E-08	3.58878	
1.00000E-07	3.56924	
1.15478E-07	3.54487	
1.21231E-07	3.53581	
1.25000E-07	3.52988	
1.40851E-07	3.51071	
1.50000E-07	3.49965	
1.55697E-07	3.49406	
1.68859E-07	3.48115	
1.75000E-07	3.47513	
1.88714E-07	3.46442	
2.00000E-07	3.45561	
2.09443E-07	3.4502	
2.37500E-07	3.43414	
2.37970E-07	3.43393	
2.75000E-07	3.41752	
2.91444E-07	3.41137	
3.12500E-07	3.40351	
3.49250E-07	3.39166	
3.50000E-07	3.39142	
3.98331E-07	3.37818	
4.25000E-07	3.37088	
4.46904E-07	3.36588	
5.00000E-07	3.35377	
5.16021E-07	3.35077	
6.01012E-07	3.33484	
6.25000E-07	3.33035	
7.00000E-07	3.31841	
7.50000E-07	3.31046	
8.37046E-07	3.29817	
8.61866E-07	3.29467	
8.75000E-07	3.29281	
1.00000E-06	3.27818	
1.10668E-06	3.27226	
1.14063E-06	3.27037	
1.28125E-06	3.26485	
1.28842E-06	3.26462	
1.54849E-06	3.25619	
1.56250E-06	3.25573	
1.75982E-06	3.25052	
1.84375E-06	3.24831	
2.00000E-06	3.24483	
2.12500E-06	3.24204	
2.21336E-06	3.24032	
2.40625E-06	3.23657	
2.50000E-06	3.23494	
2.68750E-06	3.2317	
3.00000E-06	3.22695	
3.25000E-06	3.22315	
3.50000E-06	3.21983	
3.81250E-06	3.21569	
4.00000E-06	3.21344	
4.37500E-06	3.20896	
4.47214E-06	3.20789	
4.93750E-06	3.20275	
5.00000E-06	3.20211	
5.50000E-06	3.19694	
6.00000E-06	3.19212	
6.62500E-06	3.1861	
7.00000E-06	3.18273	
7.75000E-06	3.17599	
8.87500E-06	3.16638	
9.00000E-06	3.1654	
1.00000E-05	3.15756	
1.09051E-05	3.15662	
1.19410E-05	3.15556	
1.25000E-05	3.15498	
1.42189E-05	3.15398	
1.50000E-05	3.15353	
1.54849E-05	3.15333	
1.75000E-05	3.15253	
1.75982E-05	3.1525	
2.00000E-05	3.15184	
2.21336E-05	3.15151	
2.38820E-05	3.15124	
2.50000E-05	3.15107	
2.67668E-05	3.15098	
3.00000E-05	3.15081	
3.22371E-05	3.15083	
3.46410E-05	3.15086	
3.50000E-05	3.15087	
4.00000E-05	3.15115	
4.42673E-05	3.15156	
4.77639E-05	3.1519	
5.00000E-05	3.15212	
5.47723E-05	3.15189	
6.00000E-05	3.15164	
6.25000E-05	3.15152	
6.48074E-05	3.15146	
7.00000E-05	3.15132	
