E(MeV)	Nb-nat			
1.00000E-11	95.623			
1.10304E-11	91.0917			
1.21669E-11	86.7795			
1.34205E-11	82.6759			
1.48034E-11	78.7711			
1.63287E-11	75.0599			
1.63915E-11	74.9198			
1.80111E-11	71.5245			
1.80804E-11	71.3914			
1.98669E-11	68.1612			
1.99434E-11	68.0345			
2.19139E-11	64.9682			
2.21535E-11	64.6267			
2.41719E-11	61.9293			
2.46073E-11	61.3966			
2.66625E-11	59.038			
2.73342E-11	58.3326			
2.94097E-11	56.2872			
3.03618E-11	55.4291			
3.24400E-11	53.6706			
3.37265E-11	52.6755			
3.57825E-11	51.182			
3.62873E-11	50.8469			
3.74621E-11	50.0672			
3.94694E-11	48.8155			
4.05910E-11	48.1768			
4.16136E-11	47.5944			
4.35362E-11	46.564			
4.54050E-11	45.6497			
4.60053E-11	45.3561			
4.80221E-11	44.4272			
5.07900E-11	43.2641			
5.11010E-11	43.1334			
5.29701E-11	42.3951			
5.68136E-11	41.0107			
5.68616E-11	40.9935			
5.84280E-11	40.4629			
6.31628E-11	39.0015			
6.35517E-11	38.8885			
6.44483E-11	38.628			
7.01590E-11	37.117			
7.10888E-11	36.8853			
7.79338E-11	35.3331			
7.84136E-11	35.2306			
7.95199E-11	35.0156			
8.64931E-11	33.6607			
8.65660E-11	33.6478			
9.02057E-11	33.043			
9.54051E-11	32.179			
9.67054E-11	31.9816			
1.02328E-10	31.1828			
1.05235E-10	30.7698			
1.07422E-10	30.4862			
1.16078E-10	29.434			
1.19590E-10	29.0448			
1.28039E-10	28.168			
1.31677E-10	27.8242			
1.33773E-10	27.6261			
1.41232E-10	26.9664			
1.49638E-10	26.2901			
1.51479E-10	26.1514			
1.55784E-10	25.8269			
1.67385E-10	25.0326			
1.71835E-10	24.7472			
1.74259E-10	24.6061			
1.87883E-10	23.8134			
1.89540E-10	23.7231			
1.94926E-10	23.4573			
2.09070E-10	22.7594			
2.11638E-10	22.6441			
2.27404E-10	21.9855			
2.30612E-10	21.8515			
2.38807E-10	21.5406			
2.54374E-10	20.9904			
2.69035E-10	20.5207			
2.69550E-10	20.5042			
2.80583E-10	20.1747			
3.05772E-10	19.4944			
3.09494E-10	19.4006			
3.22779E-10	19.0986			
3.41383E-10	18.6757			
3.47435E-10	18.551			
3.76558E-10	17.9947			
3.92722E-10	17.7156			
3.96884E-10	17.6438			
4.15358E-10	17.3476			
4.54319E-10	16.7847			
4.58155E-10	16.7332			
4.84562E-10	16.4143			
5.05362E-10	16.1632			
5.23603E-10	15.9645			
5.57433E-10	15.6239			
6.06315E-10	15.1815			
6.07656E-10	15.1694			
6.14869E-10	15.1088			
6.78223E-10	14.6328			
7.08901E-10	14.4256			
7.48105E-10	14.181			
7.80217E-10	14.0017			
8.25188E-10	13.7506			
8.32806E-10	13.7123			
9.10213E-10	13.355			
9.89038E-10	13.0296			
1.00400E-09	12.9725			
1.01816E-09	12.9244			
1.10745E-09	12.6211			
1.18865E-09	12.3748			
1.22156E-09	12.2828			
1.34742E-09	11.9701			
1.45635E-09	11.7291			
1.48625E-09	11.6681			
1.63939E-09	11.3918			
1.75835E-09	11.2012			
1.80831E-09	11.1211			
1.82228E-09	11.1012			
1.99463E-09	10.8764			
2.20015E-09	10.6393			
2.29460E-09	10.5427			
2.34494E-09	10.4911			
2.42685E-09	10.4142			
2.67691E-09	10.2074			
2.95273E-09	10.006			
3.11100E-09	9.90368			
3.25697E-09	9.81727			
3.59256E-09	9.64282			
3.64324E-09	9.61962			
3.96272E-09	9.47344			
4.19113E-09	9.38121			
4.32406E-09	9.32753			
4.37103E-09	9.31012			
4.62297E-09	9.22845			
4.82141E-09	9.16413			
4.95841E-09	9.12521			
5.24420E-09	9.04401			
5.31819E-09	9.02299			
5.54647E-09	8.96603			
5.78455E-09	8.90662			
5.86616E-09	8.88626			
6.03285E-09	8.84964			
6.20428E-09	8.81198			
6.38057E-09	8.77325			
6.40106E-09	8.76875			
6.47059E-09	8.75475			
6.56188E-09	8.73873			
6.74834E-09	8.706			
6.94010E-09	8.67234			
7.13730E-09	8.63772			
7.23800E-09	8.62229			
7.34011E-09	8.60663			
7.44367E-09	8.59076			
7.54868E-09	8.57466			
7.65518E-09	8.55834			
7.76318E-09	8.54178			
7.87271E-09	8.525			
7.98378E-09	8.51011			
8.09641E-09	8.495			
8.21064E-09	8.47969			
8.32648E-09	8.46416			
8.44395E-09	8.44841			
8.56308E-09	8.43244			
8.68389E-09	8.41624			
8.80640E-09	8.40184			
8.93064E-09	8.38724			
9.05664E-09	8.37244			
9.18441E-09	8.35743			
9.31399E-09	8.3422			
9.44539E-09	8.32676			
9.57865E-09	8.3111			
9.71379E-09	8.29716			
9.85083E-09	8.28301			
9.98981E-09	8.26867			
1.01307E-08	8.25413			
1.02737E-08	8.23938			
1.04020E-08	8.22614			
1.05656E-08	8.21068			
1.08658E-08	8.18602			
1.11746E-08	8.16065			
1.14921E-08	8.13457			
1.16543E-08	8.12125			
1.18187E-08	8.1095			
1.21545E-08	8.08549			
1.26762E-08	8.04819			
1.28551E-08	8.0354			
1.32204E-08	8.01264			
1.39824E-08	7.96517			
1.41796E-08	7.95288			
1.52085E-08	7.89693			
1.56406E-08	7.87343			
1.72522E-08	7.79682			
1.82466E-08	7.75541			
1.90298E-08	7.72279			
2.09906E-08	7.65111			
2.31534E-08	7.58158			
2.51425E-08	7.5248			
2.51838E-08	7.52357			
2.52419E-08	7.52185			
2.53000E-08	7.52022			
2.79068E-08	7.4526			
3.07823E-08	7.38625			
3.39540E-08	7.32091			
3.74525E-08	7.25637			
4.13115E-08	7.19238			
4.21898E-08	7.17922			
4.55681E-08	7.13746			
5.02633E-08	7.08582			
5.54423E-08	7.03493			
6.11549E-08	6.98464			
6.74561E-08	6.93477			
6.84078E-08	6.92797			
7.44066E-08	6.8933			
8.20732E-08	6.85408			
9.05297E-08	6.81571			
1.00562E-07	6.77528			
1.11701E-07	6.73527			
1.22353E-07	6.70097			
1.23210E-07	6.69875			
1.35905E-07	6.66978			
1.49908E-07	6.64158			
1.65354E-07	6.61407			
1.82392E-07	6.58721			
2.02604E-07	6.55881			
2.23480E-07	6.5326			
2.48234E-07	6.50478			
2.49985E-07	6.50301			
2.73811E-07	6.48465			
3.04154E-07	6.46419			
3.37843E-07	6.44437			
3.72653E-07	6.42645			
4.13950E-07	6.40759			
4.59801E-07	6.38907			
5.10755E-07	6.37085			
5.67328E-07	6.35282			
6.30198E-07	6.33491			
6.39089E-07	6.33263			
6.95131E-07	6.32215			
7.83020E-07	6.30798			
8.69792E-07	6.29584			
9.66133E-07	6.28408			
1.07320E-06	6.27259			
1.19207E-06	6.26138			
1.32417E-06	6.25037			
1.47084E-06	6.23952			
1.63384E-06	6.22884			
1.80218E-06	6.21883			
2.01592E-06	6.20738			
2.23921E-06	6.19661			
2.48735E-06	6.18566			
2.74364E-06	6.17836			
3.04754E-06	6.1706			
3.36155E-06	6.1634			
3.70791E-06	6.15616			
4.11881E-06	6.14842			
4.51138E-06	6.14169			
4.94161E-06	6.13482			
5.41259E-06	6.12782			
5.92876E-06	6.12068			
6.63190E-06	6.11159			
7.36648E-06	6.10278			
8.24013E-06	6.09292			
9.02594E-06	6.08458			
9.95595E-06	6.07507			
1.10587E-05	6.06434			
1.23703E-05	6.05212			
1.36448E-05	6.04068			
1.51569E-05	6.02755			
1.55876E-05	6.02392			
1.68358E-05	6.01601			
1.87015E-05	6.0046			
2.06284E-05	5.99325			
2.25945E-05	5.98204			
2.42340E-05	5.97301			
2.58116E-05	5.96465			
2.68879E-05	5.95918			
2.78457E-05	5.95455			
2.86369E-05	5.95098			
2.92458E-05	5.94844			
2.98661E-05	5.94613			
3.02875E-05	5.94478			
3.07148E-05	5.94366			
3.11481E-05	5.94287			
3.14777E-05	5.9426			
3.18104E-05	5.9427			
3.20332E-05	5.94305			
3.22592E-05	5.94369			
3.24851E-05	5.94473			
3.26570E-05	5.94585			
3.28289E-05	5.94732			
3.30016E-05	5.94923			
3.31758E-05	5.95174			
3.32920E-05	5.95381			
3.34082E-05	5.95627			
3.35261E-05	5.95923			
3.36439E-05	5.96277			
3.37323E-05	5.96589			
3.38206E-05	5.96948			
3.39094E-05	5.97366			
3.39991E-05	5.97857			
3.40887E-05	5.98432			
3.41484E-05	5.9887			
3.42082E-05	5.99361			
3.42679E-05	5.9991			
3.43277E-05	6.0053			
3.43808E-05	6.01147			
3.44272E-05	6.01748			
3.44736E-05	6.02412			
3.45201E-05	6.0315			
3.45665E-05	6.03972			
3.46129E-05	6.04892			
3.46594E-05	6.05924			
3.47058E-05	6.07088			
3.47447E-05	6.08181			
3.47761E-05	6.09153			
3.48075E-05	6.10216			
3.48388E-05	6.11382			
3.48702E-05	6.12667			
3.49015E-05	6.14085			
3.49329E-05	6.15656			
3.49643E-05	6.17405			
3.49930E-05	6.19186			
3.50192E-05	6.20976			
3.50453E-05	6.22953			
3.50714E-05	6.25144			
3.50976E-05	6.27581			
3.51237E-05	6.30305			
3.51433E-05	6.32564			
3.51629E-05	6.35037			
3.51825E-05	6.3775			
3.51982E-05	6.40117			
3.52165E-05	6.43129			
3.52348E-05	6.46444			
3.52531E-05	6.50109			
3.52714E-05	6.54174			
3.52897E-05	6.58702			
3.53080E-05	6.63766			
3.53217E-05	6.67969			
3.53354E-05	6.72567			
3.53480E-05	6.77156			
3.53605E-05	6.82157			
3.53731E-05	6.87618			
3.53856E-05	6.93591			
3.53982E-05	7.00134			
3.54107E-05	7.0731			
3.54233E-05	7.15192			
3.54358E-05	7.23856			
3.54476E-05	7.32763			
3.54593E-05	7.42504			
3.54711E-05	7.53159			
3.54734E-05	7.55489			
3.54828E-05	7.6482			
3.54946E-05	7.77564			
3.55038E-05	7.8828			
3.55142E-05	8.01445			
3.55247E-05	8.1565			
3.55351E-05	8.30956			
3.55456E-05	8.47419			
3.55560E-05	8.65097			
3.55665E-05	8.84037			
3.55769E-05	9.04283			
3.55874E-05	9.2587			
3.56031E-05	9.60812			
3.56188E-05	9.9885			
3.56344E-05	10.3994			
3.56501E-05	10.8394			
3.56658E-05	11.3061			
3.56867E-05	11.964			
3.57181E-05	13.0024			
3.57599E-05	14.3961			
3.57808E-05	15.0508			
3.58017E-05	15.6473			
3.58174E-05	16.0428			
3.58331E-05	16.3839			
3.58467E-05	16.6295			
3.58603E-05	16.8237			
3.58760E-05	16.9796			
3.58770E-05	16.9852			
3.58898E-05	17.0532			
3.58992E-05	17.0684			
3.59091E-05	17.0537			
3.59220E-05	16.9878			
3.59376E-05	16.8377			
3.59502E-05	16.6648			
3.59680E-05	16.3452			
3.59836E-05	15.9978			
3.59993E-05	15.5974			
3.60150E-05	15.1531			
3.60359E-05	14.5088			
3.60725E-05	13.3018			
3.61091E-05	12.0891			
3.61300E-05	11.4288			
3.61457E-05	10.9589			
3.61614E-05	10.5147			
3.61771E-05	10.099			
3.61927E-05	9.71316			
3.62084E-05	9.3579			
3.62189E-05	9.13802			
3.62293E-05	8.93148			
3.62398E-05	8.73798			
3.62502E-05	8.55714			
3.62607E-05	8.38848			
3.62712E-05	8.2315			
3.62816E-05	8.08562			
3.62921E-05	7.95026			
3.63046E-05	7.80086			
3.63156E-05	7.68102			
3.63266E-05	7.57061			
3.63375E-05	7.46893			
3.63485E-05	7.37533			
3.63613E-05	7.27549			
3.63723E-05	7.19725			
3.63833E-05	7.12519			
3.63943E-05	7.05877			
3.64052E-05	6.99751			
3.64162E-05	6.94096			
3.64327E-05	6.86406			
3.64482E-05	6.79916			
3.64620E-05	6.74736			
3.64757E-05	6.70011			
3.64894E-05	6.6569			
3.65077E-05	6.60482			
3.65260E-05	6.55825			
3.65443E-05	6.51643			
3.65626E-05	6.47874			
3.65809E-05	6.44462			
3.66018E-05	6.40944			
3.66253E-05	6.37404			
3.66488E-05	6.34243			
3.66724E-05	6.31407			
3.66959E-05	6.28851			
3.67194E-05	6.26539			
3.67429E-05	6.24439			
3.67665E-05	6.22525			
3.67939E-05	6.20498			
3.68253E-05	6.18418			
3.68566E-05	6.16555			
3.68880E-05	6.14879			
3.69194E-05	6.13366			
3.69507E-05	6.11994			
3.69821E-05	6.10746			
3.70135E-05	6.09607			
3.70533E-05	6.08297			
3.70775E-05	6.07569			
3.71259E-05	6.06245			
3.71742E-05	6.05073			
3.72226E-05	6.04031			
3.72709E-05	6.03099			
3.73193E-05	6.02263			
3.73676E-05	6.01509			
3.74160E-05	6.00828			
3.74813E-05	6.00005			
3.75467E-05	5.99279			
3.76120E-05	5.98635			
3.76773E-05	5.98061			
3.77427E-05	5.97546			
3.78080E-05	5.97084			
3.79061E-05	5.96474			
3.80056E-05	5.95941			
3.81060E-05	5.95476			
3.82063E-05	5.95072			
3.83067E-05	5.94719			
3.84071E-05	5.94411			
3.85418E-05	5.94056			
3.86775E-05	5.93758			
3.88132E-05	5.93512			
3.89489E-05	5.93311			
3.90949E-05	5.93142			
3.92513E-05	5.93013			
3.93294E-05	5.92968			
3.94681E-05	5.9292			
3.96068E-05	5.92916			
3.97456E-05	5.92959			
3.98843E-05	5.93056			
3.99898E-05	5.93171			
4.00953E-05	5.93328			
4.02008E-05	5.93534			
4.03063E-05	5.93798			
4.04118E-05	5.94134			
4.05009E-05	5.94484			
4.05818E-05	5.94868			
4.06628E-05	5.95325			
4.07437E-05	5.95873			
4.07976E-05	5.96299			
