MeV	Ni-nat
1.00000E-11	363.752
1.10304E-11	346.446
1.11082E-11	345.318
1.21669E-11	329.973
1.23386E-11	327.825
1.34205E-11	314.293
1.37059E-11	311.213
1.48034E-11	299.369
1.52240E-11	295.452
1.63287E-11	285.164
1.69111E-11	280.485
1.80111E-11	271.646
1.87842E-11	266.286
1.98669E-11	258.78
2.08659E-11	252.805
2.19139E-11	246.537
2.31770E-11	240.02
2.41719E-11	234.887
2.57455E-11	227.883
2.66625E-11	223.801
2.85971E-11	216.373
2.94097E-11	213.253
3.17662E-11	205.449
3.24400E-11	203.218
3.52847E-11	195.109
3.57825E-11	193.69
3.60349E-11	193.033
3.91949E-11	185.291
3.94694E-11	184.619
3.99625E-11	183.517
4.35362E-11	175.992
4.38433E-11	175.403
4.43911E-11	174.351
4.80221E-11	167.784
4.90431E-11	166.102
4.93080E-11	165.665
5.29701E-11	159.977
5.47722E-11	157.427
5.48596E-11	157.311
5.84280E-11	152.55
6.08390E-11	149.622
6.13659E-11	149.019
6.44483E-11	145.488
6.75810E-11	142.223
6.86438E-11	141.177
7.10888E-11	138.772
7.50665E-11	135.215
7.73227E-11	133.309
7.84136E-11	132.388
8.33853E-11	128.573
8.64931E-11	126.32
8.71032E-11	125.918
9.26213E-11	122.285
9.54051E-11	120.553
9.81160E-11	119.022
1.02885E-10	116.329
1.05235E-10	115.074
1.10527E-10	112.511
1.14281E-10	110.693
1.16078E-10	109.87
1.25379E-10	106.008
1.26946E-10	105.357
1.28039E-10	104.928
1.41007E-10	100.312
1.41232E-10	100.236
1.42228E-10	99.9321
1.55784E-10	95.7963
1.56633E-10	95.5607
1.62471E-10	94.0346
1.71835E-10	91.5868
1.73982E-10	91.0766
1.86904E-10	88.1886
1.89540E-10	87.5995
1.94616E-10	86.5691
2.09070E-10	83.8131
2.15011E-10	82.7854
2.17697E-10	82.3208
2.30612E-10	80.2201
2.37165E-10	79.2543
2.43516E-10	78.3184
2.54374E-10	76.8121
2.72396E-10	74.5497
2.76680E-10	74.0429
2.80583E-10	73.5812
3.04702E-10	71.0029
3.09494E-10	70.5205
3.25056E-10	69.1069
3.41383E-10	67.6237
3.43244E-10	67.4705
3.76558E-10	64.904
3.84565E-10	64.3458
3.86642E-10	64.201
4.15358E-10	62.3249
4.35548E-10	61.1334
4.58155E-10	59.883
4.61387E-10	59.7219
4.94077E-10	58.0922
5.05362E-10	57.5646
5.57433E-10	55.3752
5.60471E-10	55.2598
6.14869E-10	53.3334
6.40241E-10	52.5239
6.78223E-10	51.3923
7.31400E-10	49.9689
7.48105E-10	49.5504
8.25188E-10	47.8207
8.41391E-10	47.4937
9.10213E-10	46.2015
9.74703E-10	45.1163
1.00400E-09	44.6565
1.10745E-09	43.2068
1.13710E-09	42.8342
1.21306E-09	41.9479
1.22156E-09	41.8487
1.33592E-09	40.6575
1.34742E-09	40.5457
1.45538E-09	39.6138
1.48625E-09	39.3473
1.59156E-09	38.5366
1.63939E-09	38.1944
1.73389E-09	37.5946
1.80831E-09	37.1222
1.92296E-09	36.4742
1.99463E-09	36.0983
2.03704E-09	35.9014
2.20015E-09	35.1438
2.35604E-09	34.5006
2.37644E-09	34.4225
2.42685E-09	34.2295
2.67691E-09	33.3838
2.75297E-09	33.1559
2.94803E-09	32.5715
2.95273E-09	32.5584
3.16698E-09	32.0333
3.25697E-09	31.8127
3.59256E-09	31.0868
3.61790E-09	31.0383
3.79358E-09	30.7019
3.96272E-09	30.4025
4.13282E-09	30.1378
