E(MeV)	"O-16(N,TOT)"
1.00000E-11	54.976
1.10304E-11	52.3566
1.21669E-11	49.8631
1.34205E-11	47.4895
1.48034E-11	45.2306
1.48080E-11	45.2231
1.63287E-11	43.083
1.63646E-11	43.0325
1.80111E-11	41.0409
1.81111E-11	40.9199
1.98669E-11	39.0938
2.00055E-11	38.9496
2.19139E-11	37.2384
2.20603E-11	37.1072
2.41719E-11	35.4731
2.43333E-11	35.3482
2.66625E-11	33.7932
2.68405E-11	33.6743
2.94097E-11	32.1999
2.97499E-11	32.0047
3.24400E-11	30.6777
3.28152E-11	30.4926
3.57825E-11	29.2299
3.61964E-11	29.0538
3.94694E-11	27.8524
3.99260E-11	27.6849
4.35362E-11	26.5419
4.40398E-11	26.3825
4.80221E-11	25.2952
4.85775E-11	25.1436
5.29701E-11	24.1093
5.35828E-11	23.9651
5.84280E-11	22.9814
5.91038E-11	22.8442
6.44483E-11	21.9087
6.51937E-11	21.7783
7.10888E-11	20.8887
7.19111E-11	20.7647
7.84136E-11	19.9189
7.93206E-11	19.801
8.64931E-11	18.997
8.74935E-11	18.8849
9.54051E-11	18.1207
9.65086E-11	18.0141
1.05235E-10	17.288
1.06453E-10	17.1867
1.16078E-10	16.4987
1.17851E-10	16.372
1.28039E-10	15.7478
1.30308E-10	15.6088
1.41232E-10	15.0367
1.44741E-10	14.8529
1.55784E-10	14.3605
1.60781E-10	14.1376
1.71835E-10	13.718
1.78590E-10	13.4616
1.89540E-10	13.1079
1.98380E-10	12.8223
2.09070E-10	12.5286
2.20364E-10	12.2183
2.30612E-10	11.9791
2.45029E-10	11.6426
2.54374E-10	11.4575
2.72342E-10	11.1016
2.80583E-10	10.963
3.02522E-10	10.5941
3.09494E-10	10.4946
3.36031E-10	10.1158
3.41383E-10	10.0512
3.74506E-10	9.65118
3.76558E-10	9.63029
4.15358E-10	9.2354
4.17608E-10	9.2125
4.58155E-10	8.86405
4.63863E-10	8.815
5.05362E-10	8.51346
5.15737E-10	8.43807
5.57433E-10	8.18327
5.76043E-10	8.06955
6.14869E-10	7.87065
6.42118E-10	7.73106
6.78223E-10	7.57631
7.17855E-10	7.40645
7.48105E-10	7.29843
8.02992E-10	7.10244
8.25188E-10	7.03672
9.01149E-10	6.81179
9.10213E-10	6.78957
1.00400E-09	6.55967
1.00802E-09	6.5498
1.10745E-09	6.34785
1.12757E-09	6.30697
1.22156E-09	6.15004
1.27020E-09	6.06882
1.34742E-09	5.96356
1.42891E-09	5.85248
1.48625E-09	5.78899
1.61410E-09	5.64742
1.63939E-09	5.6248
1.80831E-09	5.4737
1.82216E-09	5.46132
1.99463E-09	5.33751
2.06702E-09	5.28555
2.20015E-09	5.2099
2.36121E-09	5.11838
2.42685E-09	5.0892
2.67691E-09	4.97803
2.70300E-09	4.96643
2.95273E-09	4.88032
3.10515E-09	4.82776
3.25697E-09	4.78776
3.59256E-09	4.69934
3.59714E-09	4.69813
3.96272E-09	4.62586
4.19647E-09	4.57965
4.37103E-09	4.55421
4.82141E-09	4.48856
4.93020E-09	4.4727
5.31819E-09	4.43198
5.86616E-09	4.37447
5.87364E-09	4.37369
6.47059E-09	4.32995
7.09669E-09	4.28407
7.13730E-09	4.28205
7.87271E-09	4.24555
8.68389E-09	4.20529
8.69496E-09	4.20474
9.57865E-09	4.1761
1.05656E-08	4.14411
1.08797E-08	4.13393
1.16543E-08	4.11833
1.28551E-08	4.09415
1.40002E-08	4.07109
1.41796E-08	4.06898
1.56406E-08	4.05183
1.72522E-08	4.03291
1.86583E-08	4.0164
1.90298E-08	4.01398
2.09906E-08	4.00122
2.31534E-08	3.98714
2.52419E-08	3.97355
2.52579E-08	3.97345
2.53000E-08	3.97324
2.79068E-08	3.9648
3.07823E-08	3.95549
3.39540E-08	3.94521
3.74525E-08	3.93389
4.13115E-08	3.92871
4.55681E-08	3.923
5.02633E-08	3.9167
5.54423E-08	3.90976
6.11549E-08	3.9021
6.74561E-08	3.8994
7.44066E-08	3.89642
8.20732E-08	3.89314
9.05297E-08	3.88952
9.98577E-08	3.88553
1.10147E-07	3.88112
1.17317E-07	3.87805
1.21496E-07	3.8777
1.34014E-07	3.87663
1.47823E-07	3.87546
1.63054E-07	3.87416
1.79855E-07	3.87273
1.98386E-07	3.87116
2.18827E-07	3.86942
2.41375E-07	3.86751
2.66245E-07	3.8654
2.93678E-07	3.86307
3.08445E-07	3.86181
3.23938E-07	3.86174
3.57316E-07	3.86158
3.94132E-07	3.86141
4.34743E-07	3.86122
4.79537E-07	3.86102
5.28947E-07	3.86079
5.83448E-07	3.86053
6.48105E-07	3.86024
7.14884E-07	3.85993
7.88543E-07	3.85959
8.69792E-07	3.85921
9.59413E-07	3.8588
1.05827E-06	3.85834
1.17549E-06	3.8578
1.29660E-06	3.85724
1.44029E-06	3.85658
1.59982E-06	3.85585
1.76466E-06	3.85509
1.96022E-06	3.85419
2.16219E-06	3.85326
2.38498E-06	3.85325
2.63072E-06	3.85323
2.94272E-06	3.85322
3.29172E-06	3.8532
3.63089E-06	3.85318
4.00501E-06	3.85316
4.41767E-06	3.85314
4.87286E-06	3.85312
5.33729E-06	3.85309
6.01240E-06	3.85306
6.67836E-06	3.85302
7.47040E-06	3.85298
8.35638E-06	3.85294
9.21740E-06	3.85289
1.00257E-05	3.85285
1.11367E-05	3.85279
1.24575E-05	3.85273
1.37411E-05	3.85266
1.51569E-05	3.85259
1.67187E-05	3.85251
1.87015E-05	3.85241
2.03414E-05	3.85232
2.24374E-05	3.85222
2.49226E-05	3.85209
2.56308E-05	3.85206
2.82717E-05	3.85206
3.18478E-05	3.85207
3.53753E-05	3.85207
3.90203E-05	3.85208
3.95708E-05	3.85208
4.36481E-05	3.85207
4.95135E-05	3.85206
5.73614E-05	3.85204
6.50696E-05	3.85202
7.12714E-05	3.85201
8.31463E-05	3.85199
9.63249E-05	3.85196
1.02590E-04	3.85195
1.19684E-04	3.85191
1.40609E-04	3.85187
1.94068E-04	3.85176
2.12564E-04	3.85172
3.15447E-04	3.85151
4.01267E-04	3.85133
5.02091E-04	3.85113
6.92980E-04	3.85074
7.22726E-04	3.85068
8.79334E-04	3.85035
1.23077E-03	3.84963
1.43416E-03	3.84922
1.72066E-03	3.84863
2.01411E-03	3.84803
2.38284E-03	3.84728
2.85884E-03	3.8463
3.18459E-03	3.84563
3.77550E-03	3.84442
4.51707E-03	3.8429
5.05279E-03	3.84181
6.08617E-03	3.83969
7.20039E-03	3.83741
8.40007E-03	3.83495
9.98611E-03	3.8317
1.20291E-02	3.82751
1.43997E-02	3.82266
1.71961E-02	3.81693
2.01411E-02	3.81089
2.43745E-02	3.80222
2.89550E-02	3.79283
3.45912E-02	3.78128
4.13665E-02	3.7674
4.91870E-02	3.75137
5.90805E-02	3.7311
7.08400E-02	3.707
8.33365E-02	3.6814
1.00272E-01	3.64669
1.11860E-01	3.62294
1.23019E-01	3.60393
1.59405E-01	3.54194
1.82512E-01	3.50257
2.15428E-01	3.46285
2.27847E-01	3.44786
2.37050E-01	3.4429
2.55040E-01	3.4332
2.55624E-01	3.43289
2.60000E-01	3.43147
2.69431E-01	3.43652
2.80404E-01	3.44239
2.81975E-01	3.44323
2.91120E-01	3.4597
3.01130E-01	3.47772
3.02116E-01	3.4795
3.09687E-01	3.50515
3.12187E-01	3.51362
3.17564E-01	3.54017
3.22257E-01	3.56335
3.24000E-01	3.5746
3.30000E-01	3.61333
3.30424E-01	3.61725
3.36144E-01	3.67012
3.40000E-01	3.70575
3.41150E-01	3.72111
3.45963E-01	3.78538
3.50000E-01	3.83929
3.50434E-01	3.8478
3.54724E-01	3.93186
3.58300E-01	4.00192
3.59945E-01	4.03416
3.61864E-01	4.09071
3.65440E-01	4.19609
3.68300E-01	4.28037
3.70000E-01	4.33047
3.71160E-01	4.38374
3.74020E-01	4.51507
3.76880E-01	4.6464
3.79730E-01	4.77727
3.80000E-01	4.78967
3.81874E-01	4.92927
3.84020E-01	5.08907
3.86164E-01	5.24878
3.88310E-01	5.40858
3.90000E-01	5.53445
3.90454E-01	5.59173
3.92600E-01	5.86222
3.94030E-01	6.04249
3.96164E-01	6.31156
3.97594E-01	6.49183
3.99740E-01	6.76232
4.00000E-01	6.7951
4.01170E-01	7.01605
4.03314E-01	7.42099
4.04744E-01	7.69104
4.05000E-01	7.73931
4.06174E-01	8.03066
4.07604E-01	8.38542
4.09750E-01	8.91773
4.10000E-01	8.97975
4.11894E-01	9.58206
4.14030E-01	10.2611
4.15000E-01	10.5695
4.16174E-01	11.0189
4.20000E-01	12.4829
4.22610E-01	13.5309
4.24040E-01	14.105
4.25000E-01	14.4905
4.25470E-01	14.6381
4.26900E-01	15.0871
4.28330E-01	15.5362
4.29760E-01	15.9853
4.30000E-01	16.0606
4.31180E-01	16.1773
4.32610E-01	16.3187
4.34040E-01	16.4601
4.35000E-01	16.555
4.35470E-01	16.4806
4.36900E-01	16.2541
4.38330E-01	16.0277
4.39760E-01	15.8012
4.39986E-01	15.7653
4.41190E-01	15.3665
4.44050E-01	14.4187
4.45000E-01	14.1039
4.49044E-01	12.5688
4.50000E-01	12.206
4.51190E-01	11.7932
4.53334E-01	11.0492
4.55000E-01	10.4714
4.55480E-01	10.334
4.57624E-01	9.72032
4.59770E-01	9.10632
4.60000E-01	9.0405
4.61914E-01	8.60794
4.63344E-01	8.28485
4.65000E-01	7.91079
4.65480E-01	7.82641
4.67624E-01	7.44945
4.69770E-01	7.0723
4.70000E-01	7.03188
4.71914E-01	6.76983
4.74060E-01	6.47616
4.75000E-01	6.3475
4.76204E-01	6.2181
4.78350E-01	5.98761
4.80000E-01	5.81036
4.80494E-01	5.76819
4.83349E-01	5.52471
4.85000E-01	5.38395
4.85490E-01	5.35037
4.88350E-01	5.15436
4.90000E-01	5.04127
4.90494E-01	5.01369
4.93354E-01	4.85412
4.95000E-01	4.76232
4.96215E-01	4.7065
4.98360E-01	4.60789
5.00000E-01	4.53252
5.10000E-01	4.1794
5.20000E-01	3.92365
5.30000E-01	3.73162
5.40000E-01	3.5827
5.50000E-01	3.46398
5.60000E-01	3.36727
5.70000E-01	3.28666
5.84091E-01	3.19428
6.00000E-01	3.10825
6.24374E-01	3.0074
6.44515E-01	2.94038
6.69311E-01	2.87354
7.00000E-01	2.80734
7.30047E-01	2.76071
7.60000E-01	2.72913
7.80000E-01	2.72003
8.00000E-01	2.72314
8.20000E-01	2.74314
8.40000E-01	2.78786
8.60000E-01	2.87068
8.80000E-01	3.01512
9.00000E-01	3.26424
9.10000E-01	3.45084
9.20000E-01	3.69788
9.30000E-01	4.02554
9.40000E-01	4.45839
9.50000E-01	5.02152
9.60000E-01	5.72747
9.70000E-01	6.50826
9.80000E-01	7.36364
9.90000E-01	7.96906
1.00000E+00	8.15305
1.01000E+00	7.86968
1.02000E+00	7.26724
1.02842E+00	6.66985
1.03250E+00	6.3799
1.03567E+00	6.16253
1.04000E+00	5.86561
1.05000E+00	5.27154
1.05764E+00	4.89671
1.06000E+00	4.78082
1.06510E+00	4.57801
1.07000E+00	4.38308
1.08000E+00	4.06184
1.09000E+00	3.80151
1.10000E+00	3.58879
1.11000E+00	3.41401
1.12000E+00	3.26776
1.13000E+00	3.1451
1.14000E+00	3.04224
1.15000E+00	2.95484
1.16000E+00	2.88013
1.17000E+00	2.8174
1.18000E+00	2.76443
1.19000E+00	2.72204
1.19142E+00	2.71731
1.20000E+00	2.68873
1.21000E+00	2.66696
1.22000E+00	2.65805
1.23000E+00	2.66756
1.24000E+00	2.6988
1.24256E+00	2.71663
1.25000E+00	2.76845
1.26000E+00	2.89917
1.27000E+00	3.1374
1.28000E+00	3.57332
1.28500E+00	3.91308
1.29000E+00	4.36666
1.29500E+00	4.94821
1.29590E+00	5.06936
1.30125E+00	5.79343
1.30500E+00	6.28574
1.31000E+00	6.69748
1.31500E+00	6.68004
