E(MeV)	mcnp/Pb-207:1
1.00000E-11	79.90503814
1.15436E-11	74.53415178
1.30872E-11	70.15294319
1.61743E-11	63.376611
1.92615E-11	58.32484832
2.23486E-11	54.37661131
2.54358E-11	51.18443524
2.85229E-11	48.53662037
3.46973E-11	44.36933891
4.08716E-11	41.21177359
4.70459E-11	38.71793208
5.32202E-11	36.68741649
5.93945E-11	34.99516182
7.17431E-11	32.32059956
8.40918E-11	30.2882547
9.64404E-11	28.68188592
1.08789E-10	27.37452294
1.33486E-10	25.36362424
1.58184E-10	23.87887677
1.82881E-10	22.73067044
2.07578E-10	21.81213361
2.56973E-10	20.42608479
3.06367E-10	19.42237722
3.55762E-10	18.65670251
4.05156E-10	18.05013018
5.03945E-10	17.14329262
6.02734E-10	16.49145219
7.01523E-10	15.995907
8.00313E-10	15.60382652
9.97891E-10	15.01750811
1.19547E-09	14.5952346
1.39305E-09	14.27334783
1.59063E-09	14.0179346
1.98578E-09	13.63446239
2.34465E-09	13.37933008
2.34465E-09	13.37932946
2.77609E-09	13.14477065
3.17125E-09	12.97585738
3.96156E-09	12.7210651
4.75188E-09	12.53566872
5.54219E-09	12.39352612
6.33250E-09	12.28030798
7.91313E-09	12.10873381
9.49375E-09	11.98295546
1.10744E-08	11.88637519
1.26550E-08	11.80964416
1.58163E-08	11.69277095
1.89775E-08	11.60648604
2.21388E-08	11.54008343
2.53000E-08	11.4874153
3.11419E-08	11.41219797
3.69838E-08	11.35541965
4.28257E-08	11.31103001
4.86676E-08	11.2755326
6.03514E-08	11.22055752
7.20353E-08	11.17934768
8.37191E-08	11.14728619
9.54029E-08	11.12169669
1.18771E-07	11.08229208
1.42138E-07	11.05291847
1.65506E-07	11.03011039
1.88873E-07	11.01173792
2.12241E-07	10.996642
2.58976E-07	10.97279976
3.05712E-07	10.9545946
3.52447E-07	10.94018268
3.99182E-07	10.92846936
4.92653E-07	10.91025076
5.86123E-07	10.89655033
6.79594E-07	10.88580697
7.73064E-07	10.87712276
9.60005E-07	10.8637264
1.14695E-06	10.85373622
1.33389E-06	10.84593925
1.52083E-06	10.83965129
1.89471E-06	10.82999128
2.26859E-06	10.82281787
2.64247E-06	10.81723042
3.01636E-06	10.81272681
3.76412E-06	10.80581909
4.51189E-06	10.8006973
5.25965E-06	10.79670821
6.00742E-06	10.79349021
7.50294E-06	10.78855137
8.99847E-06	10.78488491
1.04940E-05	10.78202267
1.19895E-05	10.77970666
1.49806E-05	10.77613735
1.79717E-05	10.77347094
2.09627E-05	10.77137403
2.39538E-05	10.76966336
2.99359E-05	10.76699476
3.59180E-05	10.76496565
4.19001E-05	10.76333936
4.78823E-05	10.76198605
5.98465E-05	10.75981205
7.18107E-05	10.75809061
8.37750E-05	10.75665397
9.57392E-05	10.75541023
1.19668E-04	10.75329946
1.43596E-04	10.75150877
1.67525E-04	10.74991938
1.91453E-04	10.74846624
2.39310E-04	10.74582615
2.87167E-04	10.7434121
3.35024E-04	10.74113999
3.82881E-04	10.73896377
4.78595E-04	10.73479829
5.74309E-04	10.73079085
6.70023E-04	10.72688184
7.65737E-04	10.72303862
9.57164E-04	10.71547813
1.14859E-03	10.70802067
1.34002E-03	10.70062364
1.53145E-03	10.69326364
1.91430E-03	10.6786035
2.29716E-03	10.66397925
2.68001E-03	10.64939531
2.77573E-03	10.64578656
2.87144E-03	10.64226955
2.91930E-03	10.64063642
2.96716E-03	10.6393559
2.99108E-03	10.63919317
3.00305E-03	10.63948673
3.01501E-03	10.64041332
3.02698E-03	10.64289589
3.03296E-03	10.64561605
3.03894E-03	10.65074946
3.04193E-03	10.65517117
3.04492E-03	10.66215235
3.04791E-03	10.67391051
3.05091E-03	10.69510559
3.05240E-03	10.71312884
3.05390E-03	10.74171983
3.05539E-03	10.78883577
3.05614E-03	10.8255516
3.05689E-03	10.87831341
3.05763E-03	10.95749674
3.05801E-03	11.01325289
3.05838E-03	11.08608362
3.05876E-03	11.18523115
3.05913E-03	11.32967741
3.05932E-03	11.43131513
3.05950E-03	11.56590073
3.05969E-03	11.75184359
3.05988E-03	12.0193393
3.06007E-03	12.41664978
3.06016E-03	12.68434207
3.06025E-03	13.0180296
3.06035E-03	13.42525525
3.06044E-03	13.93227537
3.06053E-03	14.54828219
3.06063E-03	15.30955487
3.06072E-03	16.22515961
3.06081E-03	17.34262463
3.06091E-03	18.66717001
3.06100E-03	20.25734266
3.06109E-03	22.10837415
3.06119E-03	24.28743839
3.06128E-03	26.7712823
3.06137E-03	29.63080556
3.06147E-03	32.8144054
3.06156E-03	36.3896381
3.06165E-03	40.26741882
3.06175E-03	44.50393719
3.06203E-03	58.51436661
3.06231E-03	72.9967671
3.06250E-03	81.48049073
3.06264E-03	86.59016368
3.06275E-03	89.75005408
3.06289E-03	91.98537065
3.06300E-03	92.59239058
3.06311E-03	91.98743733
3.06320E-03	90.77365464
3.06329E-03	88.65681068
3.06346E-03	83.38282286
3.06359E-03	77.69027051
3.06389E-03	62.7732921
3.06422E-03	46.16924947
3.06432E-03	41.20149874
3.06443E-03	36.60275517
3.06454E-03	32.50263976
3.06465E-03	28.84557905
3.06476E-03	25.67017606
3.06487E-03	22.95710212
3.06498E-03	20.69297194
3.06509E-03	18.79500794
3.06519E-03	17.25310569
3.06530E-03	15.99191345
3.06541E-03	14.98960427
3.06552E-03	14.18521744
3.06563E-03	13.55071759
3.06574E-03	13.0526502
3.06585E-03	12.6657989
3.06595E-03	12.35965117
3.06617E-03	11.9290701
3.06639E-03	11.65636683
3.06661E-03	11.47354599
3.06682E-03	11.34501771
3.06704E-03	11.24906757
3.06748E-03	11.11342806
3.06791E-03	11.02146685
3.06835E-03	10.954722
3.06921E-03	10.86542488
3.07008E-03	10.80906676
3.07095E-03	10.77123728
3.07182E-03	10.74485711
3.07356E-03	10.71074296
3.07530E-03	10.68991181
3.07704E-03	10.67674536
3.08052E-03	10.6612111
3.08399E-03	10.65254589
3.08747E-03	10.64733169
3.09095E-03	10.64395836
3.09790E-03	10.63989025
3.10486E-03	10.63755454
3.11877E-03	10.63498534
3.13268E-03	10.63351242
3.14658E-03	10.63247811
3.17440E-03	10.6309217
3.23004E-03	10.62844571
3.28568E-03	10.62619492
3.39695E-03	10.62184185
3.50823E-03	10.61753639
3.95332E-03	10.60034593
4.84351E-03	10.56574583
5.73370E-03	10.53074544
6.62390E-03	10.49527619
7.51409E-03	10.45927862
8.40428E-03	10.42270349
9.29447E-03	10.38555244
9.73956E-03	10.36692148
9.96211E-03	10.35813854
1.00734E-02	10.35574272
1.01012E-02	10.35681559
1.01290E-02	10.36187412
1.01429E-02	10.36967958
1.01499E-02	10.37771391
1.01568E-02	10.39240077
1.01638E-02	10.42435119
1.01673E-02	10.45610408
1.01708E-02	10.51515192
1.01725E-02	10.56589978
1.01751E-02	10.70365096
1.01760E-02	10.78263219
1.01777E-02	11.06320583
1.01786E-02	11.35278699
1.01794E-02	11.95831267
1.01799E-02	12.52807243
1.01803E-02	13.47023292
1.01805E-02	14.10842049
1.01807E-02	14.9506592
1.01810E-02	16.00882026
1.01812E-02	17.32467233
1.01814E-02	18.86033337
1.01816E-02	20.80126582
1.01818E-02	23.11655859
1.01821E-02	25.83106151
1.01823E-02	28.80363035
1.01825E-02	32.30772641
1.01827E-02	36.17720111
1.01829E-02	40.35058711
1.01832E-02	46.77112248
1.01839E-02	59.5149694
1.01842E-02	63.91840572
1.01845E-02	67.96991256
1.01847E-02	69.59989341
1.01850E-02	70.47854718
1.01853E-02	69.33925678
1.01856E-02	67.0128341
1.01859E-02	62.66982449
1.01863E-02	55.57077108
1.01869E-02	43.4736472
1.01873E-02	35.93792415
1.01875E-02	33.44462181
1.01877E-02	29.20058056
1.01880E-02	25.37890311
1.01882E-02	22.28005754
1.01885E-02	19.64180854
1.01888E-02	17.60903105
1.01890E-02	15.95541385
1.01893E-02	14.73102438
1.01896E-02	13.76732534
1.01898E-02	13.07167398
1.01901E-02	12.53302502
1.01906E-02	11.84614225
1.01912E-02	11.45238893
1.01917E-02	11.21121149
1.01928E-02	10.93651992
1.01938E-02	10.7825679
1.01949E-02	10.68391219
1.01981E-02	10.5306727
1.02023E-02	10.44782712
1.02065E-02	10.41045072
1.02108E-02	10.38972755
1.02193E-02	10.36956833
1.02277E-02	10.36026948
1.02532E-02	10.34966353
1.02871E-02	10.3449858
