E(MeV)	mcnp/Pb-206:1
1.00000E-11	54.4823
1.10304E-11	52.0018
1.11082E-11	51.819
1.21669E-11	49.6436
1.23386E-11	49.2992
1.34205E-11	47.402
1.37059E-11	46.9137
1.48034E-11	45.2719
1.52240E-11	44.6581
1.63287E-11	43.2487
1.69111E-11	42.524
1.80111E-11	41.3274
1.87842E-11	40.5075
1.98669E-11	39.5038
2.08659E-11	38.6011
2.19139E-11	37.7734
2.31770E-11	36.8015
2.41719E-11	36.1323
2.57455E-11	35.1016
2.66625E-11	34.5766
2.85971E-11	33.4985
2.94097E-11	33.1027
3.17662E-11	31.986
3.24400E-11	31.707
3.52847E-11	30.5613
3.57825E-11	30.3862
3.91949E-11	29.219
3.94694E-11	29.137
4.35362E-11	27.9564
4.80221E-11	26.8521
4.83608E-11	26.7709
5.29701E-11	25.8139
5.40964E-11	25.5862
5.84280E-11	24.8318
6.05121E-11	24.4786
6.44483E-11	23.9043
6.76888E-11	23.4445
7.10888E-11	23.0292
7.57166E-11	22.48
7.84136E-11	22.2046
8.46965E-11	21.5818
8.64931E-11	21.4293
9.54051E-11	20.6958
1.05235E-10	20.0282
1.07473E-10	19.8805
1.16078E-10	19.3989
1.21061E-10	19.1282
1.28039E-10	18.8083
1.37329E-10	18.3958
1.41232E-10	18.2501
1.55784E-10	17.7251
1.71835E-10	17.2574
1.77964E-10	17.0845
1.89540E-10	16.8138
2.03293E-10	16.5032
2.09070E-10	16.3953
2.30612E-10	16.0081
2.33866E-10	15.9515
2.54374E-10	15.6612
2.70933E-10	15.4352
2.80583E-10	15.3286
3.09494E-10	15.0219
3.16074E-10	14.9547
3.41383E-10	14.7477
3.71320E-10	14.5129
3.76558E-10	14.4802
4.15358E-10	14.2494
4.42397E-10	14.0953
4.58155E-10	14.0251
5.05362E-10	13.8251
5.34490E-10	13.7069
5.57433E-10	13.6354
6.14869E-10	13.4652
6.54896E-10	13.3522
6.78223E-10	13.3021
7.48105E-10	13.1605
8.19448E-10	13.0232
8.25188E-10	13.015
9.10213E-10	12.9001
1.00400E-09	12.7805
1.05448E-09	12.7194
1.10745E-09	12.6729
1.22156E-09	12.5792
1.34742E-09	12.482
1.40526E-09	12.4397
1.48625E-09	12.3979
1.63939E-09	12.3243
1.80831E-09	12.2485
1.95320E-09	12.1874
1.99463E-09	12.1753
2.20015E-09	12.1199
2.42685E-09	12.0634
2.67691E-09	12.0054
2.89140E-09	11.9589
2.95273E-09	11.95
3.25697E-09	11.9097
3.59256E-09	11.8691
3.96272E-09	11.8278
4.37103E-09	11.7858
4.72126E-09	11.7522
4.82141E-09	11.746
5.31819E-09	11.7185
5.86616E-09	11.6912
6.47059E-09	11.6638
7.13730E-09	11.6362
7.87271E-09	11.6083
8.68389E-09	11.58
9.05664E-09	11.5679
9.57865E-09	11.5578
1.05656E-08	11.5408
1.16543E-08	11.5241
1.28551E-08	11.5077
1.41796E-08	11.4915
1.56406E-08	11.4755
1.72522E-08	11.4595
1.90298E-08	11.4435
2.09906E-08	11.4274
2.31534E-08	11.4111
2.38113E-08	11.4066
2.52419E-08	11.3995
2.53000E-08	11.3993
2.79068E-08	11.3904
3.07823E-08	11.3819
3.39540E-08	11.3738
3.74525E-08	11.3659
4.13115E-08	11.3584
4.55681E-08	11.3511
5.02633E-08	11.3441
5.54423E-08	11.3373
6.15863E-08	11.3303
6.79319E-08	11.324
7.49314E-08	11.3178
8.32311E-08	11.3114
9.18070E-08	11.3055
1.01266E-07	11.2997
1.11701E-07	11.294
1.24079E-07	11.288
1.35905E-07	11.2828
1.50966E-07	11.2768
1.67687E-07	11.2707
1.84965E-07	11.265
1.97006E-07	11.2614
2.04024E-07	11.2602
2.25046E-07	11.2572
2.51736E-07	11.2539
2.75742E-07	11.2514
3.04154E-07	11.2488
3.37843E-07	11.2462
3.72653E-07	11.2438
4.11050E-07	11.2416
4.53404E-07	11.2395
5.10755E-07	11.237
5.55544E-07	11.2354
6.08493E-07	11.2337
6.75925E-07	11.2318
7.40347E-07	11.2302
8.05270E-07	11.2288
8.75885E-07	11.2275
9.52693E-07	11.2262
1.05086E-06	11.2248
1.17549E-06	11.2233
1.32417E-06	11.2217
1.45038E-06	11.2206
1.58869E-06	11.2195
1.74011E-06	11.2184
1.87954E-06	11.2175
2.08772E-06	11.2164
2.27080E-06	11.2155
2.43557E-06	11.2148
2.70547E-06	11.2138
2.94272E-06	11.213
3.17835E-06	11.2123
3.45707E-06	11.2115
3.73407E-06	11.2109
4.14767E-06	11.2099
4.48000E-06	11.2093
4.87286E-06	11.2086
5.41259E-06	11.2077
5.84628E-06	11.2071
6.35895E-06	11.2065
6.91657E-06	11.2058
7.47040E-06	11.2052
8.29826E-06	11.2043
8.96272E-06	11.2037
9.28242E-06	11.2035
9.68086E-06	11.2033
1.07531E-05	11.2028
1.16961E-05	11.2025
1.26333E-05	11.2021
1.38374E-05	11.2018
1.49461E-05	11.2015
1.66016E-05	11.2012
1.78062E-05	11.2009
1.93676E-05	11.2007
2.15139E-05	11.2004
2.32366E-05	11.2001
2.52742E-05	11.1999
2.76845E-05	11.1997
2.99012E-05	11.1995
3.32148E-05	11.1993
3.56249E-05	11.1991
3.87489E-05	11.1989
4.30409E-05	11.1987
4.64895E-05	11.1986
5.05663E-05	11.1985
5.50005E-05	11.1983
5.98236E-05	11.1982
6.64498E-05	11.1981
7.12714E-05	11.198
7.74856E-05	11.1979
8.60724E-05	11.1978
9.29644E-05	11.1977
1.01117E-04	11.1977
1.10518E-04	11.1976
1.19030E-04	11.1976
1.32221E-04	11.1976
1.41814E-04	11.1976
1.54971E-04	11.1976
1.72145E-04	11.1976
1.85929E-04	11.1976
2.02451E-04	11.1977
2.20205E-04	11.1977
2.37837E-04	11.1978
2.64215E-04	11.1979
2.83387E-04	11.198
3.10412E-04	11.1981
3.44171E-04	11.1983
3.71748E-04	11.1985
4.04347E-04	11.1987
4.42886E-04	11.1989
4.78372E-04	11.1992
5.28431E-04	11.1995
5.66774E-04	11.1998
6.19885E-04	11.2001
6.88342E-04	11.2006
7.43496E-04	11.201
8.08694E-04	11.2015
8.81073E-04	11.202
9.74495E-04	11.2027
1.00000E-03	11.2029
1.11319E-03	11.2023
1.20352E-03	11.2019
1.30906E-03	11.2014
1.43583E-03	11.2008
1.53705E-03	11.2003
1.66916E-03	11.1997
1.67707E-03	11.1997
1.67774E-03	11.2058
1.67842E-03	11.212
1.67853E-03	11.213
1.67865E-03	11.2277
1.67887E-03	11.2573
1.67890E-03	11.2609
1.67904E-03	11.313
1.67915E-03	11.3544
1.67917E-03	11.3614
1.67927E-03	11.4255
1.67936E-03	11.4866
1.67938E-03	11.5114
1.67946E-03	11.6006
1.67954E-03	11.6807
1.67955E-03	11.6935
1.67963E-03	11.8173
1.67968E-03	11.8826
1.67972E-03	11.9573
1.67980E-03	12.1154
1.67982E-03	12.1405
1.67989E-03	12.3049
1.67995E-03	12.4592
1.67997E-03	12.5081
1.68006E-03	12.7399
1.68008E-03	12.7999
1.68014E-03	13.0004
1.68023E-03	13.2709
1.68023E-03	13.3007
1.68031E-03	13.578
1.68039E-03	13.8774
1.68039E-03	13.891
1.68048E-03	14.2286
1.68055E-03	14.5217
1.68055E-03	14.5479
1.68063E-03	14.8983
1.68071E-03	15.2487
1.68078E-03	15.5906
1.68078E-03	15.5998
1.68086E-03	15.9822
1.68094E-03	16.3853
1.68102E-03	16.7883
1.68109E-03	17.1466
1.68110E-03	17.194
1.68118E-03	17.6218
1.68126E-03	18.0496
1.68134E-03	18.4647
1.68142E-03	18.8737
1.68150E-03	19.2826
1.68158E-03	19.6916
1.68165E-03	20.1006
1.68172E-03	20.4503
1.68173E-03	20.518
1.68181E-03	20.9554
1.68189E-03	21.3929
1.68198E-03	21.8304
1.68206E-03	22.2679
1.68214E-03	22.7054
1.68222E-03	23.1461
1.68230E-03	23.5869
1.68239E-03	24.0277
1.68247E-03	24.4686
1.68255E-03	24.9096
1.68263E-03	25.3384
1.68271E-03	25.7611
1.68279E-03	26.1839
1.68287E-03	26.6069
1.68294E-03	27.0299
1.68302E-03	27.446
1.68310E-03	27.848
1.68317E-03	28.2502
1.68325E-03	28.6524
1.68332E-03	29.0548
1.68340E-03	29.4573
1.68348E-03	29.9
1.68356E-03	30.3427
1.68359E-03	30.5204
1.68367E-03	30.9126
1.68378E-03	31.4736
1.68389E-03	32.0406
1.68391E-03	32.1199
1.68422E-03	33.5611
1.68428E-03	33.8005
1.68439E-03	34.1926
1.68445E-03	34.445
1.68449E-03	34.5441
1.68459E-03	34.8225
1.68467E-03	35.031
