E(MeV)	mcnp/Pd-105:1	
9.999999960E-12	1040.317383	
1.154357946E-11	968.3369141	
1.308715029E-11	909.496582	
1.617431016E-11	818.2104492	
1.926146048E-11	749.8739624	
2.234861948E-11	696.2455444	
2.543578022E-11	652.7099609	
2.852293055E-11	616.453186	
3.469724855E-11	559.0622559	
4.087155961E-11	515.2338867	
4.704588108E-11	480.3525085	
5.322018867E-11	451.7390747	
5.939450320E-11	427.717804	
7.174311839E-11	389.355957	
8.409174745E-11	359.8030396	
9.644037652E-11	336.135437	
1.087889986E-10	316.6291809	
1.334862082E-10	286.0999451	
1.581834941E-10	263.0497131	
1.828808077E-10	244.8535767	
2.075780936E-10	230.0181427	
2.569725821E-10	207.0647278	
3.063672094E-10	189.9292297	
3.557616979E-10	176.5097504	
4.051562974E-10	165.6334076	
5.039452189E-10	148.9116058	
6.027343624E-10	136.5054932	
7.015233949E-10	126.8312607	
8.003124830E-10	119.0145035	
9.978909921E-10	107.0328979	
1.195469057E-09	98.1674118	
1.393047011E-09	91.26654816	
1.590625076E-09	85.6984024	
1.985781983E-09	77.17741394	
2.380938113E-09	70.88337708	
2.776094021E-09	65.98926544	
3.171249929E-09	62.04242325	
3.961563078E-09	56.00404358	
4.751874005E-09	51.54542542	
5.542187154E-09	48.08111191	
6.332498970E-09	45.28875351	
7.913124378E-09	41.01341629	
9.493748898E-09	37.85199356	
1.107437964E-08	35.39897156	
1.265500060E-08	33.42651367	
1.581625142E-08	30.40174484	
1.897750046E-08	28.15404129	
2.213874950E-08	26.4066925	
2.530000032E-08	25.00143242	
2.910742047E-08	23.62781906	
3.291484063E-08	22.50646591	
4.052968094E-08	20.74558449	
4.814454257E-08	19.40587997	
5.575936868E-08	18.35098648	
6.337420189E-08	17.49383926	
7.098905996E-08	16.78580856	
8.621873349E-08	15.65204239	
1.014483999E-07	14.77248573	
1.166780947E-07	14.07022095	
1.319078109E-07	13.49240112	
1.471374986E-07	13.0111084	
1.775967888E-07	12.23285484	
2.080561927E-07	11.62331581	
2.385156108E-07	11.13232231	
2.689749863E-07	10.72903252	
3.298937088E-07	10.08904457	
3.908124029E-07	9.596717834	
4.517312959E-07	9.204429626	
5.126499900E-07	8.88286972	
6.040282301E-07	8.489584923	
6.344874919E-07	8.377454758	
7.563251074E-07	7.997117996	
8.781624956E-07	7.693818092	
9.999999975E-07	7.446361542	
1.167574055E-06	7.169597626	
1.335147999E-06	6.94513607	
1.502722057E-06	6.758984089	
1.670294978E-06	6.601988316	
1.921654984E-06	6.406245232	
2.005441956E-06	6.349776745	
2.340588935E-06	6.157095909	
2.675735914E-06	6.004099846	
3.010884029E-06	5.880835056	
3.513605179E-06	5.735790253	
4.183898909E-06	5.596213818	
4.854194231E-06	5.500523567	
5.692059858E-06	5.428533554	
6.362356089E-06	5.403973579	
6.697503068E-06	5.403158188	
7.032650046E-06	5.411205769	
7.367797025E-06	5.429063797	
7.702943549E-06	5.458503723	
8.038091437E-06	5.502096176	
8.373237506E-06	5.563579082	
8.708385394E-06	5.648427963	
9.043533282E-06	5.764897823	
9.378680261E-06	5.924259186	
9.546252841E-06	6.025825977	
9.713826330E-06	6.148165703	
9.881399819E-06	6.295305729	
1.004897058E-05	6.474183083	
1.021654953E-05	6.694688797	
1.038412029E-05	6.971374989	
1.055169014E-05	7.323019028	
1.063548007E-05	7.537703037	
1.071925999E-05	7.789515018	
1.080304992E-05	8.086864471	
1.088683985E-05	8.443050385	
1.097061977E-05	8.878289223	
1.105440970E-05	9.422941208	
1.113819962E-05	10.12600517	
1.118009004E-05	10.56384087	
1.122198046E-05	11.08248711	
1.126387997E-05	11.70786858	
1.130576948E-05	12.47673035	
1.134765989E-05	13.44569206	
1.138955940E-05	14.7064743	
1.141050961E-05	15.49117756	
1.143144982E-05	16.41461754	
1.145239003E-05	17.51636887	
1.147334024E-05	18.85022163	
1.149429045E-05	20.48807526	
1.151522974E-05	22.52576447	
1.153617995E-05	25.09299088	
1.155713016E-05	28.35084534	
1.157808038E-05	32.48976517	
1.159901967E-05	37.71205902	
1.161996988E-05	44.20568848	
1.163044999E-05	47.96842575	
1.164092009E-05	52.0738945	
1.166187030E-05	61.2739563	
1.168282051E-05	71.54460907	
1.171423992E-05	87.72065735	
1.173412966E-05	97.32142639	
1.176235946E-05	108.1570511	
1.178118055E-05	112.5800781	
1.179999981E-05	114.2309952	
1.180941035E-05	113.9595871	
1.182822962E-05	111.2786407	
1.183764016E-05	108.9486847	
1.186587997E-05	98.78787231	
1.191394949E-05	76.00120544	
1.194295055E-05	62.70476151	
1.195261029E-05	58.71311569	
1.197193978E-05	51.55472183	
1.199127018E-05	45.55486679	
1.201059968E-05	40.67531204	
1.202993008E-05	36.80129242	
1.204926048E-05	33.78574753	
1.206858997E-05	31.47554588	
1.208792037E-05	29.73239708	
1.210724986E-05	28.43902779	
1.212658935E-05	27.50115204	
1.214591975E-05	26.84719658	
1.218457965E-05	26.18379974	
1.222323954E-05	26.15970039	
1.226190034E-05	26.62165642	
1.230056023E-05	27.49376488	
1.233922012E-05	28.74655533	
1.237788001E-05	30.3823967	
1.241653990E-05	32.429142	
1.245519979E-05	34.93933487	
1.249386969E-05	37.99391937	
1.253252958E-05	41.70433044	
1.257118947E-05	46.22858429	
1.260985027E-05	51.7842865	
1.264851016E-05	58.67659378	
1.268717006E-05	67.34260559	
1.270650046E-05	72.53185272	
1.272582995E-05	78.42990875	
1.274516035E-05	85.17285156	
1.276448984E-05	92.93083954	
1.278382024E-05	101.9180984	
1.280314973E-05	112.4089127	
1.282248013E-05	124.7526627	
1.284181053E-05	139.3994751	
1.286115003E-05	156.9387665	
1.288047952E-05	178.0980988	
1.289980992E-05	203.8246307	
1.291913941E-05	235.2756958	
1.293846981E-05	273.849762	
1.295780021E-05	321.1184692	
1.296745995E-05	348.516449	
1.297712970E-05	378.7435913	
1.298678944E-05	411.9105225	
1.299646010E-05	448.2543335	
1.300611984E-05	487.8187561	
1.302546025E-05	577.0474243	
1.303511999E-05	626.5345459	
1.305445039E-05	734.543335	
1.306412014E-05	792.3869629	
1.308343963E-05	913.0144043	
1.310278003E-05	1035.637329	
1.313432949E-05	1220.36499	
1.314527981E-05	1274.516724	
1.316716953E-05	1358.767456	
1.317810984E-05	1386.479248	
1.319999956E-05	1409.022461	
1.321094987E-05	1403.176025	
1.323283959E-05	1358.234985	
1.324377990E-05	1320.551147	
1.326566962E-05	1220.247681	
1.327661994E-05	1160.381348	
1.331070052E-05	952.4091797	
1.334539957E-05	739.8146362	
1.336851983E-05	613.1668091	
1.338008951E-05	556.2340698	
1.340321978E-05	456.346405	
1.341479037E-05	413.3050232	
1.342636006E-05	374.6303406	
1.343792974E-05	340.0481262	
1.344948942E-05	309.2696533	
1.346105000E-05	281.9199524	
1.347261968E-05	257.6325073	
1.348418027E-05	236.1124573	
1.349574995E-05	217.0098267	
1.351888022E-05	184.9738312	
1.354201959E-05	159.5135498	
1.356514986E-05	139.0836487	
1.358828013E-05	122.4860687	
1.361141040E-05	108.8378067	
1.363453976E-05	97.48429871	
1.365767002E-05	87.93807983	
1.368080029E-05	79.83288574	
1.370392965E-05	72.89014435	
1.372705992E-05	66.89515686	
1.375019019E-05	61.68032074	
1.377332046E-05	57.11331177	
1.379645983E-05	53.08692169	
1.384272036E-05	46.34247971	
1.388897999E-05	40.94237137	
1.393525054E-05	36.54737091	
1.398151016E-05	32.92383957	
1.402776979E-05	29.90011406	
1.407403033E-05	27.34999466	
1.412028996E-05	25.17881393	
1.416656050E-05	23.31464767	
1.421282013E-05	21.70336151	
1.425907976E-05	20.30140305	
1.430535031E-05	19.07340813	
1.439787047E-05	17.02830124	
1.449038973E-05	15.39775658	
1.458291990E-05	14.07826424	
1.467545007E-05	12.99693298	
1.476797024E-05	12.09950924	
1.486048950E-05	11.3459816	
1.495301967E-05	10.70677948	
1.504555075E-05	10.1596508	
1.513807001E-05	9.687573433	
1.523059018E-05	9.277184486	
1.532311944E-05	8.918081284	
1.541564961E-05	8.602552414	
1.550817069E-05	8.325037956	
1.569322012E-05	7.855480194	
1.587826955E-05	7.473840237	
1.606332080E-05	7.161456108	
1.624836841E-05	6.902323723	
1.643341966E-05	6.68479681	
1.661846909E-05	6.500281334	
1.680352034E-05	6.342318058	
1.698856977E-05	6.205986977	
1.717362102E-05	6.08749485	
1.735866863E-05	5.984805107	
1.772876931E-05	5.813714981	
1.809886999E-05	5.677970409	
1.846896885E-05	5.569829464	
1.883906953E-05	5.483201027	
1.920917020E-05	5.414033413	
1.957926906E-05	5.359741211	
1.994936974E-05	5.318885803	
2.031946860E-05	5.291079044	
2.068956928E-05	5.277011871	
2.105966996E-05	5.278758049	
2.142976882E-05	5.299557209	
2.161482007E-05	5.319065094	
2.179986950E-05	5.34704113	
2.198492075E-05	5.384739876	
2.216997018E-05	5.434503555	
2.235501961E-05	5.499567032	
2.254006904E-05	5.584399223	
2.272512029E-05	5.695317268	
2.291016972E-05	5.841283798	
2.309522097E-05	6.033769131	
2.318774023E-05	6.153617859	
2.328027040E-05	6.29460907	
2.337280057E-05	6.460996151	
2.346531983E-05	6.658208847	
2.355785000E-05	6.89371109	
2.365036926E-05	7.177378178	
2.374290125E-05	7.522592068	
2.383542051E-05	7.947482109	
2.392793976E-05	8.477092743	
2.402046994E-05	9.146504402	
2.406673957E-05	9.549041748	
2.411300011E-05	10.00815201	
2.415925883E-05	10.53544521	
2.420552119E-05	11.14545155	
2.425178900E-05	11.8564415	
2.429804954E-05	12.69143581	
2.434431008E-05	13.68054581	
2.439056880E-05	14.86388588	
2.443684025E-05	16.29604721	
2.448310079E-05	18.05141068	
2.452935951E-05	20.23747063	
2.457562005E-05	23.01250267	
2.459874850E-05	24.69255257	
2.462187877E-05	26.62090874	
2.464500903E-05	28.85266495	
2.466814112E-05	31.45929337	
2.469128049E-05	34.53675461	
2.471441076E-05	38.20827866	
2.473753921E-05	42.64633942	
2.476066948E-05	48.08210754	
2.478379974E-05	54.8261528	
2.480693001E-05	63.29610062	
2.483007120E-05	74.04518127	
2.484163997E-05	80.48033905	
2.485320147E-05	87.75143433	
2.486477024E-05	95.98202515	
2.487632992E-05	105.2744904	
2.488789869E-05	115.7702103	
2.489946019E-05	127.5873718	
2.491102896E-05	140.874115	
2.492259046E-05	155.7444458	
2.493415013E-05	172.3260803	
2.494572072E-05	190.7522583	
2.495727858E-05	211.0752411	
2.496884917E-05	233.3907471	
2.498041977E-05	257.7199707	
2.499198854E-05	284.0378113	
2.500355913E-05	312.2894897	
2.501511881E-05	342.3271179	
2.503824908E-05	406.9945984	
2.506716010E-05	493.2542419	
2.509608021E-05	579.1761475	
2.513077015E-05	669.7313843	
2.514808148E-05	705.307251	
2.516538916E-05	732.1835327	
2.518269866E-05	749.0670776	
2.520000089E-05	755.1254272	
2.521731039E-05	750.078186	
2.523461990E-05	734.2019043	
2.525192031E-05	708.3474121	
2.526922981E-05	673.7650757	
2.529768062E-05	602.477417	
2.532612962E-05	520.5571289	
2.537352884E-05	382.1819153	
2.540197966E-05	307.9005127	
2.542094080E-05	264.2882385	
2.543991104E-05	225.8466492	
2.545887037E-05	192.6409607	
2.547783151E-05	164.3766174	
2.549679994E-05	140.6144257	
2.551577018E-05	120.8446503	
2.553473132E-05	104.5198517	
2.555369065E-05	91.08274841	
2.557264997E-05	80.0265274	
2.559162021E-05	70.91532898	
2.561057954E-05	63.37906265	
2.562955160E-05	57.10100937	
2.564850911E-05	51.83860779	
2.566747025E-05	47.3870163	
2.568643868E-05	43.58670044	
2.570539982E-05	40.3184433	
2.572435915E-05	37.4826889	
2.574332029E-05	35.00238037	
2.576228871E-05	32.81641388	
2.580021101E-05	29.152668	
2.583814057E-05	26.20906258	
2.587607014E-05	23.80169678	
2.591399971E-05	21.80347824	
2.595192927E-05	20.12336159	
2.598984975E-05	18.69621658	
2.602778113E-05	17.47192764	
2.606569979E-05	16.41336823	
2.610362935E-05	15.49049282	
2.614155892E-05	14.68054771	
2.617948849E-05	13.96499443	
2.625534034E-05	12.76142311	
2.633119948E-05	11.79254341	
2.640704952E-05	11.00071335	
2.648291047E-05	10.34477806	
2.655876960E-05	9.794992447	
2.663462146E-05	9.329380989	
2.671047878E-05	8.931229591	
2.678632882E-05	8.588237762	
2.686218068E-05	8.2908535	
2.693803071E-05	8.031313896	
2.708973989E-05	7.600087166	
2.724144906E-05	7.257117271	
2.739316005E-05	6.981054783	
2.754487105E-05	6.756315231	
2.769658022E-05	6.571599007	
2.784828939E-05	6.418899059	
2.800000038E-05	6.292575836	
2.815170956E-05	6.188768864	
2.830341873E-05	6.105057716	
2.845512972E-05	6.040376186	
2.860684071E-05	5.995147705	
2.875854989E-05	5.97155714	
2.891025906E-05	5.974389553	
2.898611092E-05	5.98886776	
2.906197005E-05	6.014948845	
2.913783101E-05	6.055743217	
2.921368105E-05	6.115617752	
2.928953836E-05	6.201114178	
2.936539022E-05	6.322389126	
2.940331979E-05	6.40130806	
2.944124935E-05	6.496221066	
2.947917892E-05	6.611176968	
2.951709939E-05	6.751606941	
2.955503078E-05	6.925226212	
2.959295125E-05	7.142691135	
2.963088082E-05	7.420103073	
2.966881038E-05	7.78183794	
2.968778062E-05	8.005420685	
2.970673995E-05	8.265704155	
2.972571019E-05	8.571041107	
2.974467134E-05	8.931512833	
2.976363976E-05	9.359887123	
2.978260090E-05	9.871706009	
2.980156023E-05	10.48533058	
2.982051956E-05	11.22332954	
2.983949162E-05	12.11155701	
2.985844912E-05	13.17712975	
2.987741027E-05	14.45153618	
2.989637869E-05	15.96592903	
2.991533984E-05	17.74815178	
2.993431008E-05	19.8246994	
2.995326940E-05	22.20871925	
2.997223055E-05	24.90643311	
2.999118988E-05	27.90375137	
3.001015102E-05	31.16974068	
3.003860002E-05	36.44465256	
3.010497130E-05	48.80030823	
3.012393972E-05	51.78105164	
3.014295908E-05	54.27848053	
3.017146992E-05	56.84955215	
3.020000077E-05	57.77572632	
3.022853161E-05	56.9535141	
3.026655941E-05	53.33778763	
3.028392894E-05	50.89670563	
3.030750122E-05	47.01305008	
3.037037095E-05	35.27877045	
3.040179945E-05	29.65830421	
3.041750824E-05	27.07995605	
3.043322977E-05	24.68892288	
3.044894038E-05	22.50370979	
3.046466009E-05	20.52693176	
3.048037979E-05	18.75830841	
3.049609950E-05	17.18967628	
3.051181011E-05	15.81011772	
3.052753164E-05	14.60384369	
3.054324770E-05	13.55488968	
3.055896013E-05	12.64678192	
3.057466893E-05	11.8615036	
3.059038863E-05	11.18373871	
3.060610106E-05	10.59873772	
3.062182077E-05	10.09286976	
3.063754048E-05	9.65489769	
3.065326018E-05	9.274252892	
3.066896898E-05	8.942369461	
3.068468868E-05	8.651517868	
3.071612809E-05	8.168842316	
3.074756023E-05	7.787442207	
3.077898873E-05	7.479995251	
3.081041723E-05	7.227691174	
3.084184937E-05	7.017356873	
3.087328878E-05	6.839581966	
3.090472092E-05	6.687599182	
3.093614941E-05	6.556303024	
3.096758883E-05	6.441814423	
3.103044946E-05	6.252240181	
3.109332101E-05	6.101940155	
3.115617801E-05	5.980204105	
3.121903865E-05	5.879822731	
3.128191020E-05	5.795823097	
3.134477811E-05	5.724615097	
3.140763874E-05	5.663528442	
3.153336729E-05	5.563918114	
3.165909948E-05	5.485812187	
3.178483166E-05	5.422864437	
3.191056021E-05	5.371003151	
3.203628876E-05	5.327422619	
3.216202094E-05	5.290231705	
3.228774949E-05	5.258141994	
3.253921022E-05	5.204656601	
3.279066732E-05	5.161282539	
3.304212805E-05	5.125348091	
3.329358879E-05	5.094887733	
3.354506043E-05	5.068625927	
3.379651025E-05	5.045921326	
3.429943172E-05	5.008145809	
3.480234955E-05	4.978802681	
3.530527829E-05	4.957476616	
3.555673902E-05	4.9502635	
3.580819975E-05	4.946324825	
3.605966049E-05	4.946499825	
3.631111758E-05	4.952314854	
3.643684977E-05	4.958280563	
3.656257832E-05	4.967207909	
3.668830686E-05	4.979953766	
3.681404269E-05	4.997766018	
3.693977123E-05	5.022525787	
3.706549978E-05	5.0570364	
3.712836042E-05	5.079248905	
3.719123197E-05	5.105818272	
3.725409988E-05	5.137862682	
3.731696052E-05	5.176863194	
3.737982843E-05	5.224823475	
3.744269270E-05	5.284425259	
3.750554970E-05	5.359521866	
3.756842125E-05	5.455793381	
3.763128916E-05	5.58196497	
3.766272130E-05	5.660359859	
3.769414980E-05	5.752208233	
3.772558921E-05	5.860913277	
3.775701771E-05	5.991092205	
3.778844984E-05	6.149155617	
3.781988198E-05	6.344183922	
3.785131048E-05	6.588891983	
3.788273898E-05	6.901396751	
3.789845869E-05	7.09087801	
3.791418203E-05	7.307492256	
3.792989082E-05	7.555895805	
3.794561053E-05	7.841803551	
3.796133024E-05	8.17136097	
3.797703903E-05	8.551290512	
3.799275873E-05	8.989617348	
3.800847844E-05	9.494844437	
3.802418723E-05	10.07559109	
3.803991058E-05	10.74191284	
3.805563028E-05	11.50313377	
3.807133908E-05	12.36743546	
3.808705878E-05	13.34442711	
3.810277121E-05	14.44044685	
3.811848001E-05	15.65996361	
3.814992306E-05	18.4805069	
3.816563185E-05	20.07227516	
3.819707126E-05	23.57736969	
3.824421947E-05	29.3298893	
3.827565160E-05	33.14871979	
3.830708010E-05	36.59899139	
3.834209201E-05	39.61686707	
3.837105032E-05	41.18934631	
3.840000136E-05	41.76747131	
3.842895239E-05	41.29973602	
3.845789979E-05	39.83481598	
3.847719927E-05	38.37030792	
3.851779184E-05	34.3223114	
3.859083881E-05	25.58327484	
3.862331141E-05	21.86138153	
3.863954043E-05	20.14481735	
3.867200940E-05	17.07045555	
3.868823842E-05	15.72739601	
3.870447836E-05	14.51435471	
3.872071102E-05	13.42929459	
3.873695096E-05	12.46497536	
3.875318725E-05	11.61420631	
3.876941992E-05	10.86797523	
3.878565985E-05	10.21561241	
3.880189252E-05	9.647644043	
3.881811790E-05	9.154421806	
3.883435056E-05	8.726132393	
3.885059050E-05	8.354552269	
3.886683044E-05	8.03176403	
3.888305946E-05	7.751054764	
3.889928121E-05	7.506193161	
3.891552115E-05	7.291739464	
3.893175744E-05	7.103268147	
3.896423004E-05	6.789605141	
3.899669900E-05	6.54091692	
3.902917160E-05	6.339994907	
3.906164056E-05	6.174890041	
3.909410952E-05	6.037070751	
3.912657849E-05	5.920463562	
3.915904017E-05	5.820698261	
3.919150913E-05	5.734392166	
3.925645069E-05	5.592908859	
3.932138134E-05	5.48216486	
3.938633017E-05	5.393431187	
3.945127173E-05	5.321018696	
3.951620965E-05	5.260996342	
3.958115121E-05	5.210582733	
3.964607822E-05	5.16775322	
3.971101978E-05	5.130980968	
3.977595770E-05	5.099106789	
3.990584082E-05	5.046589851	
4.003572030E-05	5.005066872	
4.016559978E-05	4.971448421	
4.029547927E-05	4.943719864	
4.042535147E-05	4.920496464	
4.055522004E-05	4.900792122	
4.081498992E-05	4.868686676	
4.107474160E-05	4.843280792	
4.133450057E-05	4.822614193	
4.159424861E-05	4.805453777	
4.211375199E-05	4.777564049	
4.263325900E-05	4.755180359	
4.315275874E-05	4.736461639	
4.367227302E-05	4.720246315	
4.419178003E-05	4.705879211	
4.471127977E-05	4.692977428	
4.523079042E-05	4.68133831	
4.575030107E-05	4.670878887	
4.626980808E-05	4.661614895	
4.678931145E-05	4.653672218	
4.730881847E-05	4.647285461	
4.782831820E-05	4.642849445	
4.834783977E-05	4.640985966	
4.886733950E-05	4.642651081	
