E(MeV)	pendfb7/Pd106:1	
1.00000000E-11	41.6565345	
1.02565000E-11	41.1427573	
1.02999000E-11	41.0558257	
1.03434000E-11	40.9724933	
1.05195000E-11	40.6351405	
1.06087000E-11	40.464261	
1.06986000E-11	40.2995449	
1.07893000E-11	40.133363	
1.09269000E-11	39.8812502	
1.10660000E-11	39.6374745	
1.12544000E-11	39.3072995	
1.13498000E-11	39.1474442	
1.14461000E-11	38.9860808	
1.15920000E-11	38.7416061	
1.15925000E-11	38.740782	
1.16409000E-11	38.6632079	
1.18391000E-11	38.3455387	
1.19395000E-11	38.1846205	
1.19400000E-11	38.1838323	
1.22457000E-11	37.7152803	
1.22976000E-11	37.6357323	
1.22982000E-11	37.6348277	
1.25598000E-11	37.2513255	
1.26662000E-11	37.0953445	
1.26668000E-11	37.0944795	
1.28819000E-11	36.7929461	
1.30462000E-11	36.5626257	
1.30467000E-11	36.5619363	
1.31012000E-11	36.4888609	
1.32123000E-11	36.3398944	
1.34372000E-11	36.0383411	
1.34378000E-11	36.0375499	
1.35511000E-11	35.8922916	
1.38403000E-11	35.5215175	
1.38409000E-11	35.5207609	
1.38987000E-11	35.449892	
1.40165000E-11	35.3054568	
1.42552000E-11	35.0127854	
1.42558000E-11	35.0120618	
1.44979000E-11	34.7281538	
1.46208000E-11	34.5840304	
1.46827000E-11	34.511441	
1.46834000E-11	34.5106337	
1.49957000E-11	34.160422	
1.51229000E-11	34.0177805	
1.51235000E-11	34.0171188	
1.53803000E-11	33.7417342	
1.55107000E-11	33.6018972	
1.55765000E-11	33.5313353	
1.55772000E-11	33.5305971	
1.57748000E-11	33.3279628	
1.60434000E-11	33.0525197	
1.60441000E-11	33.0518137	
1.61794000E-11	32.9191262	
1.65246000E-11	32.5805916	
1.65253000E-11	32.5799164	
1.65943000E-11	32.5152087	
1.70199000E-11	32.1160839	
1.70207000E-11	32.1153461	
1.71642000E-11	31.986663	
1.74564000E-11	31.7246339	
1.75304000E-11	31.6582747	
1.75312000E-11	31.6575691	
1.77537000E-11	31.4667598	
1.79042000E-11	31.3376954	
1.80559000E-11	31.2076021	
1.80567000E-11	31.2069274	
1.83633000E-11	30.9555336	
1.85975000E-11	30.7635035	
1.85983000E-11	30.7628584	
1.88343000E-11	30.5778076	
1.89940000E-11	30.4525846	
1.91550000E-11	30.3263423	
1.91558000E-11	30.3257254	
1.93174000E-11	30.2045693	
1.96463000E-11	29.9579836	
1.97295000E-11	29.8956062	
1.97304000E-11	29.8949426	
1.98128000E-11	29.835865	
2.03209000E-11	29.4715772	
2.03218000E-11	29.4709427	
2.08421000E-11	29.1143059	
2.09305000E-11	29.0537126	
2.09314000E-11	29.0531059	
2.10188000E-11	28.9958195	
2.13767000E-11	28.7612336	
2.15579000E-11	28.6424659	
2.15588000E-11	28.6418858	
2.17406000E-11	28.5279509	
2.19249000E-11	28.4124494	
2.22045000E-11	28.2372229	
2.22055000E-11	28.2366066	
2.24872000E-11	28.0678073	
2.28701000E-11	27.8383672	
2.28711000E-11	27.8377779	
2.30640000E-11	27.7272591	
2.32595000E-11	27.6152507	
2.35561000E-11	27.4453187	
2.35571000E-11	27.4447553	
2.36555000E-11	27.3908562	
2.40582000E-11	27.170275	
2.42622000E-11	27.0585328	
2.42633000E-11	27.0579403	
2.48844000E-11	26.7326338	
2.49899000E-11	26.6773773	
2.49910000E-11	26.6768108	
2.55226000E-11	26.4106114	
2.57390000E-11	26.3022488	
2.57401000E-11	26.3017071	
2.61772000E-11	26.0924639	
2.65110000E-11	25.9326712	
2.65122000E-11	25.9321063	
2.66229000E-11	25.8814382	
2.68486000E-11	25.778134	
2.73057000E-11	25.5689167	
2.73069000E-11	25.5683766	
2.75372000E-11	25.467611	
2.81247000E-11	25.2105559	
2.81260000E-11	25.2099965	
2.82434000E-11	25.1608864	
2.84829000E-11	25.0607001	
2.89678000E-11	24.8578594	
2.89691000E-11	24.8573247	
2.94610000E-11	24.6606147	
2.97108000E-11	24.5607201	
2.98367000E-11	24.5103729	
2.98380000E-11	24.5098617	
3.04728000E-11	24.2671777	
3.07311000E-11	24.1684296	
3.07324000E-11	24.1679409	
3.12543000E-11	23.9772121	
3.15192000E-11	23.8804042	
3.16528000E-11	23.83158	
3.16542000E-11	23.8310769	
3.20559000E-11	23.6907442	
3.26017000E-11	23.5000704	
3.26031000E-11	23.4995895	
3.28780000E-11	23.4077859	
3.35795000E-11	23.1735181	
3.35810000E-11	23.1730256	
3.37213000E-11	23.1282378	
3.45861000E-11	22.8521688	
3.45876000E-11	22.851698	
3.48793000E-11	22.7626937	
3.54731000E-11	22.5815118	
3.56235000E-11	22.5356214	
3.56251000E-11	22.5351413	
3.60771000E-11	22.4033105	
3.63829000E-11	22.3141206	
3.66913000E-11	22.2241723	
3.66930000E-11	22.2236848	
3.73160000E-11	22.0500087	
3.77919000E-11	21.9173402	
3.77936000E-11	21.9168742	
3.79514000E-11	21.8749118	
3.85975000E-11	21.7030998	
3.89247000E-11	21.6160902	
