E(MeV)	"PR-141(N,TOT)"
1.00000E-11	592.954
1.10304E-11	564.604
1.21669E-11	537.612
1.34205E-11	511.912
1.48034E-11	487.446
1.49078E-11	485.846
1.63287E-11	464.152
1.65590E-11	461.106
1.80111E-11	441.973
1.83941E-11	437.602
1.98669E-11	420.856
2.04314E-11	415.298
2.19139E-11	400.751
2.26956E-11	394.109
2.41719E-11	381.609
2.52095E-11	374.001
2.66625E-11	363.384
2.80031E-11	354.903
2.94097E-11	346.033
3.11048E-11	336.779
3.24400E-11	329.514
3.45518E-11	319.565
3.57825E-11	313.786
3.83789E-11	303.232
3.94694E-11	298.813
4.26319E-11	287.72
4.35362E-11	284.559
4.73540E-11	273.003
4.80221E-11	270.988
5.26017E-11	259.027
5.29701E-11	258.068
5.84280E-11	245.769
6.44483E-11	234.063
6.49029E-11	233.298
7.10888E-11	222.919
7.20917E-11	221.462
7.84136E-11	212.312
8.06417E-11	209.52
8.64931E-11	202.214
9.02057E-11	198.201
9.54051E-11	192.601
1.00904E-10	187.474
1.05235E-10	183.449
1.12871E-10	177.309
1.16078E-10	174.738
1.26258E-10	167.677
1.28039E-10	166.446
1.41232E-10	158.554
1.42228E-10	158.038
1.55784E-10	151.045
1.60210E-10	149.069
1.71835E-10	143.897
1.80475E-10	140.57
1.89540E-10	137.092
2.04727E-10	132.052
2.09070E-10	130.615
2.30612E-10	124.45
2.32239E-10	124.048
2.54374E-10	118.587
2.65292E-10	116.257
2.80583E-10	113.005
3.03065E-10	108.869
3.09494E-10	107.691
3.41383E-10	102.634
3.48642E-10	101.639
3.76558E-10	97.8243
4.03881E-10	94.5953
4.15358E-10	93.2438
4.58155E-10	88.8859
4.71174E-10	87.7393
5.05362E-10	84.7397
5.53555E-10	81.0836
5.57433E-10	80.7904
6.14869E-10	77.0367
6.59484E-10	74.5157
6.78223E-10	73.4606
7.48105E-10	70.0597
7.96806E-10	68.0107
8.25188E-10	66.8208
9.10213E-10	63.7402
9.76257E-10	61.6718
1.00400E-09	60.806
1.10745E-09	58.0161
1.22156E-09	55.3565
1.34742E-09	52.8304
1.48625E-09	50.4227
1.57192E-09	49.1388
1.63939E-09	48.1311
1.80831E-09	45.9518
1.99463E-09	43.8748
2.09493E-09	42.9088
2.20015E-09	41.8988
2.42685E-09	40.0193
2.67691E-09	38.2283
2.93219E-09	36.6487
2.95273E-09	36.522
3.25697E-09	34.9015
3.59256E-09	33.3577
3.96272E-09	31.8868
4.37103E-09	30.4852
4.82141E-09	29.1547
5.31819E-09	27.8876
5.86616E-09	26.6808
6.47059E-09	25.5313
7.13730E-09	24.4364
7.18765E-09	24.365
7.87271E-09	23.3966
8.68389E-09	22.4061
9.57865E-09	21.462
1.05656E-08	20.5621
1.16543E-08	19.7046
1.28551E-08	18.8879
1.39824E-08	18.226
1.41796E-08	18.1105
1.56406E-08	17.3725
1.72522E-08	16.6694
1.90298E-08	15.9991
2.09906E-08	15.3601
2.31534E-08	14.7513
2.52419E-08	14.2392
2.53000E-08	14.2259
2.79068E-08	13.6729
3.07823E-08	13.147
3.39540E-08	12.6464
3.74525E-08	12.1687
4.13115E-08	11.7128
4.55681E-08	11.2783
5.02633E-08	10.8646
5.54423E-08	10.4706
6.11549E-08	10.0955
6.74561E-08	9.73923
7.44066E-08	9.39935
8.20732E-08	9.07423
9.05297E-08	8.76423
9.98577E-08	8.46877
1.10147E-07	8.18713
1.13277E-07	8.11307
1.21496E-07	7.91932
1.34014E-07	7.66498
1.48866E-07	7.40606
1.64204E-07	7.17466
1.81123E-07	6.95393
1.99786E-07	6.7434
2.20371E-07	6.54253
2.43077E-07	6.35082
2.68123E-07	6.16799
2.97822E-07	5.9822
3.28508E-07	5.81533
3.62357E-07	5.65585
3.99693E-07	5.50337
4.40876E-07	5.3574
4.86303E-07	5.21763
5.32679E-07	5.09365
5.91680E-07	4.956
6.52645E-07	4.83251
7.19891E-07	4.71386
7.88543E-07	4.60755
8.69792E-07	4.49709
9.52693E-07	4.3984
1.04355E-06	4.30237
1.15107E-06	4.20238
1.26078E-06	4.11219
1.37134E-06	4.03207
1.48122E-06	3.95898
1.54480E-06	3.92089
1.61111E-06	3.88192
1.75239E-06	3.80734
1.90606E-06	3.73425
2.07320E-06	3.66231
2.27080E-06	3.58581
2.48735E-06	3.51036
2.72443E-06	3.43594
3.04754E-06	3.3453
3.33816E-06	3.27203
3.45707E-06	3.24462
3.63089E-06	3.2062
3.92163E-06	3.147
4.20618E-06	3.09313
4.51138E-06	3.0391
4.90699E-06	2.9739
5.30017E-06	2.91379
5.56639E-06	2.87564
5.72456E-06	2.85428
6.18325E-06	2.7964
6.67836E-06	2.7379
7.31523E-06	2.66765
7.84603E-06	2.61248
8.41533E-06	2.56032
8.96272E-06	2.51255
9.54619E-06	2.46388
1.00964E-05	2.41978
1.03833E-05	2.3976
1.06784E-05	2.3766
1.13729E-05	2.32905
1.21982E-05	2.27501
1.29922E-05	2.22496
1.30833E-05	2.21944
1.38374E-05	2.17766
1.47382E-05	2.12949
1.56968E-05	2.07999
1.60306E-05	2.06335
1.68358E-05	2.0268
1.79318E-05	1.97874
1.89653E-05	1.93469
1.92329E-05	1.92359
2.00585E-05	1.8925
2.12146E-05	1.85012
2.22802E-05	1.81194
2.25945E-05	1.80091
2.34005E-05	1.77529
2.45759E-05	1.73872
2.58116E-05	1.70101
2.63591E-05	1.68462
2.72993E-05	1.65926
2.86706E-05	1.62309
3.01122E-05	1.5857
3.05370E-05	1.57488
3.18478E-05	1.54485
3.34475E-05	1.50886
3.51293E-05	1.47164
3.68938E-05	1.43711
3.90203E-05	1.39617
4.04122E-05	1.3698
4.12694E-05	1.35514
4.33445E-05	1.32016
4.55217E-05	1.28396
4.58428E-05	1.27869
4.74757E-05	1.25431
4.95135E-05	1.22419
5.20031E-05	1.18785
5.53858E-05	1.14335
5.85781E-05	1.10204
5.98236E-05	1.08616
6.10925E-05	1.07055
6.32717E-05	1.0441
6.50696E-05	1.02261
6.58156E-05	1.01377
6.72150E-05	0.99741
6.86407E-05	0.981035
7.01001E-05	0.964693
7.02799E-05	0.962737
7.10891E-05	0.952767
7.20921E-05	0.940755
7.28531E-05	0.931943
7.36213E-05	0.923378
7.38137E-05	0.921336
7.44003E-05	0.913818
7.49232E-05	0.907441
7.54499E-05	0.90133
7.59111E-05	0.896324
7.59803E-05	0.895365
7.65144E-05	0.888461
7.69168E-05	0.88367
7.73230E-05	0.879274
7.75213E-05	0.877393
7.77293E-05	0.87463
7.81393E-05	0.869858
7.84139E-05	0.867122
7.86150E-05	0.865426
7.86886E-05	0.864487
7.89632E-05	0.861514
7.92417E-05	0.859151
7.94469E-05	0.857979
7.95202E-05	0.857152
7.97291E-05	0.855399
7.99380E-05	0.85425
8.01478E-05	0.853808
8.02286E-05	0.853966
8.03596E-05	0.853382
8.05715E-05	0.853471
8.07127E-05	0.854201
8.07332E-05	0.854396
8.08539E-05	0.854688
8.09951E-05	0.855727
8.11363E-05	0.857553
8.12388E-05	0.859612
8.13058E-05	0.860391
8.14540E-05	0.863402
8.16022E-05	0.867825
8.16181E-05	0.868479
8.17504E-05	0.872689
8.18492E-05	0.876902
8.19480E-05	0.882094
8.19552E-05	0.882556
8.20448E-05	0.887272
8.21396E-05	0.893427
8.22344E-05	0.900885
8.22713E-05	0.904361
8.23292E-05	0.909013
8.24240E-05	0.918315
8.25188E-05	0.929556
8.25873E-05	0.939286
8.26137E-05	0.942608
8.27085E-05	0.95715
8.27875E-05	0.971544
8.28244E-05	0.979492
8.28823E-05	0.990955
8.29455E-05	1.00566
8.30087E-05	1.02238
8.30614E-05	1.0382
8.30719E-05	1.04117
8.31351E-05	1.06154
8.31983E-05	1.08483
8.32194E-05	1.09369
8.32616E-05	1.11066
8.33327E-05	1.14384
8.33774E-05	1.16761
8.33801E-05	1.16895
8.34275E-05	1.19586
8.34749E-05	1.22586
8.35223E-05	1.25933
8.35355E-05	1.26971
8.35697E-05	1.29598
8.36171E-05	1.33675
8.36408E-05	1.35956
8.36619E-05	1.37943
8.37040E-05	1.42376
8.37462E-05	1.47312
8.37883E-05	1.52727
8.38305E-05	1.58789
8.38515E-05	1.62189
8.38726E-05	1.65541
8.39147E-05	1.73094
8.39569E-05	1.81624
8.39924E-05	1.89619
8.40214E-05	1.96809
8.40504E-05	2.04684
8.40622E-05	2.0822
8.40793E-05	2.13295
8.41083E-05	2.22748
8.41373E-05	2.3318
8.41663E-05	2.44727
8.41952E-05	2.57548
8.42216E-05	2.70473
8.42453E-05	2.83287
8.42690E-05	2.97379
8.42729E-05	2.99972
8.42927E-05	3.12985
8.43164E-05	3.30289
8.43256E-05	3.37782
8.43401E-05	3.4962
8.43638E-05	3.71304
8.43651E-05	3.7264
8.43816E-05	3.89434
8.43914E-05	4.00498
8.43993E-05	4.09393
8.44112E-05	4.24251
8.44204E-05	4.35867
8.44309E-05	4.5064
8.44362E-05	4.58055
8.44375E-05	4.60097
8.44507E-05	4.80581
8.44520E-05	4.82639
8.44639E-05	5.03135
8.44678E-05	5.10003
8.44770E-05	5.2782
8.44836E-05	5.40613
8.44881E-05	5.50334
8.44994E-05	5.7506
8.45015E-05	5.80228
8.45105E-05	6.02306
8.45152E-05	6.14051
8.45194E-05	6.25589
8.45258E-05	6.42982
8.45284E-05	6.50855
8.45363E-05	6.74596
8.45373E-05	6.78043
8.45463E-05	7.07494
8.45468E-05	7.09236
8.45553E-05	7.39642
8.45574E-05	7.4729
8.45642E-05	7.74447
8.45679E-05	7.89161
8.45732E-05	8.12223
8.45790E-05	8.37753
8.45821E-05	8.5309
8.45888E-05	8.85867
8.45900E-05	8.91681
8.45956E-05	9.21603
8.46011E-05	9.5168
8.46023E-05	9.58799
8.46090E-05	9.99339
8.46121E-05	10.1852
8.46157E-05	10.4238
8.46224E-05	10.8767
8.46232E-05	10.9303
8.46298E-05	11.4244
8.46343E-05	11.7622
8.46356E-05	11.8722
8.46414E-05	12.3583
8.46453E-05	12.6914
8.46472E-05	12.8635
8.46530E-05	13.4068
8.46564E-05	13.7295
8.46588E-05	13.9768
8.46646E-05	14.5841
8.46675E-05	14.8894
8.46703E-05	15.227
8.46761E-05	15.9058
8.46785E-05	16.1849
8.46819E-05	16.6284
8.46877E-05	17.3828
8.46885E-05	17.4863
8.46935E-05	18.1961
8.46964E-05	18.6091
8.46993E-05	19.0524
8.47043E-05	19.822
8.47051E-05	19.9523
8.47109E-05	20.9129
8.47122E-05	21.1324
8.47167E-05	21.932
8.47201E-05	22.5473
8.47249E-05	23.4596
8.47280E-05	24.0721
8.47328E-05	25.0552
8.47359E-05	25.7152
8.47407E-05	26.7734
8.47438E-05	27.4837
8.47486E-05	28.6216
8.47517E-05	29.3854
8.47565E-05	30.6076
8.47596E-05	31.4279
8.47644E-05	32.7391
8.47675E-05	33.6191
8.47723E-05	35.0224
8.47752E-05	35.8858
8.47802E-05	37.4823
8.47852E-05	39.0892
8.47881E-05	40.0924
8.47952E-05	42.5703
8.47960E-05	42.8666
8.48039E-05	45.8474
8.48052E-05	46.3477
8.48134E-05	49.6766
8.48152E-05	50.4339
8.48228E-05	53.7927
8.48252E-05	54.8426
8.48323E-05	58.2065
8.48352E-05	59.5865
8.48418E-05	62.9275
8.48452E-05	64.6766
8.48513E-05	67.9667
8.48555E-05	70.2694
8.48597E-05	72.7145
8.48660E-05	76.4049
8.48703E-05	79.011
8.48766E-05	82.946
8.48808E-05	85.7156
8.48871E-05	89.8961
8.48913E-05	92.8284
8.48976E-05	97.2526
8.49013E-05	99.9889
8.49108E-05	107.061
8.49134E-05	109.038
8.49250E-05	118.296
