E(MeV)	"ENDF/B-VIII.b5: SE-82(N,TOT)"	
1.00000E-11	34.0168	
1.10304E-11	32.4219	
1.21669E-11	30.9049	
1.34206E-11	29.4652	
1.34592E-11	29.4213	
1.48034E-11	28.0931	
1.48460E-11	28.0514	
1.63287E-11	26.7886	
1.63757E-11	26.749	
1.80111E-11	25.5485	
1.80629E-11	25.5108	
1.98669E-11	24.3698	
1.99241E-11	24.334	
2.19139E-11	23.2496	
2.19770E-11	23.2156	
2.41719E-11	22.1905	
2.44125E-11	22.0792	
2.66625E-11	21.1832	
2.71165E-11	21.0041	
2.94097E-11	20.2256	
3.01215E-11	19.9863	
3.24400E-11	19.3156	
3.34578E-11	19.024	
3.57825E-11	18.451	
3.71656E-11	18.1135	
3.94694E-11	17.63	
4.12821E-11	17.2533	
4.35362E-11	16.8505	
4.58569E-11	16.4401	
4.80221E-11	16.1109	
5.09362E-11	15.6724	
5.29701E-11	15.4093	
5.65809E-11	14.9473	
5.84280E-11	14.7442	
6.28479E-11	14.2634	
6.44483E-11	14.1139	
6.98126E-11	13.6183	
7.10888E-11	13.5171	
7.75452E-11	13.0106	
7.84136E-11	12.9522	
8.61387E-11	12.4381	
8.64931E-11	12.4179	
9.54051E-11	11.9152	
9.56796E-11	11.8998	
1.05235E-10	11.4432	
1.06283E-10	11.3937	
1.16078E-10	10.9976	
1.18055E-10	10.9185	
1.28039E-10	10.579	
1.32056E-10	10.4438	
1.41231E-10	10.183	
1.47718E-10	10.0007	
1.55784E-10	9.80939	
1.65237E-10	9.58769	
1.71835E-10	9.45723	
1.84834E-10	9.20323	
1.89540E-10	9.12578	
2.06755E-10	8.84593	
2.09070E-10	8.81444	
2.30612E-10	8.52514	
2.32908E-10	8.49466	
2.54374E-10	8.25822	
2.62355E-10	8.17134	
2.80584E-10	8.00697	
2.95540E-10	7.87377	
3.09494E-10	7.77156	
3.35255E-10	7.58531	
3.41383E-10	7.54912	
3.76558E-10	7.34428	
3.80307E-10	7.32272	
4.15358E-10	7.15963	
4.34433E-10	7.07204	
4.58155E-10	6.98454	
4.96290E-10	6.84591	
5.05362E-10	6.8196	
5.57433E-10	6.67097	
5.70924E-10	6.63299	
6.14869E-10	6.53585	
6.61382E-10	6.43463	
6.78223E-10	6.40619	
7.48105E-10	6.29023	
7.71577E-10	6.25188	
8.25188E-10	6.18494	
9.06483E-10	6.08523	
9.10213E-10	6.08177	
1.00400E-09	5.99649	
1.07244E-09	5.93539	
1.10745E-09	5.91218	
1.22155E-09	5.83816	
1.28667E-09	5.79671	
1.34742E-09	5.76866	
1.48625E-09	5.70603	
1.56548E-09	5.67102	
1.63939E-09	5.64794	
1.80831E-09	5.59652	
1.94510E-09	5.55581	
1.99463E-09	5.54573	
2.20016E-09	5.50514	
2.42685E-09	5.4615	
2.48559E-09	5.45045	
2.67691E-09	5.42689	
2.95273E-09	5.39396	
3.25697E-09	5.35862	
3.26634E-09	5.35756	
3.59256E-09	5.33447	
3.96272E-09	5.30916	
4.37103E-09	5.28209	
4.47681E-09	5.27527	
4.82141E-09	5.26214	
5.31819E-09	5.24398	
5.86616E-09	5.22469	
6.47059E-09	5.20411	
6.48921E-09	5.20349	
7.13730E-09	5.19182	
7.87271E-09	5.17921	
8.68389E-09	5.16591	
9.57865E-09	5.15181	
1.02316E-08	5.14189	
1.05656E-08	5.13935	
1.16543E-08	5.13161	
1.28551E-08	5.12357	
1.41796E-08	5.11517	
1.56406E-08	5.10635	
1.72522E-08	5.09706	
1.85573E-08	5.08983	
1.90298E-08	5.08836	
2.09906E-08	5.08266	
2.31534E-08	5.07674	
2.52419E-08	5.07132	
2.52781E-08	5.07122	
2.53000E-08	5.07118	
2.79068E-08	5.06792	
3.07823E-08	5.06465	
3.39540E-08	5.06135	
3.74525E-08	5.058	
4.13115E-08	5.05458	
4.55681E-08	5.05107	
5.02633E-08	5.04744	
5.54423E-08	5.04369	
6.11549E-08	5.03977	
6.74561E-08	5.03568	
7.08479E-08	5.03357	
7.44066E-08	5.03285	
8.20732E-08	5.03148	
9.05297E-08	5.03016	
9.98577E-08	5.02888	
1.10147E-07	5.02764	
1.21496E-07	5.02643	
