E(MeV)	"ENDF/B-VIII.b5: SE-80(N,TOT)"
1.00000E-11	75.4332
1.10304E-11	71.8688
1.21669E-11	68.4863
1.22413E-11	68.2775
1.34206E-11	65.2665
1.35845E-11	64.8717
1.48034E-11	62.1945
1.49842E-11	61.8199
1.63287E-11	59.2731
1.65281E-11	58.9168
1.80111E-11	56.4942
1.82311E-11	56.1553
1.98669E-11	53.8511
2.01096E-11	53.5288
2.19139E-11	51.3375
2.21817E-11	51.031
2.41719E-11	48.9471
2.44672E-11	48.6557
2.66625E-11	46.6807
2.71786E-11	46.2431
2.94097E-11	44.5237
3.01890E-11	43.9581
3.24400E-11	42.4725
3.35345E-11	41.7924
3.57825E-11	40.522
3.72488E-11	39.7422
3.94694E-11	38.6678
4.13767E-11	37.7999
4.35362E-11	36.9055
4.59597E-11	35.962
4.80221E-11	35.2309
5.10529E-11	34.2217
5.29701E-11	33.6402
5.67076E-11	32.5759
5.84280E-11	32.1296
6.29919E-11	31.0185
6.44483E-11	30.6954
6.99691E-11	29.5468
7.10888E-11	29.3344
7.77229E-11	28.1551
7.84136E-11	28.0431
8.63317E-11	26.841
8.64931E-11	26.8186
9.54051E-11	25.6635
9.58989E-11	25.6033
1.05235E-10	24.5705
1.06521E-10	24.4368
1.16078E-10	23.535
1.18326E-10	23.3358
1.28039E-10	22.5568
1.32359E-10	22.2317
1.41231E-10	21.6291
1.48057E-10	21.1945
1.55784E-10	20.7503
1.65616E-10	20.2211
1.71835E-10	19.9185
1.85258E-10	19.3081
1.89540E-10	19.1319
2.07229E-10	18.4527
2.09070E-10	18.3888
2.30612E-10	17.6929
2.33429E-10	17.6076
2.54374E-10	17.0405
2.62956E-10	16.8232
2.80584E-10	16.4232
2.96202E-10	16.0926
3.09494E-10	15.8401
3.33669E-10	15.4125
3.41383E-10	15.2901
3.76558E-10	14.7721
3.78508E-10	14.7453
4.15358E-10	14.2949
4.29371E-10	14.1355
4.58155E-10	13.8445
4.90482E-10	13.5411
5.05362E-10	13.4173
5.57433E-10	13.0168
5.64242E-10	12.9681
6.14869E-10	12.6495
6.49096E-10	12.4502
6.78223E-10	12.3004
7.48105E-10	11.9692
7.51977E-10	11.9523
8.25188E-10	11.6718
8.83412E-10	11.4664
9.10213E-10	11.3837
1.00400E-09	11.1189
1.04514E-09	11.012
1.10745E-09	10.8714
1.22155E-09	10.6362
1.25392E-09	10.5748
1.34742E-09	10.4222
1.48625E-09	10.2156
1.52564E-09	10.1619
1.63939E-09	10.0286
1.80831E-09	9.84881
1.88241E-09	9.77683
1.99463E-09	9.68343
2.20016E-09	9.52884
2.38863E-09	9.40012
2.42685E-09	9.37774
2.67691E-09	9.24629
2.95273E-09	9.11551
3.11709E-09	9.0449
3.25697E-09	8.99389
3.59256E-09	8.88442
3.96272E-09	8.77595
4.24233E-09	8.70201
4.37103E-09	8.67322
4.82141E-09	8.5836
5.31819E-09	8.49534
5.86616E-09	8.40808
6.06407E-09	8.37971
6.47059E-09	8.331
7.13730E-09	8.26028
7.87271E-09	8.19097
8.68389E-09	8.12282
9.36219E-09	8.07183
9.57865E-09	8.0582
1.05656E-08	8.00362
1.16543E-08	7.95057
1.28551E-08	7.89888
1.41796E-08	7.84835
1.56406E-08	7.79878
1.62816E-08	7.77936
1.72522E-08	7.75439
1.90298E-08	7.71425
2.09906E-08	7.67528
2.31534E-08	7.63738
2.52184E-08	7.60514
2.52419E-08	7.6048
2.53000E-08	7.604
2.79068E-08	7.57315
3.07823E-08	7.54353
3.39540E-08	7.51504
3.74525E-08	7.48763
4.13115E-08	7.46123
4.55681E-08	7.43574
5.02633E-08	7.41104
5.54423E-08	7.38704
6.11549E-08	7.36369
6.74561E-08	7.34092
6.98622E-08	7.33321
7.44066E-08	7.32138
8.20732E-08	7.30414
9.05297E-08	7.28773
9.98577E-08	7.27205
1.10147E-07	7.25703
1.21496E-07	7.24269
1.34014E-07	7.22899
1.47823E-07	7.21589
1.63054E-07	7.20338
1.79855E-07	7.19145
1.99786E-07	7.17915
2.20371E-07	7.16814
2.43077E-07	7.15757
2.68123E-07	7.14742
2.95750E-07	7.13764
3.26223E-07	7.12821
3.59836E-07	7.11914
3.99693E-07	7.10972
4.40876E-07	7.10116
4.86303E-07	7.09284
5.36410E-07	7.08472
5.91680E-07	7.07677
6.08493E-07	7.07462
6.52645E-07	7.07011
7.19891E-07	7.06422
7.88543E-07	7.0589
8.69792E-07	7.05341
9.59413E-07	7.04815
1.05827E-06	7.04311
1.16731E-06	7.03826
1.28758E-06	7.0336
1.42025E-06	7.0291
1.55562E-06	7.02511
1.69203E-06	7.02149
