E(MeV)	Si-nat			
1.000000E-11	30.1066			
1.102400E-11	28.6821			
1.215040E-11	27.3284			
1.339460E-11	26.037			
1.476330E-11	24.8097			
1.627500E-11	23.6389			
1.793810E-11	22.5265			
1.977490E-11	21.4653			
2.179560E-11	20.457			
2.402740E-11	19.4953			
2.648260E-11	18.5818			
2.919430E-11	17.7105			
3.217750E-11	16.8828			
3.547230E-11	16.0937			
3.909700E-11	15.3442			
4.310050E-11	14.6296			
4.750460E-11	13.9511			
5.236900E-11	13.3043			
5.772020E-11	12.6903			
6.363060E-11	12.1052			
7.013260E-11	11.55			
7.731390E-11	11.021			
8.521420E-11	10.5191			
9.393980E-11	10.0412			
1.035390E-10	9.58795			
1.141410E-10	9.15652			
1.258040E-10	8.74758			
1.386860E-10	8.35853			
1.528580E-10	7.98996			
1.685100E-10	7.63955			
1.857290E-10	7.30781			
2.047470E-10	6.99265			
2.256690E-10	6.69453			
2.487770E-10	6.41155			
2.741980E-10	6.14415			
3.022750E-10	5.89058			
3.331620E-10	5.65314			
3.378620E-10	5.61845			
3.672770E-10	5.42759			
3.776400E-10	5.3631			
4.048070E-10	5.21442			
4.221010E-10	5.12373			
4.462580E-10	5.01229			
4.717970E-10	4.89954			
4.918580E-10	4.82159			
5.273430E-10	4.68979			
5.422230E-10	4.64114			
5.894290E-10	4.49376			
5.976290E-10	4.47122			
6.588240E-10	4.31078			
7.261450E-10	4.1627			
7.363900E-10	4.14114			
8.005010E-10	4.02294			
8.230880E-10	3.98316			
8.822990E-10	3.89247			
9.327920E-10	3.81874			
9.726430E-10	3.76848			
1.057320E-09	3.6669			
1.072030E-09	3.65163			
1.181800E-09	3.54354			
1.198250E-09	3.5281			
1.302560E-09	3.44383			
1.358210E-09	3.40109			
1.435940E-09	3.35001			
1.560960E-09	3.27214			
1.582670E-09	3.26062			
1.744740E-09	3.17943			
1.793970E-09	3.15603			
1.923020E-09	3.10399			
2.061750E-09	3.05111			
2.119930E-09	3.03234			
2.336550E-09	2.9666			
2.402480E-09	2.94768			
2.575810E-09	2.90633			
2.839010E-09	2.8473			
3.129720E-09	2.79649			
3.354860E-09	2.75954			
3.449530E-09	2.74666			
3.802750E-09	2.70183			
4.020380E-09	2.67594			
4.191330E-09	2.65935			
4.620500E-09	2.62064			
4.952890E-09	2.59264			
5.092640E-09	2.58314			
5.614120E-09	2.55034			
6.187790E-09	2.5168			
6.821400E-09	2.48938			
7.518430E-09	2.46153			
7.948710E-09	2.44557			
8.288300E-09	2.43559			
9.135230E-09	2.41281			
1.007060E-08	2.38966			
1.049890E-08	2.37985			
1.109970E-08	2.36914			
1.223630E-08	2.35071			
1.348660E-08	2.33218			
1.466080E-08	2.31618			
1.486760E-08	2.31401			
1.638680E-08	2.2996			
1.806480E-08	2.28519			
1.991070E-08	2.27076			
2.164420E-08	2.25837			
2.194950E-08	2.25656			
2.419240E-08	2.24453			
2.508750E-08	2.24004			
2.530000E-08	2.23905			
2.789060E-08	2.2292			
3.074060E-08	2.2195			
3.388840E-08	2.20987			
3.735120E-08	2.20031			
4.117580E-08	2.19076			
4.353230E-08	2.18544			
4.538330E-08	2.18237			
5.003050E-08	2.17563			
5.514280E-08	2.16909			
6.078920E-08	2.1627			
6.700090E-08	2.15644			
7.386160E-08	2.15023			
8.140900E-08	2.14404			
