E(MeV)	mcnp/Sm-147:1	
1.00000E-11	3055.345215	
1.15436E-11	2844.315186	
1.30872E-11	2671.827881	
1.61743E-11	2404.279053	
1.92615E-11	2204.03833	
2.23486E-11	2046.93457	
2.54358E-11	1919.426147	
2.85229E-11	1813.263672	
3.46972E-11	1645.265259	
4.08716E-11	1517.02771	
4.70459E-11	1415.013184	
5.32202E-11	1331.366821	
5.93945E-11	1261.171753	
7.17431E-11	1149.136475	
8.40917E-11	1062.891724	
9.64404E-11	993.8706055	
1.08789E-10	937.0228882	
1.33486E-10	848.1286011	
1.58183E-10	781.0866699	
1.82881E-10	728.2168579	
2.07578E-10	685.1516113	
2.56973E-10	618.6026001	
3.06367E-10	568.9957886	
3.55762E-10	530.1965942	
4.05156E-10	498.7852783	
5.03945E-10	450.5557556	
6.02735E-10	414.8238525	
7.01523E-10	386.9900513	
8.00312E-10	364.5200806	
9.97891E-10	330.1166687	
1.19547E-09	304.6965637	
1.39305E-09	284.932373	
1.59063E-09	268.9989014	
1.98578E-09	244.636795	
2.38094E-09	226.6580811	
2.77609E-09	212.689621	
3.17125E-09	201.4317169	
3.96156E-09	184.2142181	
4.75187E-09	171.5062103	
5.54219E-09	161.6436005	
6.33250E-09	153.7032928	
7.12281E-09	147.1208344	
7.91312E-09	141.5392914	
8.30828E-09	139.048645	
8.70344E-09	136.7288361	
9.09859E-09	134.5625153	
9.49375E-09	132.5348511	
9.88064E-09	130.671524	
1.01791E-08	129.3096924	
1.04775E-08	128.0086975	
1.07759E-08	126.7641525	
1.10744E-08	125.5722885	
1.14695E-08	124.0688171	
1.18647E-08	122.6433563	
1.26550E-08	119.9984207	
1.34453E-08	117.5888977	
1.42356E-08	115.3771591	
1.58163E-08	111.4422226	
1.89775E-08	105.0724564	
2.21387E-08	100.127037	
2.53000E-08	96.15089417	
2.85593E-08	92.77875519	
3.18186E-08	89.95916748	
3.83372E-08	85.399086	
4.48559E-08	81.86446381	
5.13745E-08	79.03981018	
5.78931E-08	76.70076752	
6.44117E-08	74.74774933	
7.74490E-08	71.58660126	
9.04862E-08	69.10760498	
1.03523E-07	67.11624146	
1.29598E-07	64.08966827	
1.57092E-07	61.73952866	
1.81747E-07	60.09047318	
2.07821E-07	58.66991043	
2.36230E-07	57.39883423	
2.86045E-07	55.62818146	
3.24804E-07	54.51916504	
3.38194E-07	54.18354416	
4.20707E-07	52.45433807	
5.18479E-07	50.94332123	
6.20180E-07	49.73490143	
7.20012E-07	48.78814697	
8.59683E-07	47.73194122	
1.01998E-06	46.78961182	
1.11554E-06	46.32952118	
1.27687E-06	45.69524384	
1.45937E-06	45.17276764	
1.69428E-06	44.80857849	
1.83467E-06	44.78463745	
2.00656E-06	45.02329254	
2.13000E-06	45.44443512	
2.19455E-06	45.77920914	
2.28366E-06	46.40814209	
2.32956E-06	46.82835007	
2.42415E-06	47.96248627	
2.47288E-06	48.72161102	
2.52845E-06	49.78149414	
2.57329E-06	50.82945251	
2.65126E-06	53.1859169	
2.67778E-06	54.18557739	
2.73160E-06	56.62690353	
2.75891E-06	58.12611389	
2.81437E-06	61.88479996	
2.84251E-06	64.26074982	
2.87094E-06	67.07423401	
2.89965E-06	70.43558502	
2.92865E-06	74.49980164	
2.94564E-06	77.27184296	
2.95794E-06	79.49171448	
2.98752E-06	85.70593262	
3.01739E-06	93.5395813	
3.04757E-06	103.609436	
3.06280E-06	109.7964325	
3.07804E-06	116.930481	
3.09418E-06	125.7467499	
3.10952E-06	135.6071625	
3.12410E-06	146.6449127	
3.13797E-06	159.0092316	
3.15115E-06	172.8750458	
3.16369E-06	188.4424896	
3.17561E-06	205.9525146	
3.18695E-06	225.6828003	
3.19774E-06	247.959198	
3.20800E-06	273.1637268	
3.21777E-06	301.7609558	
3.22706E-06	334.2762146	
3.23591E-06	371.3471985	
3.24434E-06	413.7260742	
3.25237E-06	462.2443542	
3.26001E-06	517.8339233	
3.26730E-06	581.4412231	
3.27425E-06	654.1190186	
3.28088E-06	736.7104492	
3.28720E-06	830.0540771	
3.29324E-06	934.6967773	
3.30179E-06	1113.36377	
3.30742E-06	1253.195923	
3.31306E-06	1412.320313	
3.31869E-06	1591.762695	
3.32433E-06	1791.84668	
3.33096E-06	2052.687012	
3.33722E-06	2321.812256	
3.35434E-06	3121.630615	
3.36283E-06	3511.718506	
3.37207E-06	3886.139404	
3.38228E-06	4193.866211	
3.39261E-06	4350.169434	
3.39700E-06	4362.744629	
3.40092E-06	4346.025879	
3.40823E-06	4246.238281	
3.41946E-06	3938.139893	
3.43027E-06	3509.51416	
3.43909E-06	3106.445313	
3.45021E-06	2584.60376	
3.45613E-06	2317.167236	
3.46236E-06	2052.025391	
3.46895E-06	1794.801147	
3.47366E-06	1627.190308	
3.47837E-06	1473.639771	
3.48624E-06	1248.493042	
3.49410E-06	1060.042847	
3.50279E-06	889.7250977	
3.50892E-06	790.1699219	
3.51535E-06	701.4274902	
3.52208E-06	622.8920288	
3.52914E-06	553.8067627	
3.53655E-06	493.2433167	
3.54432E-06	440.3262024	
3.55248E-06	394.0844727	
3.56105E-06	353.6576538	
3.57005E-06	318.2521973	
3.57950E-06	287.1871643	
3.58944E-06	259.8601379	
3.59988E-06	235.7609863	
3.61085E-06	214.4547882	
3.62238E-06	195.5773468	
3.63451E-06	178.8126068	
3.64726E-06	163.901825	
3.66068E-06	150.6180267	
3.67478E-06	138.7690582	
3.68961E-06	128.1830139	
3.70522E-06	118.7164917	
3.72164E-06	110.2385101	
3.73891E-06	102.641449	
3.75760E-06	95.64636993	
3.77629E-06	89.68008423	
3.79518E-06	84.50249481	
3.81406E-06	80.02613831	
3.83313E-06	76.09378052	
3.85220E-06	72.65299225	
3.89354E-06	66.50923157	
3.92963E-06	62.2580986	
3.96893E-06	58.50472641	
4.00862E-06	55.41489029	
4.04871E-06	52.83936691	
4.08919E-06	50.6688652	
4.13009E-06	48.82054901	
4.17139E-06	47.23169327	
4.21311E-06	45.85404968	
4.25524E-06	44.64997101	
4.29779E-06	43.58911896	
4.34077E-06	42.6477356	
4.38418E-06	41.80910492	
4.42802E-06	41.05752945	
4.51703E-06	39.76087189	
4.56220E-06	39.19748306	
4.65390E-06	38.20475006	
4.79492E-06	36.97531128	
4.89130E-06	36.28255463	
4.98962E-06	35.66231155	
5.08991E-06	35.10241318	
5.28063E-06	34.18639755	
5.51165E-06	33.26052475	
5.62244E-06	32.86535645	
5.90925E-06	31.94607544	
6.20537E-06	31.10231781	
6.65871E-06	29.94611549	
7.16321E-06	28.77261925	
7.45555E-06	28.12848663	
8.07652E-06	26.81540108	
8.40614E-06	26.14072418	
9.10627E-06	24.74060249	
9.86473E-06	23.25855255	
1.06863E-05	21.68002319	
1.10989E-05	20.89787483	
1.14352E-05	20.26708031	
1.17817E-05	19.6260643	
1.21387E-05	18.97902298	
1.26785E-05	18.04257965	
1.28855E-05	17.70471191	
1.31445E-05	17.30535889	
1.34087E-05	16.9324379	
1.36783E-05	16.60308838	
1.40927E-05	16.24780273	
1.42337E-05	16.18496704	
1.45198E-05	16.18609428	
1.48116E-05	16.4352951	
1.51093E-05	17.07536507	
1.52604E-05	17.61309052	
1.54130E-05	18.3528347	
1.55672E-05	19.35611153	
1.57228E-05	20.69264984	
1.58015E-05	21.52349663	
1.58801E-05	22.48877907	
1.59595E-05	23.61529732	
1.59992E-05	24.24311638	
1.60389E-05	24.91929054	
1.60790E-05	25.65548134	
1.61191E-05	26.44925499	
1.61592E-05	27.30540848	
1.61993E-05	28.22926712	
1.62398E-05	29.2371788	
1.62803E-05	30.32628059	
1.63208E-05	31.50456619	
1.63613E-05	32.7804718	
1.63774E-05	33.31885529	
1.64143E-05	34.61452484	
1.64512E-05	36.01026154	
1.64880E-05	37.51557922	
1.65249E-05	39.14006042	
1.65662E-05	41.11626053	
1.66075E-05	43.2745018	
1.66488E-05	45.63401794	
1.66901E-05	48.21807861	
1.67319E-05	51.08348465	
1.67736E-05	54.23555374	
1.68153E-05	57.71030426	
1.68571E-05	61.54858017	
1.68992E-05	65.84236908	
1.69413E-05	70.61270905	
1.69835E-05	75.92654419	
1.70256E-05	81.86323547	
1.70682E-05	88.58594513	
1.71107E-05	96.15415955	
1.71533E-05	104.704216	
1.71959E-05	114.4035339	
1.72389E-05	125.5752029	
1.72819E-05	138.3803711	
1.73248E-05	153.1342163	
1.73678E-05	170.2355957	
1.74112E-05	190.3987732	
1.74547E-05	214.1222687	
1.74981E-05	242.2460632	
1.75415E-05	275.8860779	
1.75847E-05	316.2830505	
1.76063E-05	339.6868591	
1.76279E-05	365.6364136	
1.76495E-05	394.5115967	
1.76711E-05	426.7640076	
1.76927E-05	462.9328918	
1.77143E-05	503.6664429	
1.77441E-05	568.7368164	
1.77724E-05	642.4576416	
1.77993E-05	726.1174927	
1.78248E-05	821.1494141	
1.78492E-05	929.3683472	
1.78723E-05	1052.973511	
1.78944E-05	1194.376709	
1.79153E-05	1356.649414	
1.79353E-05	1543.644897	
1.79449E-05	1647.562622	
1.79634E-05	1879.29187	
1.79811E-05	2147.576416	
1.79979E-05	2457.490967	
1.80139E-05	2814.788086	
1.80291E-05	3225.496582	
1.80437E-05	3694.316406	
1.80576E-05	4225.401367	
1.80674E-05	4658.068848	
1.80773E-05	5144.007813	
1.80922E-05	5994.621094	
1.81072E-05	6993.776855	
1.81206E-05	8025.492676	
1.81340E-05	9189.026367	
1.81488E-05	10623.63574	
1.81627E-05	12109.60938	
1.82005E-05	16551.06055	
1.82234E-05	19251.58203	
1.82423E-05	21243.44531	
1.82679E-05	23301.16797	
1.82890E-05	24225.45703	
1.83000E-05	24384.9375	
1.83168E-05	24188.75781	
1.83395E-05	23115.76563	
1.83637E-05	21134.18555	
1.83863E-05	18749.6582	
1.84098E-05	16026.47852	
1.84492E-05	11630.98242	
1.84638E-05	10193.11426	
1.84849E-05	8383.12793	
1.85024E-05	7105.537109	
1.85200E-05	6031.699707	
1.85298E-05	5518.321289	
1.85395E-05	5056.672363	
1.85532E-05	4485.919434	
1.85676E-05	3975.550537	
1.85828E-05	3523.841797	
1.85986E-05	3126.094971	
1.86152E-05	2777.659424	
1.86327E-05	2472.399902	
1.86510E-05	2205.765381	
1.86703E-05	1972.42041	
1.86905E-05	1767.666626	
1.87117E-05	1587.863892	
1.87341E-05	1429.152344	
1.87576E-05	1288.736694	
1.87822E-05	1164.227295	
1.88082E-05	1053.365601	
1.88355E-05	954.5612183	
1.88642E-05	866.2130737	
1.88944E-05	787.1176147	
1.89261E-05	716.1763306	
1.89595E-05	652.4327393	
1.89946E-05	595.0897827	
1.90316E-05	543.4110718	
1.90791E-05	487.2841187	
1.91267E-05	440.3917542	
1.91743E-05	400.7590027	
1.92219E-05	366.9269714	
1.92699E-05	337.5217285	
1.93180E-05	312.0424194	
1.93661E-05	289.7971497	
1.94141E-05	270.2617798	
1.94627E-05	252.8525543	
1.95112E-05	237.4101715	
1.96083E-05	211.2223053	
1.97063E-05	189.6690369	
1.98043E-05	171.8911591	
1.99034E-05	156.914978	
2.00024E-05	144.2812347	
2.01024E-05	133.4076843	
2.02024E-05	124.0549774	
2.03034E-05	115.8651047	
2.04045E-05	108.7107162	
2.05065E-05	102.3567352	
2.06085E-05	96.73548126	
2.07115E-05	91.69065094	
2.08146E-05	87.21168518	
2.10227E-05	79.44565582	
2.12330E-05	72.95713806	
2.14453E-05	67.49806976	
2.16598E-05	62.84547424	
2.18764E-05	58.83434296	
2.20951E-05	55.34043884	
2.23161E-05	52.26968765	
2.25393E-05	49.54284286	
2.27000E-05	47.77898026	
2.29270E-05	45.53792572	
2.31563E-05	43.51185608	
2.33879E-05	41.67560577	
2.36217E-05	40.00639343	
2.38579E-05	38.48630524	
2.40965E-05	37.10255432	
2.43375E-05	35.84825897	
2.45809E-05	34.72338104	
2.48267E-05	33.73738098	
2.50750E-05	32.91561127	
2.53257E-05	32.30085754	
2.54524E-05	32.10125732	
2.55790E-05	32.01172638	
2.57069E-05	32.06281281	
2.58348E-05	32.3078537	
2.59640E-05	32.8335495	
2.60286E-05	33.24669266	
2.60931E-05	33.79949951	
2.61500E-05	34.43392563	
2.62069E-05	35.24490738	
2.62638E-05	36.28396225	
2.63206E-05	37.62456512	
2.63647E-05	38.93819809	
2.64088E-05	40.56822586	
2.64529E-05	42.61481476	
2.64970E-05	45.22366714	
2.65312E-05	47.77000046	
2.65654E-05	50.93508911	
2.65996E-05	54.94435883	
2.66338E-05	60.14715195	
2.66603E-05	65.36238098	
2.66869E-05	72.06504059	
2.67002E-05	76.1708374	
2.67135E-05	80.92385864	
2.67267E-05	86.46567535	
2.67400E-05	92.97851563	
2.67493E-05	98.20883942	
2.67671E-05	110.2538223	
2.67841E-05	124.7075806	
2.67922E-05	132.9804993	
2.68080E-05	151.7875519	
2.68156E-05	162.3927765	
2.68301E-05	186.134613	
2.68440E-05	213.5270386	
2.68538E-05	235.973465	
2.68636E-05	261.3402405	
2.68724E-05	286.769104	
2.68811E-05	314.8917847	
2.68987E-05	379.7836609	
2.69144E-05	448.0615234	
2.69290E-05	520.2840576	
2.69426E-05	594.5386963	
