E(MeV)	pendfb7/Sm149:1	
1.00000E-11	1216402.8	
1.02999E-11	1198569.87	
1.06087E-11	1181004.06	
1.09269E-11	1163687.85	
1.12544E-11	1146636.28	
1.15920E-11	1129825.14	
1.19395E-11	1113269.43	
1.22976E-11	1096947.91	
1.26662E-11	1080874.39	
1.30462E-11	1065026.19	
1.34372E-11	1049422.9	
1.38403E-11	1034036.91	
1.42552E-11	1018887.48	
1.46827E-11	1003951.45	
1.51229E-11	989241.492	
1.55765E-11	974738.316	
1.60434E-11	960459.049	
1.65246E-11	946379.331	
1.70199E-11	932515.027	
1.75304E-11	918846.635	
1.80559E-11	905385.032	
1.85975E-11	892114.043	
1.91550E-11	879045.382	
1.97295E-11	866161.485	
2.03209E-11	853473.084	
2.09305E-11	840963.056	
2.15579E-11	828645.816	
2.22045E-11	816500.823	
2.28701E-11	804541.903	
2.35561E-11	792750.404	
2.42622E-11	781140.305	
2.49899E-11	769693.146	
2.57390E-11	758420.594	
2.65110E-11	747307.34	
2.73057E-11	736362.952	
2.74215E-11	734837.413	
2.81247E-11	725573.727	
2.83632E-11	722567.855	
2.89678E-11	714948.111	
2.93372E-11	710494.534	
2.98367E-11	704472.576	
3.03447E-11	698613.695	
3.07311E-11	694157.355	
3.13868E-11	686922.534	
3.16528E-11	683987.625	
3.24646E-11	675419.524	
3.26017E-11	673972.541	
3.35795E-11	664099.138	
3.45861E-11	654376.08	
3.47327E-11	653021.43	
3.56235E-11	644790.219	
3.59255E-11	642120.495	
3.66913E-11	635350.861	
3.71592E-11	631394.306	
3.77919E-11	626044.324	
3.84353E-11	620839.326	
3.89247E-11	616880.25	
3.97553E-11	610452.657	
4.00923E-11	607844.842	
4.11205E-11	600233.229	
4.12941E-11	598948.121	
4.25327E-11	590176.147	
4.38076E-11	581538.852	
4.39933E-11	580335.328	
4.51216E-11	573022.973	
4.55041E-11	570651.544	
4.64742E-11	564637.24	
4.70668E-11	561122.424	
4.78681E-11	556369.876	
4.86831E-11	551745.668	
4.93030E-11	548228.509	
5.03550E-11	542518.731	
5.07818E-11	540202.305	
5.20843E-11	533439.541	
5.23041E-11	532298.333	
5.38729E-11	524506.064	
5.54878E-11	516832.834	
5.57230E-11	515763.743	
5.71521E-11	509267.978	
5.76366E-11	507161.204	
5.88653E-11	501818.508	
5.96159E-11	498696.329	
6.06310E-11	494474.035	
6.16632E-11	490366.659	
6.24484E-11	487242.225	
6.37809E-11	482170.092	
6.43215E-11	480112.353	
6.59712E-11	474105.025	
6.62496E-11	473091.262	
6.82368E-11	466169.186	
7.02822E-11	459353.289	
7.05801E-11	458403.669	
7.23903E-11	452633.398	
7.30040E-11	450761.984	
7.45603E-11	446016.312	
7.55110E-11	443242.978	
7.67967E-11	439492.479	
7.81042E-11	435843.82	
7.90987E-11	433068.667	
8.07864E-11	428563.491	
8.14712E-11	426735.513	
8.35607E-11	421399.7	
8.39134E-11	420499.054	
8.64304E-11	414350.631	
8.90212E-11	408296.517	
8.93985E-11	407453.097	
9.16913E-11	402327.86	
9.24686E-11	400665.699	
9.44399E-11	396450.406	
9.56441E-11	393987.1	
9.72725E-11	390656.122	
9.89287E-11	387414.837	
1.00188E-10	384950.362	
1.02326E-10	380948.832	
1.03193E-10	379326.168	
1.05840E-10	374586.686	
1.06287E-10	373786.345	
1.09475E-10	368325.364	
1.12756E-10	362948.627	
1.13234E-10	362199.497	
1.16139E-10	357646.825	
1.17123E-10	356171.487	
1.19620E-10	352427.747	
1.21145E-10	350240.39	
1.23208E-10	347281.429	
1.25834E-10	343678.44	
1.26901E-10	342214.503	
1.30707E-10	337219.474	
1.34626E-10	332299.992	
1.35767E-10	330929.536	
1.38664E-10	327450.027	
1.41024E-10	324738.801	
1.42820E-10	322675.559	
1.46483E-10	318650.35	
1.47104E-10	317967.959	
1.51513E-10	313332.789	
1.52156E-10	312686.293	
1.56058E-10	308763.165	
1.58045E-10	306851.912	
1.60736E-10	304263.555	
1.64166E-10	301107.693	
1.65557E-10	299827.895	
1.70520E-10	295459.898	
1.75635E-10	291153.681	
1.77123E-10	289955.264	
1.80899E-10	286914.189	
