E(MeV)	mcnp/Sm-150:1
9.999999E-12	5312.047363
1.154358E-11	4944.536133
1.308715E-11	4644.115234
1.617431E-11	4178.044922
1.926146E-11	3829.142822
2.234862E-11	3555.335938
2.543578E-11	3333.059814
2.852293E-11	3147.949219
3.469725E-11	2854.92041
4.087156E-11	2631.142578
4.704588E-11	2453.047852
5.322018E-11	2306.953857
5.939450E-11	2184.301758
7.174312E-11	1988.422241
8.409175E-11	1837.511841
9.644038E-11	1716.643677
1.087890E-10	1617.018799
1.334862E-10	1461.067993
1.581835E-10	1343.293823
1.828808E-10	1250.297485
2.075781E-10	1174.456665
2.569726E-10	1057.076538
3.063672E-10	969.4089966
3.557617E-10	900.7252197
4.051563E-10	845.0368652
5.039453E-10	759.3726807
6.027344E-10	695.7711182
7.015233E-10	646.1427002
8.003125E-10	606.0216675
9.978910E-10	544.4916992
1.195469E-09	498.9484253
1.393047E-09	463.4902649
1.590625E-09	434.8735352
1.985782E-09	391.0635986
2.380938E-09	358.6895142
2.776094E-09	333.5113525
3.171250E-09	313.2023315
3.961563E-09	282.1117859
4.751875E-09	259.1398315
5.542187E-09	241.2993317
6.332500E-09	226.9305115
7.913124E-09	204.9139709
9.493750E-09	188.6002502
1.107438E-08	175.9518738
1.265500E-08	165.8061676
1.581625E-08	150.2292175
1.897750E-08	138.6302185
2.213875E-08	129.6312714
2.530000E-08	122.4198914
3.032203E-08	113.3519897
3.534406E-08	106.2440643
4.036609E-08	100.5169601
4.538812E-08	95.82048035
5.543218E-08	88.35703278
6.547626E-08	82.61042023
7.552032E-08	78.05065155
8.556436E-08	74.36025238
1.056525E-07	68.56395721
1.257406E-07	64.15002441
1.458288E-07	60.66769028
1.659169E-07	57.82397079
1.860050E-07	55.46279144
2.261813E-07	51.66771698
2.663575E-07	48.70700073
3.065338E-07	46.31901932
3.467100E-07	44.34570313
4.270625E-07	41.1973877
5.074150E-07	38.75041199
5.877675E-07	36.77153015
6.681200E-07	35.12123108
7.886487E-07	33.06362915
8.288249E-07	32.46562195
9.895300E-07	30.39247894
1.150235E-06	28.68383026
1.310940E-06	27.24032021
1.632350E-06	24.87880707
1.953760E-06	23.00197411
2.275170E-06	21.43789291
2.596580E-06	20.10409164
3.078695E-06	18.4118309
3.239400E-06	17.91259003
3.721514E-06	16.56973648
4.525040E-06	14.72404289
5.167860E-06	13.50161552
5.971385E-06	12.20535278
6.453500E-06	11.52526474
7.417730E-06	10.3353405
7.739141E-06	9.980678558
8.703370E-06	9.020715714
9.024780E-06	8.730649948
9.989009E-06	7.938380718
1.031042E-05	7.697863579
1.127465E-05	7.043466091
1.223888E-05	6.488456726
1.288170E-05	6.18229866
1.352452E-05	5.942041397
1.416735E-05	5.789264679
1.448876E-05	5.757551193
1.481017E-05	5.767158985
1.513158E-05	5.827728748
1.545299E-05	5.954024792
1.577440E-05	6.166563988
1.609581E-05	6.494322777
1.641722E-05	6.97321701
1.657792E-05	7.286567688
1.673863E-05	7.665331841
1.681898E-05	7.881682873
1.689933E-05	8.119848251
1.697968E-05	8.38092804
1.701986E-05	8.52073288
1.706004E-05	8.667208672
1.710022E-05	8.820714951
1.714040E-05	8.981542587
1.718058E-05	9.150036812
1.722075E-05	9.326517105
1.724084E-05	9.417939186
1.726093E-05	9.511516571
1.730110E-05	9.705430984
1.732119E-05	9.805922508
1.736136E-05	10.01417351
1.738145E-05	10.12210083
1.742163E-05	10.34592438
1.744172E-05	10.46191216
1.748190E-05	10.70248795
1.750198E-05	10.82718182
1.754216E-05	11.08600616
1.756225E-05	11.22024727
1.760242E-05	11.49882507
1.762251E-05	11.64341354
1.764260E-05	11.79164124
1.766269E-05	11.94364071
1.768277E-05	12.09945488
1.770286E-05	12.25934696
1.772295E-05	12.42334652
1.774303E-05	12.59150696
1.776312E-05	12.76412869
1.778321E-05	12.94122219
1.782339E-05	13.3093729
1.786356E-05	13.69708443
1.790374E-05	14.10566998
1.794391E-05	14.53636074
1.798409E-05	14.99079037
1.802427E-05	15.47047806
1.806445E-05	15.97711945
1.810462E-05	16.51243973
1.814479E-05	17.07853508
1.818497E-05	17.67775345
1.822515E-05	18.31229782
1.826533E-05	18.9847374
1.830550E-05	19.69768715
1.834568E-05	20.45464325
1.838585E-05	21.25854683
1.842603E-05	22.11353683
1.846621E-05	23.02399826
1.850639E-05	23.99456978
1.854657E-05	25.03055763
1.858674E-05	26.13681221
1.866709E-05	28.58224487
1.874744E-05	31.3822403
1.882780E-05	34.60713196
1.890815E-05	38.34191895
1.898850E-05	42.68869019
1.906885E-05	47.77619934
1.910902E-05	50.65285873
1.914920E-05	53.78976059
1.918938E-05	57.2175293
1.922956E-05	60.97057343
1.926974E-05	65.08810425
1.930991E-05	69.61504364
1.935009E-05	74.60673523
1.939026E-05	80.12457275
1.943044E-05	86.24538422
1.947062E-05	93.05561829
1.951080E-05	100.6596756
1.955097E-05	109.1815414
1.959114E-05	118.7709732
1.963132E-05	129.614624
1.967150E-05	141.9316711
1.971168E-05	155.9972229
1.975185E-05	172.1461182
1.979203E-05	190.8164368
1.983220E-05	212.539505
1.987238E-05	238.0294189
1.991256E-05	268.1847229
1.995273E-05	304.194397
1.999290E-05	347.6663208
2.003308E-05	400.8269043
2.005317E-05	431.967804
2.007325E-05	466.7794189
2.009334E-05	505.9207153
2.011343E-05	550.1453857
2.013352E-05	600.3823853
2.015361E-05	657.8306885
2.017369E-05	723.9520874
2.019378E-05	800.713501
2.021387E-05	890.5982666
2.023396E-05	996.9592896
2.025405E-05	1124.295898
2.027414E-05	1278.86084
2.029423E-05	1469.29126
2.031432E-05	1707.890381
2.032436E-05	1850.297607
2.033440E-05	2011.687622
2.034444E-05	2195.202637
2.035449E-05	2404.721436
2.036454E-05	2644.511963
2.037458E-05	2919.204102
2.038462E-05	3234.486084
2.039466E-05	3596.491211
2.040471E-05	4012.387207
2.041475E-05	4488.588867
2.042479E-05	5032.782227
2.043484E-05	5653.12207
2.044489E-05	6356.49707
2.045493E-05	7148.274414
2.046497E-05	8034.818848
2.047501E-05	9019.486328
2.048505E-05	10103.64453
2.049510E-05	11287.17188
2.050515E-05	12564.5625
2.052523E-05	15357.42969
2.057546E-05	22857.51953
2.059555E-05	25475.25977
2.060917E-05	26921.58984
2.062959E-05	28416.37109
2.065000E-05	28956.96094
2.066362E-05	28751.55078
2.067043E-05	28481.23047
2.069084E-05	27051.67969
2.069765E-05	26389.26953
2.071782E-05	23998.19922
2.073786E-05	21185.46094
2.077127E-05	16213.60352
2.079800E-05	12532.45801
2.081137E-05	10901.35547
2.082474E-05	9436.09375
2.083810E-05	8142.840332
