E(MeV)	Sm 152
1.00000E-11	10309
1.10304E-11	9815.77
1.21669E-11	9346.11
1.34205E-11	8898.93
1.35152E-11	8869.76
1.48034E-11	8473.14
1.50122E-11	8417.63
1.63287E-11	8067.73
1.66758E-11	7988.08
1.80111E-11	7681.72
1.85229E-11	7580.35
1.98669E-11	7314.19
2.05756E-11	7193.01
2.19139E-11	6964.24
2.28546E-11	6825.41
2.41719E-11	6631.04
2.53873E-11	6476.2
2.66625E-11	6313.78
2.81993E-11	6144.78
2.94097E-11	6011.71
3.13242E-11	5829.98
3.24400E-11	5724.09
3.47938E-11	5531.23
3.57825E-11	5450.24
3.86496E-11	5247.46
3.94694E-11	5189.49
4.29306E-11	4978.19
4.35362E-11	4941.23
4.76880E-11	4722.44
4.80221E-11	4704.84
5.29701E-11	4479.77
5.84280E-11	4265.48
5.88402E-11	4251.5
6.44483E-11	4061.44
6.53575E-11	4034.84
7.10888E-11	3867.17
7.31088E-11	3816.15
7.84136E-11	3682.2
8.17794E-11	3608.82
8.64931E-11	3506.08
9.14784E-11	3412.26
9.54051E-11	3338.39
1.02328E-10	3225.94
1.05235E-10	3178.73
1.14464E-10	3049.33
1.16078E-10	3026.71
1.28039E-10	2881.96
1.28942E-10	2872.53
1.41232E-10	2744.16
1.45245E-10	2707.97
1.55784E-10	2612.94
1.63617E-10	2551.97
1.71835E-10	2488.01
1.85603E-10	2395.51
1.89540E-10	2369.06
2.09070E-10	2255.81
2.10545E-10	2248.42
2.30612E-10	2147.98
2.40511E-10	2105.2
2.54374E-10	2045.31
2.74755E-10	1969.29
2.80583E-10	1947.56
3.09494E-10	1854.49
3.16074E-10	1836.2
3.41383E-10	1765.87
3.66154E-10	1706.45
3.76558E-10	1681.5
4.15358E-10	1601.17
4.27160E-10	1580.08
4.58155E-10	1524.69
5.01847E-10	1457.29
5.05362E-10	1451.87
5.57433E-10	1382.54
5.97880E-10	1336.05
6.14869E-10	1316.52
6.78223E-10	1253.68
7.22375E-10	1215.86
7.48105E-10	1193.83
8.25188E-10	1136.86
8.85063E-10	1098.66
9.10213E-10	1082.61
1.00400E-09	1030.97
1.10745E-09	981.792
1.22156E-09	934.976
1.34742E-09	890.4
1.42508E-09	866.656
1.48625E-09	847.959
1.63939E-09	807.553
1.80831E-09	769.08
1.88593E-09	753.819
1.99463E-09	732.452
2.20015E-09	697.58
2.42685E-09	664.377
2.62131E-09	639.793
2.67691E-09	632.765
2.95273E-09	602.671
3.25697E-09	574.019
3.59256E-09	546.739
3.88041E-09	526.541
3.96272E-09	520.767
4.37103E-09	496.046
4.82141E-09	472.513
5.31819E-09	450.113
5.86616E-09	428.792
6.29181E-09	414.503
6.47059E-09	408.502
7.13730E-09	389.191
7.87271E-09	370.806
8.68389E-09	353.295
9.57865E-09	336.614
1.05656E-08	320.723
1.09425E-08	315.485
1.16543E-08	305.596
1.28551E-08	291.201
1.41796E-08	277.509
1.56406E-08	264.487
1.72522E-08	252.091
1.90298E-08	240.281
2.09906E-08	229.033
2.31534E-08	218.329
2.52419E-08	209.341
2.53000E-08	209.108
2.79068E-08	199.397
3.07823E-08	190.158
3.39540E-08	181.352
3.74525E-08	172.965
4.13115E-08	164.988
4.55681E-08	157.405
5.02633E-08	150.203
5.54423E-08	143.378
6.15863E-08	136.43
6.79319E-08	130.257
7.49314E-08	124.39
8.26521E-08	118.819
9.11684E-08	113.531
9.64231E-08	110.726
1.00562E-07	108.517
1.10924E-07	103.786
1.23210E-07	98.9709
1.36864E-07	94.4046
1.52023E-07	90.0995
1.68870E-07	86.0399
1.87575E-07	82.2188
2.08362E-07	78.6261
2.28221E-07	75.746
2.31440E-07	75.2797
2.57088E-07	72.1067
2.85564E-07	69.1374
3.17210E-07	66.3639
3.52345E-07	63.782
3.67469E-07	62.8527
3.91391E-07	61.3882
4.34743E-07	59.181
4.79537E-07	57.3065
5.07177E-07	56.325
5.28947E-07	55.5571
5.87564E-07	53.8615
6.48105E-07	52.4466
6.52645E-07	52.3416
7.30048E-07	50.9403
7.88543E-07	50.1331
8.16630E-07	49.7534
9.07128E-07	48.8595
9.19926E-07	48.7752
1.02903E-06	48.0901
1.05827E-06	47.9895
1.15107E-06	47.6989
1.19207E-06	47.6599
1.27857E-06	47.6083
1.32417E-06	47.6806
1.44029E-06	47.9109
1.46061E-06	47.9895
1.58869E-06	48.5366
1.60741E-06	48.6253
1.62639E-06	48.7335
1.72801E-06	49.4042
1.80654E-06	49.9628
1.85339E-06	50.37
1.97395E-06	51.4785
2.00673E-06	51.7983
2.10245E-06	52.879
2.21350E-06	54.2077
2.23921E-06	54.5541
2.36827E-06	56.3888
2.42447E-06	57.2298
2.48735E-06	58.2675
2.61229E-06	60.4315
2.63708E-06	60.8847
2.74364E-06	63.0048
2.84837E-06	65.1959
2.86141E-06	65.491
2.98424E-06	68.4053
3.05505E-06	70.175
3.11233E-06	71.7119
3.22319E-06	74.8363
3.25377E-06	75.7415
3.33816E-06	78.4058
3.44131E-06	81.8301
3.45707E-06	82.3861
3.55530E-06	86.0159
3.61435E-06	88.2979
3.65633E-06	90.0115
3.76022E-06	94.4523
3.76949E-06	94.8688
3.86707E-06	99.4847
3.93130E-06	102.684
3.97696E-06	105.077
4.06151E-06	109.721
4.07133E-06	110.283
4.14767E-06	114.872
4.21655E-06	119.2
4.23585E-06	120.478
4.32570E-06	126.7
4.36674E-06	129.683
4.41767E-06	133.568
4.49082E-06	139.434
4.51138E-06	141.158
4.60730E-06	149.625
4.61843E-06	150.662
4.70503E-06	159.06
4.71663E-06	160.256
4.80507E-06	169.724
4.81668E-06	171.032
4.87286E-06	177.61
4.91909E-06	183.256
4.94161E-06	186.121
5.01132E-06	195.383
5.02343E-06	197.067
5.08202E-06	205.566
5.13024E-06	212.898
5.15372E-06	216.634
5.22643E-06	228.772
5.23906E-06	230.992
5.30017E-06	242.242
5.35045E-06	252.007
5.37494E-06	256.96
5.42594E-06	267.858
5.45077E-06	273.352
5.50249E-06	285.468
5.52767E-06	291.584
5.58012E-06	305.108
5.60566E-06	311.944
5.65884E-06	326.976
5.66483E-06	328.737
5.72456E-06	347.162
5.73868E-06	351.746
5.78514E-06	367.444
5.81964E-06	379.74
5.84628E-06	389.639
5.90174E-06	411.408
5.90800E-06	413.958
5.96405E-06	438.153
5.97029E-06	440.943
6.02693E-06	467.79
6.03346E-06	470.999
6.09070E-06	500.91
6.09723E-06	504.45
6.15507E-06	537.909
6.16159E-06	541.83
6.20490E-06	569.355
6.22005E-06	579.445
6.24852E-06	599.175
6.28563E-06	626.158
6.29244E-06	631.323
6.33668E-06	666.548
6.35214E-06	679.522
6.38122E-06	704.789
6.39680E-06	719.066
6.42608E-06	746.708
6.44176E-06	762.351
6.47125E-06	792.662
6.48704E-06	809.84
6.51674E-06	843.147
6.53264E-06	862.07
6.56254E-06	898.82
6.57856E-06	919.782
6.60868E-06	960.56
6.62481E-06	983.87
6.65513E-06	1029.26
6.67137E-06	1055.02
6.69014E-06	1085.87
6.71827E-06	1134.57
6.72547E-06	1147.53
6.76080E-06	1214.57
6.76550E-06	1223.99
6.79646E-06	1288.58
6.81305E-06	1325.18
6.83230E-06	1369.16
6.84889E-06	1409.34
6.86813E-06	1457.4
6.88506E-06	1502.36
6.90446E-06	1555.59
6.92123E-06	1604.62
6.94080E-06	1663.84
6.95774E-06	1718.61
6.97731E-06	1784.15
6.99442E-06	1845.55
7.01416E-06	1918.99
7.03110E-06	1986.72
7.05100E-06	2069.33
7.06830E-06	2145.65
7.07574E-06	2179.84
7.10066E-06	2300.17
7.10550E-06	2324.85
7.12557E-06	2430.55
7.13030E-06	2456.85
7.15048E-06	2572.26
7.15545E-06	2602.3
7.17557E-06	2727.55
