E(MeV)	Sr-87
1.00000E-11	8.38662E+02
1.10304E-11	7.98578E+02
1.21669E-11	7.60415E+02
1.34205E-11	7.24080E+02
1.48034E-11	6.89487E+02
1.63287E-11	6.56551E+02
1.80111E-11	6.25194E+02
1.98669E-11	5.95341E+02
2.19139E-11	5.66919E+02
2.41719E-11	5.39868E+02
2.43424E-11	5.38091E+02
2.66625E-11	5.14113E+02
2.70386E-11	5.10732E+02
2.94097E-11	4.89592E+02
3.00350E-11	4.84744E+02
3.24400E-11	4.66248E+02
3.33618E-11	4.60083E+02
3.57825E-11	4.44023E+02
3.70589E-11	4.36660E+02
3.94694E-11	4.22865E+02
4.11636E-11	4.14435E+02
4.35362E-11	4.02723E+02
4.57253E-11	3.93328E+02
4.80221E-11	3.83548E+02
5.07900E-11	3.73302E+02
5.29701E-11	3.65294E+02
5.64184E-11	3.54285E+02
5.84280E-11	3.47918E+02
6.26675E-11	3.36245E+02
6.44483E-11	3.31378E+02
6.96122E-11	3.19115E+02
7.10888E-11	3.15634E+02
7.73227E-11	3.02866E+02
7.84136E-11	3.00648E+02
8.58914E-11	2.87439E+02
8.64931E-11	2.86384E+02
9.54051E-11	2.72808E+02
1.05235E-10	2.59895E+02
1.05978E-10	2.59046E+02
1.16078E-10	2.47604E+02
1.17716E-10	2.45991E+02
1.28039E-10	2.35909E+02
1.31677E-10	2.32822E+02
1.41232E-10	2.24779E+02
1.47294E-10	2.20345E+02
1.55784E-10	2.14185E+02
1.64763E-10	2.08526E+02
1.71835E-10	2.04104E+02
1.84303E-10	1.97333E+02
1.89540E-10	1.94510E+02
2.06162E-10	1.86732E+02
2.09070E-10	1.85382E+02
2.30612E-10	1.76698E+02
2.32239E-10	1.76128E+02
2.54374E-10	1.68444E+02
2.61602E-10	1.66264E+02
2.80583E-10	1.60588E+02
2.94692E-10	1.56926E+02
3.09494E-10	1.53114E+02
3.34292E-10	1.47573E+02
3.41383E-10	1.46001E+02
3.76558E-10	1.39235E+02
3.79215E-10	1.38792E+02
4.15358E-10	1.32809E+02
4.33187E-10	1.30249E+02
4.58155E-10	1.26692E+02
4.94865E-10	1.22157E+02
5.05362E-10	1.20870E+02
5.57433E-10	1.15337E+02
5.69285E-10	1.14245E+02
6.14869E-10	1.10079E+02
6.59484E-10	1.06544E+02
6.78223E-10	1.05071E+02
7.48105E-10	1.00312E+02
7.69363E-10	9.90567E+01
8.25188E-10	9.57887E+01
9.03881E-10	9.17968E+01
9.10213E-10	9.14781E+01
1.00400E-09	8.73908E+01
1.07685E-09	8.46401E+01
1.10745E-09	8.34942E+01
1.22156E-09	7.97945E+01
1.30108E-09	7.75612E+01
1.34742E-09	7.62704E+01
1.48625E-09	7.29234E+01
1.59410E-09	7.06722E+01
1.63939E-09	6.97343E+01
1.80831E-09	6.67079E+01
1.99463E-09	6.38185E+01
2.20015E-09	6.10833E+01
2.42685E-09	5.84732E+01
2.56673E-09	5.70793E+01
2.67691E-09	5.59905E+01
2.95273E-09	5.36335E+01
3.25697E-09	5.13848E+01
3.42073E-09	5.03375E+01
3.59256E-09	4.92479E+01
3.96272E-09	4.72187E+01
4.37103E-09	4.52835E+01
4.78787E-09	4.35749E+01
4.82141E-09	4.34386E+01
5.31819E-09	4.16930E+01
5.86616E-09	4.00291E+01
6.47059E-09	3.84428E+01
7.13730E-09	3.69302E+01
7.87271E-09	3.55004E+01
8.68389E-09	3.41383E+01
9.57865E-09	3.28407E+01
1.05656E-08	3.16042E+01
1.16543E-08	3.04259E+01
1.17365E-08	3.03490E+01
1.28551E-08	2.93120E+01
1.41796E-08	2.82520E+01
1.56406E-08	2.72425E+01
1.72522E-08	2.62806E+01
1.90298E-08	2.53641E+01
2.09906E-08	2.44908E+01
2.28313E-08	2.37827E+01
2.31534E-08	2.36595E+01
2.52419E-08	2.29639E+01
2.53000E-08	2.29458E+01
2.79068E-08	2.21958E+01
3.07823E-08	2.14823E+01
3.39540E-08	2.08037E+01
3.74525E-08	2.01582E+01
4.13115E-08	1.95440E+01
4.55681E-08	1.89598E+01
5.02633E-08	1.84045E+01
5.54423E-08	1.78774E+01
6.11549E-08	1.73773E+01
6.79319E-08	1.68683E+01
7.38890E-08	1.64861E+01
7.54563E-08	1.63863E+01
8.38182E-08	1.59331E+01
9.31022E-08	1.55054E+01
1.03420E-07	1.51016E+01
1.14875E-07	1.47213E+01
1.27605E-07	1.43641E+01
1.41739E-07	1.40269E+01
1.57446E-07	1.37088E+01
1.74885E-07	1.34102E+01
1.94266E-07	1.31303E+01
2.15783E-07	1.28687E+01
2.39696E-07	1.26257E+01
2.68123E-07	1.23852E+01
2.97822E-07	1.21758E+01
3.30826E-07	1.19831E+01
3.70061E-07	1.17959E+01
4.13950E-07	1.16279E+01
4.59801E-07	1.14901E+01
5.14332E-07	1.13606E+01
5.71330E-07	1.12586E+01
6.34612E-07	1.11772E+01
7.09876E-07	1.11156E+01
7.88543E-07	1.10850E+01
7.99668E-07	1.10830E+01
8.82383E-07	1.10870E+01
9.73301E-07	1.11241E+01
1.06607E-06	1.11953E+01
1.15955E-06	1.13007E+01
1.20889E-06	1.13745E+01
1.25246E-06	1.14361E+01
1.34334E-06	1.15998E+01
1.43072E-06	1.17930E+01
1.51318E-06	1.20113E+01
1.58927E-06	1.22477E+01
1.66910E-06	1.25367E+01
1.74011E-06	1.28345E+01
1.74074E-06	1.28370E+01
1.80284E-06	1.31263E+01
1.86705E-06	1.34657E+01
1.93365E-06	1.38677E+01
1.98859E-06	1.42435E+01
2.04510E-06	1.46778E+01
2.10245E-06	1.51753E+01
2.10321E-06	1.51818E+01
2.14783E-06	1.56077E+01
2.19349E-06	1.60922E+01
2.24002E-06	1.66436E+01
2.28765E-06	1.72755E+01
2.33617E-06	1.80007E+01
2.36827E-06	1.85329E+01
2.36913E-06	1.85470E+01
2.40256E-06	1.91449E+01
2.43645E-06	1.98094E+01
2.47083E-06	2.05497E+01
2.50569E-06	2.13777E+01
2.54104E-06	2.23096E+01
2.55803E-06	2.28099E+01
2.57689E-06	2.33600E+01
2.61324E-06	2.45510E+01
2.64089E-06	2.55572E+01
2.66880E-06	2.66732E+01
2.69698E-06	2.79153E+01
2.70547E-06	2.83301E+01
2.72541E-06	2.92973E+01
2.75425E-06	3.08542E+01
2.78336E-06	3.26117E+01
2.81274E-06	3.46059E+01
2.82161E-06	3.52715E+01
2.83251E-06	3.60867E+01
2.85243E-06	3.77066E+01
2.87248E-06	3.94874E+01
2.89267E-06	4.14515E+01
2.91300E-06	4.36247E+01
2.92211E-06	4.46978E+01
2.93348E-06	4.60325E+01
2.95410E-06	4.87122E+01
2.97486E-06	5.17111E+01
2.99578E-06	5.50819E+01
3.00514E-06	5.67499E+01
3.01153E-06	5.78851E+01
3.02744E-06	6.09742E+01
3.04334E-06	6.43629E+01
3.05940E-06	6.81277E+01
3.06904E-06	7.06249E+01
3.07553E-06	7.23025E+01
3.09165E-06	7.69250E+01
3.10801E-06	8.21434E+01
3.12437E-06	8.79778E+01
3.13110E-06	9.06655E+01
3.13989E-06	9.41688E+01
3.15375E-06	1.00317E+02
3.16761E-06	1.07142E+02
3.17736E-06	1.12409E+02
3.18765E-06	1.18418E+02
3.19279E-06	1.21686E+02
3.19793E-06	1.24951E+02
3.20821E-06	1.32066E+02
3.21849E-06	1.39837E+02
3.22877E-06	1.48341E+02
3.23905E-06	1.57668E+02
3.24933E-06	1.67922E+02
3.25961E-06	1.79220E+02
3.26989E-06	1.91697E+02
3.28017E-06	2.05506E+02
3.29046E-06	2.20820E+02
3.29560E-06	2.29215E+02
3.29817E-06	2.33415E+02
3.30588E-06	2.47063E+02
3.31359E-06	2.61859E+02
3.31616E-06	2.67210E+02
3.32130E-06	2.77918E+02
3.32901E-06	2.95348E+02
3.33672E-06	3.14266E+02
3.34546E-06	3.37734E+02
3.34597E-06	3.39116E+02
3.35522E-06	3.66507E+02
3.35857E-06	3.77384E+02
3.36448E-06	3.96642E+02
3.37167E-06	4.22348E+02
3.37373E-06	4.29698E+02
3.38041E-06	4.55596E+02
3.38144E-06	4.59583E+02
3.38915E-06	4.91642E+02
3.39789E-06	5.30853E+02
3.39943E-06	5.37778E+02
3.40663E-06	5.72674E+02
3.40971E-06	5.87641E+02
3.41434E-06	6.11583E+02
3.41999E-06	6.40866E+02
3.42205E-06	6.52146E+02
3.42976E-06	6.94478E+02
3.43542E-06	7.25544E+02
3.43747E-06	7.37111E+02
3.44518E-06	7.80520E+02
3.45212E-06	8.19616E+02
3.45983E-06	8.63089E+02
3.46086E-06	8.68550E+02
3.46960E-06	9.15013E+02
3.47140E-06	9.24586E+02
3.47834E-06	9.57846E+02
3.48296E-06	9.80039E+02
3.49196E-06	1.01717E+03
3.49299E-06	1.02072E+03
3.49967E-06	1.04378E+03
3.50738E-06	1.06484E+03
3.51509E-06	1.07979E+03
3.52280E-06	1.08822E+03
3.52671E-06	1.08965E+03
3.52794E-06	1.09010E+03
3.53555E-06	1.08731E+03
3.54008E-06	1.08185E+03
3.54285E-06	1.07849E+03
3.54851E-06	1.06705E+03
3.55056E-06	1.06287E+03
3.55827E-06	1.04123E+03
3.55879E-06	1.03942E+03
3.56598E-06	1.01412E+03
3.56907E-06	1.00111E+03
3.57626E-06	9.70714E+02
3.57909E-06	9.57002E+02
