E(MeV)	"TA-181(N,TOT)"	
1.00000E-11	1.05869E+03	
1.10304E-11	1.00809E+03	
1.11082E-11	1.00478E+03	
1.21669E-11	9.59918E+02	
1.23386E-11	9.53618E+02	
1.34206E-11	9.14050E+02	
1.37059E-11	9.05011E+02	
1.48034E-11	8.70378E+02	
1.52240E-11	8.58881E+02	
1.63287E-11	8.28798E+02	
1.69111E-11	8.15060E+02	
1.80111E-11	7.89210E+02	
1.87842E-11	7.73475E+02	
1.98669E-11	7.51519E+02	
2.08659E-11	7.33975E+02	
2.19139E-11	7.15634E+02	
2.31770E-11	6.96494E+02	
2.41719E-11	6.81470E+02	
2.57455E-11	6.60893E+02	
2.66625E-11	6.48943E+02	
2.85971E-11	6.27114E+02	
2.94097E-11	6.17977E+02	
3.17662E-11	5.95034E+02	
3.24400E-11	5.88496E+02	
3.52847E-11	5.64597E+02	
3.57825E-11	5.60429E+02	
3.91949E-11	5.35693E+02	
3.94694E-11	5.33710E+02	
4.35362E-11	5.08273E+02	
4.80221E-11	4.84064E+02	
4.83608E-11	4.82481E+02	
5.29701E-11	4.61017E+02	
5.37174E-11	4.58004E+02	
5.84280E-11	4.39080E+02	
6.00883E-11	4.33305E+02	
6.44483E-11	4.18196E+02	
6.72147E-11	4.09896E+02	
7.10888E-11	3.98315E+02	
7.51862E-11	3.87711E+02	
7.84136E-11	3.79389E+02	
8.41032E-11	3.66689E+02	
8.64931E-11	3.61373E+02	
9.40778E-11	3.46771E+02	
9.54051E-11	3.44224E+02	
1.05235E-10	3.27902E+02	
1.05978E-10	3.26835E+02	
1.16078E-10	3.12373E+02	
1.19377E-10	3.08285E+02	
1.28039E-10	2.97590E+02	
1.34477E-10	2.90710E+02	
1.41231E-10	2.83519E+02	
1.52548E-10	2.73093E+02	
1.55784E-10	2.70123E+02	
1.71835E-10	2.57374E+02	
1.73047E-10	2.56541E+02	
1.89540E-10	2.45249E+02	
1.97676E-10	2.40429E+02	
2.09070E-10	2.33705E+02	
2.25822E-10	2.25152E+02	
2.30612E-10	2.22716E+02	
2.54374E-10	2.12260E+02	
2.59782E-10	2.10201E+02	
2.80584E-10	2.02314E+02	
3.00943E-10	1.95636E+02	
3.09494E-10	1.92842E+02	
3.41383E-10	1.83831E+02	
3.51084E-10	1.81460E+02	
3.76558E-10	1.75258E+02	
4.12469E-10	1.67698E+02	
4.15358E-10	1.67092E+02	
4.58155E-10	1.59331E+02	
4.87980E-10	1.54654E+02	
5.05362E-10	1.51938E+02	
5.57433E-10	1.44906E+02	
5.85461E-10	1.41633E+02	
6.14869E-10	1.38212E+02	
6.78223E-10	1.31842E+02	
7.12325E-10	1.28877E+02	
7.48105E-10	1.25779E+02	
8.25188E-10	1.20010E+02	
8.85063E-10	1.16136E+02	
9.10213E-10	1.14515E+02	
1.00400E-09	1.09292E+02	
1.10745E-09	1.04314E+02	
1.13099E-09	1.03334E+02	
1.22155E-09	9.95816E+01	
1.34742E-09	9.50757E+01	
1.48625E-09	9.07810E+01	
1.63939E-09	8.67031E+01	
1.80831E-09	8.28174E+01	
1.99463E-09	7.91144E+01	
2.03704E-09	7.83861E+01	
2.20016E-09	7.55958E+01	
2.42685E-09	7.22464E+01	
2.67691E-09	6.90551E+01	
2.95273E-09	6.60143E+01	
2.97356E-09	6.58159E+01	
3.25697E-09	6.31271E+01	
3.59256E-09	6.03779E+01	
3.96272E-09	5.77592E+01	
4.37103E-09	5.52649E+01	
4.72126E-09	5.34171E+01	
4.82141E-09	5.28906E+01	
5.31819E-09	5.06360E+01	
5.86616E-09	4.84891E+01	
6.47059E-09	4.64444E+01	
7.13730E-09	4.44968E+01	
7.87271E-09	4.26415E+01	
8.62348E-09	4.10050E+01	
8.68389E-09	4.08738E+01	
9.57865E-09	3.91951E+01	
1.05656E-08	3.75956E+01	
1.16543E-08	3.60723E+01	
1.28551E-08	3.46223E+01	
1.41796E-08	3.32429E+01	
1.56406E-08	3.19304E+01	
1.72522E-08	3.06804E+01	
1.90298E-08	2.94886E+01	
2.04106E-08	2.86886E+01	
2.09906E-08	2.83534E+01	
2.31534E-08	2.72747E+01	
2.52419E-08	2.63686E+01	
2.53000E-08	2.63450E+01	
2.79068E-08	2.53674E+01	
3.07823E-08	2.44370E+01	
3.39540E-08	2.35494E+01	
3.74525E-08	2.27037E+01	
4.13115E-08	2.18991E+01	
4.55681E-08	2.11337E+01	
5.02633E-08	2.04063E+01	
5.54423E-08	1.97166E+01	
6.15863E-08	1.90138E+01	
6.79319E-08	1.83886E+01	
7.49314E-08	1.77938E+01	
8.26521E-08	1.72283E+01	
9.11684E-08	1.66907E+01	
1.00562E-07	1.61798E+01	
1.10924E-07	1.56968E+01	
1.23210E-07	1.52020E+01	
1.35905E-07	1.47654E+01	
1.50966E-07	1.43220E+01	
1.61920E-07	1.40461E+01	
1.67687E-07	1.39011E+01	
1.86270E-07	1.35036E+01	
2.06902E-07	1.31280E+01	
2.29830E-07	1.27731E+01	
2.53511E-07	1.24602E+01	
2.83578E-07	1.21249E+01	
3.14988E-07	1.18265E+01	
3.49894E-07	1.15458E+01	
3.88649E-07	1.12824E+01	
4.31719E-07	1.10353E+01	
4.79537E-07	1.08047E+01	
5.28947E-07	1.06061E+01	
5.87564E-07	1.04062E+01	
6.48105E-07	1.02344E+01	
7.14884E-07	1.00773E+01	
7.94067E-07	9.92602E+00	
8.63700E-07	9.82405E+00	
8.94508E-07	9.77668E+00	
9.86675E-07	9.66940E+00	
1.08072E-06	9.58880E+00	
1.17495E-06	9.53204E+00	
1.29601E-06	9.49622E+00	
1.36180E-06	9.49568E+00	
1.40966E-06	9.49096E+00	
1.51195E-06	9.50927E+00	
1.61037E-06	9.54957E+00	
1.71512E-06	9.62082E+00	
1.75239E-06	9.65720E+00	
1.82678E-06	9.72221E+00	
1.93207E-06	9.85214E+00	
2.02912E-06	1.00076E+01	
2.05868E-06	1.00663E+01	
2.11621E-06	1.01734E+01	
2.20705E-06	1.03810E+01	
2.28578E-06	1.05975E+01	
2.31908E-06	1.07060E+01	
2.36720E-06	1.08561E+01	
2.43446E-06	1.11026E+01	
2.50364E-06	1.13961E+01	
2.54012E-06	1.15758E+01	
2.57478E-06	1.17413E+01	
2.62952E-06	1.20415E+01	
2.68530E-06	1.23873E+01	
2.72443E-06	1.26625E+01	
2.74239E-06	1.27860E+01	
2.80056E-06	1.32428E+01	
2.86011E-06	1.37799E+01	
2.88146E-06	1.40015E+01	
2.92078E-06	1.44030E+01	
2.96198E-06	1.48785E+01	
3.00377E-06	1.54167E+01	
3.02634E-06	1.57413E+01	
3.04615E-06	1.60223E+01	
3.08913E-06	1.67059E+01	
3.13271E-06	1.74866E+01	
3.15624E-06	1.79639E+01	
3.17691E-06	1.83788E+01	
3.21052E-06	1.91350E+01	
3.24445E-06	1.99796E+01	
3.26867E-06	2.06490E+01	
3.27870E-06	2.09245E+01	
3.31327E-06	2.19833E+01	
3.34833E-06	2.31867E+01	
3.38372E-06	2.45547E+01	
3.38526E-06	2.46222E+01	
3.41944E-06	2.61119E+01	
3.44348E-06	2.72786E+01	
3.46768E-06	2.85637E+01	
3.49206E-06	2.99832E+01	
3.51660E-06	3.15552E+01	
3.54132E-06	3.33015E+01	
3.56622E-06	3.52505E+01	
3.59128E-06	3.74374E+01	
3.60546E-06	3.88216E+01	
3.61653E-06	3.99049E+01	
3.63560E-06	4.19706E+01	
3.65466E-06	4.42314E+01	
3.66922E-06	4.61274E+01	
3.67400E-06	4.67508E+01	
3.69333E-06	4.95326E+01	
3.70791E-06	5.18512E+01	
3.71276E-06	5.26241E+01	
3.73237E-06	5.60938E+01	
3.73407E-06	5.64291E+01	
3.75197E-06	5.99694E+01	
3.76022E-06	6.17951E+01	
3.77177E-06	6.43557E+01	
3.77335E-06	6.47426E+01	
3.78502E-06	6.76039E+01	
3.79456E-06	7.01387E+01	
3.79828E-06	7.11299E+01	
3.81154E-06	7.49689E+01	
3.81457E-06	7.59250E+01	
3.82498E-06	7.92197E+01	
3.82790E-06	8.02303E+01	
3.83842E-06	8.38762E+01	
3.84133E-06	8.49812E+01	
3.85187E-06	8.89908E+01	
3.85486E-06	9.02420E+01	
3.86531E-06	9.46255E+01	
3.86838E-06	9.60468E+01	
3.87894E-06	1.00946E+02	
3.88191E-06	1.02469E+02	
3.89210E-06	1.07719E+02	
3.89258E-06	1.07966E+02	
3.90239E-06	1.13598E+02	
3.90621E-06	1.15799E+02	
3.91267E-06	1.19893E+02	
